loss,loss_boundary,loss_interior,_step,_runtime,_timestamp,time,step,l2_error
48.68664260128643,0.012968360244833192,48.673674241041596,0,4.521975040435791,1712762777.530721,0.9538419246673584,0,1.390307050775459
36.685078322725694,1.2055168567985015,35.47956146592719,1,4.64623236656189,1712762777.6549783,1.0784316062927246,1,0.6884338135044983
24.36911746334366,0.5345381996602991,23.83457926368336,2,4.768168210983276,1712762777.7769141,1.2003943920135498,2,0.6179346475586637
17.54882319901989,0.31302426256818044,17.235798936451708,3,4.908415794372559,1712762777.9171617,1.340625286102295,3,0.7108278460234132
6.99903853626489,0.33048619923138955,6.668552337033501,4,5.083191394805908,1712762778.0919373,1.5154542922973633,4,0.41383985856845024
4.214344039133566,0.11164655327282298,4.102697485860744,5,5.239156484603882,1712762778.2479024,1.6713945865631104,5,0.10746141171839242
1.0574125215569563,0.018131860065119767,1.0392806614918366,6,5.407393217086792,1712762778.4161391,1.8396692276000977,6,0.13433094725869366
0.7015028622446524,0.021202326937658438,0.680300535306994,7,5.5570666790008545,1712762778.5658126,1.9893131256103516,7,0.13848990030641156
0.19621394162669337,0.023582755040149603,0.17263118658654378,8,5.703526735305786,1712762778.7122726,2.135807752609253,8,0.06544277748867847
0.14431423750544495,0.0036388515178677806,0.14067538598757717,9,5.888429641723633,1712762778.8971756,2.320638418197632,9,0.06497114022061448
0.03570600025101735,0.0021975964084074663,0.033508403842609884,10,6.129579067230225,1712762779.138325,2.5618555545806885,10,0.01901722048230766
0.019509300902693538,0.00014945329443589962,0.019359847608257638,11,6.301311254501343,1712762779.3100572,2.7323548793792725,11,0.012427625742064472
0.008449199052720282,0.00012737799261707265,0.008321821060103209,12,6.551263093948364,1712762779.560009,2.983551263809204,12,0.007344380055348314
0.000531251633289229,6.013522274020505e-05,0.000471116410549024,13,6.768467426300049,1712762779.7772133,3.2006566524505615,13,0.006790839013757676
0.00020307341875820429,7.015795655827866e-05,0.00013291546219992563,14,7.183468580245972,1712762780.1922145,3.615696668624878,14,0.006241554116669941
0.00013440094311087936,6.786699734489436e-05,6.6533945765985e-05,15,7.466038703918457,1712762780.4747846,3.8982601165771484,15,0.005953180794345927
0.00012516585244189257,5.934074998136928e-05,6.582510246052329e-05,16,7.614794492721558,1712762780.6235404,4.047077894210815,16,0.0056715168770698305
0.00011501113755419987,5.262105187151828e-05,6.239008568268159e-05,17,7.843337535858154,1712762780.8520834,4.275559663772583,17,0.005352962231065899
0.00010498458188797168,4.608494404733575e-05,5.889963784063593e-05,18,8.00244951248169,1712762781.0111954,4.434715509414673,18,0.0050475670441846076
9.490823419270952e-05,4.042424730799623e-05,5.448398688471328e-05,19,8.462381839752197,1712762781.4711277,4.894587278366089,19,0.004599601091239212
8.120799153412578e-05,2.9375038963685667e-05,5.183295257044012e-05,20,8.907825231552124,1712762781.9165711,5.34004807472229,21,0.003776184296315892
7.445013801311008e-05,2.3501179096960563e-05,5.094895891614951e-05,21,9.106196880340576,1712762782.1149428,5.538441181182861,22,0.0033722248091774473
6.785649175430565e-05,1.8593092049314022e-05,4.9263399704991625e-05,22,9.31870174407959,1712762782.3274477,5.750961065292358,23,0.002963963906800112
5.640620635314597e-05,1.028520834993405e-05,4.6120998003211924e-05,23,9.981028318405151,1712762782.9897742,6.413232803344727,25,0.002101262104154866
4.9556818168530705e-05,5.685361380207997e-06,4.387145678832271e-05,24,10.351440668106079,1712762783.3601866,6.783695697784424,27,0.0014844108011727278
4.604655468043725e-05,4.241823563463197e-06,4.180473111697405e-05,25,10.58771538734436,1712762783.5964613,7.019958019256592,28,0.0012572700896175124
