loss_boundary,loss_interior,loss,step,time,_step,_runtime,_timestamp
0.013371693364886023,48.310213036154124,48.32358472951901,0,1.366945743560791,0,7.413196086883545,1710888032.2572482
0.013413192877403597,48.30818251794314,48.32159571082054,1,1.5432817935943604,1,7.589391231536865,1710888032.4334433
0.01341388217879614,48.30816946163353,48.32158334381233,2,1.7158737182617188,2,7.7619688510894775,1710888032.606021
1.4941852213479088,32.88617955320918,34.380364774557094,3,1.8909122943878174,3,7.9368507862091064,1710888032.7809029
1.4820196924267814,32.86404154428945,34.34606123671623,4,2.0776941776275635,4,8.124438047409058,1710888032.9684901
4.0590864368515085,21.601054378298915,25.660140815150424,5,2.2615420818328857,5,8.308265686035156,1710888033.1523178
4.075783055744149,21.52148643164189,25.59726948738604,6,2.43475079536438,6,8.481388092041016,1710888033.3254402
3.602556657909836,21.21197817535279,24.814534833262627,7,2.611013889312744,7,8.657212495803833,1710888033.5012646
3.6905067042910527,20.736600704961326,24.42710740925238,8,2.7830970287323,8,8.829180717468262,1710888033.6732328
3.6360888457288705,20.480383674400258,24.11647252012913,9,2.9564826488494873,9,9.00256609916687,1710888033.8466182
3.6291240632975184,20.372537735833284,24.0016617991308,10,3.123666286468506,10,9.169803142547607,1710888034.0138552
3.5010007771471803,20.145772778554132,23.646773555701312,11,3.2923054695129395,11,9.338509321212769,1710888034.1825614
5.674838366902276,12.185117964132074,17.85995633103435,12,3.4603848457336426,12,9.507744312286377,1710888034.3517964
3.1334214534213616,5.704421486515475,8.837842939936836,13,3.633110523223877,13,9.67972731590271,1710888034.5237794
1.7817112804067772,2.799167775656751,4.580879056063528,14,3.801649808883667,14,9.848252296447754,1710888034.6923044
0.8212929522854981,1.5637039461315023,2.3849968984170005,15,3.9713752269744873,15,10.017976522445679,1710888034.8620286
0.2064269751533376,0.5439538961002546,0.7503808712535922,16,4.141476154327393,16,10.188090562820435,1710888035.0321426
0.06330862932989695,0.1448936194987043,0.20820224882860125,17,4.32521390914917,17,10.371924638748169,1710888035.2159767
0.0020972779747216222,0.013931404298613167,0.016028682273334788,18,4.497044324874878,18,10.543626070022583,1710888035.3876781
0.0013126981356967298,0.003432915131606387,0.004745613267303117,19,4.680668115615845,19,10.729086637496948,1710888035.5731387
0.0005696492301064548,0.001370108628317626,0.0019397578584240808,21,5.025561332702637,20,11.071571111679077,1710888035.9156232
0.0003564898739058844,0.0009707148665846674,0.001327204740490552,22,5.191710710525513,21,11.23773741722107,1710888036.0817895
