time,_step,_runtime,step,loss_boundary,loss_interior,loss,_timestamp,l2_error
2.1699202060699463,0,7.592711687088013,0,0.012968360244833192,48.673674241041596,48.68664260128643,1712870008.6908767,1.8326402634115175
3.374020576477051,1,7.651745319366455,1,2.015829714818547,16.097713572060826,18.113543286879374,1712870008.7499104,1.354935029214129
3.428212881088257,2,7.705846309661865,2,1.0415607757503857,10.460859185349463,11.502419961099848,1712870008.8040113,0.8922918886491514
3.4813685417175293,3,7.7593958377838135,3,0.5208384795902904,8.263008164429802,8.783846644020093,1712870008.8575609,0.39057135565826967
3.5358946323394775,4,7.813889980316162,4,0.1308392696357274,4.551668722346924,4.682507991982651,1712870008.912055,0.35333785688415065
3.5901427268981934,5,7.868150234222412,5,0.11006924080955513,2.851557420567364,2.9616266613769193,1712870008.9663153,0.29625477903891684
3.6444907188415527,6,7.922538757324219,6,0.08362766161656979,1.967725534091017,2.051353195707587,1712870009.0207038,0.18415045766466073
3.7069966793060303,7,7.986795902252197,7,0.034639854855456474,1.3317553782482112,1.3663952331036677,1712870009.084961,0.16647536589852435
3.7641022205352783,8,8.042152404785156,8,0.029401427883467283,0.9155553098252277,0.944956737708695,1712870009.1403174,0.18201745911689898
3.818486452102661,9,8.09653377532959,9,0.028305048621636852,0.7575696187571298,0.7858746673787667,1712870009.1946988,0.19395559360502793
3.8753881454467773,10,8.15340805053711,10,0.02905710574542962,0.6566892366389322,0.6857463423843618,1712870009.251573,0.22721941434893314
3.929680824279785,11,8.207617998123169,11,0.03457355866919173,0.5726463794840654,0.6072199381532571,1712870009.305783,0.1718043519128433
3.984050989151001,12,8.262032508850098,12,0.02209170484417667,0.5019275940642158,0.5240192989083925,1712870009.3601975,0.105989167455986
4.039233684539795,13,8.317321062088013,13,0.014775298344819998,0.46763927781922815,0.48241457616404815,1712870009.415486,0.1406508469819379
4.094849109649658,14,8.373035192489624,14,0.02335180722844616,0.40801105267899657,0.4313628599074427,1712870009.4712002,0.1038751287925958
4.1502954959869385,15,8.428269863128662,15,0.01821447960195388,0.37800704105125527,0.39622152065320915,1712870009.526435,0.10245153690954122
4.226027727127075,16,8.504069805145264,16,0.01862986766229752,0.3552037608598851,0.3738336285221826,1712870009.6022348,0.08891270194411599
4.2807698249816895,17,8.558755874633789,17,0.01607426887740166,0.3321930042128568,0.34826727309025846,1712870009.656921,0.0889628609864464
4.3402323722839355,18,8.6182382106781,18,0.015938228389565816,0.31352353877760697,0.3294617671671728,1712870009.7164032,0.09842418326343966
4.394707918167114,19,8.672807693481445,19,0.017398091557875667,0.295282859019403,0.3126809505772786,1712870009.7709727,0.0928543887092226
4.5038440227508545,20,8.781983375549316,21,0.012448808505432226,0.2110673064632305,0.22351611496866272,1712870009.8801484,0.08405010888905855
4.558780908584595,21,8.836758852005005,22,0.010856176408242539,0.19987239944978355,0.2107285758580261,1712870009.934924,0.11684601008941882
4.614493131637573,22,8.89260721206665,23,0.011906105523516708,0.17490439483090617,0.18681050035442287,1712870009.9907722,0.08719475380737052
4.726866960525513,23,9.00486707687378,25,0.011227635589778753,0.12144317488415765,0.13267081047393642,1712870010.103032,0.06858104812594495
4.831790447235107,24,9.109832763671875,27,0.0060139137110944,0.06701083154620156,0.07302474525729596,1712870010.2079978,0.052473319441415346
4.886004447937012,25,9.163963794708252,28,0.0058946067740864435,0.05607664027701196,0.0619712470510984,1712870010.2621288,0.05155100398107406
4.991575241088867,26,9.26960039138794,30,0.0043827557438779734,0.034916732478627796,0.03929948822250577,1712870010.3677654,0.04409361660290104
5.097576379776001,27,9.37558889389038,32,0.0035624742957762524,0.02427851411800991,0.027840988413786162,1712870010.473754,0.03957134587251354
5.202565670013428,28,9.480592966079712,34,0.0032262549312692605,0.016981512864053607,0.020207767795322868,1712870010.578758,0.035924800887995406
5.313107490539551,29,9.591303825378418,36,0.0028496380701181385,0.011953966596087197,0.014803604666205335,1712870010.6894689,0.04964844383991063
5.4732818603515625,30,9.751460552215576,39,0.0022496182712701627,0.008144062587162226,0.010393680858432388,1712870010.8496256,0.03089664539797266
5.589189052581787,31,9.867336988449097,41,0.002158854898673136,0.006566338161453263,0.0087251930601264,1712870010.965502,0.032459379606458956
5.747955799102783,32,10.026013135910034,44,0.00207517597931173,0.005120053810276492,0.007195229789588222,1712870011.1241782,0.030806187312222927
5.903541564941406,33,10.181609153747559,47,0.0019214081837898678,0.0040915114916631615,0.006012919675453029,1712870011.2797742,0.02956108283377362
6.06172776222229,34,10.339762687683105,50,0.0019111936145384681,0.003189586320982826,0.005100779935521294,1712870011.4379277,0.02850918606991062
6.244138717651367,35,10.522624254226685,53,0.0018820033305227048,0.002232594974922695,0.0041145983054454004,1712870011.6207893,0.026523561897377316
6.452292203903198,36,10.730420589447021,57,0.001550718811292033,0.0012193508972923376,0.002770069708584371,1712870011.8285856,0.02601879293573152
6.610175609588623,37,10.888323068618774,60,0.0013521427051897531,0.0007508137365837304,0.0021029564417734837,1712870011.986488,0.02502599986128333
6.829056262969971,38,11.107325553894043,64,0.0011906234963088072,0.0004304131919689213,0.0016210366882777286,1712870012.2054906,0.02290790404249811
7.037230014801025,39,11.31529450416565,68,0.000987292715851513,0.0002637295681545077,0.0012510222840060206,1712870012.4134595,0.022651826207153457
7.297454357147217,40,11.57555103302002,73,0.0008676262518742925,0.00019620298021667611,0.0010638292320909687,1712870012.673716,0.020112137298079896
7.506495475769043,41,11.784614086151123,77,0.0007075299274502905,0.00016099622593447927,0.0008685261533847698,1712870012.8827791,0.02035218318573527
