_timestamp,loss_boundary,loss_interior,loss,step,time,_step,_runtime
1710887042.5369408,0.013371693364886023,48.310213036154124,48.32358472951901,0,0.9537858963012695,0,5.10513973236084
1710887042.6288166,0.47639782850032475,44.804346118565434,45.28074394706576,1,1.0458331108093262,1,5.1970155239105225
1710887042.7376084,0.08104001950993854,43.400548325138594,43.481588344648536,2,1.1545968055725098,2,5.30580735206604
1710887042.8768423,0.1336239766471564,40.32175094605984,40.455374922706994,3,1.292656421661377,3,5.445041179656982
1710887043.0047307,0.12762149561419167,39.43290063878299,39.56052213439718,4,1.4209990501403809,4,5.572929620742798
1710887043.129255,0.21077443308348767,37.22419021787305,37.43496465095654,5,1.5462756156921387,5,5.69745397567749
1710887043.2612095,0.1796964138400015,35.78505054527902,35.96474695911902,6,1.6782474517822266,6,5.829408407211304
1710887043.3679874,0.08818867231476722,25.34359112411835,25.43177979643312,7,1.7850005626678467,7,5.93618631362915
1710887043.5018363,0.7030845169275617,4.615750509039056,5.318835025966617,8,1.9188697338104248,8,6.070035219192505
1710887043.6038601,0.09378907069372841,3.3096985860776127,3.403487656771341,9,2.0208659172058105,9,6.172059059143066
1710887043.7708898,0.04911422532542954,0.9562395653970914,1.005353790722521,10,2.187903881072998,10,6.339088678359985
1710887043.9334512,0.01822258222759236,0.6419728036244048,0.6601953858519971,11,2.3504691123962402,11,6.501650094985962
1710887044.1537805,0.005023798442803836,0.08920176724970727,0.0942255656925111,12,2.5707833766937256,12,6.721979379653931
1710887044.3091216,0.0019149538175013883,0.008990642287052751,0.01090559610455414,13,2.726138114929199,13,6.8773205280303955
1710887044.5855572,0.0007803142864400784,0.0024639218975078805,0.003244236183947959,14,3.0025668144226074,14,7.153756141662598
1710887044.722252,0.0003347840857344543,0.0018047206802724045,0.0021395047660068586,15,3.1392672061920166,15,7.290450811386108
1710887044.9691205,0.00018634663835187128,0.0014579775549854023,0.0016443241933372737,16,3.386122226715088,16,7.5373194217681885
1710887045.2302704,3.8939939404338174e-05,0.0006534757725477659,0.0006924157119521041,17,3.64730167388916,17,7.798469305038452
1710887045.4553914,0.00012077154613303685,0.000456691352619403,0.0005774628987524398,18,3.8720335960388184,18,8.023590326309204
1710887045.6005993,4.336753569121929e-05,0.0004296932398254648,0.0004730607755166841,19,4.017626523971558,19,8.168798208236694
1710887045.8973765,3.093131098929165e-05,0.0003119890869923155,0.00034292039798160717,20,4.314390420913696,20,8.465575456619263
1710887046.1424065,4.538720208633493e-05,0.00025233063775592694,0.0002977178398422619,21,4.55943489074707,21,8.710605382919312
1710887046.2686698,2.992063234683971e-05,0.0002358929196991885,0.0002658135520460282,22,4.685768365859985,22,8.83686876296997
1710887046.5484495,2.1715303123131933e-05,0.00022047423422068822,0.00024218953734382015,23,4.965529918670654,23,9.116648435592651
1710887046.6949334,1.7472195680424902e-05,0.00019608380024409159,0.00021355599592451648,24,5.112044095993042,24,9.263132333755493
1710887046.8992612,1.4047131305823898e-05,0.0001783710856278827,0.0001924182169337066,25,5.316354990005493,25,9.46746015548706
1710887047.0766025,1.1085446860159012e-05,0.00015908357172166276,0.00017016901858182178,26,5.493666172027588,26,9.644801378250122
1710887047.2819648,8.292707760665873e-06,0.0001426685251119098,0.00015096123287257568,27,5.699015140533447,27,9.850163698196411
1710887047.5788226,6.202851875166826e-06,0.00012776937508016716,0.000133972226955334,28,5.995877742767334,28,10.147021532058716
1710887047.838687,4.2304367608482e-06,0.0001047814784216578,0.000109011915182506,29,6.25570273399353,29,10.406885862350464
1710887048.147403,3.1259905244523907e-06,6.475830536093053e-05,6.788429588538292e-05,31,6.564436674118042,30,10.715601921081543
1710887048.3986762,2.78191273169025e-06,5.774034797680368e-05,6.052226070849393e-05,32,6.815709352493286,31,10.966875076293945
1710887048.6609662,3.076108314573371e-06,3.357479479385433e-05,3.66509031084277e-05,33,7.078030824661255,32,11.229165077209473
1710887048.9147394,1.9031404125723053e-06,1.9917517094456818e-05,2.1820657507029123e-05,35,7.331742286682129,33,11.482938289642334
1710887049.0259614,1.2399188319054272e-06,1.5947437714378715e-05,1.7187356546284142e-05,36,7.442746877670288,34,11.594160318374634
1710887049.7339468,9.331546599150583e-07,8.648641054902654e-06,9.581795714817713e-06,38,8.150941371917725,35,12.302145719528198
1710887050.2319503,6.020275218328808e-07,5.525383177439136e-06,6.127410699272016e-06,40,8.64891266822815,36,12.800149202346802
1710887050.5393724,5.563353645084647e-07,4.787057783073772e-06,5.343393147582236e-06,41,8.956383466720581,37,13.107571363449097
1710887051.1849444,4.1286133131354244e-07,2.80725455488915e-06,3.220115886202692e-06,43,9.601948261260986,38,13.753143310546875
1710887051.566664,2.4834474569725224e-07,1.7262629833667294e-06,1.9746077290639816e-06,45,9.98369812965393,39,14.134862899780273
1710887052.0759351,1.536149241931185e-07,1.395035130226321e-06,1.5486500544194395e-06,47,10.49278712272644,40,14.644134044647217
1710887052.6552873,7.95579911100911e-08,9.951739707754778e-07,1.0747319618855688e-06,49,11.072237968444824,41,15.223486185073853
1710887053.1518743,1.0779266539139827e-07,4.529474776493188e-07,5.607401430407171e-07,51,11.568903923034668,42,15.720073223114014
1710887053.7700682,5.210060509519081e-08,3.2731309276541166e-07,3.7941369786060247e-07,53,12.187098026275635,43,16.3382670879364
1710887054.5793884,1.9482158417699802e-08,2.3596340234287635e-07,2.5544556076057615e-07,56,12.99642014503479,44,17.147587299346924
1710887054.927082,1.209282018995716e-08,1.994907173861111e-07,2.1158353757606826e-07,58,13.344117879867554,45,17.495280981063843
