_step,l2_error,loss_interior,time,_runtime,loss_boundary,loss,step,_timestamp
0,1.9592643889362413,48.67366922335172,1.3941969871520996,6.032272815704346,0.012968366003896538,48.68663758935562,0,1714517053.4109778
1,0.7579328362571897,16.380114617608214,1.9357781410217285,6.2046544551849365,2.248851766618793,18.628966384227006,1,1714517053.5833595
2,0.6555706745474119,11.736602185824086,2.1359875202178955,6.4049072265625,0.25835243914166395,11.99495462496575,2,1714517053.7836123
3,0.4903870866149459,8.472092427676166,2.3473029136657715,6.6162269115448,0.1959874847780553,8.668079912454221,3,1714517053.994932
4,0.10751201730574204,3.0464464749840032,2.5663654804229736,6.835334539413452,0.13767617534963533,3.1841226503336384,4,1714517054.2140396
5,0.09052968336118797,0.8819359700019832,2.778001546859741,7.046909809112549,0.022295357231094225,0.9042313272330774,5,1714517054.4256148
6,0.12679872342006435,0.43765434584962815,2.9683291912078857,7.237180948257446,0.016694869453525007,0.45434921530315314,6,1714517054.615886
7,0.0689922551447304,0.24489313733531395,3.1527066230773926,7.422561407089233,0.015354062630646094,0.2602471999659601,7,1714517054.8012664
8,0.06819004453402702,0.15177568505175865,3.3746402263641357,7.643998146057129,0.010890005861438035,0.1626656909131967,8,1714517055.0227032
9,0.0658055611034467,0.10124267249137549,3.618994951248169,7.887582540512085,0.008905250145266793,0.11014792263664228,9,1714517055.2662876
10,0.06415408028023029,0.08390155166690116,3.8634934425354004,8.131985187530518,0.007443042169309656,0.09134459383621082,10,1714517055.5106902
11,0.04646323509609055,0.05585259381812525,4.057743072509766,8.326703310012817,0.005888808954857356,0.0617414027729826,11,1714517055.7054083
12,0.05168886840598615,0.04497305543486786,4.260690450668335,8.529852628707886,0.004732807493075312,0.04970586292794317,12,1714517055.9085577
13,0.04025447942161437,0.03502580511752667,4.441879034042358,8.711163997650146,0.00405694425045117,0.03908274936797784,13,1714517056.089869
14,0.05147586682923092,0.02589879610177933,4.633954763412476,8.90338397026062,0.003090205044396369,0.028989001146175697,14,1714517056.282089
15,0.0281458615861589,0.017200395660847547,4.83543586730957,9.104766607284546,0.0026778765607628472,0.019878272221610396,15,1714517056.4834716
16,0.02811346374795981,0.012176506590875588,5.088157415390015,9.356868743896484,0.0013812731389768775,0.013557779729852466,16,1714517056.7355738
17,0.02104353996242501,0.007872937781334246,5.287004232406616,9.556454420089722,0.0011350751442523043,0.00900801292558655,17,1714517056.9351594
18,0.017463912543286136,0.005900221334929496,5.4925148487091064,9.761999368667603,0.0008031660161146866,0.006703387351044183,18,1714517057.1407044
19,0.019113155953411676,0.0038739448937525466,5.6818530559539795,9.951489210128784,0.0005996326972072699,0.004473577590959817,19,1714517057.3301942
20,0.011408601071594004,0.002783211903754711,5.959449291229248,10.22809648513794,0.0004180724558452286,0.0032012843595999397,20,1714517057.6068015
21,0.013543559459665356,0.0015169596086427226,6.191359519958496,10.460133790969849,0.0002553873838899125,0.0017723469925326352,21,1714517057.8388388
22,0.0087395718343169,0.001088603755027311,6.384599685668945,10.653364181518555,0.0001969331525207707,0.0012855369075480817,22,1714517058.0320692
23,0.007509446394526326,0.0008523032374377647,6.614608526229858,10.883143663406372,0.00013800560472532818,0.0009903088421630928,23,1714517058.2618487
24,0.00693375889692267,0.0006476006187803067,6.811213970184326,11.079968452453613,0.00010522347847605707,0.0007528240972563638,24,1714517058.4586735
25,0.009402117103470534,0.0005527443079106803,7.022169828414917,11.291677713394165,0.00010761610006736635,0.0006603604079780467,25,1714517058.6703827
26,0.004956953570560252,0.0004001773803525707,7.2156596183776855,11.48460602760315,7.157569616331352e-05,0.0004717530765158842,26,1714517058.863311
27,0.00491915293118942,0.0003213519270666487,7.428889989852905,11.697608947753906,4.7488067494609175e-05,0.0003688399945612579,27,1714517059.076314
28,0.004867599592199373,0.00026929000530446015,7.61100697517395,11.880533456802368,5.094823457804863e-05,0.0003202382398825088,28,1714517059.2592385
29,0.003969900062319492,0.00024166187919243552,7.804353713989258,12.073911905288696,4.829392209122267e-05,0.0002899558012836582,29,1714517059.452617
30,0.004032317087884978,0.0001984523137712607,8.045474290847778,12.314581394195557,3.346286687250563e-05,0.00023191518064376635,30,1714517059.6932864
31,0.003248318710553418,0.00016807500109289369,8.254913330078125,12.52400541305542,2.243082213873629e-05,0.00019050582323162997,31,1714517059.9027104
32,0.0030170757216404576,0.00013081687297859348,8.473666191101074,12.742614984512329,1.5236303388937495e-05,0.00014605317636753098,32,1714517060.12132
33,0.002709816500616257,0.00011872066262015822,8.670185804367065,12.939555168151855,1.3206689669150553e-05,0.00013192735228930878,33,1714517060.3182602
34,0.0024945240703945428,0.00010403554303119091,8.879382848739624,13.148330926895142,1.138614287882857e-05,0.00011542168591001947,34,1714517060.527036
