step,_timestamp,loss,l2_error,loss_boundary,loss_interior,_step,_runtime,time
0,1714509866.6758065,48.68663758935562,0.30291790024294873,0.012968366003896538,48.67366922335172,0,8.15638542175293,1.0608899593353271
1,1714509866.686118,47.53087485251351,0.5349634707103431,0.07804690850258511,47.45282794401093,1,8.166696786880493,1.2935304641723633
2,1714509866.692726,45.508629628580984,1.1146078941401287,0.35718308445968644,45.1514465441213,2,8.173304796218872,1.3011786937713623
3,1714509866.6989353,43.03908324483473,1.8425795818200776,1.0710557037742934,41.96802754106044,3,8.179514169692993,1.3073384761810303
4,1714509866.7047355,40.4806147585345,2.6281777775222976,2.4019838154905564,38.07863094304394,4,8.185314416885376,1.3132257461547852
5,1714509866.7105234,38.001400903804004,3.392781553453834,4.392889956315492,33.60851094748851,5,8.191102266311646,1.3187718391418457
6,1714509866.715811,35.55575234511208,4.049091386518167,6.869372024701081,28.686380320411,6,8.19638991355896,1.3241822719573975
7,1714509866.7212024,32.950537551879776,4.494196516047522,9.38786310120796,23.562674450671814,7,8.201781272888184,1.3294577598571777
8,1714509866.72636,29.95198625037432,4.611616519457607,11.242863112857187,18.709123137517132,8,8.206938982009888,1.334700345993042
9,1714509866.7309809,26.377825915035558,4.285841161487458,11.615370850971367,14.76245506406419,9,8.211559772491455,1.339533805847168
10,1714509866.736156,22.1678362879035,3.431363355237789,9.940000447344467,12.227835840559035,10,8.216734886169434,1.34452223777771
11,1714509866.7412207,17.488705890569626,2.052627555833042,6.440057380848961,11.048648509720664,11,8.221799612045288,1.3497288227081299
12,1714509866.7461321,12.945438905367938,0.8281735085350421,2.553965079403396,10.391473825964542,12,8.22671103477478,1.3546228408813477
13,1714509866.7510142,9.949020799944202,2.428398006214127,0.7635056293181451,9.185515170626058,13,8.231593132019043,1.3594861030578613
14,1714509866.7564976,10.850831833232416,4.349504797905053,3.2882867057613776,7.562545127471039,14,8.2370765209198,1.3639278411865234
15,1714509866.7610097,16.338312880328488,5.490364317432712,9.630657170404932,6.707655709923555,15,8.241588592529297,1.3695006370544434
16,1714509866.7653754,20.59722879785767,5.638960328063038,15.348675786739204,5.248553011118468,16,8.245954275131226,1.3739440441131592
17,1714509866.7707033,23.74396434991623,5.404786729455976,16.72764347299058,7.01632087692565,17,8.251282215118408,1.3792164325714111
18,1714509866.775445,26.01140371854553,5.3261168918541895,15.774344990193434,10.237058728352094,18,8.25602388381958,1.3839778900146484
19,1714509866.780545,22.946465669392115,4.111513562520179,14.959815537261695,7.98665013213042,19,8.261123895645142,1.3890736103057861
20,1714509866.7852361,18.255571896530675,2.1196159948992386,9.208754051123563,9.046817845407114,20,8.265815019607544,1.3937482833862305
21,1714509866.789575,19.47495632148309,1.9690668038763721,2.9735873716438457,16.501368949839247,21,8.270153999328613,1.3981177806854248
22,1714509866.7940402,24.247070001017704,1.1527901367877076,1.9585398487168062,22.288530152300897,22,8.274619102478027,1.4025866985321045
23,1714509866.7985656,19.990158564051136,1.413592782709959,0.7299654547557115,19.260193109295425,23,8.279144525527954,1.4070827960968018
24,1714509866.803102,14.45858268193658,2.707383969155705,1.2067110965149799,13.2518715854216,24,8.28368091583252,1.4116017818450928
25,1714509866.8083284,13.096678674934706,3.9193931672712137,3.8052521240312775,9.291426550903429,25,8.288907289505005,1.4168610572814941
26,1714509866.8196006,16.967856516521746,3.3873103778230793,7.371679498111269,9.596177018410478,26,8.300179481506348,1.427755355834961
27,1714509866.8275628,12.343462777822674,2.701289923239618,5.769530811750669,6.5739319660720055,27,8.308141708374023,1.4347822666168213
28,1714509866.8349328,13.307124452695385,2.6486879981279743,3.925274432258631,9.381850020436755,28,8.315511703491211,1.4432642459869385
29,1714509866.8403451,7.833544726620636,2.188366959785441,3.738463635417717,4.095081091202919,29,8.320924043655396,1.448693037033081
30,1714509866.8447661,7.060275565582884,1.3744061951443618,2.821140834650652,4.239134730932232,30,8.325345039367676,1.4533231258392334
31,1714509866.8494275,6.598370858844995,1.283169197691329,1.7550856326497855,4.84328522619521,31,8.33000636100769,1.4579663276672363
32,1714509866.8541946,6.766432822369657,1.3500368738105493,1.7794763610999804,4.986956461269677,32,8.334773540496826,1.4626939296722412
33,1714509866.8587344,4.184829636018781,1.254528060262626,1.8086853085055399,2.376144327513242,33,8.339313268661499,1.4672584533691406
34,1714509866.8631778,6.771442670089042,1.3535445569662925,1.56214295126285,5.209299718826192,34,8.343756675720215,1.4717154502868652
35,1714509866.8678343,8.68531739153124,1.9319897851905716,1.666789690239463,7.018527701291777,35,8.348413228988647,1.4763789176940918
36,1714509866.872244,6.754987213633644,2.5706609756246,2.7391642778565273,4.015822935777116,36,8.35282278060913,1.4807796478271484
37,1714509866.8766537,8.695743998522918,2.5135940020408283,4.306520453200797,4.389223545322122,37,8.357232570648193,1.4851670265197754
38,1714509866.8813195,7.777241169266212,1.8890990174335933,4.208765401622349,3.5684757676438625,38,8.361898422241211,1.4898276329040527
39,1714509866.8859212,5.136635154235906,1.358073385963268,2.684194216952925,2.452440937282981,39,8.36650013923645,1.4944119453430176
40,1714509866.8904974,4.925914310819128,1.1204479812243948,1.5708164522262857,3.3550978585928424,40,8.371076345443726,1.4990134239196777
42,1714509866.8982046,3.9104319890630337,0.7877488360702408,0.8344779714486137,3.07595401761442,41,8.378783464431763,1.5066680908203125
46,1714509866.912141,3.74457711739105,0.7302051866720013,0.49252725856488666,3.252049858826163,42,8.392719984054565,1.5206310749053955
50,1714509866.9275293,4.726812123745749,0.7440186581029771,0.5873422597871325,4.139469863958617,43,8.408108234405518,1.536013126373291
55,1714509866.9453328,4.835375975764349,0.6109491919483321,0.4079298315428251,4.427446144221524,44,8.425911664962769,1.553790807723999
61,1714509866.9651775,3.6467680080613905,1.061699907757091,0.44888746072745483,3.1978805473339356,45,8.445756435394287,1.573676586151123
