l2_error,step,loss,time,_step,_runtime,_timestamp,loss_boundary,loss_interior
0.510595325958401,0,48.68663758935562,1.5425195693969727,0,5.74718976020813,1714358495.0086586,0.012968366003896538,48.67366922335172
0.4358390729491052,1,9.564931570249788,1.8618719577789307,1,5.816925525665283,1714358495.0783944,0.25030053936820684,9.314631030881582
0.5696865063122977,2,9.305325110173658,1.9173688888549805,2,5.874770879745483,1714358495.1362398,0.17395736879171708,9.131367741381942
0.2537893339543359,3,9.237505811400975,1.990661382675171,3,5.945876359939575,1714358495.2073452,0.23595400874708616,9.00155180265389
0.3254961981655662,4,8.989215061041115,2.0466513633728027,4,6.003254652023315,1714358495.2647235,0.08833773506008563,8.90087732598103
0.2515496809199986,5,8.737296487845475,2.1016342639923096,5,6.05701208114624,1714358495.318481,0.07099315805106168,8.666303329794413
0.4289160391480624,6,8.490342801727058,2.1551554203033447,6,6.110465049743652,1714358495.371934,0.06741091614167537,8.422931885585383
0.1577328437714345,7,8.11876630693748,2.2093183994293213,7,6.164805173873901,1714358495.426274,0.08981524247306912,8.028951064464412
0.43626442865205867,8,7.92578728021138,2.263906478881836,8,6.219043731689453,1714358495.4805126,0.03148825502475118,7.894299025186629
0.3624009894832211,9,7.7344439707558825,2.317639112472534,9,6.272558689117432,1714358495.5340276,0.1259656327992511,7.608478337956631
0.616622689831705,10,7.399519724221961,2.370725154876709,10,6.325795650482178,1714358495.5872645,0.06774623765038952,7.331773486571572
0.135258470003306,11,7.335604084037742,2.4241764545440674,11,6.37920618057251,1714358495.640675,0.1686127446071427,7.1669913394305995
0.39476642394148925,12,7.048286907977764,2.479724407196045,12,6.43490195274353,1714358495.6963708,0.024622700192173934,7.023664207785591
0.24871831557755433,13,6.963061631629688,2.5336711406707764,13,6.48867654800415,1714358495.7501454,0.10248771032574956,6.8605739213039385
0.5833211711037882,14,6.706511757886314,2.587188959121704,14,6.542131185531616,1714358495.8036,0.034515366823343024,6.6719963910629705
0.15496698627363248,15,6.6048082660791945,2.6404144763946533,15,6.5953369140625,1714358495.8568058,0.1536076285505071,6.451200637528688
0.34787881528321263,16,6.3697051355964796,2.694016218185425,16,6.6491405963897705,1714358495.9106095,0.024189454490114105,6.345515681106366
0.2021552098412163,17,6.260030036161472,2.747591495513916,17,6.702624797821045,1714358495.9640937,0.08266358791056258,6.177366448250909
0.5518108120884313,18,6.03572368461469,2.80041766166687,18,6.755277872085571,1714358496.0167468,0.024261000133929473,6.011462684480761
0.16981674966771057,19,5.929652865595774,2.8553824424743652,19,6.810587167739868,1714358496.072056,0.14774474506958388,5.7819081205261895
0.2790892774789391,21,5.614288015098353,2.9627180099487305,20,6.917842626571655,1714358496.1793115,0.027221117180069608,5.587066897918283
0.1472042795393421,22,5.43597605879751,3.015199661254883,21,6.970225095748901,1714358496.231694,0.03845693728418051,5.39751912151333
0.16944266506079395,23,5.256252088384843,3.0682923793792725,22,7.023343324661255,1714358496.2848122,0.01625583970622634,5.239996248678617
0.27854748436825666,25,4.9443286440568865,3.1845571994781494,23,7.139683961868286,1714358496.4011528,0.024844648641600204,4.919483995415287
0.193615649282222,27,4.447225211578099,3.289591073989868,24,7.244559288024902,1714358496.5060282,0.017299958635339223,4.429925252942759
0.2986383550100284,28,4.386701062077382,3.3424181938171387,25,7.297414541244507,1714358496.5588834,0.03424697987399125,4.352454082203391
0.14817289753294507,30,4.080288108318055,3.454880714416504,26,7.410052537918091,1714358496.6715214,0.02768768684534538,4.05260042147271
0.2810017316429285,32,3.74135955133613,3.558845043182373,27,7.514006853103638,1714358496.7754757,0.026320244087877503,3.7150393072482526
0.1770400657992163,34,3.3237129675555486,3.6687467098236084,28,7.623732805252075,1714358496.8852017,0.01862338296277073,3.305089584592778
0.1523849756248455,36,3.138441961509963,3.7724618911743164,29,7.72742223739624,1714358496.9888911,0.038742828864769506,3.0996991326451937
0.21758591178967426,39,2.717819057930087,3.9267160892486572,30,7.881768703460693,1714358497.1432376,0.02325453810274898,2.694564519827338
0.21897846978970884,41,2.359891827969406,4.03104043006897,31,7.98613429069519,1714358497.2476032,0.01152758097913917,2.348364246990267
0.19398998127104064,44,2.151795251449976,4.1861865520477295,32,8.141169548034668,1714358497.4026384,0.03791484709133865,2.113880404358637
0.10247969613810909,47,1.5019131971435737,4.339671611785889,33,8.294713735580444,1714358497.5561826,0.014205038569318084,1.4877081585742558
0.18018278309069377,50,1.4354138422422027,4.4940431118011475,34,8.449137449264526,1714358497.7106063,0.025003947376872608,1.41040989486533
0.11505979938626926,53,1.1303385231426208,4.659647464752197,35,8.61464548110962,1714358497.8761144,0.09842479255134522,1.0319137305912756
0.25891373760371283,57,0.7470461547380384,4.864634990692139,36,8.819733381271362,1714358498.0812023,0.025245390847311838,0.7218007638907266
0.1640485034500164,60,0.6764412042464327,5.022397994995117,37,8.977419376373291,1714358498.2388883,0.022790229457615836,0.6536509747888168
0.15969459146010312,64,0.49816091417431213,5.23060941696167,38,9.1858651638031,1714358498.447334,0.024714151840988203,0.47344676233332394
0.19663084224489946,68,0.4410186983212452,5.445079803466797,39,9.400151252746582,1714358498.6616201,0.026591689477594768,0.4144270088436504
0.17238526817760247,73,0.3740630484767179,5.7058045864105225,40,9.661230325698853,1714358498.9226992,0.02899684893163897,0.34506619954507894
0.15140014216345482,77,0.343123522053556,5.914018869400024,41,9.869142055511475,1714358499.130611,0.030085875172767847,0.31303764688078817
0.1625353711669684,82,0.301388452191772,6.1774115562438965,42,10.132524728775024,1714358499.3939936,0.03015514887012328,0.27123330332164874
