loss_interior,time,_timestamp,step,l2_error,loss_boundary,loss,_runtime,_step
48.67366922335172,1.4083802700042725,1714840533.0513797,0,0.40061924894160744,0.012968366003896538,48.68663758935562,5.5237486362457275,0
48.67358985288928,1.7581214904785156,1714840533.0894973,1,1.0848743624782167,0.01297018351992,48.6865600364092,5.561866283416748,1
15.142805677379142,1.7959964275360107,1714840533.1272693,2,0.7260449787674184,0.700824365667172,15.843630043046314,5.599638223648071,2
12.10208265617592,1.8335180282592773,1714840533.1647813,3,0.5685650109262668,0.4275186169198086,12.529601273095729,5.637150287628174,3
9.656094599778472,1.8741257190704346,1714840533.2054398,4,0.9529129700323284,0.3181320147790631,9.974226614557535,5.67780876159668,4
12.353542109215057,1.9248008728027344,1714840533.256123,5,0.44037704835522024,0.38461853776748023,12.738160646982537,5.728492021560669,5
6.480003613251023,1.95674729347229,1714840533.288355,6,0.31539556712551187,0.11517931345234021,6.595182926703363,5.760724067687988,6
5.234808778878347,1.9892237186431885,1714840533.3205593,7,0.22369137016714347,0.06332158382806859,5.298130362706416,5.792928218841553,7
3.370927738629123,2.021260976791382,1714840533.3527246,8,0.08271256091810507,0.05193814470504804,3.4228658833341714,5.825093507766724,8
2.6261006582903943,2.053617238998413,1714840533.3850784,9,0.12079334410304515,0.012197585491765351,2.6382982437821596,5.857447385787964,9
1.5499980001447486,2.085568428039551,1714840533.4187603,10,0.08809592234375346,0.01544425749043881,1.5654422576351874,5.8911292552948,10
1.1354570247282516,2.1217010021209717,1714840533.4535978,11,0.12085704219529264,0.013579844763314933,1.1490368694915665,5.925966739654541,11
0.9248871892128804,2.155458450317383,1714840533.4876451,12,0.1668334082605074,0.021569642398439785,0.9464568316113202,5.96001410484314,12
0.6403074896397273,2.19105863571167,1714840533.5231478,13,0.17065148946105785,0.03866826226624616,0.6789757519059735,5.995516777038574,13
0.5430593969972775,2.225633382797241,1714840533.5575283,14,0.18624207896383838,0.03916739623829337,0.5822267932355708,6.029897212982178,14
0.40606644514641427,2.2596328258514404,1714840533.5915372,15,0.16278091996723965,0.04404586985737598,0.45011231500379023,6.063906192779541,15
0.3199018652672247,2.2930963039398193,1714840533.6249847,16,0.11855475627798163,0.037032778471123,0.3569346437383477,6.09735369682312,16
0.25766635286331757,2.3266913890838623,1714840533.658573,17,0.09740875995529999,0.023549980938990134,0.2812163338023077,6.130941867828369,17
0.18937176167314987,2.3607594966888428,1714840533.6926477,18,0.09324137206593869,0.01822086396915264,0.20759262564230252,6.1650166511535645,18
0.17138580759626482,2.395697593688965,1714840533.7278624,19,0.08741451183892669,0.016600061223909463,0.1879858688201743,6.200231313705444,19
0.16281710689638368,2.4301278591156006,1714840533.76206,20,0.08579686899996315,0.014620710091563243,0.17743781698794692,6.234428882598877,20
0.15564532527538552,2.465935468673706,1714840533.7981951,21,0.09515774030851328,0.013383899934879024,0.16902922521026453,6.270564079284668,21
0.1456798887338586,2.501199722290039,1714840533.8325827,22,0.102306968367043,0.013610784540653875,0.15929067327451246,6.3049516677856445,22
0.1387582219675523,2.533322334289551,1714840533.8648388,23,0.10107184872538849,0.014059620205110583,0.1528178421726629,6.337207794189453,23
0.13318191259314444,2.565094232559204,1714840533.8965278,24,0.09372254483894721,0.014150679550194329,0.14733259214333877,6.368896722793579,24
0.1230937210143355,2.5965423583984375,1714840533.9279797,25,0.0955611191287216,0.014439312839187103,0.13753303385352258,6.400348663330078,25
0.10773145358768176,2.6281321048736572,1714840533.9596105,26,0.10163768033757495,0.016438214597337197,0.12416966818501896,6.431979417800903,26
0.09556700570667379,2.660329580307007,1714840533.991811,27,0.09984952479894148,0.017731019244084444,0.11329802495075823,6.464179992675781,27
0.08924253802402503,2.7048890590667725,1714840534.0363736,28,0.09476086844127972,0.017470042012810705,0.10671258003683573,6.508742570877075,28
0.08320533324140966,2.7367911338806152,1714840534.0681796,29,0.11766270631126638,0.014384860460032303,0.09759019370144197,6.54054856300354,29
0.07119004373616242,2.768047332763672,1714840534.0994864,30,0.12201665922808726,0.013565001070565033,0.08475504480672745,6.571855306625366,30
0.06540680801866788,2.7997782230377197,1714840534.1312804,31,0.09838516480168985,0.013310243213648846,0.07871705123231673,6.603649377822876,31
0.060437961643701854,2.8419342041015625,1714840534.1734169,32,0.06446480895360111,0.010673195433159796,0.07111115707686165,6.645785808563232,32
0.05603300955063727,2.8806371688842773,1714840534.212603,33,0.06042131612220168,0.007815238753147003,0.06384824830378427,6.684972047805786,33
0.05194022277855203,2.9143872261047363,1714840534.2462027,34,0.06076579507393275,0.007476881587247818,0.05941710436579985,6.718571662902832,34
0.04998319188532959,2.9543511867523193,1714840534.2862542,35,0.05676815017422569,0.007201882651654655,0.057185074536984244,6.758623123168945,35
0.047804596623917575,2.9878580570220947,1714840534.3197103,36,0.06303042487457332,0.006515027676043265,0.05431962429996084,6.792079210281372,36
0.04457992623264215,3.020955801010132,1714840534.3522186,37,0.0742550606580249,0.006115546220163366,0.050695472452805514,6.82458758354187,37
0.04152969798800068,3.0528290271759033,1714840534.384522,38,0.07819888446282736,0.006578087087570411,0.04810778507557109,6.856890916824341,38
0.03906067439869318,3.08522367477417,1714840534.4166343,39,0.06214305711978863,0.006751218561762261,0.04581189296045544,6.889003276824951,39
0.03660288003964789,3.116211175918579,1714840534.4475605,40,0.05491716577423237,0.005790638122609979,0.04239351816225787,6.919929504394531,40
0.03255096447376329,3.177656650543213,1714840534.5091817,42,0.0599407503283576,0.005815954018813359,0.038366918492576646,6.981550693511963,41
