_runtime,_timestamp,loss,step,time,l2_error,_step,loss_boundary,loss_interior
5.527528285980225,1715364774.4056313,48.92347435353573,0,1.398451328277588,0.40320503625596404,0,0.012797832097621838,48.91067652143811
5.562351942062378,1715364774.440455,48.92336413639658,1,1.7476015090942383,1.1213046931356367,1,0.012798355436047196,48.91056578096053
5.594241142272949,1715364774.4723442,48.991966595465776,2,1.7795605659484863,0.8746009514114008,2,1.3470232816497605,47.644943313816015
5.626075983047485,1715364774.504179,4.575834673295176,3,1.8113930225372314,0.5958155041871266,3,0.5824988337865273,3.9933358395086485
5.657709360122681,1715364774.5358124,2.2286124861972825,4,1.8430428504943848,0.5447606935357622,4,0.37236575250532944,1.8562467336919533
5.6882758140563965,1715364774.5663788,1.3901363459626919,5,1.8736987113952637,0.5177659026927571,5,0.3127717988952969,1.077364547067395
5.718790054321289,1715364774.596893,1.2190231335928452,6,1.9042682647705078,0.43136404067023404,6,0.27509525022020487,0.9439278833726403
5.754646062850952,1715364774.632749,0.5685935412326546,7,1.940053939819336,0.3268637660176729,7,0.2062597751236168,0.36233376610903784
5.784831523895264,1715364774.6629345,1.207763298160502,8,1.970315933227539,0.34061299804634426,8,0.1308889563192238,1.0768743418412783
5.8150458335876465,1715364774.6931489,0.31990926713806256,9,2.000528335571289,0.35056662335063543,9,0.1213736948539969,0.19853557228406568
5.846140623092651,1715364774.7242436,0.2664432434274928,10,2.030369997024536,0.2614501881716835,10,0.12656683943219035,0.1398764039953025
5.873396396636963,1715364774.7514994,0.31679539196442585,11,2.058854341506958,0.3191169566971084,11,0.08723953576017383,0.22955585620425203
5.901892185211182,1715364774.7799952,0.38083683084016723,12,2.0872204303741455,0.24934261114239098,12,0.10497611915362576,0.27586071168654147
5.931103229522705,1715364774.8092062,0.11622661880162374,13,2.116410970687866,0.34953887498483976,13,0.07994150699239018,0.03628511180923357
5.960204124450684,1715364774.8383071,0.23725200280126468,14,2.145474433898926,0.2533357215078857,14,0.08921965958146297,0.14803234321980172
5.989556312561035,1715364774.8676593,0.0842214060883512,15,2.1747913360595703,0.30112731234421325,15,0.06479592657280768,0.019425479515543524
6.018848419189453,1715364774.8969514,0.09269358746608164,16,2.204164981842041,0.2595366957781464,16,0.07080186166640964,0.021891725799672003
6.048931121826172,1715364774.9270341,0.06548120600765167,17,2.234215021133423,0.3667103351664279,17,0.05867398681424182,0.006807219193409849
6.081925868988037,1715364774.960029,0.19842366268709444,18,2.2671899795532227,0.24863617912255856,18,0.07738726302472376,0.12103639966237069
6.1093995571136475,1715364774.9875026,0.06097334164167556,19,2.2948665618896484,0.25302222220649845,19,0.04825949662276065,0.01271384501891491
6.136314392089844,1715364775.0144174,0.07996229450853973,20,2.32181715965271,0.23516271434940633,20,0.04741623169544047,0.032546062813099255
6.163150310516357,1715364775.0412533,0.045434737976179695,21,2.348720073699951,0.1587385687010407,21,0.04062393553821487,0.004810802437964826
6.190975904464722,1715364775.069079,0.14154026638916645,22,2.376302480697632,0.15569507548104067,22,0.030255070297661234,0.11128519609150522
6.2245166301727295,1715364775.1026196,0.03120467564610479,23,2.4097719192504883,0.2479968607018651,23,0.027106702499258346,0.004097973146846441
6.261728048324585,1715364775.139831,0.19405940851056974,24,2.4470229148864746,0.20493153040593118,24,0.037972778453847514,0.15608663005672224
6.290545225143433,1715364775.1686482,0.048401522787568374,25,2.475872278213501,0.2209505622120794,25,0.030861748509369197,0.01753977427819918
6.319586992263794,1715364775.19769,0.03711969288386246,26,2.504891872406006,0.16479429847407176,26,0.03377795709106547,0.0033417357927969836
6.349510431289673,1715364775.2276134,0.028389974292455662,27,2.5347697734832764,0.09434394074527182,27,0.02163212528221677,0.006757849010238891
6.380165338516235,1715364775.2582684,0.013551189933909533,28,2.5654029846191406,0.07294913032448708,28,0.009927626767056648,0.003623563166852885
6.409971475601196,1715364775.2880745,0.00883808612267463,29,2.595327377319336,0.06867172456136857,29,0.007130215162579743,0.001707870960094886
6.439402341842651,1715364775.3175054,0.007660658906669924,30,2.624372959136963,0.06195982565219041,30,0.006224602894330779,0.001436056012339145
6.469018936157227,1715364775.347122,0.00910302794313408,31,2.6543264389038086,0.05457281852018733,31,0.005217768860594625,0.0038852590825394534
6.4982826709747314,1715364775.3763857,0.0066047398228201385,32,2.683565855026245,0.05236228471969897,32,0.003993048547612452,0.0026116912752076863
6.527869701385498,1715364775.4059727,0.004209221672347215,33,2.7131705284118652,0.04763961570797438,33,0.0036614356045408464,0.0005477860678063691
6.56079363822937,1715364775.4388967,0.004152321581985231,34,2.74613618850708,0.038058271928581064,34,0.003133467337032127,0.0010188542449531047
6.588274955749512,1715364775.466378,0.006074066983871296,35,2.773742437362671,0.036987913849822855,35,0.0024797885925280923,0.003594278391343204
6.616438627243042,1715364775.4945416,0.0026901329025407266,36,2.801767349243164,0.03993382149213072,36,0.0023207901177258266,0.0003693427848149002
6.645829677581787,1715364775.5239327,0.004036454410328388,37,2.831141948699951,0.03647174052134605,37,0.002600748100549326,0.0014357063097790617
6.675234794616699,1715364775.5533378,0.0026044444048988332,38,2.8605661392211914,0.035101790912090015,38,0.002257116778923106,0.0003473276259757269
6.70504903793335,1715364775.583152,0.002520790687432192,39,2.890115261077881,0.033770226995991574,39,0.002090344736594175,0.00043044595083801694
6.734394311904907,1715364775.6124973,0.006119656472436709,40,2.9197206497192383,0.02969875193467144,40,0.0011184068941059873,0.005001249578330722
6.802175521850586,1715364775.6802785,0.0011033341482483646,42,2.987445116043091,0.022887199142593524,41,0.0009337938022369621,0.00016954034601140248
