_step,_runtime,loss_interior,l2_error,loss_boundary,loss,step,time,_timestamp
0,4.64504337310791,48.673674241041596,1.6549567234228586,0.012968360244833192,48.68664260128643,0,1.234513282775879,1712766198.6306233
1,4.77286958694458,29.510895783576093,1.0562866675146034,1.8899995565365058,31.400895340112598,1,1.362771987915039,1712766198.7584496
2,4.895519733428955,12.09957226255872,1.2766705165749235,0.8249281770679073,12.924500439626627,2,1.48545241355896,1712766198.8810997
3,5.016304969787598,6.785669232492414,0.7357432491926796,1.082284327460631,7.867953559953046,3,1.6062541007995605,1712766199.001885
4,5.180292129516602,5.753717701460448,0.6722721363013551,0.5151202740641256,6.268837975524574,4,1.7699460983276367,1712766199.165872
5,5.339444875717163,5.105719674277708,0.6331746760019572,0.42717448548206194,5.53289415975977,5,1.9293622970581055,1712766199.3250248
6,5.494046449661255,4.7294098068058235,0.5759398429347202,0.43074640541054626,5.1601562122163696,6,2.0839791297912598,1712766199.4796264
7,5.616192579269409,4.334302500185342,0.5594345247528568,0.3363704280542664,4.6706729282396084,7,2.206120729446411,1712766199.6017725
8,5.738112211227417,4.1227626999810125,1.2365436418023807,0.33603678070509846,4.458799480686111,8,2.3280680179595947,1712766199.7236922
9,5.861195087432861,2.5622618885365416,0.5350261705522517,0.7279305085170409,3.2901923970535822,9,2.4498674869537354,1712766199.846775
10,5.985324382781982,2.450975689071159,0.6549973765575042,0.1642490146248905,2.6152247036960494,10,2.575193405151367,1712766199.9709044
11,6.141329050064087,2.208985091934915,0.372127288828509,0.2131699249015675,2.4221550168364825,11,2.7312488555908203,1712766200.126909
12,6.263935804367065,2.1842476973720384,0.38900251846153244,0.0808315456856516,2.26507924305769,12,2.853870391845703,1712766200.2495158
13,6.387631893157959,2.0639232653098643,0.15343942762772306,0.07983501788086662,2.143758283190731,13,2.9775259494781494,1712766200.3732119
14,6.539945125579834,2.0394780685780325,0.2859348060646781,0.023042883492137692,2.0625209520701704,14,3.1298274993896484,1712766200.525525
15,6.704887390136719,1.944852893838881,0.12506311330636452,0.04566758870905212,1.990520482547933,15,3.2947561740875244,1712766200.6904674
16,6.8664960861206055,1.899170565789467,0.18944541202169965,0.018527767699852836,1.9176983334893198,16,3.4563844203948975,1712766200.852076
17,7.039340257644653,1.8335181031666807,0.10550123957983037,0.025844999642921956,1.8593631028096027,17,3.6291732788085938,1712766201.0249202
18,7.170725584030151,1.7727654456161217,0.15396426078104675,0.017016153935584775,1.7897815995517066,18,3.7606654167175293,1712766201.1563056
19,7.291781425476074,1.7169672406982144,0.12416104949883112,0.020887005123007504,1.7378542458212218,19,3.881697177886963,1712766201.2773614
20,7.5628509521484375,1.565256887852096,0.13390398541180443,0.020896164944592913,1.586153052796689,21,4.152719259262085,1712766201.548431
21,7.716930150985718,1.4970313792528032,0.14132166810015723,0.02376476218517551,1.5207961414379787,22,4.306833505630493,1712766201.70251
22,7.83739709854126,1.4462328130255602,0.21252214078216353,0.022404234448945917,1.468637047474506,23,4.427352666854858,1712766201.822977
23,8.083117008209229,1.1394710003810085,0.17763239755308047,0.033722880334432596,1.173193880715441,25,4.6729209423065186,1712766202.068697
24,8.395469427108765,1.078437706871788,0.2099965161609291,0.0345472236661356,1.1129849305379236,27,4.9853057861328125,1712766202.3810494
25,8.556589603424072,0.8399523944382764,0.19842982980968982,0.04088075519478426,0.8808331496330607,28,5.14624810218811,1712766202.5421696
26,8.872836351394653,0.7526205635675547,0.20038243291775862,0.048601291642851645,0.8012218552104063,30,5.4627039432525635,1712766202.8584163
27,9.19891357421875,0.734024911523943,0.20655466831472635,0.044289354201460865,0.7783142657254039,32,5.788770914077759,1712766203.1844935
28,9.497113227844238,0.6477377796489239,0.209286460578682,0.03940907328943914,0.687146852938363,34,6.08692741394043,1712766203.4826932
29,9.784242868423462,0.6414859457189239,0.1665023846312194,0.02737887046287595,0.6688648161817998,36,6.374101877212524,1712766203.7698228
30,10.265307664871216,0.5608697095527125,0.1595911388000961,0.028475161545100134,0.5893448710978126,39,6.855140924453735,1712766204.2508876
31,10.560193538665771,0.5340450824311869,0.15205237112150377,0.02624754482901988,0.5602926272602068,41,7.149879217147827,1712766204.5457735
32,10.998636722564697,0.4932923363786518,0.14081329621494754,0.02415598154032761,0.5174483179189794,44,7.58850884437561,1712766204.9842167
33,11.359553098678589,0.40452672284070273,0.13005514908073437,0.01888656388773609,0.4234132867284388,47,7.949432611465454,1712766205.345133
34,11.720970153808594,0.38458370189867663,0.11959772315185123,0.016905544223289562,0.4014892461219662,50,8.309826612472534,1712766205.7065501
35,12.074919700622559,0.364726915987634,0.11686997947069641,0.016252290250896716,0.3809792062385307,53,8.664873838424683,1712766206.0604997
36,12.553196907043457,0.33913086911240004,0.11374217998189588,0.014942349391890482,0.3540732185042905,57,9.143134117126465,1712766206.5387769
37,12.918414115905762,0.32183859488831357,0.10621226486740176,0.013737131127254616,0.3355757260155682,60,9.508349657058716,1712766206.903994
38,13.401018857955933,0.29930958867685503,0.10190058754877444,0.012841506233143696,0.3121510949099987,64,9.990674018859863,1712766207.3865988
39,13.877243041992188,0.2744861263775458,0.09751175263381523,0.0118508383118968,0.28633696468944264,68,10.467188119888306,1712766207.862823
40,14.468777894973755,0.24887301836800096,0.09337154593348605,0.011403077814074746,0.2602760961820757,73,11.058596134185791,1712766208.4543579
41,14.942728996276855,0.22423827306357286,0.08844657369634897,0.010581835292418703,0.23482010835599157,77,11.532659530639648,1712766208.928309
