loss_interior,time,l2_error,_timestamp,loss_boundary,step,_runtime,loss,_step
48.673674241041596,1.650486707687378,2.1731556459687846,1712771874.1429188,0.012968360244833192,0,5.334331750869751,48.68664260128643,0
15.518915762772146,1.7082865238189697,0.733375991268317,1712771874.200222,2.766140824104326,1,5.391634941101074,18.285056586876472,1
10.194583969122093,1.7662365436553955,0.8252887491703462,1712771874.2580066,0.5300602956527509,2,5.4494194984436035,10.724644264774843,2
8.55949894715494,1.8200936317443848,0.5536984356400205,1712771874.3118892,0.49725882499770574,3,5.503302097320557,9.056757772152647,3
7.915026650669657,1.8747084140777588,0.7264581936986355,1712771874.3666348,0.30868476192752975,4,5.558047771453857,8.223711412597186,4
7.0258507586745855,1.9284682273864746,0.5253487318511021,1712771874.4202247,0.35198777648270907,5,5.611637592315674,7.377838535157295,5
6.1930446626076625,1.9817185401916504,0.8207647956184476,1712771874.4734797,0.22570931794538107,6,5.664892673492432,6.418753980553044,6
5.388219862193279,2.0348448753356934,0.6237849407593027,1712771874.5265818,0.3604526863169672,7,5.717994689941406,5.748672548510246,7
4.73675947757937,2.0878419876098633,0.6921536912722858,1712771874.5809014,0.24053949073557945,8,5.7723143100738525,4.977298968314949,8
2.7530473163656803,2.1425561904907227,0.6103156513916742,1712771874.634248,0.272966241133281,9,5.825660943984985,3.0260135574989615,9
2.434924751812094,2.196337938308716,0.5623650898698257,1712771874.6881218,0.222446433701066,10,5.879534721374512,2.65737118551316,10
1.4554007905639696,2.2501256465911865,0.43021745848101334,1712771874.741861,0.21887749881067825,11,5.933274030685425,1.674278289374648,11
1.2066216605068179,2.3033666610717773,0.4205608125231067,1712771874.7950597,0.1537700484294977,12,5.9864726066589355,1.3603917089363156,12
1.0707426833958125,2.3562967777252197,0.3896073286060417,1712771874.8480573,0.1490130702087003,13,6.039470195770264,1.2197557536045127,13
0.9825129914636114,2.4100024700164795,0.37537393683962816,1712771874.9017751,0.13550673875714367,14,6.093188047409058,1.118019730220755,14
0.9136093400568917,2.4634923934936523,0.34019730862250247,1712771874.9551787,0.13076583212575354,15,6.146591663360596,1.044375172182645,15
0.7529640121246358,2.5171098709106445,0.3255153012275477,1712771875.0088418,0.12234013483721679,16,6.200254678726196,0.8753041469618525,16
0.6833844065561988,2.571418046951294,0.28415415725191906,1712771875.0631382,0.1172385041443021,17,6.25455117225647,0.800622910700501,17
0.5446110854610656,2.624976634979248,0.28579387616185387,1712771875.116711,0.10525222446487605,18,6.308123826980591,0.6498633099259417,18
0.5084677190152123,2.6782612800598145,0.28052605932469443,1712771875.1699326,0.10594941429559838,19,6.361345529556274,0.6144171333108106,19
0.4827341897768839,2.782313585281372,0.26124601492627564,1712771875.2740111,0.09867475376236644,21,6.465424060821533,0.5814089435392503,20
0.46875286803134497,2.8370895385742188,0.2555561143280766,1712771875.328944,0.09322392360794804,22,6.520356893539429,0.561976791639293,21
0.457699122878284,2.890320301055908,0.2378331573050458,1712771875.3820038,0.09025934457298007,23,6.573416709899902,0.5479584674512641,22
0.4277948492693406,2.9933507442474365,0.20386899998012448,1712771875.485091,0.07868856193557555,25,6.676503896713257,0.5064834112049161,23
0.39502635426811306,3.09670090675354,0.17958748603621466,1712771875.5884635,0.06255464125237217,27,6.779876470565796,0.45758099552048526,24
0.3848739720747628,3.150005340576172,0.17900201645501548,1712771875.6417174,0.052097168125933666,28,6.833130359649658,0.4369711402006965,25
0.37268162568273117,3.252368688583374,0.1737678194957409,1712771875.744135,0.05084383731733813,30,6.935547828674316,0.4235254630000693,26
0.3678998388325099,3.3555257320404053,0.169340252487085,1712771875.8472607,0.048631593586433104,32,7.038673639297485,0.41653143241894297,27
0.3625030730847563,3.4579010009765625,0.1629172177081671,1712771875.9496808,0.04580557993570055,34,7.141093730926514,0.4083086530204569,28
0.35687772053725875,3.5619113445281982,0.15752905082509736,1712771876.0536976,0.04345113062511044,36,7.245110511779785,0.40032885116236916,29
0.3440113728686502,3.723126173019409,0.14337817661253258,1712771876.2149193,0.039453667842558465,39,7.40633225440979,0.3834650407112087,30
0.33592578550916724,3.8269503116607666,0.09710021681697092,1712771876.3187315,0.0369148878872437,41,7.510144472122192,0.3728406733964109,31
0.2653797894747197,3.9796862602233887,0.09681496643592705,1712771876.4714549,0.019513906192699784,44,7.662867784500122,0.28489369566741946,32
0.2620040666345411,4.133684873580933,0.09829430387884715,1712771876.625458,0.019196533498772535,47,7.816870927810669,0.28120060013331366,33
0.2600801749979457,4.2863359451293945,0.09714524067617993,1712771876.7780898,0.01920193640948223,50,7.969502687454224,0.279282111407428,34
0.25845580754862724,4.4380364418029785,0.09583730214181531,1712771876.9297576,0.01901631700064091,53,8.12117052078247,0.2774721245492682,35
0.25627155837179877,4.642280578613281,0.09464274978214245,1712771877.1340618,0.018925523406070233,57,8.325474739074707,0.275197081777869,36
0.2539075823648941,4.795447111129761,0.09424479278100933,1712771877.2872562,0.018894352122401314,60,8.478669166564941,0.2728019344872954,37
0.25060516739745753,5.001232862472534,0.09331189690343179,1712771877.4930537,0.018728249410059683,64,8.68446660041809,0.2693334168075172,38
0.24593933063853468,5.206764459609985,0.09255646219466564,1712771877.698606,0.01845816063039692,68,8.890018939971924,0.2643974912689316,39
0.22835160281996145,5.461666107177734,0.09403561062469387,1712771877.9534373,0.017365707744175604,73,9.144850254058838,0.24571731056413704,40
0.2240051813746822,5.665186166763306,0.09095384448337268,1712771878.157004,0.01716681190210335,77,9.348417043685913,0.24117199327678554,41
