_step,time,_timestamp,loss_interior,step,_runtime,loss_boundary,loss,l2_error
0,1.0736453533172607,1714511928.8340878,48.67366922335172,0,5.2093517780303955,0.012968366003896538,48.68663758935562,4.932032700752098
1,1.3506741523742676,1714511928.9009392,17.648761846190702,1,5.276203155517578,13.283130143653473,30.931891989844175,0.8771669384849295
2,1.433023452758789,1714511928.9832852,13.325901555315731,2,5.358549118041992,0.7119483037230381,14.037849859038769,0.5987116543862273
3,1.5382072925567627,1714511929.0884478,9.495608595283576,3,5.463711738586426,0.12480385018704408,9.62041244547062,0.7007526657536433
4,1.6850790977478027,1714511929.235342,8.015783423139476,4,5.610605955123901,0.3162116215119622,8.331995044651439,0.400519080880345
5,1.8263499736785889,1714511929.3767827,5.0796126304748315,5,5.752046585083008,0.12418500808228412,5.203797638557115,0.2903363482945589
6,1.9813196659088135,1714511929.5317013,1.429506076688325,6,5.906965255737305,0.09277806946580656,1.5222841461541314,0.21304755057540398
7,2.1407957077026367,1714511929.691038,0.5162474164427308,7,6.0663018226623535,0.05888165706571886,0.5751290735084497,0.19016303803889675
8,2.321324586868286,1714511929.8715513,0.351449585769115,8,6.246815204620361,0.048696959848819624,0.4001465456179346,0.18182915827394688
9,2.4913454055786133,1714511930.0416288,0.3271805097067232,9,6.416892766952515,0.043135477078018125,0.3703159867847413,0.13224417319261886
10,2.703960657119751,1714511930.2542346,0.05201431955209134,10,6.629498481750488,0.02328210617722989,0.07529642572932123,0.10564767707810334
11,2.9416518211364746,1714511930.491852,0.02787046994034291,11,6.8671159744262695,0.0165375814321778,0.04440805137252071,0.10240147727395661
12,3.1409668922424316,1714511930.6912215,0.024604431995713393,12,7.066485404968262,0.01509168018616706,0.039696112181880454,0.10017765419569136
13,3.354978561401367,1714511930.9052143,0.017979826746976225,13,7.280478239059448,0.013907250382096451,0.031887077129072676,0.09865315651258924
14,3.607530117034912,1714511931.157797,0.01041735387765743,14,7.5330610275268555,0.01319062118708231,0.023607975064739738,0.08337394035765007
15,3.8959391117095947,1714511931.4461725,0.004372515058151769,15,7.821436405181885,0.009733049844645913,0.014105564902797681,0.07227231370992239
16,4.140306711196899,1714511931.6905372,0.003462886650752181,16,8.06580114364624,0.007464960125194633,0.010927846775946813,0.05333787749033571
17,4.425591945648193,1714511931.9758472,0.0014109707702791951,17,8.35111117362976,0.004232342610545087,0.005643313380824282,0.040202256398186205
18,4.738677978515625,1714511932.2889178,0.0008651344348128014,18,8.66418170928955,0.002443028382106609,0.00330816281691941,0.030340908875326967
19,5.021821975708008,1714511932.5721118,0.0006133879646885893,19,8.947375774383545,0.001392866115571754,0.0020062540802603434,0.022444846578958517
20,5.307052135467529,1714511932.8572986,0.00048493419482435155,20,9.23256254196167,0.0007344710997098563,0.0012194052945342078,0.016056354720361047
21,5.578117847442627,1714511933.128373,0.00037506036783088243,21,9.503636837005615,0.00036870028408610443,0.0007437606519169869,0.01130511447102616
22,5.841643571853638,1714511933.3918817,0.00025702927758515374,22,9.76714563369751,0.00019066169524687703,0.0004476909728320308,0.008645524521716316
23,6.108968734741211,1714511933.659197,0.0002141155288795078,23,10.03446102142334,0.00012167416277062562,0.0003357896916501334,0.007560887264547636
24,6.430755853652954,1714511933.9810205,0.0001718815502839659,24,10.356284379959106,8.595001031828941e-05,0.0002578315606022553,0.005892712860315181
25,6.7428343296051025,1714511934.2930999,0.00014867163994256296,25,10.668363809585571,5.620613475766817e-05,0.0002048777747002311,0.004079736799846038
26,7.0577733516693115,1714511934.6080403,0.0001310132414394284,26,10.983304262161255,2.8235607716265958e-05,0.00015924884915569435,0.0029726599847940934
27,7.368591070175171,1714511934.9188578,0.00011850480800880235,27,11.294121742248535,1.752252864635345e-05,0.0001360273366551558,0.0026390801330007964
28,7.605820417404175,1714511935.1561298,0.00010357529411603679,28,11.531393766403198,1.4906864281102001e-05,0.0001184821583971388,0.0026062909443741182
29,7.914404392242432,1714511935.4646866,9.323911069075236e-05,29,11.839950561523438,1.5032389284127268e-05,0.00010827149997487963,0.0025492082544104396
30,8.113301038742065,1714511935.663574,8.643391472964116e-05,30,12.038837909698486,1.5056086771343767e-05,0.00010149000150098493,0.0024709704594710357
31,8.251580715179443,1714511935.8018346,8.563951581244722e-05,31,12.177098512649536,1.4206778047951205e-05,9.984629386039842e-05,0.0024612097768362297
32,8.55443000793457,1714511936.1047118,8.27582942405683e-05,32,12.479975700378418,1.3744111388951725e-05,9.650240562952002e-05,0.0025350421041364624
33,8.726690292358398,1714511936.276968,7.709339821527333e-05,33,12.652231931686401,1.3880155835032095e-05,9.097355405030542e-05,0.002620586874504534
34,8.8992919921875,1714511936.4495752,7.183683744344808e-05,34,12.824839115142822,1.4420740345000441e-05,8.625757778844853e-05,0.002799073547476992
35,9.209526538848877,1714511936.759808,7.088837083644314e-05,35,13.135071992874146,1.5799233491547652e-05,8.668760432799079e-05,0.0029730005892670366
36,9.388452053070068,1714511936.9387102,6.723518746205439e-05,36,13.313974142074585,1.719314305744571e-05,8.44283305195001e-05,0.003093072584968196
37,9.55883526802063,1714511937.1091163,6.542787592692058e-05,37,13.48438024520874,1.8223831791053175e-05,8.365170771797376e-05,0.0032165492779041697
38,9.87082028388977,1714511937.4210656,6.151035993779094e-05,38,13.796329498291016,1.9145134424288284e-05,8.065549436207922e-05,0.0033108778322760686
39,10.045111179351807,1714511937.595335,5.638942582029116e-05,39,13.970598936080933,1.9757479414806452e-05,7.614690523509761e-05,0.0033108147723388314
40,10.225100040435791,1714511937.7753587,5.382855811318311e-05,40,14.150622606277466,1.9815005059429576e-05,7.364356317261268e-05,0.0033310353861889523
41,10.746805906295776,1714511938.2970722,4.723972129427787e-05,42,14.672336101531982,1.989635716131784e-05,6.713607845559571e-05,0.0032943385136373665
42,11.612101554870605,1714511939.162352,3.6906844642763204e-05,46,15.53761601448059,1.722204031031409e-05,5.41288849530773e-05,0.0030240053752650896
43,12.460025072097778,1714511940.0103068,2.810994483221369e-05,50,16.385570764541626,1.2490945111612238e-05,4.0600889943825926e-05,0.0025275066266692747
44,13.723227500915527,1714511941.2734919,1.7124214193521888e-05,55,17.6487557888031,7.805490264230914e-06,2.4929704457752804e-05,0.0019764532078097065
45,15.503994941711426,1714511943.0542724,1.2461927077621607e-05,61,19.42953634262085,5.121468129933658e-06,1.7583395207555264e-05,0.0015943410035968645
46,17.09140920639038,1714511944.6416872,8.888038486644182e-06,67,21.016951084136963,3.767279561362359e-06,1.265531804800654e-05,0.0013765278279030226
47,18.68539333343506,1714511946.2356615,6.830082672761844e-06,73,22.610925436019897,2.089379890224305e-06,8.919462562986148e-06,0.001023885149745746
48,20.782421350479126,1714511948.3330305,5.049312639760319e-06,81,24.70829439163208,7.698722753522858e-07,5.819184915112604e-06,0.0006894208405291547
49,22.831139087677002,1714511950.3813965,2.20252948386197e-06,89,26.75666046142578,3.1783963240442317e-07,2.520369116266393e-06,0.0003963437615569031
50,24.986836194992065,1714511952.5370977,1.0471893143504934e-06,98,28.91236162185669,6.760265751396295e-07,1.723215889490123e-06,0.0006201324067816234
51,27.442836046218872,1714511954.9931076,3.5499649060481553e-07,107,31.36837148666382,8.08235387791296e-07,1.1632318783961115e-06,0.0006726649405962365
52,30.80675768852234,1714511958.3570223,1.4107773122965143e-07,118,34.73228621482849,1.092409162118513e-07,2.5031864744150274e-07,0.00018724249284310916
53,34.14319396018982,1714511961.693537,6.984658781586292e-08,130,38.068800926208496,4.343776381572468e-08,1.132843516315876e-07,0.00017053758746352586
54,37.193525075912476,1714511964.7440114,3.600000417553895e-08,143,41.11927533149719,1.0184133731811383e-08,4.618413790735033e-08,6.733039214600671e-05
55,41.2196478843689,1714511968.769961,2.4553343414825265e-08,157,45.145225048065186,8.280895145194145e-09,3.283423856001941e-08,6.474749572464926e-05
56,45.08057999610901,1714511972.6308784,1.6219180287203487e-08,172,49.006142377853394,2.587811362348092e-09,1.8806991649551578e-08,3.81282021440721e-05
57,50.36640214920044,1714511977.9167948,1.1392579277361049e-08,190,54.29205870628357,1.3179348293705094e-09,1.2710514106731559e-08,2.6904404872743437e-05
58,55.35432720184326,1714511982.904896,8.286939957761095e-09,208,59.28015995025635,7.272701920728892e-10,9.014210149833984e-09,2.1399305163941862e-05
59,61.565722942352295,1714511989.1160839,7.108458930962768e-09,229,65.4913477897644,3.818472871266122e-10,7.49030621808938e-09,1.5744394347941634e-05
60,68.15977144241333,1714511995.7100945,6.493688683102265e-09,252,72.08535838127136,3.7696606608577685e-10,6.870654749188042e-09,1.5840146146583765e-05
61,75.42622423171997,1714512002.976598,6.2095077516543e-09,277,79.35186195373535,3.4555916355531546e-10,6.555066915209615e-09,1.5005952467382039e-05
62,83.72297835350037,1714512011.2736242,6.021566773754717e-09,305,87.6488881111145,3.5118901040677484e-10,6.372755784161492e-09,1.533647137475364e-05
63,92.41825652122498,1714512019.9685662,5.7199523144254e-09,335,96.34383010864258,3.570388224339574e-10,6.0769911368593576e-09,1.5445074232647168e-05
64,102.3613920211792,1714512029.9117377,5.4972508470897115e-09,369,106.28700160980225,3.549951132855521e-10,5.8522459603752634e-09,1.5282954903173203e-05
65,113.12578868865967,1714512040.676388,5.2431097389550754e-09,406,117.05165195465088,3.55174070187957e-10,5.598283809143033e-09,1.5318992832430985e-05
66,124.85915279388428,1714512052.4094625,5.060223280251444e-09,446,128.78472638130188,3.545391049495786e-10,5.414762385201022e-09,1.528909896507518e-05
67,137.95566248893738,1714512065.5062258,4.9070402949815285e-09,491,141.88148975372314,3.5108831823487633e-10,5.258128613216405e-09,1.5180144925800058e-05
68,152.0271019935608,1714512079.577407,4.717985691590622e-09,540,155.9526708126068,3.4266416564751856e-10,5.06064985723814e-09,1.5004111881953752e-05
69,168.31885313987732,1714512095.8691015,4.513290918261048e-09,594,172.2443654537201,3.2895482696894166e-10,4.8422457452299896e-09,1.4696141672517784e-05
70,185.45377850532532,1714512113.0043402,4.319926745500708e-09,653,189.37960410118103,3.1191050705441305e-10,4.631837252555121e-09,1.4340068955524443e-05
71,204.54364037513733,1714512132.093932,4.09375802289947e-09,718,208.46919584274292,2.885817323963733e-10,4.3823397552958435e-09,1.3761431151608069e-05
72,225.5673303604126,1714512153.1178672,3.827279058800803e-09,790,229.49313116073608,2.585762147205613e-10,4.085855273521364e-09,1.3005239045905405e-05
73,248.46412301063538,1714512176.0143886,3.476884183163705e-09,869,252.38965249061584,2.200376690510706e-10,3.6969218522147755e-09,1.2035516403267354e-05
74,274.22893261909485,1714512201.7794445,3.079192015939714e-09,956,278.15470838546753,1.805611047681685e-10,3.2597531207078824e-09,1.0940503725111856e-05
75,302.2065896987915,1714512229.7570455,2.6063093081606587e-09,1052,306.1323094367981,1.3861092286341257e-10,2.744920231024071e-09,9.570531830224767e-06
76,332.64949202537537,1714512260.200053,2.1344852548863282e-09,1157,336.57531690597534,9.790144115761406e-11,2.2323866960439423e-09,8.080452193684467e-06
77,366.3036632537842,1714512293.8540454,1.664329712625054e-09,1272,370.22930932044983,5.833643296820069e-11,1.7226661455932549e-09,6.3464643159614345e-06
78,403.66806197166443,1714512331.2186103,1.239111776123471e-09,1400,407.5938742160797,3.267102845848648e-11,1.2717828045819575e-09,4.862772721255434e-06
79,444.3129427433014,1714512371.8634455,9.408089281075729e-10,1539,448.23870944976807,3.692899163291142e-11,9.777379197404843e-10,5.0691792055059924e-06
80,489.33552384376526,1714512416.8860736,6.549014775526186e-10,1693,493.261337518692,7.030858924527268e-11,7.252100667978913e-10,6.4784463440716065e-06
81,538.9119966030121,1714512466.4625244,4.994576531430773e-10,1863,542.8377883434296,6.466481351096585e-11,5.641224666540431e-10,5.855655900510146e-06
82,593.6158142089844,1714512521.1663926,4.00969456667832e-10,2049,597.5416564941406,4.7965302120184133e-11,4.4893475878801613e-10,4.945755471179917e-06
83,654.379584312439,1714512581.9301426,3.5573234118298574e-10,2254,658.3054065704346,3.991141294785401e-11,3.9564375413083973e-10,4.48931459266802e-06
84,721.5914807319641,1714512649.1420321,3.2833326396492156e-10,2479,725.5172960758209,3.406909355252758e-11,3.6240235751744913e-10,4.120265089951143e-06
85,795.2575340270996,1714512722.8081665,3.0075799103243596e-10,2727,799.1834304332733,2.708672102266883e-11,3.278447120551048e-10,3.6441138914189608e-06
86,876.6095151901245,1714512804.160098,2.8550497614320794e-10,3000,880.5353620052338,2.3249440512769026e-11,3.08754416655977e-10,3.3604440349711863e-06
87,965.2561032772064,1714512892.8070068,2.7005652106224425e-10,3299,969.1822707653046,1.9849233855123098e-11,2.8990575491736734e-10,3.0841080325432007e-06
88,1000.1476364135742,1714512927.6981218,2.6492586492744444e-10,3418,1004.0733857154846,1.8856878479165784e-11,2.837827434066102e-10,2.9935587555162357e-06
