_timestamp,loss_interior,time,_step,step,l2_error,loss_boundary,loss,_runtime
1712770573.3798902,48.673674241041596,1.1682655811309814,0,0,0.3886194883291111,0.012968360244833192,48.68664260128643,4.78283429145813
1712770573.5572114,48.63936484898939,1.3460278511047363,1,1,0.3887611573692302,0.016585798507470065,48.65595064749686,4.960155487060547
1712770573.7337976,48.63694555359272,1.5226478576660156,2,2,2.855241199041063,0.016545079512523597,48.65349063310524,5.136741638183594
1712770573.9096582,33.52122997069862,1.6985352039337158,3,3,4.310035074873619,5.216594598594717,38.73782456929334,5.312602281570435
1712770574.084566,20.11049396750572,1.8730900287628174,4,4,3.2364395304618108,11.222401745214286,31.33289571272001,5.4875102043151855
1712770574.2618341,19.392819075476808,2.0503411293029785,5,5,3.2312033468347834,6.313670677478952,25.70648975295576,5.664778232574463
1712770574.4402046,19.376045153699085,2.22873854637146,6,6,2.8994108236539144,6.2959386823636025,25.671983836062687,5.843148708343506
1712770574.6174655,20.459902359011952,2.4059791564941406,7,7,2.8644338153126556,5.154688034649833,25.614590393661786,6.02040958404541
1712770574.794852,20.458608016780538,2.583414077758789,8,8,0.45683065107381166,5.030342348875215,25.488950365655754,6.197796106338501
1712770574.974192,13.320298819965672,2.7615888118743896,9,9,1.1609101625189988,0.21640710914010766,13.536705929105779,6.377135992050171
1712770575.1497743,8.284361061644058,2.938314914703369,10,10,1.017750576422392,0.8199963344631978,9.104357396107256,6.5527184009552
1712770575.3268347,7.479220283627513,3.115293025970459,11,11,0.8522107703219398,0.6478647054795998,8.127084989107113,6.72977876663208
1712770575.5083904,5.538487142132346,3.296933889389038,12,12,0.9557107532907694,0.4596376199554586,5.998124762087804,6.91133451461792
1712770575.6856036,3.4186940006819757,3.474153757095337,13,13,0.6295149962107156,0.49934169001905104,3.9180356907010268,7.088547706604004
1712770575.8622966,1.9707414174157505,3.650869846343994,14,14,0.4771911763797276,0.23160677324847084,2.2023481906642215,7.265240669250488
1712770576.0386097,1.4346322580208295,3.827144145965576,15,15,0.3539078878719537,0.13514088777596142,1.569773145796791,7.441553831100464
1712770576.2152772,0.3932870882682687,4.0037970542907715,16,16,0.15709317073669007,0.06871648717329884,0.46200357544156756,7.618221282958984
1712770576.392122,0.13858420397127516,4.180640459060669,17,17,0.10469389892973836,0.01466611211596541,0.15325031608724057,7.7950661182403564
1712770576.56939,0.04747304465629491,4.357879638671875,18,18,0.050098315288457825,0.006078054801758905,0.05355109945805382,7.972334146499634
1712770576.7463055,0.008009158022349437,4.534844636917114,19,19,0.010885058589008347,0.0023621498715378666,0.010371307893887304,8.14924955368042
1712770577.0971274,0.002058490779254487,4.885651111602783,20,21,0.011634304359333434,0.0001457409058763111,0.002204231685130798,8.50007152557373
1712770577.273725,0.000868122129594478,5.062240839004517,21,22,0.0049785367258574085,0.00012505872652141545,0.0009931808561158934,8.676669120788574
1712770577.456716,0.0006542598266091189,5.245233535766602,22,23,0.00621312034180095,4.690202428433596e-05,0.0007011618508934548,8.859660148620605
1712770577.8072233,0.0004143268412405628,5.595738649368286,23,25,0.0034236857446063047,2.6079737808477293e-05,0.00044040657904904007,9.210167407989502
