step,time,_step,_runtime,loss_boundary,l2_error,_timestamp,loss,loss_interior
0,1.8240485191345215,0,6.152162313461304,0.012968366003896538,4.043948543646779,1714508828.3604484,48.68663758935562,48.67366922335172
1,2.1464130878448486,1,6.215156316757202,9.510312282814311,4.530917988124862,1714508828.4234424,38.81265603477881,29.3023437519645
2,2.203620433807373,2,6.2722368240356445,11.09820568552337,0.8523439573924582,1714508828.4805229,23.33660638922491,12.23840070370154
3,2.2619354724884033,3,6.3305089473724365,0.7198955468497715,1.80380197334861,1714508828.538795,10.873900767431133,10.154005220581361
4,2.3542237281799316,4,6.4225099086761475,2.054525540005487,1.80380197334861,1714508828.630796,9.11919198852311,7.064666448517623
5,2.432394504547119,5,6.501022577285767,2.054525540005487,1.8742079111324892,1714508828.7093086,9.11919198852311,7.064666448517623
6,2.4904489517211914,6,6.559078216552734,2.1860851992054946,2.0896467459580497,1714508828.7673643,9.034479832083436,6.848394632877942
7,2.5517990589141846,7,6.632138252258301,2.498198231411941,2.2448364374113603,1714508828.8404243,8.279249742390473,5.781051510978531
8,2.6261985301971436,8,6.694793701171875,2.7102113140405235,1.8086600664695405,1714508828.9030797,6.876602669482082,4.166391355441559
9,2.733930826187134,9,6.802562236785889,1.7886058841498258,0.63395599813671,1714508829.0108483,5.715424099158341,3.9268182150085154
10,2.7909233570098877,10,6.859504461288452,0.2678089776687667,0.5998124446388312,1714508829.0677905,3.602746043996589,3.334937066327822
11,2.847076416015625,11,6.915475845336914,0.2325855359699663,0.45588569246857097,1714508829.123762,3.1490123472483957,2.9164268112784293
12,2.90320086479187,12,6.971858024597168,0.15709496272518417,0.2627131453072519,1714508829.180144,3.0182761672601837,2.8611812045349994
13,2.959847927093506,13,7.028457164764404,0.0760803296928518,0.34506911013208524,1714508829.2367432,2.3327881633790923,2.2567078336862405
14,3.01674222946167,14,7.085360527038574,0.08624046902176406,0.3036838403921453,1714508829.2936466,2.1468616584901037,2.0606211894683395
15,3.0733108520507812,15,7.14197564125061,0.08998976739740647,0.2932512814945957,1714508829.3502617,1.6270916386376486,1.5371018712402422
16,3.13065767288208,16,7.19930100440979,0.09673525967428696,0.31851660247211055,1714508829.407587,1.529120406856302,1.432385147182015
17,3.198227882385254,17,7.266698598861694,0.11938663719433648,0.4104349439605804,1714508829.4749846,1.4359482847193383,1.316561647525002
18,3.3065600395202637,18,7.374931812286377,0.16986730533307837,0.4236896720249784,1714508829.5832179,1.1606105137287022,0.9907432083956238
