loss_boundary,step,time,loss_interior,loss,l2_error,_runtime,_step,_timestamp
0.012968366003896538,0,2.173110008239746,48.67366922335172,48.68663758935562,2.2623109180380983,8.606143712997437,0,1714508746.8409147
3.0695484916352647,1,3.370091676712036,18.87947858580047,21.949027077435733,2.0986284267471116,8.67249345779419,1,1714508746.9072645
2.3354425678603006,2,3.42751145362854,11.154957779154097,13.490400347014397,0.8122092102120526,8.729827165603638,2,1714508746.9645982
0.49783319797074405,3,3.4841394424438477,6.633204395759674,7.131037593730418,0.9584898629985048,8.786462306976318,3,1714508747.0212333
0.5913733750264832,4,3.5405187606811523,5.944867993861622,6.536241368888105,1.1028629755008474,8.84285283088684,4,1714508747.0776238
0.6465456813844667,5,3.5966796875,4.673015766820686,5.319561448205153,0.9640513092742866,8.900708436965942,5,1714508747.1354795
0.5365600978316828,6,3.6567044258117676,1.9879809947395335,2.524541092571216,0.6783478242515655,8.959528684616089,6,1714508747.1942997
0.3070802178714538,7,3.7154171466827393,1.5509247496131389,1.8580049674845927,0.3386408808541804,9.018269777297974,7,1714508747.2530408
0.10073587095972876,8,3.77416729927063,1.1992163242988025,1.2999521952585313,0.17769267485371418,9.077033042907715,8,1714508747.311804
0.03601850233630057,9,3.8336379528045654,0.875742154798607,0.9117606571349075,0.25651199210879877,9.136489868164062,9,1714508747.371261
0.045370144473682726,10,3.892808198928833,0.7858296166756392,0.8311997611493219,0.30135662686897785,9.195722103118896,10,1714508747.430493
0.0525206674306679,11,3.9526963233947754,0.7393821648882848,0.7919028323189526,0.28478695028027357,9.25564694404602,11,1714508747.490418
0.04727257184618486,12,4.012041807174683,0.5389938384226555,0.5862664102688403,0.2507661444101908,9.315049409866333,12,1714508747.5498204
0.038771375377303505,13,4.071663856506348,0.5174496761270028,0.5562210515043062,0.2079476731776063,9.374063730239868,13,1714508747.6088347
0.02998082937862668,14,4.12887978553772,0.47214814200895994,0.5021289713875866,0.15945403708861533,9.431396961212158,14,1714508747.666168
0.024308217241857073,15,4.185828924179077,0.4256426835181619,0.449950900760019,0.12460418730706097,9.488282442092896,15,1714508747.7230535
0.023041727885355516,16,4.242176055908203,0.39024205095844405,0.4132837788437996,0.120512705268045,9.544625997543335,16,1714508747.779397
0.023471021652984134,17,4.2989182472229,0.3837890359776221,0.40726005763060624,0.11685275586075558,9.601409196853638,17,1714508747.8361802
0.02274054393484591,18,4.3634655475616455,0.33456687905885335,0.3573074229936993,0.11280774169926507,9.666014671325684,18,1714508747.9007857
0.02156201245009965,19,4.420822620391846,0.31195563327553144,0.3335176457256311,0.11225668498350609,9.723328590393066,19,1714508747.9580996
0.020652800618538268,20,4.47884464263916,0.26753822558870266,0.2881910262072409,0.1276121996975013,9.781440496444702,20,1714508748.0162115
0.02529922381324825,21,4.538203477859497,0.23530698745301556,0.2606062112662638,0.1337044426433272,9.840782165527344,21,1714508748.0755532
0.026482615597140446,22,4.595921516418457,0.2260685419966427,0.25255115759378316,0.14943301345160834,9.898458480834961,22,1714508748.1332295
0.0277865174067701,23,4.652822494506836,0.1928970287166789,0.220683546123449,0.15751812433563436,9.955286264419556,23,1714508748.1900573
0.02744355876150875,24,4.709091901779175,0.17294932039649835,0.2003928791580071,0.15358278852783624,10.011552095413208,24,1714508748.246323
0.026608033872138923,25,4.765538930892944,0.14698594399285334,0.17359397786499225,0.15233422702250002,10.067996740341187,25,1714508748.3027678
0.026369929827870755,26,4.822328805923462,0.1465896409953988,0.17295957082326957,0.1304868746737001,10.124817132949829,26,1714508748.3595881
0.020977383185096395,27,4.879009008407593,0.13152756271097024,0.15250494589606664,0.12967206445128823,10.181474208831787,27,1714508748.4162452
0.020620497316001154,28,4.93623948097229,0.13142276085086257,0.15204325816686373,0.12357276566672962,10.238748788833618,28,1714508748.4735198
0.018214675323013484,29,4.993547439575195,0.11156985634264477,0.12978453166565826,0.11737295585106379,10.296063661575317,29,1714508748.5308347
0.016687356565722275,30,5.05078649520874,0.09939540197191028,0.11608275853763256,0.11434050853462752,10.353280782699585,30,1714508748.5880518
0.016132173263982377,31,5.108035326004028,0.09822954961456866,0.11436172287855104,0.10165844338539963,10.410581588745117,31,1714508748.6453526
0.013408290956910554,32,5.165544033050537,0.07366685040446112,0.08707514136137168,0.10007182345841785,10.468156337738037,32,1714508748.7029274
0.013075301556707738,33,5.233282566070557,0.073527276160104,0.08660257771681173,0.0754254946207243,10.535858154296875,33,1714508748.7706292
0.009051049243733655,34,5.290374279022217,0.06183604440007922,0.07088709364381288,0.0678519963991658,10.592843055725098,34,1714508748.827614
0.007675458516900803,35,5.347207069396973,0.056370278906119405,0.06404573742302021,0.06767047220511545,10.649691581726074,35,1714508748.8844626
0.00696604130595593,36,5.405237674713135,0.05180240335232937,0.058768444658285304,0.07601395005909237,10.707749128341675,36,1714508748.9425201
0.006371493022025983,37,5.462934255599976,0.04136657682069844,0.047738069842724426,0.08140680831931126,10.765471458435059,37,1714508749.0002425
0.006351406536002884,38,5.521122932434082,0.037662235082462234,0.04401364161846512,0.08541090452435367,10.82362151145935,38,1714508749.0583925
0.006293843453017808,39,5.578451871871948,0.03193115321956981,0.03822499667258762,0.0745240048451736,10.88095760345459,39,1714508749.1157286
0.005580885870087683,40,5.635717153549194,0.023477882754065,0.029058768624152683,0.06783356287610771,10.938230752944946,40,1714508749.1730018
0.005177232643139235,42,5.7501983642578125,0.01756748289381654,0.022744715536955777,0.06149207837445849,11.052686214447021,41,1714508749.2874572
