step,_step,loss,time,_timestamp,loss_boundary,loss_interior,l2_error,_runtime
0,0,48.68664260128643,1.5613996982574463,1712772327.192626,0.012968360244833192,48.673674241041596,1.8377067210485916,5.23993706703186
1,1,17.815068128161567,1.6184494495391846,1712772327.249112,2.0160443734375777,15.799023754723988,1.5096269247612153,5.296422958374023
2,2,11.555960917217861,1.6832139492034912,1712772327.31386,1.278592333239601,10.27736858397826,0.9078629174747956,5.361171007156372
3,3,8.55760349414216,1.745854377746582,1712772327.3765142,0.5434408030875675,8.014162691054594,0.5331361207154189,5.423825263977051
4,4,6.464340387163104,1.8023738861083984,1712772327.432952,0.1972647342482291,6.267075652914875,0.5030070002559305,5.480262994766235
5,5,4.276328160711764,1.8564577102661133,1712772327.4870744,0.19316490223571156,4.083163258476053,0.4623750808510216,5.534385442733765
6,6,3.3336416273704637,1.910675048828125,1712772327.541325,0.15706473320228517,3.1765768941681785,0.4623826050482423,5.588636159896851
7,7,3.0021050025962284,1.9654943943023682,1712772327.5961103,0.15999380425400136,2.842111198342227,0.39451140847594685,5.643421411514282
8,8,2.2488630638283844,2.0203444957733154,1712772327.6525762,0.11047107751164002,2.138391986316744,0.4050462653117343,5.699887275695801
9,9,2.0873359672392446,2.0792806148529053,1712772327.7103167,0.11810478921201074,1.9692311780272338,0.35736540409093337,5.757627725601196
10,10,1.7614787098024731,2.1359684467315674,1712772327.7670414,0.0857202482583421,1.675758461544131,0.3784632446462416,5.814352512359619
11,11,1.4659813515018993,2.1928114891052246,1712772327.823839,0.09849334212669678,1.3674880093752027,0.3634780494991039,5.871150016784668
12,12,1.331800823377686,2.249739646911621,1712772327.8808117,0.0899696576572446,1.2418311657204413,0.3937868443885433,5.9281227588653564
13,13,1.177086464630053,2.3062984943389893,1712772327.9373791,0.09763264896986552,1.0794538156601874,0.3805134111929648,5.984690189361572
14,14,1.1076403230619711,2.363210678100586,1712772327.9942372,0.08835844757754438,1.0192818754844268,0.37427626794897245,6.041548252105713
15,15,1.0722238028949986,2.4199023246765137,1712772328.0509965,0.0851174521238243,0.9871063507711744,0.3738077929575436,6.0983076095581055
16,16,1.0370110035111675,2.4769020080566406,1712772328.108092,0.083324146214936,0.9536868572962314,0.39564461024997616,6.155403137207031
17,17,1.0076956392059493,2.5342206954956055,1712772328.1653404,0.08932961944451726,0.918366019761432,0.27016944894281003,6.212651491165161
18,18,0.9412271022221231,2.5918898582458496,1712772328.2229595,0.05086240151882547,0.8903647007032977,0.21166118573143997,6.270270586013794
19,19,0.892405818436973,2.6484875679016113,1712772328.2795682,0.034942321432494115,0.8574634970044789,0.21908830660844172,6.326879262924194
21,20,0.7699858194295489,2.75858736038208,1712772328.3896937,0.03358687179029737,0.7363989476392515,0.21538854059025722,6.437004804611206
22,21,0.7243639857433651,2.8158907890319824,1712772328.4469535,0.035506410009134015,0.6888575757342311,0.20888012414812743,6.494264602661133
23,22,0.6785977861619378,2.872828483581543,1712772328.5039005,0.03312685723291067,0.6454709289290271,0.2571617645152999,6.551211595535278
25,23,0.5986591649405382,2.991048812866211,1712772328.6223,0.04941509862438361,0.5492440663161545,0.28125897799712424,6.669610977172852
27,24,0.5265791414959254,3.1026649475097656,1712772328.733777,0.050656832909106136,0.47592230858681933,0.35575670576368995,6.78108811378479
28,25,0.489257303061771,3.159550189971924,1712772328.7906358,0.07001291859328675,0.4192443844684843,0.35611778571710234,6.837946891784668
30,26,0.412669785152067,3.2698452472686768,1712772328.9009557,0.0479426601582224,0.3647271249938446,0.30439894671904705,6.9482667446136475
32,27,0.35649891240337805,3.3799798488616943,1712772329.011106,0.0455768157637491,0.31092209663962894,0.29550727048409514,7.058417081832886
34,28,0.31235335233166794,3.490090847015381,1712772329.1211782,0.056155041068697585,0.2561983112629704,0.32883588453885365,7.168489217758179
36,29,0.2737288301824075,3.6005699634552,1712772329.2316616,0.04217299101644435,0.23155583916596317,0.2890506199163473,7.278972625732422
39,30,0.23314583973868863,3.763333559036255,1712772329.39445,0.046730854076803455,0.18641498566188516,0.2918983121778944,7.441761016845703
41,31,0.21555211257572945,3.8734183311462402,1712772329.5045257,0.045292643685075025,0.17025946889065444,0.3024342099579303,7.551836729049683
44,32,0.19098554470028725,4.036147594451904,1712772329.6672823,0.04812256923848791,0.14286297546179935,0.30565304078702293,7.714593410491943
47,33,0.15721430637847725,4.207773923873901,1712772329.8389552,0.04398825244943888,0.11322605392903837,0.28468542270743574,7.886266231536865
50,34,0.14040518067921567,4.370701551437378,1712772330.001322,0.04132897287012488,0.0990762078090908,0.2865570334888628,8.048633098602295
53,35,0.12507212338127732,4.53226637840271,1712772330.1628942,0.03887852634792708,0.08619359703335025,0.2599445191645292,8.210205316543579
57,36,0.10529051717063712,4.749840021133423,1712772330.3804317,0.0355951928744627,0.06969532429617441,0.22808386436073994,8.427742719650269
60,37,0.07969007619370307,4.913193464279175,1712772330.5437987,0.021472002390594696,0.058218073803108374,0.20929918078953055,8.59110975265503
64,38,0.06571575534023616,5.129779577255249,1712772330.760392,0.020537759768197567,0.045177995572038596,0.19823438719440514,8.807703018188477
68,39,0.05608951854613762,5.344380855560303,1712772330.9749749,0.018752765194254416,0.0373367533518832,0.1933936693952737,9.02228593826294
73,40,0.048234857557936536,5.613801717758179,1712772331.244405,0.018349184638127528,0.029885672919809012,0.1920243095507488,9.2917160987854
77,41,0.043742121046336416,5.827788591384888,1712772331.45838,0.017722204322269498,0.026019916724066918,0.1891354151872731,9.505691051483154
