_runtime,loss,time,step,_step,l2_error,_timestamp,loss_boundary,loss_interior
5.677141904830933,48.68663758935562,1.4810147285461426,0,0,0.4006272932988103,1714357925.5052228,0.012968366003896538,48.67366922335172
5.771996259689331,48.68663571424543,1.8304862976074219,1,1,0.39263504244173575,1714357925.6000772,0.012968343673928349,48.67366737057151
5.831979751586914,48.676823774894466,1.8905596733093262,2,2,0.385510148549597,1714357925.6600606,0.014244256970227605,48.662579517924236
5.889561891555786,48.65391448176023,1.9481680393218994,3,3,0.38187788870154005,1714357925.7176428,0.015846291981853482,48.63806818977838
5.946112632751465,48.65092362896071,2.0047473907470703,4,4,0.6893752736231019,1714357925.7741935,0.016862461415055482,48.63406116754565
6.0045366287231445,46.23410085324359,2.0617589950561523,5,5,0.8595164853329963,1714357925.8326175,0.03626533081641187,46.19783552242718
6.064318418502808,46.05740331055142,2.1223363876342773,6,6,3.2326516854217706,1714357925.8923993,0.09822309080597691,45.95918021974544
6.1244118213653564,33.11904103630863,2.182737350463867,7,7,3.2326516854217706,1714357925.9524927,4.427759451404609,28.691281584904022
6.183608531951904,33.11904103630863,2.2416887283325195,8,8,3.25160863682966,1714357926.0116894,4.427759451404609,28.691281584904022
6.242323875427246,33.10315756908939,2.300446033477783,9,9,3.0592901072286836,1714357926.0704048,4.487586628398779,28.61557094069061
6.301727771759033,32.48616582358646,2.3598082065582275,10,10,2.9353947217938474,1714357926.1298087,3.9113358623023764,28.574829961284088
6.360321283340454,30.56724505440211,2.418407440185547,11,11,2.9993924365459086,1714357926.1884022,3.541197030963493,27.02604802343862
6.419715642929077,26.72755228005476,2.4777441024780273,12,12,2.1324715831298464,1714357926.2477965,3.815433106830019,22.912119173224742
6.481076002120972,7.31914933200857,2.539111852645874,13,13,1.9163662951569131,1714357926.309157,2.6436012027403653,4.675548129268205
6.551591873168945,5.37546300910692,2.6098473072052,14,14,1.7274058282225913,1714357926.3796728,2.2970900030229076,3.078373006084013
6.608139991760254,3.63835391805939,2.6667537689208984,15,15,1.3972568809589152,1714357926.436221,1.9356860842940515,1.7026678337653385
6.66487455368042,2.1376790232970118,2.7235114574432373,16,16,1.0244095888271614,1714357926.4929554,1.3292860093898642,0.8083930139071476
6.721862554550171,1.2492255111833028,2.780517101287842,17,17,0.7541839992305707,1714357926.5499434,0.776025292133945,0.47320021904935783
6.778829336166382,0.6805234411012753,2.837414026260376,18,18,0.5383336302676435,1714357926.6069102,0.4709079201691764,0.2096155209320989
6.835591793060303,0.36437789629193423,2.8941867351531982,19,19,0.40468747394158044,1714357926.6636727,0.27539865562915283,0.0889792406627814
6.953356742858887,0.11546349818847675,3.0058248043060303,21,20,0.2238840464586576,1714357926.7814376,0.08700727868258544,0.028456219505891302
7.017448425292969,0.08253980017290248,3.0758965015411377,22,21,0.19283050298336146,1714357926.8455293,0.07204958527949892,0.010490214893403562
7.075097560882568,0.062230654362851814,3.133686065673828,23,22,0.18154742445547994,1714357926.9031785,0.052401294518347206,0.009829359844504606
7.187534809112549,0.04806173625845459,3.246147394180298,25,23,0.1683344634656189,1714357927.0156157,0.041458422590250225,0.006603313668204366
7.2991673946380615,0.034719326098018685,3.3577423095703125,27,24,0.14007342986695706,1714357927.1272483,0.030472795896960368,0.004246530201058317
7.356086492538452,0.03160763113947721,3.414717674255371,28,25,0.13412369083999715,1714357927.1841674,0.027329219999384768,0.004278411140092444
7.473932266235352,0.02503155182053009,3.5320303440093994,30,26,0.12345157157996593,1714357927.3020132,0.022199160713058746,0.002832391107471343
7.587849140167236,0.020225870032573895,3.6458632946014404,32,27,0.10687719921456065,1714357927.41593,0.01842105668959819,0.0018048133429757055
7.7004804611206055,0.015079403351479026,3.7585389614105225,34,28,0.09359959729878316,1714357927.5285614,0.01282053089323607,0.002258872458242956
7.814974784851074,0.011420430431003234,3.8729727268218994,36,29,0.08086353743051436,1714357927.6430557,0.010535988663850275,0.0008844417671529597
7.98684549331665,0.007100819225055531,4.04497218132019,39,30,0.0669338335652994,1714357927.8149264,0.0059327073699232255,0.0011681118551323056
8.099775791168213,0.005993048855822846,4.157821893692017,41,31,0.062233146341397795,1714357927.9278567,0.005410756161871873,0.0005822926939509734
8.269098997116089,0.0048609667220105325,4.327162504196167,44,32,0.05538761791593007,1714357928.09718,0.004359862798123994,0.0005011039238865384
8.450838327407837,0.003933809673310845,4.508730888366699,47,33,0.05022532782743753,1714357928.2789192,0.0035203547422574745,0.00041345493105337085
8.630336046218872,0.0031803325473822386,4.688408613204956,50,34,0.04474659292310528,1714357928.458417,0.0028917775179341226,0.0002885550294481161
8.796540975570679,0.0026244057542499297,4.854651927947998,53,35,0.04053829413088275,1714357928.6246219,0.00236169772370158,0.00026270803054834993
9.020974397659302,0.002121847126195494,5.07906699180603,57,36,0.03564898261809375,1714357928.8490553,0.0019111686414568228,0.00021067848473867138
9.187458753585815,0.0018650275048054483,5.2454869747161865,60,37,0.0334775144150855,1714357929.0155396,0.0016641032345370433,0.00020092427026840504
9.40873098373413,0.0015282515467510624,5.4667816162109375,64,38,0.030690340912840078,1714357929.2368119,0.0013810530301390594,0.00014719851661200304
9.632187366485596,0.0012837087339734026,5.690197944641113,68,39,0.02736635344106759,1714357929.4602683,0.0011258133641208438,0.00015789536985255894
9.906403064727783,0.0009273290783172808,5.96443247795105,73,40,0.023522572558355968,1714357929.734484,0.0008439055417053036,8.34235366119772e-05
10.140588283538818,0.0007668524118242718,6.198200941085815,77,41,0.021831006154140103,1714357929.9686692,0.0007076367537412249,5.921565808304683e-05
