loss_boundary,loss_interior,time,_timestamp,_runtime,step,_step,l2_error,loss
0.012968366003896538,48.67366922335172,1.0303122997283936,1714511897.3355393,5.2246904373168945,0,0,0.35784145760983116,48.68663758935562
0.025943162028814238,48.34036262228296,1.3346397876739502,1714511897.3434896,5.232640743255615,1,1,0.3259908758643573,48.36630578431178
0.04315821735208202,48.007710325922076,1.3428173065185547,1714511897.3508677,5.240018844604492,2,2,0.30693276344756987,48.050868543274156
0.06421865151071884,47.675678559383606,1.3495149612426758,1714511897.3571596,5.246310710906982,3,3,0.30173363980693163,47.73989721089433
0.08890996574143602,47.34402218189292,1.3548266887664795,1714511897.3624725,5.251623630523682,4,4,0.31013832026783755,47.432932147634354
0.11704340903231761,47.01258725441785,1.3598647117614746,1714511897.3674867,5.256637811660767,5,5,0.3303557114260037,47.12963066345017
0.14839674418451074,46.6813421488053,1.3648672103881836,1714511897.3725088,5.261659860610962,6,6,0.35967984152184757,46.82973889298981
0.18267408990183667,46.35032687071724,1.3691840171813965,1714511897.376819,5.26596999168396,7,7,0.39534938379085033,46.53300096061908
0.21952164829053794,46.01960092445573,1.3734865188598633,1714511897.3811123,5.270263433456421,8,8,0.43507083309955896,46.23912257274627
0.258564492732311,45.68920511708178,1.3777828216552734,1714511897.3854237,5.2745747566223145,9,9,0.47715343919551345,45.94776960981409
0.2994479582409202,45.35913681800393,1.3830161094665527,1714511897.3906593,5.279810428619385,10,10,0.5204386397730275,45.65858477624485
0.3418657993589992,45.02934234815534,1.3875231742858887,1714511897.39519,5.284341096878052,11,11,0.5641702881643585,45.37120814751434
0.38557061811144017,44.699722692079085,1.391908884048462,1714511897.3995333,5.288684368133545,12,12,0.6078720796057014,45.08529331019052
0.4303703829209103,44.37014590864021,1.3961172103881836,1714511897.4047997,5.293950796127319,13,13,0.6512504500672222,44.800516291561124
0.47611582549215553,44.04046112892219,1.4013094902038574,1714511897.4089391,5.298090219497681,14,14,0.694124369518069,44.51657695441435
0.5226846006891861,43.710510377196364,1.4055171012878418,1714511897.4131353,5.302286386489868,15,15,0.7363791423991937,44.23319497788555
0.5699680188084342,43.380136449561896,1.409749984741211,1714511897.4173594,5.3065104484558105,16,16,0.7779387987735447,43.95010446837033
0.6178629345026408,43.04918698297307,1.4138514995574951,1714511897.42144,5.310590982437134,17,17,0.8187501261273591,43.66704991747571
0.6662673984308789,42.71751560099742,1.4180383682250977,1714511897.4256601,5.3148112297058105,18,18,0.8587730461283574,43.383782999428306
0.7150780120174801,42.38498133543127,1.423741102218628,1714511897.4313493,5.320500373840332,19,19,0.8979748782988766,43.10005934744875
0.7641884586154889,42.0514475007048,1.4288785457611084,1714511897.4364636,5.32561469078064,20,20,0.9363272994599633,42.81563595932029
0.8134892583352507,41.71678073568756,1.4340460300445557,1714511897.4416199,5.330770969390869,21,21,0.9738051288473942,42.53026999402281
0.8628686426793453,41.380850444044746,1.4385759830474854,1714511897.4462128,5.335363864898682,22,22,1.0103862950044002,42.24371908672409
0.9122143552965599,41.04352858908339,1.4467277526855469,1714511897.4546156,5.343766689300537,23,23,1.0460524203932289,41.95574294437995
0.9614160114095566,40.70468974897741,1.451749324798584,1714511897.459362,5.348513126373291,24,24,1.0807894274058223,41.66610576038696
1.0103673741044064,40.36421141642482,1.4562959671020508,1714511897.4639103,5.3530614376068115,25,25,1.1145877337144088,41.37457879052923
1.0589679498107585,40.02197454313678,1.4605951309204102,1714511897.468198,5.357349157333374,26,26,1.1474419812822225,41.080942492947536
1.1071237508115717,39.677864245508225,1.4647860527038574,1714511897.4724114,5.361562490463257,27,27,1.1793505037675527,40.7849879963198
1.1547474633152952,39.33177054357575,1.4692113399505615,1714511897.4768484,5.365999460220337,28,28,1.210314752251612,40.486518006891046
1.2017583382410137,38.983589051923516,1.4736831188201904,1714511897.4812827,5.370433807373047,29,29,1.2403388075614667,40.18534739016453
1.2480820276296076,38.63322160554356,1.478010892868042,1714511897.4856246,5.374775648117065,30,30,1.269429027783382,39.88130363317317
1.293650485042929,38.280576835448066,1.482367992401123,1714511897.4899778,5.379128932952881,31,31,1.2975938307527946,39.574227320491
1.3384019717390694,37.92557071409788,1.4867405891418457,1714511897.4943352,5.383486270904541,32,32,1.324843578556958,39.26397268583695
1.382281148848916,37.568127087865484,1.4911632537841797,1714511897.4988112,5.387962341308594,33,33,1.351190508201298,38.9504082367144
1.4252391851591484,37.208178210243574,1.4953036308288574,1714511897.5029101,5.392061233520508,34,34,1.3766486447118127,38.633417395402724
1.4672337829270434,36.84566528425784,1.4995384216308594,1714511897.507147,5.396298170089722,35,35,1.4012336450853518,38.31289906718489
1.5082290329809864,36.480539013741684,1.503922462463379,1714511897.5115867,5.400737762451172,36,36,1.4249625490786368,37.98876804672267
1.5481950510999918,36.11276015239159,1.508162498474121,1714511897.515758,5.404909133911133,37,37,1.4478534428159056,37.66095520349158
1.5871073992594043,35.742300030927474,1.5124680995941162,1714511897.5200803,5.409231424331665,38,38,1.4699250615984727,37.329407430186876
1.6249463353130251,35.36914103932009,1.5168182849884033,1714511897.5244544,5.413605451583862,39,39,1.4911963654539573,36.99408737463312
1.6616959534224842,34.99327704291545,1.5209622383117676,1714511897.5285418,5.4176928997039795,40,40,1.5116861186236474,36.65497299633794
1.731877374000083,34.23346878358041,1.5283336639404297,1714511897.5359259,5.425076961517334,42,41,1.5503927497372945,35.9653461575805
1.8586900557500796,32.68245460785779,1.5435054302215576,1714511897.5511112,5.440262317657471,46,42,1.6191509515031643,34.541144663607874
