loss_boundary,loss_interior,time,_step,l2_error,_timestamp,step,loss,_runtime
0.012968366003896538,48.67366922335172,1.9586942195892334,0,0.29318459030079147,1714513973.0860324,0,48.68663758935562,8.861737489700317
0.10956260328099615,0.49914174558558605,3.5785608291625977,1,0.1324695633492559,1714513973.2460153,1,0.6087043488665822,9.02172040939331
0.028378436187605292,0.25859672104263187,3.7532031536102295,2,0.10024602972250993,1714513973.420744,2,0.28697515723023714,9.196449041366577
0.020369187810476988,0.11513664066464542,3.9576292037963867,3,0.10929530096009758,1714513973.624986,3,0.1355058284751224,9.400691032409668
0.023349528054402477,0.0749350628061105,4.203848361968994,4,0.08886633514816343,1714513973.87124,4,0.09828459086051297,9.646944999694824
0.017945276163145923,0.057747297906691815,4.487547874450684,5,0.0832698806088882,1714513974.1548967,5,0.07569257406983773,9.930601835250854
0.012358689835029205,0.03818393018503404,4.813479661941528,6,0.05439859358282443,1714513974.4808517,6,0.050542620020063246,10.256556749343872
0.00612906046845857,0.020964529424615488,5.188597917556763,7,0.03902967866907789,1714513974.8559504,7,0.027093589893074057,10.63165545463562
0.0027442351391300853,0.013117181355167234,5.597395420074463,8,0.028608566498909933,1714513975.2649252,8,0.01586141649429732,11.040630340576172
0.001513397014360409,0.005602699212255146,6.043331146240234,9,0.027254722134049128,1714513975.7112074,9,0.007116096226615555,11.486912488937378
0.0012086377947224558,0.003987223085032735,6.525771141052246,10,0.02165424697784992,1714513976.193311,10,0.005195860879755191,11.969016075134277
0.0006883783349650669,0.0036666990074624,7.040281295776367,11,0.018652035378137057,1714513976.7076306,11,0.004355077342427467,12.483335733413696
0.0004984931570167473,0.0017419651408713316,7.5452563762664795,12,0.016723998536260203,1714513977.2125845,12,0.0022404582978880786,12.988289594650269
0.00045709762462508137,0.0012155072130576058,8.0552237033844,13,0.013159971372499765,1714513977.7239053,13,0.0016726048376826872,13.499610424041748
0.00026590269427559756,0.0010752849077691486,8.55946946144104,14,0.015747093956183376,1714513978.2268107,14,0.0013411876020447463,14.00251579284668
0.0004147871303509521,0.0007240626984594242,9.06718635559082,15,0.014483560170752549,1714513978.7345114,15,0.0011388498288103764,14.510216474533081
0.00027988705847071545,0.0006599947303742194,9.570390939712524,16,0.012348141885116473,1714513979.2377841,16,0.000939881788844935,15.013489246368408
0.0002041993632751766,0.0006025411933933948,10.078087329864502,17,0.01105986681552408,1714513979.745668,17,0.0008067405566685714,15.52137303352356
0.00014081518500645902,0.0005159881505642629,10.588051795959473,18,0.008947998551022728,1714513980.255464,18,0.0006568033355707219,16.031169176101685
0.0001161557674688579,0.00045248704684725785,11.109132528305054,19,0.008230285767353367,1714513980.7766016,19,0.0005686428143161158,16.552306652069092
0.00010253368993648421,0.0003269999686490433,11.625545740127563,20,0.006856826253487867,1714513981.2929585,20,0.00042953365858552754,17.068663597106934
7.442276923576666e-05,0.00030732945493037843,12.145995855331421,21,0.004961938276424711,1714513981.813315,21,0.0003817522241661451,17.589020013809204
