_runtime,time,l2_error,step,_step,_timestamp,loss,loss_boundary,loss_interior
6.063478946685791,1.6815526485443115,0.4006270410335309,0,0,1714840857.318246,48.68663758935562,0.012968366003896538,48.67366922335172
6.121933460235596,2.1059367656707764,0.8336403402027933,1,1,1714840857.3767004,48.686631045716354,0.012968402147050744,48.6736626435693
6.165143966674805,2.14933180809021,0.4157855869871256,2,2,1714840857.419911,34.67227542815156,0.6540434466120997,34.01823198153946
6.199153661727905,2.1828272342681885,0.617654495322694,3,3,1714840857.4539206,11.886255785930302,0.1775916003162367,11.708664185614065
6.234532117843628,2.218215227127075,0.3802656894600228,4,4,1714840857.489299,8.433440021390771,0.19426555120249323,8.239174470188278
6.2740089893341064,2.257441759109497,0.42193538176410583,5,5,1714840857.528776,3.677121857828221,0.12470077513124424,3.5524210826969767
6.313168525695801,2.296635389328003,0.40647422792756177,6,6,1714840857.5679355,1.6493540775634141,0.1889367554706204,1.4604173220927936
6.353846073150635,2.3374338150024414,0.3206642866674243,7,7,1714840857.608613,0.9633561485381208,0.17933186385377986,0.7840242846843409
6.387947082519531,2.372396469116211,0.25612725276062426,8,8,1714840857.642714,0.5312347597678017,0.11055999251687239,0.4206747672509293
6.423491716384888,2.405470848083496,0.17792826554477814,9,9,1714840857.6782587,0.3532448655560529,0.07100810915084838,0.2822367564052045
6.459270000457764,2.4429030418395996,0.12949712937353314,10,10,1714840857.714037,0.2191699377832193,0.03444042256871491,0.1847295152145044
6.4953930377960205,2.478860855102539,0.11235130734753121,11,11,1714840857.75016,0.13662814861162545,0.019911534059073158,0.11671661455255229
6.534265756607056,2.517392158508301,0.10927127029837833,12,12,1714840857.7890327,0.10231211859181637,0.016882254290040588,0.08542986430177578
6.574224472045898,2.5575382709503174,0.10422984059590365,13,13,1714840857.8289914,0.07864324551481966,0.01628096788840793,0.06236227762641173
6.611088991165161,2.5946221351623535,0.10149632532916598,14,14,1714840857.865856,0.07086864523928253,0.014919422334882974,0.055949222904399555
6.646691799163818,2.6302733421325684,0.09292859457618874,15,15,1714840857.9014587,0.06031386570551412,0.013503584130451177,0.046810281575062944
6.683680772781372,2.6670353412628174,0.08576194057372699,16,16,1714840857.9384477,0.05089001533492693,0.01178408702217429,0.03910592831275264
6.722204208374023,2.705500841140747,0.08369910166759417,17,17,1714840857.9769711,0.047414703757567775,0.010037593398397588,0.037377110359170185
6.762751340866089,2.7459752559661865,0.08088383380849583,18,18,1714840858.0175183,0.03102935100753295,0.009496863327002192,0.021532487680530756
6.802400350570679,2.785700798034668,0.07543457559978761,19,19,1714840858.0571673,0.025348308506116753,0.008576001921786,0.01677230658433075
6.841294765472412,2.8254504203796387,0.07264664083720243,20,20,1714840858.0960617,0.028115973179102166,0.0071520930987884175,0.02096388008031375
6.880898714065552,2.8641536235809326,0.0676035139664113,21,21,1714840858.1356657,0.018128547436436115,0.0066994342375734225,0.011429113198862693
6.920191764831543,2.90354323387146,0.06237989841553907,22,22,1714840858.1749587,0.017006387699947206,0.006056504522442461,0.010949883177504746
6.963364601135254,2.946632146835327,0.06142229185395721,23,23,1714840858.2181315,0.016868899186766817,0.005275235615168792,0.011593663571598023
7.002623558044434,2.9859044551849365,0.0602826097043955,24,24,1714840858.2573905,0.011711407481421764,0.005062233590009087,0.006649173891412677
7.042119979858398,3.0253548622131348,0.05792403007751999,25,25,1714840858.296887,0.009418271172064369,0.004663303374698099,0.004754967797366271
7.079421520233154,3.0637545585632324,0.05549380477606333,26,26,1714840858.3341885,0.007918141921762116,0.004037117956374899,0.003881023965387217
7.1135170459747314,3.097011089324951,0.04995643692482109,27,27,1714840858.368284,0.007089436763318932,0.0034306927464966964,0.0036587440168222357
7.149490594863892,3.133026361465454,0.04396119957608105,28,28,1714840858.4042575,0.005714688189815998,0.002901914164098917,0.002812774025717081
7.184975862503052,3.1685733795166016,0.039721794259385455,29,29,1714840858.4397428,0.005418975517508999,0.002499787551237099,0.0029191879662719
7.2196760177612305,3.2035651206970215,0.03795708112297684,30,30,1714840858.474443,0.004746833571540335,0.002206126776822094,0.002540706794718241
7.25433611869812,3.238131523132324,0.03525968515096422,31,31,1714840858.509103,0.004049915737412501,0.0020347078826865855,0.0020152078547259157
7.289695978164673,3.273297071456909,0.031950988589859085,32,32,1714840858.544463,0.0038634890573235672,0.001706469776089946,0.002157019281233621
7.326623201370239,3.3102121353149414,0.0315232787109399,33,33,1714840858.5813901,0.003145091720868555,0.001504425665657066,0.0016406660552114893
7.364270448684692,3.3476741313934326,0.031249771311523417,34,34,1714840858.6190374,0.0030761789213834038,0.0014370121069735866,0.0016391668144098172
7.401102304458618,3.384490966796875,0.033736655926707784,35,35,1714840858.6558692,0.0029755702000716982,0.0013173000665282866,0.0016582701335434117
7.43848991394043,3.4218034744262695,0.03223325931490654,36,36,1714840858.6932569,0.0033247811214160974,0.0012921323495466402,0.002032648771869457
7.476088523864746,3.459455966949463,0.031590193197942346,37,37,1714840858.7308555,0.0026838231175212476,0.001256918837887098,0.0014269042796341497
7.514768362045288,3.4980454444885254,0.03589366222290922,38,38,1714840858.7695353,0.002550959662863725,0.0012176081226875754,0.0013333515401761495
7.551468133926392,3.534972667694092,0.032711587134944736,39,39,1714840858.806235,0.003450194558945878,0.0011651968058111273,0.0022849977531347507
7.5944342613220215,3.577666759490967,0.03530209013206808,40,40,1714840858.8492012,0.0023270052378971547,0.0011092150466227109,0.0012177901912744438
7.664201498031616,3.6475272178649902,0.03491000550919076,42,41,1714840858.9189684,0.002670866848968654,0.0011519484709597808,0.0015189183780088735
