loss_interior,loss,l2_error,_timestamp,step,loss_boundary,_step,_runtime,time
48.673674241041596,48.68664260128643,0.8457244833488352,1712772985.6179638,0,0.012968360244833192,0,4.439238786697388,0.938460111618042
1.2599341853839132,1.6807620270207024,0.12273313903714503,1712772985.7488525,1,0.42082784163678927,1,4.570127487182617,1.069714069366455
0.3881027862120206,0.4165814874045079,0.10190307429468744,1712772985.902217,2,0.028478701192487285,2,4.723491907119751,1.2231073379516602
0.2241668945779624,0.24639774732031874,0.09217882787409694,1712772986.1290522,3,0.022230852742356328,3,4.950327157974243,1.4499638080596924
0.10935638465615043,0.1279292343000156,0.11034663645396624,1712772986.3527105,4,0.018572849643865172,4,5.173985481262207,1.6736624240875244
0.059280214739605964,0.08273851337803159,0.08456068055328002,1712772986.6283891,5,0.023458298638425627,5,5.449664115905762,1.9492859840393066
0.03925880472741759,0.053694501838342665,0.05803524042798432,1712772986.962065,6,0.01443569711092507,6,5.783339977264404,2.2829947471618652
0.026156627482946965,0.032762568620760116,0.04601386757389588,1712772987.299825,7,0.00660594113781315,7,6.121099948883057,2.620692253112793
0.01907793700861792,0.023041715007416634,0.03887335529041171,1712772987.673376,8,0.0039637779987987155,8,6.4946510791778564,2.9943137168884277
0.012504862928537676,0.015352089474076154,0.03338653243408789,1712772988.11878,9,0.002847226545538478,9,6.940054893493652,3.439594030380249
0.008703298593829845,0.010605186816253597,0.03325636351230632,1712772988.5533192,10,0.0019018882224237528,10,7.374594211578369,3.8742315769195557
0.005441904061390898,0.00691903683930409,0.03168672332818264,1712772989.0216534,11,0.0014771327779131917,11,7.842928409576416,4.342538595199585
0.0040022166572014906,0.0054471601603296275,0.014594136445338449,1712772989.4913476,12,0.0014449435031281368,12,8.312622547149658,4.81222128868103
0.0033148734706098717,0.003614623920601934,0.01498446019891376,1712772989.9206457,13,0.0002997504499920623,13,8.741920709609985,5.241522789001465
0.002145693676529653,0.002452882649085603,0.010498311048270852,1712772990.3788295,14,0.0003071889725559496,14,9.200104475021362,5.699399948120117
0.0017781661943006184,0.0019321864094822138,0.011841846722816103,1712772990.8416348,15,0.00015402021518159543,15,9.662909746170044,6.161299228668213
0.0013776071567734747,0.0015790423616760538,0.013186091165553054,1712772991.3070889,16,0.000201435204902579,16,10.128363847732544,6.627974510192871
0.0008805436130838104,0.001145045895692954,0.014770856038085702,1712772991.7803462,17,0.0002645022826091435,17,10.601621150970459,7.101179599761963
0.0006388755375289759,0.000983518707659791,0.012364595742992306,1712772992.2432947,18,0.00034464317013081525,18,11.06456971168518,7.564215421676636
0.0005786831282215398,0.000835180010853891,0.011322461552520185,1712772992.7003038,19,0.00025649688263235115,19,11.521578788757324,8.021216630935669
0.0005571012328171309,0.0006581098487111071,0.007527870449980967,1712772993.6329908,21,0.00010100861589397618,20,12.454265832901001,8.953907012939453
0.00040949939111983413,0.0005199332910445605,0.006367718550711019,1712772994.1042871,22,0.00011043389992472639,21,12.925562143325806,9.42514181137085
0.00037424766864870674,0.00045362540131963636,0.005654322584172782,1712772994.5697112,23,7.937773267092963e-05,22,13.390986204147339,9.890636682510376
0.0002346834651187469,0.00027774772528938086,0.005536025857876806,1712772995.4973214,25,4.306426017063396e-05,23,14.318596363067627,10.818234920501709
0.00016577910195424522,0.0002266748442757319,0.006336999397746111,1712772996.4048965,27,6.089574232148669e-05,24,15.226171493530273,11.725813388824463
0.00013539379833335242,0.00019863217225897186,0.0066099982209364295,1712772996.8658006,28,6.323837392561945e-05,25,15.6870756149292,12.186716318130493
0.0001168009594876508,0.0001615951876562867,0.004305639460173297,1712772997.775688,30,4.479422816863591e-05,26,16.596962928771973,13.096585035324097
9.275256281134752e-05,0.00012393759401679096,0.0040505115018593905,1712772998.6990113,32,3.118503120544343e-05,27,17.520286321640015,14.019884586334229
9.460087268080718e-05,0.00011491628611865383,0.002988765151453336,1712772999.602193,34,2.0315413437846642e-05,28,18.423468112945557,14.923126459121704
8.498749128273389e-05,9.132210509333382e-05,0.001571547627173109,1712773000.5246027,36,6.334613810599933e-06,29,19.345877647399902,15.845529317855835
7.275331031830825e-05,7.817180577251252e-05,0.0021677949995993744,1712773001.8980234,39,5.4184954542042735e-06,30,20.719298362731934,17.218955278396606
6.698441780841943e-05,7.453290488522332e-05,0.002207171340008071,1712773002.7680554,41,7.548487076803885e-06,31,21.589330434799194,18.088775873184204
6.14555603666537e-05,6.860016983922e-05,0.001999069510111985,1712773004.1413074,44,7.144609472566299e-06,32,22.96258234977722,19.462135314941406
5.7499226408608874e-05,6.38587526766694e-05,0.0017776966699059751,1712773005.5280638,47,6.359526268060525e-06,33,24.34933876991272,20.848932027816772
5.4860015568424296e-05,5.7618860718358216e-05,0.0011935925760282343,1712773006.8890238,50,2.7588451499339186e-06,34,25.710298776626587,22.209943294525146
5.1695039071485765e-05,5.506190140741271e-05,0.0014750769610026395,1712773008.2180574,53,3.3668623359269435e-06,35,27.039332389831543,23.538963794708252
4.132098082712774e-05,4.854596571863984e-05,0.0019015057878686216,1712773010.0868206,57,7.224984891512102e-06,36,28.908095598220825,25.40770125389099
3.902758962824049e-05,4.502173949653849e-05,0.0017777398113022096,1712773011.4064279,60,5.994149868297997e-06,37,30.227702856063843,26.727349281311035
3.684478056177242e-05,4.1258150837186034e-05,0.001541211670621664,1712773013.2223938,64,4.413370275413614e-06,38,32.04366874694824,28.54326295852661
3.388122003142231e-05,3.683396673878931e-05,0.0013371431693247184,1712773015.0907369,68,2.952746707367e-06,39,33.91201186180115,30.411457300186157
