time,loss,_step,loss_interior,step,_timestamp,_runtime,l2_error,loss_boundary
1.242605447769165,48.68664260128643,0,48.673674241041596,0,1712772418.7599578,5.215746879577637,4.607869903677341,0.012968360244833192
1.3013973236083984,35.03987124524672,1,23.20256958309287,1,1712772418.8181405,5.273929595947266,0.7947988980562832,11.837301662153854
1.3577640056610107,12.566361772392245,2,12.037139513436156,2,1712772418.8744433,5.330232381820679,0.8217468253014097,0.5292222589560897
1.4182219505310059,7.189599721600839,3,6.480391751333569,3,1712772418.935152,5.390941143035889,0.7483734308850999,0.7092079702672707
1.4754748344421387,5.280474415621469,4,4.698605693935133,4,1712772418.992167,5.447956085205078,0.6752974117681957,0.581868721686336
1.530278205871582,4.197095139738868,5,3.721693482778385,5,1712772419.047036,5.502825021743774,0.5976285931559803,0.47540165696048303
1.5849535465240479,3.562918743770309,6,3.190016105710714,6,1712772419.101642,5.557430982589722,0.5948801958093698,0.3729026380595954
1.6393699645996094,3.1623367156255626,7,2.8196442543651776,7,1712772419.1572304,5.6130194664001465,0.42217452998858096,0.34269246126038494
1.694082498550415,2.2403238584811063,8,2.0537654431014793,8,1712772419.210807,5.666596174240112,0.4152005482169878,0.18655841537962695
1.7475311756134033,2.0300426321442804,9,1.8653519977351298,9,1712772419.2643244,5.720113515853882,0.29561950341277193,0.16469063440915074
1.8038640022277832,1.7966474479324126,10,1.6954872530807108,10,1712772419.3206575,5.776446580886841,0.3052845520266073,0.1011601948517018
1.8579339981079102,1.592017175705156,11,1.5009999343548448,11,1712772419.374709,5.830497980117798,0.23726408597139015,0.09101724135031117
1.9127130508422852,1.4451842282955694,12,1.3782450326259812,12,1712772419.4295175,5.8853065967559814,0.2233819341686728,0.06693919566958828
1.9678192138671875,1.316743081141374,13,1.2615114042747853,13,1712772419.484617,5.940406084060669,0.14062287833312132,0.05523167686658871
2.022948741912842,1.17284312380171,14,1.1431953741240777,14,1712772419.539761,5.995550155639648,0.13548750879578142,0.02964774967763241
2.0775153636932373,1.0574454613863482,15,1.0302143091632547,15,1712772419.594287,6.050076007843018,0.06972106656595693,0.027231152223093358
2.1322531700134277,0.8138557885826025,16,0.8019215720981565,16,1712772419.6490316,6.104820728302002,0.07465245808314523,0.01193421648444606
2.186448097229004,0.7569788717862013,17,0.7454194211293386,17,1712772419.7032378,6.159026861190796,0.0854879919429224,0.011559450656862666
2.2410757541656494,0.6884814872281427,18,0.674754765993949,18,1712772419.7578664,6.213655471801758,0.10175349780340077,0.013726721234193717
2.2951648235321045,0.614511315770617,19,0.5998447087395132,19,1712772419.8118882,6.267677307128906,0.09723278028477583,0.01466660703110374
2.401092767715454,0.555992790038572,20,0.5364842281217538,21,1712772419.917821,6.373610019683838,0.11412530564633136,0.01950856191681827
2.454704523086548,0.5152350569843166,21,0.4964619791508066,22,1712772419.971755,6.427544116973877,0.12347090077579496,0.018773077833509965
2.509302854537964,0.5038013376845364,22,0.48387076342325575,23,1712772420.0262654,6.4820544719696045,0.11936043223500689,0.01993057426128063
2.6132941246032715,0.460234859146545,23,0.43828452671309076,25,1712772420.130224,6.586013078689575,0.12501433139584972,0.02195033243345425
2.717489719390869,0.4267729500630379,24,0.40517204973457976,27,1712772420.2344217,6.690210819244385,0.12665905744775424,0.021600900328458142
2.77005934715271,0.4173399932133286,25,0.39573169952345905,28,1712772420.2864602,6.742249250411987,0.13116521237349582,0.02160829368986955
2.881636142730713,0.3906513806233152,26,0.3689070379036886,30,1712772420.4057071,6.861496210098267,0.12866545859858677,0.02174434271962663
2.9943127632141113,0.3746225531084054,27,0.3529628841792134,32,1712772420.510903,6.966691970825195,0.12594802285110526,0.021659668929192008
3.097783327102661,0.3601987972720725,28,0.3385929947329093,34,1712772420.6143558,7.070144891738892,0.12394407134360158,0.021605802539163173
3.200723886489868,0.3466948294723172,29,0.32569024644213224,36,1712772420.7173016,7.173090696334839,0.1221234240414155,0.021004583030185014
3.3725662231445312,0.32961255607795353,30,0.3099126501445189,39,1712772420.8891912,7.344980239868164,0.11433421986192013,0.019699905933434632
3.4780826568603516,0.28088982032869747,31,0.2636175064012981,41,1712772420.9946241,7.450413227081299,0.11220894304757116,0.017272313927399342
3.630685806274414,0.2656111162357231,32,0.2481972906720522,44,1712772421.1472418,7.6030309200286865,0.10936083443329458,0.017413825563670878
3.784766912460327,0.25538006622301274,33,0.23896431588361766,47,1712772421.3013644,7.757153511047363,0.10823779906737141,0.016415750339395067
3.937782049179077,0.2098206652103847,34,0.1946157944871405,50,1712772421.4543867,7.910175800323486,0.10115577613412721,0.01520487072324419
4.090795040130615,0.199563133220639,35,0.18444307738422686,53,1712772421.6073773,8.063166379928589,0.10117196158009334,0.015120055836412164
4.297390460968018,0.1911576388772837,36,0.17621012670212283,57,1712772421.8140824,8.269871473312378,0.09988429470199901,0.01494751217516087
4.451563358306885,0.17751315453165814,37,0.16339564271064191,60,1712772421.9682505,8.424039602279663,0.09129561194177548,0.014117511821016226
4.664234161376953,0.1375416742763808,38,0.12648282428736288,64,1712772422.1809063,8.636695384979248,0.08662896144601637,0.011058849989017927
4.875125169754028,0.13359509112127604,39,0.1230391306894982,68,1712772422.3917646,8.847553730010986,0.08503129279342332,0.010555960431777847
5.138927936553955,0.12906901394454293,40,0.11902482390585384,73,1712772422.6555827,9.111371755599976,0.08334065662979837,0.010044190038689083
5.348657131195068,0.12073026589573216,41,0.11196756627628424,77,1712772422.8652937,9.321082830429077,0.07767554536820037,0.008762699619447922
