step,l2_error,loss_boundary,_step,_timestamp,_runtime,loss_interior,loss,time
0,1.8938191304272447,2.8428219188771324,0,1715692076.3876948,5.673215866088867,0.00010162577213131824,2.842923544649264,1.6465158462524414
1,0.6112918530747313,2.8428129743865664,1,1715692076.8103747,6.095895767211914,0.0001016265354788714,2.8429146009220454,2.350093364715576
2,0.5903186702129084,0.3179913650738313,2,1715692077.2303758,6.515896797180176,0.0028685234011112375,0.3208598884749425,2.7701659202575684
3,0.701014532033797,0.23346162976789944,3,1715692077.651363,6.936883926391602,0.04066694972334481,0.27412857949124425,3.191192626953125
4,0.5546908145914279,0.23716460807425002,4,1715692078.073351,7.358871936798096,0.01310438034796004,0.25026898842221007,3.612974166870117
5,0.510410978936542,0.21028163309121606,5,1715692078.4945915,7.7801125049591064,0.002801076759217216,0.21308270985043326,4.034279823303223
6,0.5730822458934405,0.17388558088261347,6,1715692078.9172513,8.202772378921509,0.0231467672438358,0.19703234812644926,4.455653190612793
7,0.5224154517672752,0.1764588474841535,7,1715692079.3386192,8.62414026260376,0.015016893927634414,0.19147574141178791,4.87831974029541
8,0.3513831865256483,0.17312054299271876,8,1715692079.7597766,9.045297622680664,0.002349710510711568,0.17547025350343032,5.2990899085998535
9,0.3837840255973412,0.12388219001058008,9,1715692080.1813114,9.466832399368286,0.023805726387367637,0.1476879163979477,5.720622777938843
10,0.34703998025730265,0.09449729250519266,10,1715692080.6030025,9.888523578643799,0.025254539613461212,0.11975183211865387,6.142099618911743
11,0.35607691334148744,0.07906612847233487,11,1715692081.025109,10.310630083084106,0.031496514437726435,0.11056264291006129,6.564423322677612
12,0.2970150756473962,0.06696692798276316,12,1715692081.4464304,10.731951475143433,0.015616669796798816,0.08258359777956198,6.985736608505249
13,0.27212526666337866,0.05891121973651711,13,1715692081.8679094,11.153430461883545,0.018710130445992512,0.07762135018250962,7.407208681106567
14,0.18611828593011137,0.06029763700938888,14,1715692082.289747,11.575268030166626,0.012155803511124821,0.0724534405205137,7.829042434692383
15,0.1919384189765661,0.03632646052130442,15,1715692082.7113256,11.996846675872803,0.01632595155076962,0.05265241207207404,8.250597953796387
16,0.20833165063636125,0.033900061285147415,16,1715692083.1328871,12.418408155441284,0.013154343601687041,0.047054404886834454,8.672142744064331
17,0.1860791673553127,0.030961309400687115,17,1715692083.5551426,12.84066367149353,0.011469292808123517,0.04243060220881063,9.094366073608398
18,0.16833245433232064,0.02611299982181074,18,1715692083.9767294,13.262250423431396,0.012092197242294373,0.03820519706410511,9.515996217727661
19,0.13953162570829403,0.023519351858831732,19,1715692084.3988426,13.684363603591919,0.01352480792840907,0.0370441597872408,9.938100576400757
20,0.14128021578651107,0.019671256125557455,20,1715692084.8201969,14.105717897415161,0.014319068543237045,0.0339903246687945,10.359423398971558
21,0.15611450301068017,0.017414453549887493,21,1715692085.2436705,14.529191493988037,0.014754565661761598,0.032169019211649094,10.782942056655884
22,0.16321666360736042,0.015377633610666621,22,1715692085.6645691,14.950090169906616,0.013217992489630213,0.028595626100296832,11.203831672668457
23,0.16599547070426507,0.01507811968932271,23,1715692086.086537,15.372057914733887,0.011450883552463218,0.026529003241785927,11.625816345214844
24,0.13367815418851584,0.01502924054400378,24,1715692086.5108056,15.796326637268066,0.00904746605175515,0.02407670659575893,12.050049781799316
25,0.1169654240592323,0.011726214646585504,25,1715692086.9324584,16.217979431152344,0.007575374422301254,0.01930158906888676,12.471676349639893
26,0.09922486193646339,0.01057914664375144,26,1715692087.3541837,16.639704704284668,0.006882491746646141,0.01746163839039758,12.893328666687012
27,0.08302820351605132,0.009743015987339607,27,1715692087.77721,17.06273102760315,0.0037090557110601653,0.013452071698399772,13.316303730010986
28,0.08106700158253931,0.008609218110463173,28,1715692088.2009935,17.486514568328857,0.0034234913163373563,0.01203270942680053,13.740046977996826
29,0.08610565103830822,0.006370120714237209,29,1715692088.6235013,17.909022331237793,0.0027594926765003034,0.009129613390737513,14.162631511688232
30,0.08648412198332787,0.005498185249925015,30,1715692089.0453165,18.33083748817444,0.002210166235222026,0.007708351485147041,14.584412336349487
31,0.08020341661097895,0.0047911429766814,31,1715692089.4679968,18.753517866134644,0.001784010387045912,0.0065751533637273115,15.006996393203735
32,0.07621555401283965,0.004008529378507347,32,1715692089.8898752,19.17539620399475,0.0015941129859113545,0.0056026423644187015,15.428915739059448
33,0.06343550333242053,0.0035670671381825025,33,1715692090.3126135,19.598134517669678,0.0015329648060147982,0.005100031944197301,15.851632833480835
34,0.060651345182546175,0.0026337180057058544,34,1715692090.7348478,20.020368814468384,0.0014650191039829188,0.0040987371096887736,16.273890018463135
35,0.05286119079506744,0.002344799062361559,35,1715692091.1572392,20.442760229110718,0.0014065136273628026,0.0037513126897243615,16.696276903152466
36,0.050980063516843706,0.0019505771008598409,36,1715692091.579271,20.864792108535767,0.0013769083253369913,0.003327485426196832,17.11826729774475
37,0.04905251265261711,0.0018387954173217061,37,1715692092.0019,21.287420988082886,0.0011792841105489206,0.0030180795278706265,17.54080104827881
38,0.048701729295139086,0.0017756209504100739,38,1715692092.423868,21.709388971328735,0.0011416298669335244,0.0029172508173435983,17.962857723236084
39,0.047611455077039025,0.001735343463035731,39,1715692092.847276,22.13279700279236,0.0009029082172816671,0.002638251680317398,18.3860080242157
40,0.048152178042426594,0.0015607287001826804,40,1715692093.2699568,22.55547785758972,0.0008189804162611966,0.002379709116443877,18.80875301361084
42,0.0434649997410779,0.0013867588579436767,41,1715692094.0945563,23.380077362060547,0.00046296154396252104,0.0018497204019061978,19.63348913192749
