loss_boundary,loss_interior,_runtime,step,time,_step,l2_error,_timestamp,loss
2.8428219188771324,0.00010162577213131824,6.2399866580963135,0,2.1346139907836914,0,0.606116306401373,1715684446.6587555,2.842923544649264
0.3810315104274411,0.0041224674511345216,7.0374226570129395,1,3.1815385818481445,1,0.7080386116661445,1715684447.4561915,0.38515397787857564
0.31203021095271904,0.003457557848038917,7.834457874298096,2,3.9799346923828125,2,0.7444622561934661,1715684448.2532268,0.31548776880075796
0.3074464038703781,0.0028146490157277566,8.632657527923584,3,4.778132438659668,3,0.7742232560527407,1715684449.0514264,0.31026105288610584
0.30537955053201404,0.0019121381700847116,9.432858228683472,4,5.578217029571533,4,0.8131927786245626,1715684449.851627,0.3072916887020988
0.30327387525387256,0.0009041098067909125,10.23040246963501,5,6.37575626373291,5,0.8216622794260348,1715684450.6491714,0.30417798506066346
0.2972251963017376,0.002786445929584469,11.030333042144775,6,7.17552638053894,6,0.7722973907401283,1715684451.449102,0.3000116422313221
0.26838123009904746,0.019570994063841697,11.829455614089966,7,7.974743127822876,7,0.6767448289795321,1715684452.2482245,0.2879522241628892
0.2317653651723548,0.04989092824503458,12.627368688583374,8,8.77263879776001,8,0.6277876537151531,1715684453.0461376,0.2816562934173894
0.2180800936380533,0.06239736795309231,13.427165985107422,9,9.572361707687378,9,0.5511132352147584,1715684453.8459349,0.2804774615911456
0.20669222635376389,0.07066200798665896,14.225694179534912,10,10.37093734741211,10,0.49061796659283896,1715684454.644463,0.27735423434042283
0.2208565511231088,0.049264829763058876,15.02457857131958,11,11.169631481170654,11,0.5323059657893437,1715684455.4433475,0.27012138088616766
0.2432692587764662,0.0028366929343627456,15.826252698898315,12,11.971136569976807,12,0.5881539506584899,1715684456.2450216,0.24610595171082897
0.22943691063468868,0.0010402743340221694,16.627127408981323,13,12.772105932235718,13,0.652651651961226,1715684457.0458963,0.23047718496871086
0.2142760490377706,0.0015977160741372594,17.425069332122803,14,13.570272445678711,14,0.664559722237384,1715684457.8438382,0.21587376511190784
0.1969502315521425,0.0057633055779623705,18.2231183052063,15,14.368273258209229,15,0.6321359270538647,1715684458.6418872,0.20271353713010487
0.18229959963063572,0.014409709909188448,19.02350878715515,16,15.168709993362427,16,0.5776816051886444,1715684459.4422777,0.19670930953982416
0.16623145398451272,0.02723533575729389,19.82239079475403,17,15.967531681060791,17,0.5525735444326282,1715684460.2411597,0.19346678974180662
0.1612856948302267,0.03109369991529571,20.620665311813354,18,16.76584005355835,18,0.5171195674016864,1715684461.0394342,0.1923793947455224
0.15951347346822728,0.02932961882060848,21.41909694671631,19,17.56424331665039,19,0.5050188098742079,1715684461.8378658,0.18884309228883575
0.1650182259960836,0.020243473099911792,22.21815061569214,20,18.36334538459778,20,0.510431639825615,1715684462.6369195,0.18526169909599538
0.17219188637457444,0.011381917516587445,23.016874074935913,21,19.16206645965576,21,0.5166689265289437,1715684463.435643,0.1835738038911619
0.17422333079518187,0.00883975625392214,23.81724739074707,22,19.96239161491394,22,0.5464654263691991,1715684464.2360163,0.183063087049104
0.17515033458283708,0.004999583086896761,24.61739158630371,23,20.76210117340088,23,0.5760987876732834,1715684465.0361605,0.18014991766973384
0.15018440167956096,0.015050506494038916,25.41910219192505,24,21.56407117843628,24,0.43153976557011375,1715684465.837871,0.16523490817359987
0.12122797363794621,0.02319903571495602,26.2181556224823,25,22.363107204437256,25,0.4398570796019778,1715684466.6369245,0.14442700935290223
0.125816869319383,0.013219258677020874,27.019076585769653,26,23.16387128829956,26,0.4462353973104178,1715684467.4378455,0.13903612799640386
0.12668305574481392,0.011410891510464968,27.82506251335144,27,23.96963858604431,27,0.4543436677776172,1715684468.2438314,0.1380939472552789
0.1102711326614893,0.01848159990010562,28.62541103363037,28,24.770254611968994,28,0.3999895008350697,1715684469.04418,0.12875273256159492
0.09548336456280965,0.028840999667562754,29.428176164627075,29,25.57279634475708,29,0.3409726098107915,1715684469.846945,0.12432436423037241
0.08626747083425043,0.03426543611262653,30.22895383834839,30,26.37378239631653,30,0.35962560358168033,1715684470.6477227,0.12053290694687696
0.09050151089492625,0.024357070316849676,31.0346417427063,31,27.1794536113739,31,0.3712084494388975,1715684471.4534106,0.11485858121177593
0.09235149688762277,0.021526723304156198,31.834274768829346,32,27.979079961776733,32,0.4025423957063272,1715684472.2530437,0.11387822019177897
0.09402014675831068,0.01774625473675191,32.63482904434204,33,28.77967667579651,33,0.3625707282821434,1715684473.053598,0.11176640149506259
0.07962160449304417,0.022831220053267477,33.43489933013916,34,29.57977843284607,34,0.19958090491533403,1715684473.8536682,0.10245282454631165
0.047473144309861375,0.021810348652336387,34.239646196365356,35,30.384475708007812,35,0.21751019367411903,1715684474.658415,0.06928349296219777
0.0481735063103601,0.014666490401766532,35.04137182235718,36,31.18609070777893,36,0.2235218209822296,1715684475.4601407,0.06283999671212663
0.04813035902788701,0.014382428602127618,35.84235334396362,37,31.98713517189026,37,0.24633673021123156,1715684476.2611222,0.06251278763001462
0.04713801001060928,0.014233234716773234,36.643189430236816,38,32.78798699378967,38,0.26281533607390745,1715684477.0619583,0.061371244727382514
0.0438015671362639,0.013160966758835414,37.44409441947937,39,33.58894062042236,39,0.2538332440122017,1715684477.8628633,0.05696253389509932
0.03989091824640432,0.015742167871912727,38.24551272392273,40,34.39033627510071,40,0.22315159695708323,1715684478.6642816,0.05563308611831705
0.02897864009952665,0.012240428689416138,39.82912254333496,42,35.97395610809326,41,0.19245833442097104,1715684480.2478914,0.04121906878894279
