time,_timestamp,step,loss,_runtime,l2_error,loss_boundary,loss_interior,_step
2.9987423419952393,1729110097.8868148,0,2.842923544649264,3.927741765975952,1.2612307969600332,2.8428219188771324,0.00010162577213131824,0
9.089345455169678,1729110103.750685,1,2.1442679147207664,9.791611909866333,1.5762171397125573,0.6954300098141887,1.4488379049065776,1
11.414631128311157,1729110106.0756192,2,1.7775077695099524,12.116546154022217,1.7188484909995818,1.2287922371618234,0.548715532348129,2
13.929734230041504,1729110108.5910609,3,1.6389976167724216,14.631987810134888,1.2114447517564875,1.527589722633003,0.1114078941394185,3
17.62247920036316,1729110112.2854943,4,0.8910862344874075,18.32642126083374,0.21994251396583092,0.8739233031081415,0.01716293137926605,4
20.959105491638184,1729110115.6201282,5,0.1115539704768703,21.661055088043213,0.06561863042458257,0.06387248067914314,0.04768148979772716,5
30.72872757911682,1729110125.389844,6,0.01683224987500413,31.430770874023438,0.06947171431219949,0.0031504429379636185,0.01368180693704051,6
34.90950679779053,1729110129.5705583,7,0.012075129197307688,35.61148524284363,0.038107661615512996,0.005599209497334507,0.00647591969997318,7
44.9170560836792,1729110139.5780702,8,0.003843914874503528,45.61899709701538,0.03197511883313306,0.0011819063828403837,0.0026620084916631442,8
50.14536809921265,1729110144.8067205,9,0.0012443650298361775,50.84764742851257,0.04015967009651958,0.0009036372782091906,0.0003407277516269868,9
57.17607831954956,1729110151.8371322,10,0.0011835709427408564,57.87805914878845,0.0447760656785746,0.0009955606672863361,0.00018801027545452015,10
64.41383099555969,1729110159.0749688,11,0.0010427995279950909,65.11589574813843,0.021657168592440663,0.0009272001728044309,0.00011559935519065989,11
83.88437390327454,1729110178.5454159,12,0.0003448996908634285,84.58634281158447,0.018191681908013173,0.00022153749369940284,0.00012336219716402563,12
88.32337284088135,1729110182.9844003,13,0.00027169703682957037,89.02532720565796,0.01800988829595689,0.00017351371110657893,9.818332572299144e-05,13
94.09384298324585,1729110188.7548509,14,0.00027271743393306294,94.79577779769897,0.01776272921292305,0.00017909105843985418,9.362637549320877e-05,14
98.2193398475647,1729110192.8803945,15,0.0002625077715012221,98.92132139205933,0.017178051823068526,0.00017613766998962792,8.637010151159419e-05,15
105.65272331237793,1729110200.314048,16,0.00023950901451184854,106.35497498512268,0.016708791193215486,0.00016306393512916496,7.644507938268356e-05,16
110.25606560707092,1729110204.9172843,17,0.00022729753499698161,110.95821118354797,0.016895930469227233,0.00016287677661240492,6.442075838457669e-05,17
114.98557901382446,1729110209.6466568,18,0.00022575582999856587,115.68758368492126,0.016179618833306177,0.00016728071894211007,5.847511105645582e-05,18
123.75375080108643,1729110218.4148452,19,0.0001985393608182285,124.45577216148376,0.015503628418735092,0.00015270538731731653,4.583397350091197e-05,19
128.32109212875366,1729110222.9822278,20,0.00016548300815042628,129.02315473556519,0.015436992569632444,0.0001369459183450954,2.85370898053309e-05,20
132.97046375274658,1729110227.6315446,21,0.00016110667672095407,133.6724715232849,0.01484597662559227,0.00013936795281378495,2.1738723907169104e-05,21
137.19760942459106,1729110231.858691,22,0.0001507362683748712,137.89961791038513,0.01423737759119094,0.0001352289870076489,1.5507281367222286e-05,22
142.47974753379822,1729110237.1408498,23,0.00014001288239593203,143.18177676200867,0.013965366711948625,0.00012597089614184087,1.4041986254091152e-05,23
151.91183638572693,1729110246.573102,24,0.00013823593201026446,152.61402893066406,0.013305116997781929,0.00012602471768658594,1.2211214323678522e-05,24
159.834645986557,1729110254.49592,25,9.391310501609042e-05,160.5368468761444,0.008675083786050778,6.916772652787875e-05,2.4745378488211676e-05,25
180.46734499931335,1729110275.1284795,26,4.486846180410946e-05,181.16940641403198,0.0079774220326171,2.8535720183914783e-05,1.6332741620194674e-05,26
184.23530530929565,1729110278.896342,27,3.637331402750672e-05,184.93726897239685,0.007661340455405371,3.276192739341753e-05,3.6113866340891886e-06,27
191.37082695960999,1729110286.0318527,28,3.243730980228755e-05,192.07277965545654,0.007248153308472693,3.011629864908257e-05,2.321011153204979e-06,28
198.69075894355774,1729110293.3517873,29,2.881232755079425e-05,199.39271426200867,0.006804784057993738,2.7306287224515096e-05,1.506040326279154e-06,29
206.80135703086853,1729110301.462399,30,2.5367463653409692e-05,207.50332593917847,0.006335530805812368,2.427070030731886e-05,1.0967633460908331e-06,30
216.03974747657776,1729110310.7008033,31,2.3030037229926222e-05,216.74173021316528,0.00583292004145473,2.1928750245894213e-05,1.1012869840320093e-06,31
223.0289180278778,1729110317.6901383,32,2.0272315188486027e-05,223.7310652732849,0.005324576427593986,1.9186730922073723e-05,1.0855842664123038e-06,32
228.3173644542694,1729110322.9783902,33,1.8732055858916193e-05,229.01931715011597,0.004728337545996098,1.7121716462868916e-05,1.610339396047276e-06,33
248.8287706375122,1729110343.4899118,34,1.5323149007227007e-05,249.53083872795105,0.0040612766435537415,1.3556307349680486e-05,1.76684165754652e-06,34
254.24283170700073,1729110348.9039207,35,1.230889877924501e-05,254.94484758377075,0.0038606797814728887,1.0282490015621725e-05,2.026408763623285e-06,35
265.24024748802185,1729110359.9013364,36,1.1328945964544864e-05,265.94226336479187,0.0035977527244916113,9.394011336732195e-06,1.9349346278126686e-06,36
273.97058963775635,1729110368.6317294,37,9.530130590522191e-06,274.6726562976837,0.0035125974238800917,7.865887674542866e-06,1.664242915979325e-06,37
278.67396664619446,1729110373.3352766,38,8.98711676543148e-06,279.3762035369873,0.0033208792304278436,7.697865647223471e-06,1.2892511182080095e-06,38
