_timestamp,loss,step,_runtime,l2_error,loss_boundary,loss_interior,_step,time
1715434778.8752823,49.67380864958415,0,5.451601266860962,3.894510283078114,0.004055179010242898,49.66975347057391,0,1.0690913200378418
1715434778.900185,71.74382211977839,1,5.47650408744812,2.3520171908308254,5.821437943174817,65.92238417660357,1,1.4629249572753906
1715434778.9240415,53.09353013860699,2,5.500360488891602,3.830268566292647,3.7578200103963244,49.335710128210664,2,1.4850659370422363
1715434778.9479296,58.26907434676451,3,5.5242486000061035,1.6387327305091883,8.93335978052031,49.3357145662442,3,1.5094640254974365
1715434778.9717166,51.37593517781844,4,5.548035621643066,1.6555556126155877,2.040192945737885,49.335742232080555,4,1.533245325088501
1715434778.995477,50.081281821180525,5,5.57179594039917,3.5484267986497433,0.7455448794369959,49.33573694174353,5,1.556861400604248
1715434779.0195448,54.228445566078314,6,5.5958638191223145,3.1261957822972777,4.892703923876909,49.335741642201405,6,1.58052659034729
1715434779.0442183,52.99228505918906,7,5.620537281036377,1.2245183210157002,3.656535204598845,49.33574985459021,7,1.6059496402740479
1715434779.0688272,49.64035057285296,8,5.645146131515503,0.9992785765436782,0.30459617035651687,49.33575440249644,8,1.6311519145965576
1715434779.0930526,50.26437517766983,9,5.669371604919434,2.114985821194323,0.9286166891389819,49.33575848853084,9,1.6549193859100342
1715434779.116805,52.46660348963737,10,5.693124055862427,1.780782991447058,3.1308467219800122,49.33575676765736,10,1.6787371635437012
1715434779.1381938,51.67764460762146,11,5.714512825012207,0.45471421277303725,2.3419032531983897,49.33574135442307,11,1.7030746936798096
1715434779.1582918,49.62014126044793,12,5.7346107959747314,1.3416505006519224,0.28441574362406935,49.335725516823864,12,1.7247772216796875
1715434779.1785116,49.741498676205104,13,5.754830598831177,2.351343785528306,0.40578069629092495,49.33571797991418,13,1.7445111274719238
1715434779.198796,51.18813249061031,14,5.775115013122559,2.281329607200647,1.8524174124270323,49.33571507818328,14,1.7647969722747803
1715434779.2187817,51.05475485138022,15,5.795100688934326,1.2999452718936515,1.7190408009469016,49.33571405043332,15,1.7849915027618408
1715434779.2386427,49.70386652612252,16,5.814961671829224,0.3027620737107701,0.3681525892289204,49.3357139368936,16,1.80472731590271
1715434779.2585893,49.449483988679,17,5.8349082469940186,1.0793678850699597,0.11376964451608403,49.335714344162916,17,1.8250846862792969
1715434779.278618,50.381647364080955,18,5.8549370765686035,1.2079570452760933,1.0459331013983761,49.33571426268258,18,1.8442332744598389
1715434779.2986326,50.58301358357938,19,5.874951601028442,0.5705254422430861,1.2473010166681504,49.335712566911226,19,1.8648178577423096
1715434779.3186662,49.73753220886025,20,5.894985198974609,0.6569991188521824,0.40182108194827276,49.33571112691198,20,1.8846964836120605
1715434779.3389397,49.35175859327789,21,5.9152586460113525,1.5017297240319343,0.016048090385549833,49.33571050289234,21,1.905034065246582
1715434779.3595123,49.90230629431532,22,5.935831308364868,1.7453240748899976,0.5665960187735196,49.33571027554181,22,1.9254872798919678
1715434779.3796592,50.19671244201569,23,5.955978155136108,1.2927217114791592,0.8610022434344681,49.33571019858122,23,1.945775032043457
1715434779.399483,49.69752512274224,24,5.975801944732666,0.4901269199898285,0.36181494782264767,49.3357101749196,24,1.965524673461914
1715434779.4193232,49.33584517898942,25,5.995642185211182,0.4885824438662006,0.00013501293317435094,49.33571016605625,25,1.985032558441162
1715434779.4389093,49.65381360549491,26,6.015228271484375,0.7323136688972121,0.31810344524394807,49.33571016025096,26,2.0045464038848877
1715434779.4586787,49.91713573537724,27,6.0349977016448975,0.4506257070656773,0.5814255805813698,49.33571015479587,27,2.024833917617798
1715434779.4789338,49.61607698019767,28,6.05525279045105,0.47165236981254494,0.2803668306892868,49.33571014950838,28,2.044870376586914
1715434779.4989543,49.33650295989655,29,6.075273275375366,1.077298702213272,0.0007928148490964046,49.33571014504745,29,2.0649828910827637
1715434779.5190694,49.533017806499714,30,6.095388412475586,1.3253901525640437,0.1973076646854644,49.335710141814246,30,2.0850746631622314
1715434779.5391629,49.726609846420835,31,6.115481853485107,1.067058076612619,0.39089970670786844,49.335710139712965,31,2.1052443981170654
1715434779.5591433,49.5263836524404,32,6.135462284088135,0.5220385577107096,0.19067351407091865,49.335710138369485,32,2.1248743534088135
1715434779.5787923,49.335971027282525,33,6.155111312866211,0.31981825346246673,0.000260889898170545,49.33571013738435,33,2.144319534301758
1715434779.5984006,49.47723277781207,34,6.174719572067261,0.43392172962776254,0.14152264132557735,49.33571013648649,34,2.16424560546875
1715434779.6182117,49.5995448169431,35,6.194530725479126,0.30237487434751753,0.2638346813684111,49.33571013557469,35,2.1836934089660645
1715434779.6378453,49.44866131122861,36,6.2141642570495605,0.5329455931169091,0.11295117653163865,49.335710134696974,36,2.203731060028076
1715434779.6573172,49.33635797578286,37,6.233636140823364,0.9354673485066817,0.0006478418278951796,49.33571013395497,37,2.2226712703704834
1715434779.6766937,49.45081804974026,38,6.253012657165527,1.042079990548644,0.1151079163365243,49.33571013340374,38,2.2420237064361572
1715434779.696318,49.51065670695341,39,6.272636890411377,0.7944062465738164,0.17494657392060067,49.33571013303281,39,2.2620112895965576
1715434779.715998,49.39005739609838,40,6.292316913604736,0.4169375120620253,0.05434726330332678,49.33571013279505,40,2.2820353507995605
1715434779.7480388,49.43474829162216,42,6.324357748031616,0.30018622138963996,0.09903815912000047,49.33571013250216,41,2.3134050369262695
1715434779.805324,49.41791063600875,46,6.381643056869507,0.7991681816737087,0.08220050395782218,49.33571013205093,42,2.3706111907958984
