step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,49.67380864958415,5.473740100860596,1.518589973449707,0.580755049787879,49.66975347057391,0.004055179010242898,1715520929.0548992
1,1,49.673760184800486,5.677274227142334,1.9819846153259277,2.02953402413066,49.669705624730085,0.004054560070398593,1715520929.2584333
2,2,51.93522912789359,5.875565767288208,2.180485486984253,2.1770600837834793,49.025182148269735,2.910046979623859,1715520929.456725
3,3,70.68229728163331,6.07830810546875,2.3832790851593018,0.8679764009742144,67.26321312298366,3.419084158649649,1715520929.6594672
4,4,47.393715470696776,6.282704830169678,2.58762264251709,2.5827740884901043,47.2605216483287,0.13319382236807742,1715520929.863864
5,5,88.03015198287669,6.486348867416382,2.791084051132202,1.6784515736583305,83.0740311958478,4.956120787028897,1715520930.067508
6,6,27.624261342177363,6.691426753997803,2.9963905811309814,0.7435127964664808,25.767293692203822,1.8569676499735426,1715520930.2725859
7,7,12.838666534703801,6.898789882659912,3.2020649909973145,0.5781661750448766,12.318597853621098,0.5200686810827033,1715520930.479949
8,8,11.285822778959117,7.10614275932312,3.411079168319702,0.9422417360253409,10.975264506464308,0.3105582724948101,1715520930.6873019
9,9,8.582295668237617,7.315342664718628,3.617713212966919,0.6397049406053648,8.102566342836438,0.4797293254011791,1715520930.8965018
10,10,7.440459114823381,7.521978855133057,3.8269660472869873,0.2574382167955774,7.156497645725596,0.2839614690977843,1715520931.103138
11,11,6.0260042995826595,7.734984397888184,4.035682678222656,0.4625892783393753,5.959905638020006,0.06609866156265376,1715520931.3161435
12,12,3.587046331507703,7.9426562786102295,4.247552871704102,0.18824805410197523,3.4578034759226473,0.12924285558505572,1715520931.5238154
13,13,2.5154860390145997,8.151831150054932,4.456735372543335,0.21262072599901088,2.462567970318952,0.05291806869564798,1715520931.7329903
14,14,1.8591859873628214,8.359389066696167,4.6642231941223145,0.19374661754336905,1.7905957560208616,0.06859023134195974,1715520931.9405482
15,15,1.1048660579348208,8.568570613861084,4.8735151290893555,0.23617328464381743,1.0429771479808725,0.06188890995394833,1715520932.1497297
16,16,0.7960973672621428,8.780378580093384,5.085149526596069,0.2388621591168539,0.7187748330515268,0.07732253421061601,1715520932.3615377
17,17,0.715043207916058,8.986679792404175,5.291691064834595,0.21449809519821028,0.634879516307904,0.08016369160815412,1715520932.567839
18,18,0.5941619913133402,9.197525262832642,5.502078533172607,0.22524611800360184,0.5281123508055464,0.06604964050779386,1715520932.7786844
19,19,0.538855731035969,9.413032054901123,5.717714071273804,0.2568821845254517,0.47384131377664135,0.06501441725932758,1715520932.9941912
20,20,0.43839184041595086,9.6206796169281,5.925598621368408,0.25092644825859584,0.38238269533168995,0.05600914508426089,1715520933.2018387
21,21,0.3652703429462083,9.830714225769043,6.13553261756897,0.21459068753824684,0.32329148569213406,0.041978857254074256,1715520933.4118733
22,22,0.29052924730027585,10.04205322265625,6.346260070800781,0.17155596911975693,0.2596862368477786,0.030843010452497273,1715520933.6232123
23,23,0.2569576837262542,10.250226974487305,6.555208683013916,0.09963970076436299,0.23640925817715341,0.020548425549100788,1715520933.831386
24,24,0.22387567636918868,10.45914888381958,6.764042854309082,0.06554975273153417,0.2121183557563753,0.011757320612813368,1715520934.040308
25,25,0.19440040812233858,10.66779899597168,6.972820520401001,0.10047002733126602,0.18384097926492987,0.0105594288574087,1715520934.248958
26,26,0.1497513294187579,10.874569177627563,7.179497718811035,0.10522420009901941,0.1334388365379195,0.016312492880838424,1715520934.4557283
27,27,0.13033026140629558,11.08351731300354,7.3884265422821045,0.08994770510577625,0.11424705303091703,0.01608320837537855,1715520934.6646764
28,28,0.11806043376686697,11.2895028591156,7.59436559677124,0.08767787831360527,0.10420029408738689,0.013860139679480072,1715520934.870662
29,29,0.09293207045666745,11.505926132202148,7.810313940048218,0.11835099217182293,0.08266348929927943,0.01026858115738802,1715520935.0870852
30,30,0.07864506852967638,11.712706089019775,8.017718076705933,0.13897020501882984,0.06707304298692578,0.011572025542750608,1715520935.2938652
31,31,0.06364618502702873,11.919672966003418,8.224581003189087,0.13061901981720522,0.05149857732526145,0.012147607701767277,1715520935.500832
32,32,0.04367837427267372,12.134580135345459,8.439089298248291,0.11942856260698308,0.033505835676153416,0.010172538596520304,1715520935.7157393
33,33,0.036198932717399906,12.341644048690796,8.646480560302734,0.09545667716754333,0.027269265509642295,0.00892966720775761,1715520935.9228032
34,34,0.030708910497125735,12.552098512649536,8.857002019882202,0.07804869029864198,0.023301664229054053,0.007407246268071682,1715520936.1332576
35,35,0.02710324121271729,12.763341188430786,9.068333864212036,0.0642234511351439,0.020471738039878246,0.006631503172839043,1715520936.3445003
36,36,0.024952190309259943,12.970479011535645,9.27531886100769,0.05466880393765772,0.018768881877987104,0.006183308431272838,1715520936.5516381
37,37,0.02323364001295956,13.177443981170654,9.482253551483154,0.04699660564115254,0.017447907318973985,0.005785732693985576,1715520936.758603
38,38,0.02106554089242994,13.38781452178955,9.692720890045166,0.04684732729440956,0.015817083095129955,0.005248457797299985,1715520936.9689736
39,39,0.01930362726844835,13.599853992462158,9.904757738113403,0.04761920696801749,0.014243194054532395,0.005060433213915957,1715520937.181013
40,40,0.017756352849781387,13.808316469192505,10.11327862739563,0.05111655363759883,0.013007640944103728,0.004748711905677659,1715520937.3894756
42,41,0.014270063205669082,14.225577354431152,10.530271530151367,0.06009790101577121,0.010341792596624844,0.003928270609044238,1715520937.8067365
46,42,0.012209521717076227,15.039558410644531,11.344120740890503,0.049139624274818966,0.009007041974066161,0.003202479743010066,1715520938.6207175
