l2_error,loss_boundary,time,_timestamp,_step,loss_interior,loss,_runtime,step
0.5807574177759904,0.004055179010242898,1.5963165760040283,1715441616.465367,0,49.66975347057391,49.67380864958415,5.673804998397827,0
0.607619475110207,0.004054829845766987,2.0568666458129883,1715441616.663227,1,49.6696634051294,49.67371823497516,5.871665000915527,1
1.4480693660478874,0.05639479050148719,2.2533621788024902,1715441616.8594153,2,55.42677414773843,55.48316893823991,6.067853212356567,2
0.4283587808319079,3.1897938937133907,2.4475388526916504,1715441617.0536408,3,460.92215979714763,464.111953690861,6.262078762054443,3
1.1399426295261954,0.265004792720494,2.643786668777466,1715441617.2502344,4,80.75836877608282,81.02337356880331,6.458672285079956,4
1.0046431457831213,0.4608048297254599,2.8423357009887695,1715441617.4487338,5,156.3671442904324,156.82794912015785,6.657171726226807,5
1.1408812455880328,0.29680489600387205,3.042198896408081,1715441617.64863,6,42.601147242880074,42.897952138883944,6.857067823410034,6
1.2164305308787065,0.35614755713092894,3.242157220840454,1715441617.8499808,7,110.73013417235701,111.08628172948794,7.0584187507629395,7
1.1076374229171142,0.5140473760685963,3.4432125091552734,1715441618.0495963,8,241.85133767777666,242.36538505384524,7.2580342292785645,8
1.061718456992584,0.44617351753783935,3.642879009246826,1715441618.2492235,9,104.39438059616464,104.84055411370248,7.457661390304565,9
1.0158656049165673,0.49560802863053216,3.8415379524230957,1715441618.4479241,10,25.671438379246947,26.16704640787748,7.656362056732178,10
0.938489605336285,0.5311346572176396,4.039961576461792,1715441618.646257,11,7.757597546925976,8.288732204143615,7.854694843292236,11
0.8957731539124951,0.4740201376329491,4.2436203956604,1715441618.850083,12,2.828823359622986,3.302843497255935,8.058521032333374,12
0.7101397668220505,0.43606966433207844,4.4466564655303955,1715441619.0531077,13,1.320177047744155,1.7562467120762335,8.261545658111572,13
0.7154621853955262,0.2751697594983945,4.651787519454956,1715441619.2582319,14,1.1301783451896734,1.405348104688068,8.466669797897339,14
0.6629653405942482,0.28347076973145074,4.857542276382446,1715441619.4639556,15,0.43891379666621916,0.7223845663976699,8.672393560409546,15
0.6031165434622526,0.2515005618473833,5.061208486557007,1715441619.6677108,16,0.28525527816944796,0.5367558400168313,8.876148700714111,16
0.4821165040220849,0.21391499164989583,5.261347770690918,1715441619.8678358,17,0.17668663435227397,0.3906016260021698,9.076273679733276,17
0.4812578085947197,0.14069427160582587,5.464487552642822,1715441620.070922,18,0.18640816011974137,0.32710243172556724,9.279359817504883,18
0.44935601774078204,0.14158397559174887,5.668322324752808,1715441620.2747028,19,0.09395651037624181,0.23554048596799068,9.483140707015991,19
0.43059310416803626,0.12691581451119652,5.872910737991333,1715441620.4793787,20,0.07127352154615597,0.1981893360573525,9.687816619873047,20
0.3726644491679189,0.11813573079110916,6.0774757862091064,1715441620.6841433,21,0.04556041260324308,0.16369614339435223,9.892581224441528,21
0.3365314046167889,0.09235351522758613,6.2815001010894775,1715441620.8879418,22,0.05569445272867077,0.1480479679562569,10.09637975692749,22
0.3144149212162919,0.0792698196946257,6.485258102416992,1715441621.091611,23,0.026490991630979815,0.10576081132560551,10.300048828125,23
0.2841772598544204,0.07182171237390263,6.683842897415161,1715441621.2902634,24,0.022414516622720832,0.09423622899662346,10.498701333999634,24
0.2462619934044664,0.0619509522673024,6.887162923812866,1715441621.4935834,25,0.0151285719250913,0.0770795241923937,10.702021360397339,25
0.22903277806178385,0.05075711267428109,7.090371131896973,1715441621.6968172,26,0.018324259130073534,0.06908137180435463,10.90525507926941,26
0.2099801157751499,0.04598984873054689,7.294456720352173,1715441621.9010668,27,0.011988477727881263,0.05797832645842815,11.109504699707031,27
0.19570328443641835,0.04104385961249617,7.496179819107056,1715441622.1025536,28,0.010622567661116784,0.05166642727361295,11.310991525650024,28
0.17888272394952684,0.03757745182862578,7.698299407958984,1715441622.3047965,29,0.007932282267712554,0.04550973409633833,11.513234376907349,29
0.17323070015113823,0.03344478925718355,7.897830963134766,1715441622.5042353,30,0.006863428613840155,0.040308217871023705,11.71267318725586,30
0.1634724702391241,0.032017145033734616,8.100138902664185,1715441622.70656,31,0.004992877810246262,0.037010022843980875,11.914997816085815,31
0.16071489164491595,0.029493497060891386,8.301558256149292,1715441622.908007,32,0.005767493761700948,0.035260990822592334,12.116444826126099,32
0.15544672812385202,0.028748895412174673,8.502612113952637,1715441623.109001,33,0.003607506330074026,0.0323564017422487,12.317438840866089,33
0.13698457529931277,0.02742942766245128,8.699962377548218,1715441623.3063304,34,0.002930117109826902,0.03035954477227818,12.514768362045288,34
0.1376490692601122,0.0229404293600628,8.898183107376099,1715441623.5045857,35,0.004977746420014542,0.027918175780077343,12.713023662567139,35
0.13673176508109539,0.023026463244164835,9.09668517112732,1715441623.7030995,36,0.002933133264567732,0.025959596508732568,12.911537408828735,36
0.1340787134520806,0.02264625287812128,9.29512357711792,1715441623.9015088,37,0.0018199194651671862,0.024466172343288465,13.109946727752686,37
0.12912886843848073,0.021856191243521794,9.49751591682434,1715441624.1039033,38,0.0016850353375969752,0.02354122658111877,13.312341213226318,38
0.11574812726925858,0.020523147364070408,9.700616359710693,1715441624.3072777,39,0.0019322224830800815,0.022455369847150488,13.515715599060059,39
0.11248172362502741,0.017134412949589468,9.902307271957397,1715441624.5087678,40,0.0032747368390549218,0.02040914978864439,13.71720576286316,40
0.10690489134976638,0.015022087740957871,10.30055284500122,1715441624.907123,41,0.002433098287652576,0.01745518602861045,14.11556100845337,42
