_step,l2_error,step,_timestamp,loss_boundary,_runtime,loss,loss_interior,time
0,0.44483202163720215,0,1714520764.0747695,0.008788884612366111,5.596716403961182,48.95553827928032,48.946749394667954,1.3836965560913086
1,0.3195462407066248,1,1714520764.385546,0.0029182037222975988,5.9074928760528564,47.90045968558898,47.89754148186668,2.0779991149902344
2,0.2972531689997582,2,1714520764.6717713,0.03395429189143718,6.193718194961548,42.619992622509706,42.586038330618265,2.364374876022339
3,0.35491360088969276,3,1714520764.9630675,0.07907677199076163,6.48501443862915,33.56065916732046,33.481582395329696,2.65549898147583
4,0.39746039593686644,4,1714520765.2422962,0.10878832602635956,6.764243125915527,24.438715646771502,24.329927320745142,2.9349184036254883
5,0.4022353564356247,5,1714520765.5292256,0.14144878847982165,7.051172494888306,15.885429350984431,15.743980562504609,3.220729112625122
6,0.43126828461695876,6,1714520765.8250918,0.14257258468744027,7.347038745880127,9.310104969368021,9.16753238468058,3.5173661708831787
7,0.43196568306811217,7,1714520766.1062143,0.1819230965679926,7.628161191940308,7.297480173696276,7.115557077128283,3.798722505569458
8,0.44865458264533065,8,1714520766.3927264,0.17627792624239025,7.914673328399658,6.267806303869391,6.091528377627001,4.085155248641968
9,0.448153916790847,9,1714520766.6881232,0.19362980841555694,8.210070133209229,5.110299782948843,4.916669974533286,4.3806211948394775
10,0.45026648922046725,10,1714520766.981822,0.18682288796416344,8.503768920898438,4.332488703833006,4.145665815868842,4.6743104457855225
11,0.456613569495872,11,1714520767.255774,0.19209691250303831,8.777720928192139,3.817201814502916,3.625104901999878,4.947969913482666
12,0.451964958357765,12,1714520767.53032,0.19377582229956508,9.052266836166382,3.449510148788441,3.2557343264888763,5.222838640213013
13,0.4753365767805384,13,1714520767.8028886,0.19243215435632918,9.324835538864136,3.132474944420226,2.9400427900638966,5.49543571472168
14,0.4532479642775203,14,1714520768.0747328,0.20873143536503302,9.5966796875,1.8019521438878932,1.5932207085228602,5.767235279083252
15,0.4623670983336614,15,1714520768.348737,0.19173391056745795,9.870683908462524,1.5361635776162226,1.3444296670487645,6.041267156600952
16,0.4515711969854534,16,1714520768.6216795,0.19954797289801707,10.14362645149231,1.4239985599559497,1.2244505870579327,6.314196825027466
17,0.4574665778936548,17,1714520768.909637,0.19130713351407802,10.431583881378174,1.341740778414871,1.150433644900793,6.602106332778931
18,0.4568474090238936,18,1714520769.2162886,0.19653035762732815,10.738235473632812,1.2297859379923104,1.0332555803649823,6.908803462982178
19,0.4569660571453013,19,1714520769.496306,0.19752909606970853,11.018252849578857,1.047907692217132,0.8503785961474235,7.18880033493042
20,0.4411077953160384,20,1714520769.77482,0.19771484490765484,11.296766996383667,0.9687456817833227,0.7710308368756678,7.467352867126465
21,0.4484489190240523,21,1714520770.0549695,0.1861495684228777,11.576916456222534,0.8520210989931253,0.6658715305702476,7.747499465942383
22,0.4504748236795558,22,1714520770.3380938,0.19189488984963743,11.860040664672852,0.7837805248237109,0.5918856349740734,8.030630350112915
23,0.4472651035391448,23,1714520770.613063,0.19438896835672126,12.135010004043579,0.729379155537154,0.5349901871804328,8.305527210235596
24,0.4438996464254598,24,1714520770.890771,0.19146770532074622,12.412717819213867,0.6901997050814785,0.4987319997607323,8.58322811126709
25,0.4468171847161231,25,1714520771.1668286,0.18948408969217692,12.688775539398193,0.6637417422200834,0.47425765252790647,8.85938835144043
26,0.4400400503482926,26,1714520771.4376814,0.19139587181264753,12.959628343582153,0.64100107701694,0.4496052052042924,9.13023591041565
27,0.44276373356004517,27,1714520771.7120473,0.18687719412829149,13.233994245529175,0.6211266541273982,0.4342494599991067,9.404568672180176
28,0.4261651327777699,28,1714520771.9839356,0.18874423883005384,13.505882501602173,0.5993203261718191,0.4105760873417652,9.676501989364624
29,0.43279347422714365,29,1714520772.2573938,0.17785113048940926,13.779340744018555,0.4884283589081825,0.3105772284187732,9.949904918670654
30,0.4268462062154502,30,1714520772.5365276,0.18209263936022832,14.05847454071045,0.4450103388612642,0.2629176995010359,10.228987216949463
31,0.4295292669125581,31,1714520772.8118014,0.17813538213769237,14.33374834060669,0.43000672840378557,0.2518713462660932,10.504287242889404
32,0.4137116295586745,32,1714520773.085778,0.1797721608206004,14.607724905014038,0.4186208355518701,0.23884867473126967,10.778247356414795
33,0.4203960060884396,33,1714520773.3611443,0.1691522802056833,14.88309121131897,0.38166650583750494,0.21251422563182162,11.053768634796143
34,0.41483808329486205,34,1714520773.634682,0.1731836232426586,15.156628847122192,0.3517734074753552,0.17858978423269659,11.327123880386353
35,0.4175551151610843,35,1714520773.906081,0.16962637520921614,15.428027868270874,0.34665323066267195,0.17702685545345578,11.59859037399292
36,0.4101761613103535,36,1714520774.1781938,0.171176743750804,15.700140714645386,0.3393106942643594,0.1681339505135554,11.870702981948853
37,0.4131384252447212,37,1714520774.4518135,0.16625326586620956,15.97376036643982,0.3276180374334582,0.16136477156724863,12.144338130950928
38,0.4062048996638119,38,1714520774.7248065,0.16794910928239346,16.246753454208374,0.32080023559898113,0.15285112631658768,12.417322158813477
39,0.40911438491176894,39,1714520775.0025134,0.16342186323459515,16.524460315704346,0.31262049646088264,0.14919863322628749,12.695006132125854
40,0.4016493229541818,40,1714520775.287067,0.16501816290451626,16.809013843536377,0.3060787640390916,0.14106060113457536,12.979566097259521
41,0.4016096870853927,42,1714520775.8333008,0.16197944967819206,17.355247735977173,0.29404656304703813,0.13206711336884608,13.52583622932434
42,0.39250280588570585,46,1714520776.9792683,0.15517424874339886,18.50121521949768,0.2713057473066727,0.11613149856327384,14.671744346618652
43,0.38614071898620134,50,1714520778.0645995,0.1492754061182984,19.586546421051025,0.2534515394697956,0.10417613335149721,15.757088661193848
44,0.3742726250537196,55,1714520779.4525275,0.13733188000553398,20.97447443008423,0.239005653532817,0.101673773527283,17.14501428604126
45,0.3603555597158123,61,1714520781.120451,0.13026061975077394,22.6423978805542,0.21039425553958213,0.0801336357888082,18.81294894218445
46,0.3509136037331145,67,1714520782.749038,0.12388277833574031,24.270984888076782,0.19894552605225496,0.07506274771651464,20.441554307937622
47,0.3367483243760066,73,1714520784.3819852,0.11392127967176274,25.903932094573975,0.1850825915594072,0.07116131188764448,22.07447385787964
48,0.32028449748359245,81,1714520786.5649612,0.10384451961082819,28.086908102035522,0.16824036823982647,0.06439584862899826,24.257445335388184
49,0.30492747502176226,89,1714520788.8072758,0.09533640328317369,30.329222679138184,0.1523892137771954,0.05705281049402171,26.49978232383728
50,0.2879572434340186,98,1714520791.2997124,0.08663191664915319,32.821659326553345,0.1356219728098153,0.048990056160662106,28.992024660110474
51,0.2605158507447995,107,1714520793.7761004,0.07461456521881733,35.29804730415344,0.11503848745866113,0.040423922239843806,31.468639850616455
52,0.24277588596085214,118,1714520796.969576,0.06233585383625267,38.491522789001465,0.09801304244338348,0.03567718860713081,34.66187024116516
53,0.2020214813794949,130,1714520800.2699986,0.04386924480376566,41.791945457458496,0.0754040202685678,0.031534775464802135,37.962411642074585
54,0.17740923201725142,143,1714520803.8620217,0.033744802003507525,45.38396859169006,0.05743025083293811,0.023685448829430588,41.554465770721436
55,0.1477459104895435,157,1714520807.7499812,0.0303036324440487,49.27192807197571,0.051739719534101114,0.021436087090052413,45.442288875579834
56,0.14073017675115612,172,1714520811.9202273,0.022605488762459373,53.442174196243286,0.0394943716108786,0.016888882848419225,49.612648487091064
57,0.09386277901127434,190,1714520816.9441726,0.012290093469417975,58.46611952781677,0.02446541098018889,0.012175317510770913,54.63642597198486
58,0.08909396935770704,208,1714520822.3620422,0.012002263710830963,63.883989095687866,0.020702163809003048,0.008699900098172085,60.05437445640564
59,0.07941426567958274,229,1714520828.4915001,0.010152016031283368,70.01344704627991,0.017411079428365825,0.007259063397082455,66.18362259864807
60,0.07957682327552792,252,1714520834.867135,0.010064279050662395,76.38908195495605,0.017091743992922924,0.007027464942260529,72.55930995941162
61,0.07528009773440697,277,1714520841.7966144,0.00904311367921525,83.3185613155365,0.014984306013157476,0.005941192333942226,79.48882126808167
62,0.07146062776190644,305,1714520849.5355594,0.008618289269956175,91.05750632286072,0.014191694377035772,0.005573405107079598,87.22729516029358
