_step,l2_error,step,_timestamp,loss_boundary,_runtime,loss,loss_interior,time
63,0.07082291922248024,335,1714520857.8801243,0.008173227638868656,99.40207123756409,0.013082433254678063,0.004909205615809407,95.57230019569397
64,0.06728474694789818,369,1714520867.1937492,0.00725200671749015,108.71569609642029,0.011660144839336577,0.004408138121846428,104.88594150543213
65,0.06609278393716882,406,1714520877.373987,0.006975574221246401,118.89593386650085,0.011174053685689769,0.004198479464443368,115.06611227989197
66,0.06158387147919148,446,1714520888.4621007,0.006134461403841256,129.9840476512909,0.009666861190604186,0.0035323997867629294,126.15432262420654
67,0.06014464581763461,491,1714520900.893866,0.005896357770426118,142.41581296920776,0.009188524702703637,0.0032921669322775187,138.58612775802612
68,0.05527130313553855,540,1714520914.3453534,0.0049620263763777055,155.86730027198792,0.0072729702253308045,0.002310943848953099,152.03752279281616
69,0.05364851839871572,594,1714520929.1900725,0.004685014284396354,170.71201944351196,0.006679219965258383,0.001994205680862029,166.88248014450073
70,0.05143862008523222,653,1714520945.5350451,0.004310204043985115,187.0569920539856,0.005935124510571346,0.0016249204665862308,183.22729349136353
71,0.05038925375115163,718,1714520963.4311426,0.004120755549855214,204.9530894756317,0.005555150930261843,0.0014343953804066298,201.12330603599548
72,0.048985785079306336,790,1714520983.2522814,0.003877997750745902,224.77422833442688,0.005088168950581538,0.0012101711998356354,220.94447493553162
73,0.048240484837909436,869,1714521004.9536657,0.003757383232447748,246.47561264038086,0.0048620942613372764,0.0011047110288895283,242.64597487449646
74,0.04746749402373848,956,1714521028.8413754,0.0036298801925074425,270.3633222579956,0.004630511641469795,0.0010006314489623526,266.53363394737244
75,0.04691949422150264,1052,1714521055.443582,0.0035325410629724534,296.96552896499634,0.004456296167608312,0.0009237551046358583,293.1357350349426
76,0.04619445648963006,1157,1714521084.4966307,0.0034207214319996013,326.0185775756836,0.004262057631569609,0.0008413361995700076,322.1888346672058
77,0.04557524807713872,1272,1714521116.2636316,0.003296674708756172,357.7855784893036,0.004055893777851865,0.0007592190690956932,353.9557521343231
78,0.044577491051329965,1400,1714521151.3330853,0.00312665933481792,392.85503220558167,0.003799665850014422,0.0006730065151965022,389.02535820007324
79,0.04355456992200615,1539,1714521189.660668,0.0029731609179948957,431.1826148033142,0.0035715534686386005,0.0005983925506437047,427.35307574272156
80,0.042799188701257006,1693,1714521232.030316,0.002835313526944238,473.5522630214691,0.003380925397188633,0.0005456118702443948,469.7226278781891
81,0.041311006930235455,1863,1714521280.016941,0.002604964364536381,521.5388879776001,0.0031212056405899224,0.0005162412760535413,517.7090485095978
82,0.040148491974159144,2049,1714521331.9641721,0.002453512586244258,573.4861190319061,0.0029390469255327215,0.0004855343392884633,569.6552522182465
83,0.039076678128920406,2254,1714521389.1774971,0.0023349655823074124,630.6994440555573,0.002796327132014122,0.00046136154970670927,626.869654417038
84,0.03822471364736097,2479,1714521451.7341402,0.002233141157489219,693.256087064743,0.0026757901127137497,0.0004426489552245308,689.4263160228729
85,0.0373083058439223,2727,1714521520.764418,0.002133221412062296,762.2863647937775,0.0025591551901365346,0.00042593377807423864,758.4566147327423
86,0.036335077105334256,3000,1714521596.6040347,0.002024923466860807,838.1259815692902,0.0024333876657978174,0.0004084641989370105,834.2961502075195
87,0.035434638471080644,3299,1714521680.034135,0.0019268316817064885,921.5560820102692,0.0023173405196196513,0.000390508837913163,917.7263584136963
88,0.0346240058839695,3594,1714521762.3224697,0.0018421251942159387,1003.8444166183472,0.0022165309883188703,0.0003744057941029317,1000.0145943164825
