_runtime,_timestamp,loss,_step,loss_boundary,loss_interior,time,l2_error,step
26.300708055496216,1712927136.059727,48.95554335584125,0,0.008788889092245525,48.946754466749006,1.0057973861694336,0.6017461632554548,0
26.315112829208374,1712927136.0741317,48.879335078870604,1,0.007301321082705364,48.8720337577879,1.3370585441589355,0.583027261779559,1
26.32543420791626,1712927136.084453,48.74505343932168,2,0.004961389098314824,48.74009205022337,1.347106695175171,0.5586545817966588,2
26.334675073623657,1712927136.093694,48.5744448887126,3,0.002562071490739875,48.571882817221855,1.3562557697296143,0.5311265952662846,3
26.343831777572632,1712927136.1028507,48.38667997496875,4,0.0007729647238380104,48.385907010244914,1.3654098510742188,0.5023519682751649,4
26.35304284095764,1712927136.1120617,48.194054530133826,5,1.2741161305925555e-05,48.19404178897252,1.374668836593628,0.47338987820893824,5
26.363280534744263,1712927136.1222994,48.0001750617985,6,0.0004874835941367311,47.999687578204366,1.3838202953338623,0.44442088660763107,6
26.372758865356445,1712927136.1317778,47.80006018133366,7,0.002339057074838826,47.79772112425882,1.3943417072296143,0.4149281167173595,7
26.381977558135986,1712927136.1409965,47.580989080902285,8,0.005841477370789138,47.5751476035315,1.403573751449585,0.3840921840988977,8
26.391201734542847,1712927136.1502206,47.32296899070997,9,0.011624106824777877,47.31134488388519,1.4128015041351318,0.3515547583068825,9
26.40036940574646,1712927136.1593883,46.998065829403956,10,0.02095409047186403,46.977111738932095,1.421938180923462,0.31907513118261366,10
26.4093599319458,1712927136.1683788,46.5681347397721,11,0.03614992621618698,46.53198481355591,1.4309260845184326,0.29413601905981857,11
26.41838502883911,1712927136.177404,45.98037276733767,12,0.06120237505378304,45.91917039228389,1.4399669170379639,0.29501189468698247,12
26.42772126197815,1712927136.1867402,45.159028380586676,13,0.10259663051730755,45.05643175006937,1.4493119716644287,0.3466067670007413,13
26.436834573745728,1712927136.1958535,43.987604396664835,14,0.17002477882052566,43.81757961784431,1.4584031105041504,0.45956169529334934,14
26.45352578163147,1712927136.2125447,39.57131958605423,15,0.43109634353232695,39.140223242521905,1.475188970565796,0.8160903330287265,16
26.462762355804443,1712927136.2217813,34.95748819333844,16,0.6320973797178511,34.325390813620594,1.4844493865966797,0.9918819554374322,17
26.471904277801514,1712927136.2309232,26.343846462406624,17,0.844781436521567,25.499065025885056,1.4935262203216553,1.1542670198187404,18
26.488365411758423,1712927136.2473843,28.445384839981248,18,2.151236742004614,26.294148097976635,1.5099639892578125,1.7876465452330847,20
26.497286558151245,1712927136.2563055,18.33122713393355,19,2.096760537802098,16.23446659613145,1.5190134048461914,0.9157583907043282,21
26.51384925842285,1712927136.2728682,19.798263556855158,20,0.6659285418658384,19.13233501498932,1.535459280014038,1.257666005678446,23
26.522934913635254,1712927136.2819538,15.198027195377765,21,1.1527052432496143,14.04532195212815,1.544588327407837,1.3367782020334722,24
26.539567708969116,1712927136.2985866,23.612279519137303,22,1.3687650349560498,22.243514484181254,1.5611920356750488,1.289713356615298,26
26.556099891662598,1712927136.3151188,13.19251511871664,23,1.6877747828760046,11.504740335840635,1.577695608139038,1.6832006997311364,28
26.583993196487427,1712927136.343012,13.336863555749092,24,0.8137429046637343,12.523120651085359,1.605602741241455,0.7760927254467107,31
26.6012704372406,1712927136.3602893,13.058411786966516,25,0.7401310414952346,12.318280745471283,1.6229932308197021,1.1013815389058852,33
26.618249893188477,1712927136.3772688,11.602487662260884,26,1.2910256340655542,10.311462028195331,1.639892578125,1.0785889069907149,35
26.64225172996521,1712927136.4012706,9.559031645051348,27,1.419166834335627,8.139864810715721,1.6639769077301025,1.2532541883924755,38
26.668319702148438,1712927136.4273386,7.126233783598674,28,1.1463039661369014,5.979929817461772,1.6901955604553223,0.9854720044355126,41
26.691771030426025,1712927136.45079,7.833790465046575,29,0.9427877266625778,6.891002738383997,1.713613510131836,0.8780373039363069,44
26.722415685653687,1712927136.4814346,7.7904605593051,30,0.8631040369291004,6.927356522376,1.744272232055664,0.9176301321186102,48
26.74568510055542,1712927136.504704,7.218897094147675,31,0.9537857392142214,6.265111354933453,1.7675552368164062,1.019088315886044,51
26.775583267211914,1712927136.5346022,6.451433690288188,32,0.8425268541951709,5.608906836093017,1.7974536418914795,1.0336418589743044,55
26.805690050125122,1712927136.564709,5.212878535876963,33,0.43755858710020945,4.775319948776754,1.827622890472412,0.67437256280843,59
26.842891693115234,1712927136.6019106,2.9941976962283734,34,0.6117700758655095,2.382427620362864,1.864790439605713,0.7713130049395707,64
26.88002061843872,1712927136.6390395,2.9478414432435454,35,0.5988540143114686,2.3489874289320767,1.9019012451171875,0.7050096111498695,69
26.916810274124146,1712927136.6758292,2.3616548239678856,36,0.4401733563299044,1.921481467637981,1.9387085437774658,0.655841291976191,74
26.961453914642334,1712927136.7204728,1.7995965355477397,37,0.3921722015948969,1.4074243339528427,1.9834089279174805,0.6060904273757013,80
27.005189895629883,1712927136.7642088,1.1730044395464498,38,0.22195305324863895,0.9510513862978109,2.027123212814331,0.44215455826025635,86
27.055718421936035,1712927136.8147373,0.41560132200912414,39,0.03430440656386889,0.38129691544525524,2.077636480331421,0.11409003286030481,93
27.107200145721436,1712927136.866219,0.16133135823844955,40,0.03050969593579999,0.13082166230264955,2.1291394233703613,0.1797584761702556,100
27.15891671180725,1712927136.9179356,0.13961078220537598,41,0.059549980967485455,0.08006080123789054,2.180812120437622,0.23756331832402586,107
27.21921443939209,1712927136.9782333,0.11463463214325154,42,0.04720605887110841,0.06742857327214313,2.241124391555786,0.1847864027639774,115
