_step,loss_boundary,step,l2_error,loss,_runtime,time,_timestamp,loss_interior
0,0.008788889092245518,0,1.5020113500230114,48.04487896124718,4.637604475021362,1.0470759868621826,1711568086.7821684,48.036090072154934
1,1.7509540608665863,1,1.7535189520669743,16.12176571105589,4.85938572883606,1.2694063186645508,1711568087.0039496,14.370811650189305
2,2.2086992232640417,2,1.3599725511613834,86.9984958060369,5.124290704727173,1.5343539714813232,1711568087.2688546,84.78979658277285
3,1.6074910375511402,3,1.0003509190898077,6.7966397727638475,5.363773584365845,1.7738401889801025,1711568087.5083375,5.189148735212707
4,1.0059773600496071,4,0.5312378061463976,3.9591124900187986,5.629729509353638,2.0397770404815674,1711568087.7742934,2.9531351299691915
5,0.29760492744374956,5,0.41488523137674443,2.1980712767799035,5.865907430648804,2.27596378326416,1711568088.0104713,1.9004663493361538
6,0.11085216040416879,6,0.18895043716324558,0.6101138155111154,6.106244087219238,2.516291379928589,1711568088.250808,0.49926165510694664
7,0.039682232903760474,7,0.10793495674843484,0.26377552284490935,6.343426704406738,2.7535321712493896,1711568088.4879906,0.22409328994114888
8,0.017429862288472972,8,0.10149080413680266,0.11497605342420242,6.581359148025513,2.9914448261260986,1711568088.725923,0.09754619113572945
9,0.011295041796430195,9,0.06506074621820825,0.06179263856904024,6.818925142288208,3.229008197784424,1711568088.963489,0.05049759677261005
10,0.008044998867650872,10,0.06152271886183417,0.033764289882775744,7.102697372436523,3.5126829147338867,1711568089.2472613,0.025719291015124872
11,0.006643028189809631,11,0.06265557701196921,0.02497265176104802,7.398080587387085,3.808145046234131,1711568089.5426445,0.01832962357123839
12,0.006111850374864085,12,0.06380703919680417,0.02173907971993797,7.696232080459595,4.106188774108887,1711568089.840796,0.015627229345073882
13,0.006202053815649893,13,0.05634439479139838,0.018794149631078193,7.983357906341553,4.392057657241821,1711568090.1279218,0.012592095815428299
14,0.005573485521475155,14,0.06026443192271469,0.01639930523500887,8.230479717254639,4.640538454055786,1711568090.3750436,0.010825819713533713
15,0.005563896317522399,15,0.06223913949357957,0.013646342080023313,8.489969968795776,4.900040864944458,1711568090.634534,0.008082445762500915
16,0.00530282403239257,16,0.055236168489215,0.011639631687232308,8.73496675491333,5.144680023193359,1711568090.8795307,0.006336807654839739
17,0.004960321836534789,17,0.0535490132689506,0.010108926952205754,9.010419607162476,5.420441389083862,1711568091.1549835,0.0051486051156709655
18,0.004830788177920993,18,0.05478677017898707,0.009376273217951439,9.302365779876709,5.712416410446167,1711568091.4469297,0.004545485040030445
19,0.004742833507614689,19,0.05457271814823849,0.008684677922111566,9.589974164962769,6.00000524520874,1711568091.734538,0.003941844414496877
20,0.004556661691874394,21,0.052166266672171384,0.007589299822700786,10.070720672607422,6.480739593505859,1711568092.2152846,0.003032638130826392
21,0.0044703941409209415,22,0.05162874388288814,0.007325156119779464,10.35708737373352,6.7670676708221436,1711568092.5016513,0.002854761978858523
22,0.004409667468535899,23,0.05120410002748339,0.006963770469672748,10.634613513946533,7.04464316368103,1711568092.7791774,0.002554103001136849
23,0.004012515687645666,25,0.047909887796233626,0.006360938999008794,11.140023946762085,7.550082445144653,1711568093.2845879,0.002348423311363129
24,0.003184681799581229,27,0.041863203376473174,0.004832177912501278,11.682833671569824,8.092917203903198,1711568093.8273976,0.0016474961129200488
25,0.00302866412397248,28,0.04123783909369697,0.00445349617096856,11.920579671859741,8.330665588378906,1711568094.0651436,0.0014248320469960793
26,0.002678846454949828,30,0.036501483272743246,0.0038262447013924722,12.395936012268066,8.805707693099976,1711568094.5405,0.0011473982464426443
27,0.002126008729380728,32,0.032383939403797656,0.002874144423012067,12.868021249771118,9.278070449829102,1711568095.0125852,0.0007481356936313389
28,0.0015684033912387206,34,0.02897020362979686,0.0020920140386995103,13.399249792098999,9.809321403503418,1711568095.5438137,0.0005236106474607896
29,0.0012820875981338024,36,0.02440737242883482,0.0017853881676227112,13.995811700820923,10.405799150466919,1711568096.1403756,0.0005033005694889089
30,0.0009499129923870843,39,0.022665262329461432,0.0014010840054149358,14.744024991989136,11.154093265533447,1711568096.888589,0.00045117101302785147
31,0.0007333746965077876,41,0.019734640875278365,0.0012014035069774448,15.311887264251709,11.721967458724976,1711568097.4564512,0.00046802881046965726
32,0.0003085858451550549,44,0.013338405918664422,0.0008962472300857948,16.144904851913452,12.55498480796814,1711568098.2894688,0.0005876613849307399
33,0.00018328165963812294,47,0.009812166702823859,0.0005330297556310411,16.948033809661865,13.358098030090332,1711568099.0925977,0.00034974809599291814
34,0.00012765854246811457,50,0.008611405718174748,0.0004113023227731668,17.74202561378479,14.152077436447144,1711568099.8865895,0.00028364378030505227
35,7.451634747736065e-05,53,0.005018834173352018,0.00027710780848614957,18.592267274856567,15.001319646835327,1711568100.7368312,0.0002025914610087889
36,3.398456854199644e-05,57,0.003654292751652665,0.0001733498589094641,19.702516078948975,16.11254644393921,1711568101.84708,0.00013936529036746766
37,2.613509560672278e-05,60,0.0032878570703849326,0.0001342909681177002,20.488232135772705,16.89830756187439,1711568102.632796,0.00010815587251097742
38,2.1255310845188523e-05,64,0.003214754791266497,0.00010769843033874679,21.563156127929688,17.973177433013916,1711568103.70772,8.644311949355826e-05
39,1.4733029041072431e-05,68,0.0026930393202067417,8.620660424273265e-05,22.62917923927307,19.03921103477478,1711568104.7737432,7.147357520166023e-05
40,1.5077405704906325e-05,73,0.0026474804646235608,6.301614493091809e-05,23.85221242904663,20.262293100357056,1711568105.9967763,4.793873922601177e-05
41,1.3569408913265192e-05,77,0.002497429638512843,5.53609240278895e-05,24.931278944015503,21.341312408447266,1711568107.0758429,4.179151511462431e-05
42,1.1158715777051029e-05,82,0.002344300450696143,4.8202112700670435e-05,26.293118715286255,22.702805757522583,1711568108.4376826,3.7043396923619404e-05
43,9.774698635490554e-06,88,0.002170731413312535,3.9604753992996526e-05,27.869412660598755,24.279470920562744,1711568110.0139766,2.983005535750597e-05
44,7.092840399806129e-06,93,0.0017894784800188694,3.2023092336700895e-05,29.073206424713135,25.483227014541626,1711568111.2177703,2.4930251936894768e-05
45,5.866546015507401e-06,99,0.001714598054670918,2.441753633119512e-05,30.585143566131592,26.995184183120728,1711568112.7297075,1.855099031568772e-05
46,5.574552533412248e-06,106,0.0016787094148436603,1.831447610083537e-05,32.43780565261841,28.84775948524475,1711568114.5823696,1.273992356742312e-05
47,4.572487514318474e-06,113,0.0013628944252202916,1.5138926414797902e-05,34.375680923461914,30.78577971458435,1711568116.5202448,1.0566438900479427e-05
48,3.8783381189060375e-06,120,0.0012769967923725208,1.2657119323993494e-05,36.113309144973755,32.52333879470825,1711568118.257873,8.778781205087455e-06
49,3.7512373391981504e-06,128,0.00115479512235995,1.1379270509804212e-05,38.2001838684082,34.61026859283447,1711568120.3447478,7.628033170606062e-06
50,3.813828149999457e-06,136,0.0011756192722946193,9.83505769249614e-06,40.18441390991211,36.594417333602905,1711568122.3289778,6.021229542496684e-06
51,3.1812549199788186e-06,145,0.0011250219279211047,8.105335745418102e-06,42.50181436538696,38.91165542602539,1711568124.6463783,4.924080825439284e-06
52,2.8219037688124123e-06,154,0.0010293749776086637,7.099285175197792e-06,44.77521586418152,41.185187578201294,1711568126.9197798,4.27738140638538e-06
53,1.8701769858147582e-06,164,0.0008886087263944956,5.276633587156368e-06,47.358463525772095,43.7685284614563,1711568129.5030274,3.40645660134161e-06
54,1.7021258653493804e-06,175,0.0007695074578485439,4.521502056254979e-06,50.138015031814575,46.54806709289551,1711568132.282579,2.8193761909055984e-06
55,1.4685288265714027e-06,186,0.0007565844732834996,3.871025650414544e-06,52.90038013458252,49.310402631759644,1711568135.044944,2.402496823843142e-06
56,1.4477219224957663e-06,198,0.0007531407619224146,3.7918661369976524e-06,53.33517527580261,49.745216369628906,1711568135.4797392,2.3441442145018863e-06
57,1.447009710783512e-06,211,0.0007526226670527646,3.7897164554457883e-06,53.60630822181702,50.01639223098755,1711568135.7508721,2.3427067446622764e-06
58,1.4466163442046976e-06,224,0.0007524027604972811,3.78814263778993e-06,53.85068964958191,50.26077342033386,1711568135.9952536,2.3415262935852324e-06
59,1.4462729498939715e-06,238,0.0007522412426485839,3.786600473544314e-06,54.15216422080994,50.56225109100342,1711568136.2967281,2.340327523650343e-06
60,1.4459582828070414e-06,254,0.0007521110692205572,3.785160714542995e-06,54.47466707229614,50.88464379310608,1711568136.619231,2.3392024317359535e-06
61,1.4459582828070414e-06,270,0.0007521110692205572,3.785160714542995e-06,54.66633105278015,51.076409339904785,1711568136.810895,2.3392024317359535e-06
62,1.4459582828070414e-06,288,0.0007521110692205572,3.785160714542995e-06,54.91735529899597,51.32743191719055,1711568137.0619192,2.3392024317359535e-06
63,1.4459582828070414e-06,306,0.0007521110692205572,3.785160714542995e-06,55.126277685165405,51.5363392829895,1711568137.2708416,2.3392024317359535e-06
64,1.4459582828070414e-06,326,0.0007521110692205572,3.785160714542995e-06,55.35952854156494,51.769612312316895,1711568137.5040925,2.3392024317359535e-06
65,1.4459582828070414e-06,347,0.0007521110692205572,3.785160714542995e-06,55.60305213928223,52.01313900947571,1711568137.747616,2.3392024317359535e-06
66,1.4459582828070414e-06,369,0.0007521110692205572,3.785160714542995e-06,55.919079542160034,52.329095125198364,1711568138.0636435,2.3392024317359535e-06
67,1.4459582828070414e-06,393,0.0007521110692205572,3.785160714542995e-06,56.252105951309204,52.66218090057373,1711568138.3966699,2.3392024317359535e-06
68,1.4459582828070414e-06,418,0.0007521110692205572,3.785160714542995e-06,56.571022748947144,52.98091793060303,1711568138.7155867,2.3392024317359535e-06
69,1.4459582828070414e-06,445,0.0007521110692205572,3.785160714542995e-06,56.9311466217041,53.34122347831726,1711568139.0757105,2.3392024317359535e-06
