time,_runtime,step,_step,_timestamp,loss_interior,l2_error,loss_boundary,loss
1.2218632698059082,4.680819749832153,0,0,1711569186.3331769,48.036090072154934,0.2975760600300008,0.008788889092245518,48.04487896124718
1.5137689113616943,4.973448753356934,1,1,1711569186.6258059,40.824674827411606,0.46868492657572725,0.11330415388271825,40.93797898129432
1.7819247245788574,5.2405946254730225,2,2,1711569186.8929517,32.291369037735635,0.585863830529103,0.23364179023735349,32.52501082797299
2.0461361408233643,5.504859447479248,3,3,1711569187.1572165,24.838235808952934,0.7591303401112413,0.38259546744040723,25.22083127639334
2.3130972385406494,5.77197527885437,4,4,1711569187.4243324,21.05765584682107,0.7288190684569414,0.5813729163642238,21.639028763185294
2.575540542602539,6.034231424331665,5,5,1711569187.6865885,19.394990406722894,0.7642799682239061,0.5399307465260756,19.93492115324897
2.834890127182007,6.293527603149414,6,6,1711569187.9458847,18.34633155541222,0.7873498414114964,0.579903251179862,18.92623480659208
3.1025798320770264,6.563101530075073,7,7,1711569188.2154586,15.85006867553818,0.8566718050456849,0.6139279220439673,16.46399659758215
3.3649163246154785,6.823721408843994,8,8,1711569188.4760785,13.698065217718986,0.8370175766037905,0.695339616264192,14.393404833983178
3.62964129447937,7.088500022888184,9,9,1711569188.7408571,12.92604825035289,0.8659594574248707,0.6754340092874549,13.601482259640346
3.892671823501587,7.351321697235107,10,10,1711569189.0036788,12.098483532149375,0.8846358105815748,0.7095542638469349,12.80803779599631
4.154157638549805,7.612804412841797,11,11,1711569189.2651615,8.657940197186951,0.900740496449754,0.7392707352312151,9.397210932418167
4.413787364959717,7.8727216720581055,12,12,1711569189.5250788,7.964129305406483,0.885242085598608,0.7528390894229808,8.716968394829465
4.677863597869873,8.136574506759644,13,13,1711569189.7889316,7.654802235318085,0.8988161215496269,0.741757224698453,8.396559460016539
4.938767671585083,8.397619009017944,14,14,1711569190.049976,7.401104033378339,0.88583516598232,0.7496132334166541,8.150717266794993
5.206770420074463,8.665505409240723,15,15,1711569190.3178625,7.193029076955234,0.9010213431406763,0.741978872355282,7.935007949310516
5.467144012451172,8.925974369049072,16,16,1711569190.5783315,6.9555034219300325,0.8882521016481266,0.7529684351808023,7.708471857110835
5.730348110198975,9.189323425292969,17,17,1711569190.8416805,6.7669281728706805,0.9029630690974806,0.7436383219542472,7.5105664948249276
5.994940757751465,9.45362663269043,18,18,1711569191.1059837,6.567049447591312,0.8912538981285221,0.7561206412101087,7.323170088801421
6.253801107406616,9.712496995925903,19,19,1711569191.364854,6.389570028618361,0.9046248124403165,0.7462588384828492,7.1358288671012104
6.776921033859253,10.235740423202515,21,20,1711569191.8880975,6.051834606482861,0.9060208781338254,0.7495265962214219,6.801361202704283
7.04175329208374,10.500468015670776,22,21,1711569192.152825,5.9077973025769905,0.8894023493540473,0.7609557645974471,6.668753067174437
7.3015007972717285,10.760308265686035,23,22,1711569192.4126654,5.717480944573667,0.9121501753208239,0.7450360203576714,6.462516964931339
7.821172475814819,11.279885530471802,25,23,1711569192.9322426,5.3628905464067955,0.9217278248253608,0.7593756412895798,6.1222661876963755
8.343255281448364,11.80233383178711,27,24,1711569193.454691,4.9892352592500195,0.9194947460203129,0.7597984154880582,5.749033674738078
8.600848197937012,12.05951189994812,28,25,1711569193.711869,4.880945240266416,0.9061862512460568,0.7761639536478926,5.657109193914309
9.122339010238647,12.581002712249756,30,26,1711569194.2333598,4.646444167851208,0.908691016911075,0.7743783684824732,5.420822536333682
9.64116382598877,13.099908351898193,32,27,1711569194.7522655,4.39667335933147,0.9086083785883468,0.7803343511971644,5.177007710528635
10.157386302947998,13.61622142791748,34,28,1711569195.2685785,4.174951198495219,0.9108975345913914,0.7768602435760783,4.951811442071297
10.679081439971924,14.137967824935913,36,29,1711569195.790325,3.967587384760208,0.9103184553440281,0.7807519079535754,4.7483392927137835
11.453623056411743,14.91260051727295,39,30,1711569196.5649576,3.4239412017329554,0.9165988581932003,0.7752015691378128,4.199142770870768
11.974536657333374,15.43343710899353,41,31,1711569197.0857942,2.8797410551199722,0.9213773352937639,0.7970383324690846,3.6767793875890566
12.755760908126831,16.214468002319336,44,32,1711569197.866825,2.4820635648988976,0.9265973509869823,0.7849004511693661,3.266964016068264
13.534021139144897,16.992706537246704,47,33,1711569198.6450636,2.3188566807445627,0.9172905458055424,0.7900405915820132,3.108897272326576
14.313283205032349,17.772199392318726,50,34,1711569199.4245565,2.1269999256088497,0.9240008119983021,0.7850454620797649,2.9120453876886145
15.088720321655273,18.54767084121704,53,35,1711569200.200028,1.9739616548747083,0.9209514137810567,0.7927028086181458,2.7666644634928543
16.125835180282593,19.584635734558105,57,36,1711569201.2369928,1.7811929913707192,0.9198054171843696,0.7935703461008573,2.5747633374715764
16.89933156967163,20.358044862747192,60,37,1711569202.010402,1.6758628313800832,0.9215136275884956,0.7868395570692567,2.46270238844934
17.93460988998413,21.393323183059692,64,38,1711569203.0456803,1.5832919865845527,0.920800123526707,0.7870761188593193,2.370368105443872
18.971572160720825,22.43034052848816,68,39,1711569204.0826976,1.4030404376356065,0.9192002560041341,0.7862358874787263,2.189276325114333
20.27150559425354,23.730506658554077,73,40,1711569205.3828638,1.2395666936177314,0.9123720756704154,0.7873703293538034,2.0269370229715347
21.311959266662598,24.770713806152344,77,41,1711569206.423071,1.1238136301382793,0.9149248957791496,0.787726818150445,1.9115404482887244
22.599756479263306,26.058571577072144,82,42,1711569207.7109287,1.0192183483845112,0.9159542543334639,0.7854652719055752,1.8046836202900864
