_runtime,l2_error,_timestamp,loss,loss_boundary,_step,loss_interior,step,time
61.14661192893982,2.362047040073445,1712939476.668211,48.95554335584125,0.008788889092245525,0,48.946754466749006,0,54.80355954170227
121.68713164329529,2.35229895012721,1712939537.2087307,44.22755042124673,1.9901794674769115,1,42.23737095376982,1,116.48798632621765
176.76912093162537,2.2978187285053524,1712939592.29072,42.773417487825704,1.984263746954014,2,40.78915374087169,2,171.57036423683167
232.08264183998108,0.5402184193328629,1712939647.604241,40.08810160757656,1.890940887914111,3,38.19716071966245,3,226.88390612602234
286.8816957473755,1.3928919871210155,1712939702.4032948,35.490079133152044,0.3316467977483517,4,35.158432335403695,4,281.6826288700104
340.9743094444275,0.15480466931540793,1712939756.4959085,14.88975565734383,1.3642495964396752,5,13.525506060904155,5,335.7754602432251
395.28060388565063,0.27711015912859915,1712939810.802203,5.233123494362699,0.03030627039528951,6,5.2028172239674095,6,390.07973980903625
449.64564776420593,0.14014014231350888,1712939865.1672468,1.5933389620603242,0.06186733120730698,7,1.5314716308530172,7,444.44672775268555
504.01961064338684,0.11333571806656693,1712939919.5412097,0.5607554148223052,0.014272573337831723,8,0.5464828414844735,8,498.8206241130829
558.4532248973846,0.035724871256374226,1712939973.974824,0.17312382424228204,0.009190348464125043,9,0.163933475778157,9,553.2544243335724
613.1204681396484,0.03530221466507307,1712940028.6420672,0.059705980145821944,0.0013368044558784626,10,0.05836917568994348,10,607.9214606285095
668.089099407196,0.012614481108573598,1712940083.6106985,0.01200165313394431,0.0011732931743277096,11,0.0108283599596166,11,662.8901393413544
722.905597448349,0.010411820403437775,1712940138.4271965,0.005868943363959632,0.00016225982060930636,12,0.005706683543350325,12,717.7066788673401
777.5235071182251,0.007216372703392648,1712940193.0451062,0.0022872016449672497,8.63096406045416e-05,13,0.002200892004362708,13,772.3245589733124
832.3454899787903,0.005783160816279217,1712940247.867089,0.00046728888160999665,3.2773302828700646e-05,14,0.000434515578781296,14,827.1466550827026
886.8783705234528,0.005555724134357928,1712940302.3999696,0.00022898303480299966,2.0381658387618953e-05,15,0.0002086013764153807,15,881.6795814037323
941.1458768844604,0.0033942716565033,1712940356.667476,0.0001624228485090069,1.7904830160563752e-05,16,0.00014451801834844315,16,935.9468696117401
995.4744350910187,0.002166534241963713,1712940410.9960341,6.222284007851875e-05,6.0747068531590734e-06,17,5.6148133225359684e-05,17,990.2755460739136
1049.9342122077942,0.0017327780497810384,1712940465.4558113,1.8996357664254807e-05,2.582870695760418e-06,18,1.641348696849439e-05,18,1044.7352192401886
1104.2902998924255,0.0005388518653633026,1712940519.811899,1.386561188738183e-05,1.8639296384344017e-06,19,1.2001682248947428e-05,19,1099.0914959907532
1213.1880378723145,6.747094280797172e-05,1712940628.709637,2.793444110699217e-07,6.042730838924799e-09,20,2.733016802309969e-07,21,1207.989105463028
1267.41961145401,3.568053762655886e-05,1712940682.9412105,8.09539871883999e-08,2.688369435490168e-09,21,7.826561775290974e-08,22,1262.2208971977234
1321.761577129364,3.045576438304032e-05,1712940737.2831762,1.9173835715122872e-08,8.886963412926122e-10,22,1.828513937383026e-08,23,1316.5628366470337
1430.7327029705048,1.0737806640698786e-05,1712940846.254302,2.1660603792326993e-09,1.0504101712589423e-10,23,2.061019362106805e-09,25,1425.533932209015
1539.4318046569824,9.444369344618178e-06,1712940954.9534037,5.265988132980906e-10,5.923287598610315e-11,24,4.673659373119874e-10,27,1534.2330691814423
1593.6912117004395,7.438963980100265e-06,1712941009.2128108,4.419330355255273e-10,5.901240900493442e-11,25,3.829206265205929e-10,28,1588.4923458099365
1703.3216671943665,5.732114677931014e-06,1712941118.8432662,3.073678063520228e-10,4.170880800999576e-11,26,2.656589983420271e-10,30,1698.1227250099182
1812.6227250099182,4.20780471987115e-06,1712941228.144324,2.438750042711758e-10,3.4029588848620306e-11,27,2.0984541542255547e-10,32,1807.4240016937256
1921.937977552414,3.5929978243555767e-06,1712941337.4595766,2.118571777103524e-10,2.8079550563729808e-11,28,1.8377762714662261e-10,34,1916.7389693260193
2031.2265031337738,3.5437937626944466e-06,1712941446.7481022,1.8596178566000561e-10,2.5476835674954216e-11,29,1.604849499850514e-10,36,2026.0276098251343
2195.493994474411,3.5355899367507117e-06,1712941611.0155935,1.5501808098008492e-10,2.215841959274653e-11,30,1.3285966138733838e-10,39,2190.294977426529
