loss,_step,l2_error,loss_boundary,loss_interior,step,_runtime,time,_timestamp
48.95553827928032,0,0.61218522486011,0.008788884612366111,48.946749394667954,0,5.684143543243408,1.4743030071258545,1714845372.0719976
48.954896340211995,1,16330.541320168904,0.00878892439459366,48.9461074158174,1,5.788559675216675,1.839069128036499,1714845372.1764138
135436024.39264053,2,332.3980537467249,135344537.3227547,91487.06988580983,2,5.875112771987915,1.9257168769836426,1714845372.2629669
50658709.65311677,3,263.5660254773751,155812.91111108963,50502896.74200568,3,5.965322017669678,2.0159575939178467,1714845372.353176
16759547.491214741,4,174.91667859772735,97801.1151917284,16661746.376023013,4,6.051372289657593,2.1020102500915527,1714845372.4392264
5826918.183263101,5,73.84783195450903,43127.3641359646,5783790.819127136,5,6.136258840560913,2.186908006668091,1714845372.524113
1278604.976430229,6,20.768304343445926,7695.494412484914,1270909.482017744,6,6.22375750541687,2.2744853496551514,1714845372.6116116
154267.8631476899,7,15.096231374628509,276.60030402096237,153991.26284366893,7,6.308143615722656,2.357219934463501,1714845372.6959977
18541.937371281667,8,8.566359357595282,173.84076744931428,18368.096603832353,8,6.390664339065552,2.4414143562316895,1714845372.7785184
2134.018951784682,9,3.776536909504584,62.24440853973362,2071.7745432449483,9,6.4851393699646,2.5359201431274414,1714845372.8729935
256.86520901604075,10,1.3492713417572813,12.246977529830186,244.6182314862106,10,6.5662713050842285,2.617091417312622,1714845372.9541254
49.26303646872477,11,0.9312967354377061,1.2337793253784706,48.0292571433463,11,6.645354986190796,2.6962063312530518,1714845373.033209
6.786840147938874,12,0.9959946735204515,0.7816982826700457,6.005141865268828,12,6.723979473114014,2.7749247550964355,1714845373.1118336
1.9635674166298378,13,0.5741793527230801,0.9988887739731056,0.9646786426567322,13,6.809229612350464,2.8600640296936035,1714845373.1970837
0.49744507912149294,14,0.3635852418524756,0.3342127544801844,0.16323232464130857,14,6.893637657165527,2.9444668292999268,1714845373.2814918
0.1580325236460746,15,0.2503508056638019,0.10357125836313948,0.05446126528293511,15,6.984206676483154,3.0349671840667725,1714845373.3720608
0.0596124064860918,16,0.08592416366670041,0.040014845119224145,0.019597561366867654,16,7.069654226303101,3.1204757690429688,1714845373.4575083
0.013886637716483612,17,0.058607957304401874,0.008167657242479228,0.005718980474004384,17,7.15702748298645,3.2076590061187744,1714845373.5448816
0.008828645292709278,18,0.057256981669849195,0.006005066174577397,0.002823579118131881,18,7.245157957077026,3.295903205871582,1714845373.633012
0.0075287129728925425,19,0.046644178595189066,0.005558971681992166,0.0019697412909003764,19,7.32664942741394,3.3775599002838135,1714845373.7145035
0.005452494250510845,20,0.041099767057643045,0.0038205124327996016,0.0016319818177112436,20,7.404700756072998,3.4556126594543457,1714845373.7925549
0.0033613639954218682,21,0.027583966369951318,0.002111713708778138,0.0012496502866437304,21,7.490081787109375,3.5409417152404785,1714845373.877936
0.002527341745093382,22,0.0199569956248777,0.001211405423692839,0.001315936321400543,22,7.572557687759399,3.623331069946289,1714845373.9604118
0.0016704164128627558,23,0.011703325371827831,0.0006503833457355921,0.0010200330671271637,23,7.657604932785034,3.70841383934021,1714845374.045459
0.0010457977367760304,24,0.011805067825249984,0.00029639305148910984,0.0007494046852869205,24,7.7397003173828125,3.790562391281128,1714845374.1275544
0.0008120208758028331,25,0.010697117255467414,0.00020833736708520423,0.0006036835087176289,25,7.819766998291016,3.8706681728363037,1714845374.207621
0.0006949210690766996,26,0.0068620146790728115,0.0001536992422253264,0.0005412218268513732,26,7.9052019119262695,3.9553122520446777,1714845374.293056
0.0005218328956269182,27,0.006378093384905767,7.581827060228571e-05,0.0004460146250246324,27,7.991060733795166,4.041849851608276,1714845374.3789148
0.0004666320701970395,28,0.0051389573274402715,6.187398134486207e-05,0.0004047580888521774,28,8.075959205627441,4.126718044281006,1714845374.4638133
0.0004411154841545403,29,0.005272671469932165,4.3485788212548434e-05,0.00039762969594199184,29,8.162099838256836,4.212866544723511,1714845374.549954
0.00040792801225379184,30,0.003286738464639929,3.4813955742126866e-05,0.000373114056511665,30,8.248955011367798,4.2997355461120605,1714845374.636809
0.0003789831138138133,31,0.00459635413872118,2.5710714909756787e-05,0.0003532723989040565,31,8.337395668029785,4.388330459594727,1714845374.7252498
0.0003593546594854713,32,0.004160613786469895,2.950602715135109e-05,0.0003298486323341202,32,8.414414405822754,4.4652910232543945,1714845374.8022685
0.0003437581000627914,33,0.003476589608575984,3.0374763543051486e-05,0.0003133833365197399,33,8.504467010498047,4.555322885513306,1714845374.892321
0.00032353243673299565,34,0.0034580165853071963,3.334931611751251e-05,0.00029018312061548316,34,8.586754322052002,4.637580871582031,1714845374.9746084
0.00031020774994563473,35,0.004160722975238612,3.323454629450163e-05,0.0002769732036511331,35,8.66962456703186,4.720475196838379,1714845375.0574787
0.0002899954055586005,36,0.005712378955852288,3.2048167849479957e-05,0.0002579472377091206,36,8.751343250274658,4.8022191524505615,1714845375.1391973
0.00023668610495720724,37,0.005509667668833463,4.1613354264658356e-05,0.00019507275069254889,37,8.83305287361145,4.883952379226685,1714845375.220907
0.0001919784060652484,38,0.005892566378001841,4.349003307080404e-05,0.00014848837299444436,38,8.913729190826416,4.96465277671814,1714845375.3015833
0.0001835943732586346,39,0.005782431447155202,4.5164402304017306e-05,0.0001384299709546173,39,9.001925945281982,5.052001714706421,1714845375.38978
0.00017787613421964675,40,0.005294765754115419,4.4574967261735446e-05,0.0001333011669579113,40,9.089107036590576,5.139867782592773,1714845375.4769611
