l2_error,_step,_runtime,loss,loss_boundary,loss_interior,step,time,_timestamp
0.9938282263044461,0,18.517664670944214,48.95554335584125,0.008788889092245525,48.946754466749006,0,14.25833249092102,1712953603.3323197
1.063554759105522,1,31.20547318458557,44.81947715276953,0.18290013078596293,44.63657702198357,1,27.154547214508057,1712953616.0201283
0.8630140130596269,2,42.84277844429016,33.644280931556004,0.30526178984582286,33.33901914171018,2,38.79511308670044,1712953627.6574335
0.7910704934999,3,54.41045570373535,23.989476642476095,0.27058866724283465,23.71888797523326,3,50.362783908843994,1712953639.2251108
0.47094256589961886,4,65.98585367202759,17.928802672588052,0.2597477727201354,17.669054899867916,4,61.93825554847717,1712953650.8005087
0.20790952765707982,5,77.48850440979004,7.835833845348726,0.08997301950449105,7.745860825844235,5,73.44083380699158,1712953662.3031595
0.11330898624527345,6,88.79365134239197,3.3443572405095057,0.023835992306616198,3.3205212482028896,6,84.74469304084778,1712953673.6083064
0.08201402929295074,7,100.70446872711182,0.6257863664535281,0.015916770309020105,0.6098695961445081,7,96.65684533119202,1712953685.5191238
0.06816420802946846,8,112.2451319694519,0.1385312546350567,0.010802005919913208,0.1277292487151435,8,108.19422268867493,1712953697.059787
0.05209061842574749,9,124.97951221466064,0.04352015261027571,0.007659918962699086,0.03586023364757662,9,120.93197178840637,1712953709.7941673
0.046436755010991815,10,136.4264476299286,0.015449621875034868,0.005441180930476625,0.010008440944558243,10,132.3787543773651,1712953721.2411027
0.03956291757555168,11,147.95588946342468,0.009196711835886488,0.004055622793116076,0.005141089042770411,11,143.90525269508362,1712953732.7705445
0.0392868143335323,12,159.40910601615906,0.005777003664064497,0.0028834986915347647,0.002893504972529732,12,155.36199569702148,1712953744.223761
0.0281332817493113,13,170.95825266838074,0.004441298529449643,0.00248612657506496,0.0019551719543846827,13,166.91054153442383,1712953755.7729077
0.029696721818185317,14,183.06226348876953,0.003392079045710603,0.0016271054973020923,0.0017649735484085104,14,179.01452445983887,1712953767.8769186
0.023063628515964014,15,194.47705388069153,0.002027791651464171,0.0012922231085958163,0.0007355685428683548,15,190.42943811416626,1712953779.291709
0.022176065007640768,16,205.96006989479065,0.001518359669061049,0.000947435219058704,0.000570924450002345,16,201.91247010231018,1712953790.774725
0.015214033965700716,17,217.98744106292725,0.0010915214831041116,0.0006804676025702446,0.00041105388053386694,17,213.93982028961182,1712953802.8020961
0.015406797359413768,18,230.7707085609436,0.0007711849333975744,0.00044268683544128594,0.0003284980979562884,18,226.72289752960205,1712953815.5853636
0.012277014833300088,19,243.10657238960266,0.00052602779768117,0.0002822363920275913,0.0002437914056535787,19,239.05857229232788,1712953827.9212275
0.008104931347500179,20,266.8327214717865,0.00027045452773212476,0.00012243467805538635,0.0001480198496767384,21,262.7849657535553,1712953851.6473765
0.007023933324842007,21,278.47443866729736,0.00017413054133536826,8.501068838193346e-05,8.91198529534348e-05,22,274.42677330970764,1712953863.2890937
0.005255715057323213,22,290.0034170150757,0.00013916284708749132,6.179792739322977e-05,7.736491969426156e-05,23,285.95608043670654,1712953874.818072
0.0034337166240225765,23,314.17220425605774,7.742364109376608e-05,3.0136607415074524e-05,4.728703367869156e-05,25,310.12440848350525,1712953898.9868593
0.0022496349211627883,24,337.9581446647644,4.2663935426035156e-05,1.2902433348421684e-05,2.976150207761347e-05,27,333.9102909564972,1712953922.7727997
0.0021828132991244826,25,349.97362875938416,3.097903745310082e-05,7.521133238304312e-06,2.345790421479651e-05,28,345.9260263442993,1712953934.7882838
0.0014128081560484073,26,373.3296003341675,1.565403309263564e-05,3.732377982878205e-06,1.1921655109757435e-05,30,369.2818319797516,1712953958.1442554
0.0011053781282553642,27,397.80034136772156,7.081283995077352e-06,1.4966220767499221e-06,5.584661918327429e-06,32,393.75264859199524,1712953982.6149964
0.00038463567278153603,28,421.2564790248871,3.035765636997273e-06,4.953613065276335e-07,2.5404043304696392e-06,34,417.20908069610596,1712954006.071134
0.00032695569020495415,29,445.2926025390625,1.8518735061798258e-06,2.4182678405570403e-07,1.6100467221241218e-06,36,441.2450246810913,1712954030.1072576
0.00026212451715264864,30,481.92977499961853,9.476781092111288e-07,1.356868454705926e-07,8.119912637405362e-07,39,477.8789703845978,1712954066.74443
0.0001895962570825244,31,506.62145352363586,5.402273057533162e-07,7.848324758663061e-08,4.617440581666856e-07,41,502.57367491722107,1712954091.4361086
0.00013513092519609027,32,542.307035446167,2.592350273450288e-07,3.9581865847988165e-08,2.1965316149704062e-07,44,538.2592117786407,1712954127.1216905
8.916330666295997e-05,33,578.9078826904297,1.2589771596720763e-07,2.2598924075285216e-08,1.0329879189192241e-07,47,574.8588271141052,1712954163.7225378
6.178399792283409e-05,34,615.7986159324646,6.599091363969379e-08,1.1713506998217239e-08,5.4277406641476554e-08,50,611.7507181167603,1712954200.613271
4.43442202452104e-05,35,650.8550500869751,3.167351635407438e-08,5.853139133406839e-09,2.582037722066754e-08,53,646.806825876236,1712954235.6697052
2.2877497451539126e-05,36,697.2631719112396,1.018255064833824e-08,1.569251576569805e-09,8.613299071768435e-09,57,693.2156555652618,1712954282.077827
1.6151301866183832e-05,37,731.5281443595886,5.450884242232302e-09,7.377400376509519e-10,4.713144204581351e-09,60,727.4806406497955,1712954316.3427994
1.0955050136649213e-05,38,777.7068765163422,2.389292401499091e-09,2.495434946212823e-10,2.1397489068778085e-09,64,773.6569676399231,1712954362.5215316
8.9373425331087e-06,39,824.5024964809418,1.5668402154893418e-09,1.3684427249813088e-10,1.429995942991211e-09,68,820.4546926021576,1712954409.3171515
