_step,loss,time,_timestamp,loss_interior,step,loss_boundary,_runtime,l2_error
0,48.95554335584125,1.5672595500946045,1712932580.9594026,48.946754466749006,0,0.008788889092245525,5.589277505874634,0.4448320170765649
1,47.900464727352215,2.12516713142395,1712932581.3075137,47.897546524659475,1,0.002918202692739917,5.93738865852356,0.3195462272589325
2,42.61999671642619,2.4645092487335205,1712932581.6470246,42.58604242616678,2,0.03395429025941926,6.276899576187134,0.2972531951443399
3,33.56065913660859,2.7690224647521973,1712932581.951423,33.48158238623025,3,0.07907675037834055,6.581297874450684,0.35491356819255954
4,24.43871851985097,3.1007239818573,1712932582.2830513,24.329930204683702,4,0.10878831516726863,6.912926197052002,0.3974604380808653
5,15.885432775904764,3.437227964401245,1712932582.619794,15.743983962449366,5,0.14144881345539795,7.249668836593628,0.40223541295305215
6,9.310109090267451,3.7447760105133057,1712932582.9285076,9.1675364218011,6,0.14257266846635075,7.558382511138916,0.4312682423391034
7,7.297479692613679,4.025069236755371,1712932583.207622,7.115556667236368,7,0.18192302537731153,7.837496995925903,0.43196576392603436
8,6.267811777391133,4.300793170928955,1712932583.483118,6.0915338033264605,8,0.17627797406467194,8.112993001937866,0.44865467663120523
9,5.110295519830973,4.620893955230713,1712932583.8033307,4.916665680894835,9,0.19362983893613794,8.433205604553223,0.44815400064837385
10,4.332488269209469,4.950896501541138,1712932584.1334152,4.145665327659335,10,0.186822941550133,8.763290166854858,0.4502666360890699
11,3.817202012689329,5.227733373641968,1712932584.4100647,3.6251050236766718,11,0.19209698901265734,9.039939641952515,0.45661367391428204
12,3.449510710638669,5.531730651855469,1712932584.714322,3.2557348418206664,12,0.19377586881800266,9.344197034835815,0.45196506181770896
13,3.132474457225738,5.864238023757935,1712932585.0465622,2.940042255746535,13,0.19243220147920273,9.676437139511108,0.47533655337265235
14,1.8019972467918906,6.195592403411865,1712932585.3781161,1.5932660096541127,14,0.2087312371377778,10.007991075515747,0.4532474940359774
15,1.536196101491607,6.523676156997681,1712932585.7060223,1.3444627094508734,15,0.19173339204073367,10.335897207260132,0.46236666079041255
16,1.4240290829054545,6.808614253997803,1712932585.991178,1.2244815013465555,16,0.19954758155889896,10.621052980422974,0.45157044056023793
17,1.34177981973168,7.127781629562378,1712932586.310141,1.1504733963154938,17,0.19130642341618612,10.940016031265259,0.45746600492642425
18,1.2298069156513871,7.457984924316406,1712932586.6403322,1.033276960656717,18,0.19652995499467027,11.270207166671753,0.4568459793001512
19,1.0479215676376294,7.793588638305664,1712932586.9759538,0.850393479455924,19,0.1975280881817055,11.605828762054443,0.4569651569852379
20,0.8520240768293779,8.34862232208252,1712932587.531191,0.6658751236673753,21,0.1861489531620025,12.161066055297852,0.4484482175348069
21,0.7837815226819718,8.673211574554443,1712932587.855737,0.5918870038599875,22,0.19189451882198422,12.485611915588379,0.45047338646857865
22,0.7293790400725738,8.94277024269104,1712932588.125344,0.5349909969815432,23,0.1943880430910306,12.755218982696533,0.44726483612857726
23,0.6637439206209064,9.60996389389038,1712932588.7925572,0.47426079356327416,25,0.18948312705763215,13.42243218421936,0.44681722996165113
24,0.6211324931591566,10.252585411071777,1712932589.4349492,0.43425652559340444,27,0.18687596756575225,14.064824104309082,0.4427630112308188
25,0.5993190737811924,10.545599222183228,1712932589.7282078,0.41057527280022693,28,0.18874380098096555,14.35808277130127,0.4261618224822729
26,0.4450086864527012,11.11344027519226,1712932590.2960172,0.26291629334484495,30,0.18209239310785627,14.925892114639282,0.4268436931541522
27,0.4186186607021001,11.743497371673584,1712932590.926068,0.23884697801577645,32,0.17977168268632363,15.555943012237549,0.41370657248284515
28,0.3517718082951796,12.307867288589478,1712932591.4902403,0.17858858655544604,34,0.17318322173973358,16.120115280151367,0.41483464744712345
29,0.3393085679314322,12.927588939666748,1712932592.1099448,0.1681324681268792,36,0.171176099804553,16.739819765090942,0.41017220436693314
30,0.3126294650539613,13.906786441802979,1712932593.0895567,0.14921049746929227,39,0.16341896758466898,17.71943163871765,0.4091135752701279
31,0.3005268529118794,14.553407669067383,1712932593.7360697,0.14043620510482593,41,0.1600906478070535,18.365944623947144,0.40498295714264304
32,0.2882352738082039,15.504160404205322,1712932594.686822,0.12781635615702377,44,0.1604189176511801,19.316696882247925,0.39197078157686155
33,0.2690644958537613,16.368650197982788,1712932595.5510151,0.11576708704195036,47,0.15329740881181095,20.18089008331299,0.39369232210274574
34,0.2534646222471793,17.33646059036255,1712932596.518789,0.10420968490443831,50,0.14925493734274098,21.148663997650146,0.3861081967273104
35,0.24946873134278094,18.16146445274353,1712932597.3438118,0.10212532652133066,53,0.14734340482145028,21.973686695098877,0.3851104296454233
36,0.22803680380399577,19.37165379524231,1712932598.5539997,0.0893900299157437,57,0.13864677388825208,23.18387460708618,0.3731931188221761
37,0.22003195065896192,20.22421884536743,1712932599.406555,0.08670903682332033,60,0.1333229138356416,24.03642988204956,0.3596538544125799
38,0.20782939210951676,21.44983148574829,1712932600.6321695,0.07839707317783134,64,0.12943231893168541,25.262044429779053,0.3508419412325082
39,0.1980357153907339,22.71065926551819,1712932601.89304,0.07380302276282516,68,0.12423269262790872,26.52291488647461,0.34257388405139644
40,0.18508758710160889,24.412773609161377,1712932603.5951061,0.07118946443686096,73,0.11389812266474791,28.22498106956482,0.336720277451811
41,0.17662260899404925,25.68117904663086,1712932604.8635194,0.06789110519674078,77,0.10873150379730845,29.493394374847412,0.3284536260973975
42,0.16484227397604562,27.280452728271484,1712932606.4627624,0.05992430561681587,82,0.10491796835922973,31.092637300491333,0.3173689392745112
