l2_error,loss_interior,time,_step,_timestamp,loss_boundary,loss,step,_runtime
0.5273538281249445,48.946749394667954,1.0376055240631104,0,1714520522.3149123,0.008788884612366111,48.95553827928032,0,5.190439224243164
0.45481837053441443,48.430793246134876,1.2808537483215332,1,1714520522.3266225,0.0007060684445823848,48.431499314579455,1,5.202149391174316
0.39269289856319556,48.01639742385216,1.2915458679199219,2,1714520522.3373237,0.0014728523957683766,48.01787027624793,2,5.212850570678711
0.341076426877592,47.628863624921635,1.3051660060882568,3,1714520522.351385,0.009351415448540608,47.63821504037018,3,5.226912021636963
0.30386515626053356,47.21378014136861,1.323997974395752,4,1714520522.3697941,0.023898808966748335,47.23767895033536,4,5.245321035385132
0.2873056742216535,46.73194465591709,1.335033655166626,5,1714520522.3808386,0.045281176383600796,46.777225832300694,5,5.256365537643433
0.2955886549057634,46.149464183410565,1.3462111949920654,6,1714520522.399527,0.07371672181165567,46.22318090522222,6,5.275053977966309
0.32541993801683267,45.42967176764226,1.3825998306274414,7,1714520522.428426,0.10868607968002382,45.53835784732229,7,5.303952932357788
0.36775804678866963,44.52582361601508,1.3936591148376465,8,1714520522.4394984,0.1484660896954214,44.6742897057105,8,5.315025329589844
0.4133112192557926,43.376865114319855,1.404207706451416,9,1714520522.450042,0.1901556321967972,43.567020746516654,9,5.325568914413452
0.45519914336249384,41.90861597638052,1.414907693862915,10,1714520522.460739,0.23007073381394566,42.13868671019446,10,5.336265802383423
0.4893142446614985,40.03863539248173,1.425156593322754,11,1714520522.4723265,0.2644685718430311,40.30310396432476,11,5.347853422164917
0.5144756565388555,37.68581854826869,1.4365148544311523,12,1714520522.4823644,0.290578668451828,37.97639721672052,12,5.357891321182251
0.5335602771202329,34.78596880212687,1.4465267658233643,13,1714520522.492361,0.30795672790312106,35.093925530029985,13,5.3678879737854
0.5552431226624438,31.314405639388504,1.4569909572601318,14,1714520522.5028021,0.32038703273850777,31.634792672127013,14,5.378329038619995
0.5939133580576841,27.31900033761546,1.467963695526123,15,1714520522.5138042,0.3376115507543419,27.656611888369802,15,5.389331102371216
0.6632540471974298,22.95016252782582,1.4788603782653809,16,1714520522.524706,0.3750683258091821,23.325230853635002,16,5.400232791900635
0.7643341860079864,18.447851531123018,1.489572286605835,17,1714520522.5354154,0.44816169272810563,18.896013223851124,17,5.410942316055298
0.8805668190716079,14.397015208670474,1.499835729598999,18,1714520522.5456595,0.5595794286262035,14.956594637296678,18,5.421186447143555
0.9638729939633777,12.269066338535914,1.5105211734771729,19,1714520522.556353,0.6918392828746887,12.960905621410603,19,5.431879997253418
0.9879929865230336,12.37489468797161,1.521284818649292,20,1714520522.5671237,0.7938286867067694,13.168723374678379,20,5.442650556564331
0.983202121299215,11.74102397762041,1.5320045948028564,21,1714520522.5778477,0.8290185630207345,12.570042540641143,21,5.453374624252319
0.9860819838417233,9.946662849333759,1.5423026084899902,22,1714520522.588135,0.8193199881824444,10.765982837516203,22,5.4636619091033936
1.0015511701988544,8.401367483731384,1.552156686782837,23,1714520522.598005,0.8010099244851022,9.202377408216487,23,5.47353196144104
1.0053490309116913,7.507551936771518,1.5619139671325684,24,1714520522.607765,0.7870096079455391,8.294561544717057,24,5.483291864395142
0.9721770429198296,7.250576452502371,1.5717782974243164,25,1714520522.6172447,0.7669718790487652,8.017548331551136,25,5.492771625518799
0.9133640852570539,7.2974360766664965,1.5811097621917725,26,1714520522.626575,0.7263417147205289,8.023777791387026,26,5.502101898193359
0.8667611304776545,7.464224584452175,1.5903444290161133,27,1714520522.6357927,0.6729926446519653,8.13721722910414,27,5.511319637298584
0.8554441675142851,7.535893850393602,1.5995702743530273,28,1714520522.645092,0.6338068706098586,8.16970072100346,28,5.520618915557861
0.8798914722941732,7.102677043200076,1.608849048614502,29,1714520522.6543272,0.6253687870314522,7.728045830231529,29,5.52985405921936
0.9277432883243472,6.371975469491917,1.6184182167053223,30,1714520522.6638792,0.6488549279729732,7.0208303974648905,30,5.539406061172485
0.976183869652417,5.827470341231096,1.628056526184082,31,1714520522.6735067,0.6960219497470722,6.523492290978168,31,5.5490336418151855
1.0060793011038631,5.482966366016053,1.6375455856323242,32,1714520522.682996,0.7498016869981574,6.232768053014211,32,5.558522939682007
1.0183198346401017,4.979912027822126,1.6470117568969727,33,1714520522.69245,0.7948239703119032,5.7747359981340285,33,5.567976951599121
1.0306996196859686,4.3716592484729775,1.6566245555877686,34,1714520522.7021034,0.8324446694830462,5.204103917956024,34,5.577630281448364
1.0583383377416922,4.121460502811562,1.666304111480713,35,1714520522.7117858,0.875744144818838,4.9972046476304,35,5.587312698364258
1.095996785237805,4.207106591758519,1.6759898662567139,36,1714520522.7214365,0.9289626214763944,5.136069213234913,36,5.596963405609131
1.121565889542115,4.261810182072218,1.6856415271759033,37,1714520522.7310958,0.9775649057069086,5.239375087779127,37,5.606622695922852
1.115549632536321,4.162969910564694,1.6952075958251953,38,1714520522.7406778,0.9995833112731984,5.162553221837893,38,5.616204738616943
1.0847285530360415,3.717945788504777,1.7047946453094482,39,1714520522.7502334,0.9829486739476916,4.700894462452468,39,5.625760316848755
1.053918652964415,3.2836031421069825,1.7143886089324951,40,1714520522.7598376,0.9391266220745195,4.222729764181502,40,5.635364532470703
1.0407919811937236,3.1889944544340274,1.7317137718200684,41,1714520522.7771773,0.8591020765011924,4.0480965309352195,42,5.652704238891602
1.0221867176054895,3.255964828915034,1.7644679546356201,42,1714520522.8099856,0.8154123229812943,4.071377151896328,46,5.685512542724609
