loss_interior,step,l2_error,_runtime,_timestamp,loss_boundary,loss,time,_step
48.946749394667954,0,0.4260250880430975,5.947815179824829,1714518316.615199,0.008788884612366111,48.95553827928032,1.6320209503173828,0
47.74566662974082,1,1.0258751516587303,6.180578947067261,1714518316.8479629,0.004297984472263325,47.749964614213084,2.1423895359039307,1
41.977551649723644,2,0.5665498604477258,6.363661050796509,1714518317.031045,0.9190765294455385,42.896628179169184,2.3249101638793945,2
23.934094412024745,3,0.6678906979679418,6.5497496128082275,1714518317.2171335,0.34076636663593,24.274860778660674,2.511981248855591,3
13.732489371955914,4,0.917349411160991,6.742483854293823,1714518317.4098678,0.44480503163893914,14.177294403594853,2.7050249576568604,4
6.744939332298334,5,0.98722321986505,6.924713373184204,1714518317.5920973,0.7415092839518831,7.486448616250217,2.887315273284912,5
4.147551681609802,6,0.967466270690654,7.1132073402404785,1714518317.7805912,0.8142054788917088,4.961757160501511,3.0755608081817627,6
3.757925639943408,7,0.9614919099930521,7.362999439239502,1714518318.0303833,0.7990644684117073,4.556990108355115,3.313298463821411,7
3.4602740240936156,8,0.988207778845489,7.538647651672363,1714518318.2060316,0.7942834357730217,4.254557459866637,3.500422239303589,8
3.1494947793513512,9,0.9379186006981862,7.727676630020142,1714518318.3950605,0.8073906488433521,3.9568854281947035,3.688109874725342,9
3.0267677328666465,10,0.9168908535895391,7.879257678985596,1714518318.5466416,0.7462577935559087,3.773025526422555,3.8415298461914062,10
2.8895517078358806,11,0.846555018794979,8.03230881690979,1714518318.6996927,0.7158147828209944,3.605366490656875,3.9929490089416504,11
2.7741972297604054,12,0.8292013163036137,8.178670644760132,1714518318.8460546,0.6212229792941576,3.395420209054563,4.140525817871094,12
2.60102887295846,13,0.6217808638977348,8.32446837425232,1714518318.9918523,0.5994302652933365,3.2004591382517966,4.286955833435059,13
2.21642993977578,14,0.6389067913951855,8.470743656158447,1714518319.1381276,0.3634095314703963,2.5798394712461765,4.433204412460327,14
1.8056556335653007,15,0.5053807297985845,8.624369859695435,1714518319.2917538,0.3653184247246414,2.170974058289942,4.5868518352508545,15
1.3119598752809947,16,0.5010532192887833,8.770824670791626,1714518319.4382086,0.22720479206192823,1.539164667342923,4.733428001403809,16
0.9942747399364777,17,0.4493321901777466,8.909497022628784,1714518319.576881,0.214203553190434,1.2084782931269118,4.87209153175354,17
0.7734177290877919,18,0.4278138897232959,9.049391508102417,1714518319.7167754,0.17362387269821988,0.9470416017860118,5.011897325515747,18
0.540831141545158,19,0.38395045804148714,9.191375017166138,1714518319.858759,0.1427332307111143,0.6835643722562723,5.153802871704102,19
0.4482631606231384,20,0.2885151585801998,9.338289737701416,1714518320.0056736,0.11862496772191138,0.5668881283450498,5.300834894180298,20
0.31556482529333457,21,0.2980025241015432,9.479103088378906,1714518320.146487,0.05968347065297695,0.37524829594631154,5.441521644592285,21
0.24907241697032748,22,0.2979456980527357,9.624401569366455,1714518320.2917855,0.06292547320316282,0.3119978901734903,5.586856365203857,22
0.23673008270988602,23,0.2592715929913271,9.76915979385376,1714518320.4365437,0.0631135422323828,0.2998436249422688,5.732062816619873,23
0.20905716149854198,24,0.2619421610974885,9.913056373596191,1714518320.5804403,0.05152179671751017,0.26057895821605215,5.876166820526123,24
0.19166796220580276,25,0.230612704195945,10.050987958908081,1714518320.7183719,0.05135899280806797,0.24302695501387073,6.013601303100586,25
0.17526896526713362,26,0.2374629591129595,10.194801807403564,1714518320.8621857,0.04206638281009317,0.2173353480772268,6.156713008880615,26
0.16021214989299046,27,0.21596289393747176,10.353879451751709,1714518321.0212634,0.043058876384488166,0.20327102627747862,6.316307067871094,27
0.1530363956799823,28,0.22325285363339625,10.50119137763977,1714518321.1685753,0.037558180208319566,0.19059457588830186,6.463611841201782,28
0.14360346404896426,29,0.20264590139819874,10.650327920913696,1714518321.3177118,0.03829286695661892,0.18189633100558317,6.612687587738037,29
0.13898422051123105,30,0.205658930504343,10.791462898254395,1714518321.4588468,0.033730711259398534,0.17271493177062958,6.754288196563721,30
