_timestamp,loss_interior,step,_step,_runtime,loss_boundary,loss,time,l2_error
1711567764.073276,48.036090072154934,0,0,8.883082151412964,0.008788889092245518,48.04487896124718,0.8519630432128906,0.39114887727066927
1711567764.0830443,47.92756681015358,1,1,8.892850399017334,0.010943707180121698,47.9385105173337,0.8619394302368164,0.3710841922047146
1711567764.0920937,47.70008355405563,2,2,8.901899814605713,0.016042140933165805,47.7161256949888,0.8705434799194336,0.3426808883339223
1711567764.1014035,47.318009113609094,3,3,8.91120958328247,0.026151776512339603,47.34416089012144,0.8800427913665771,0.31095981980311005
1711567764.1106086,46.7089629024367,4,4,8.920414686203003,0.045534180793677444,46.75449708323038,0.8891217708587646,0.2937084373580842
1711567764.1201937,45.739802642211856,5,5,8.929999828338623,0.08259076630370785,45.822393408515566,0.8986892700195312,0.3328184201055299
1711567764.1305163,44.165056254585735,6,6,8.940322399139404,0.1532963704600146,44.31835262504575,0.9091734886169434,0.4699366936125444
1711567764.1394188,41.488699926226154,7,7,8.949224948883057,0.28559542018584205,41.774295346411996,0.9179074764251709,0.7075716811864331
1711567764.1482997,36.53258016405766,8,8,8.95810580253601,0.5183771382395421,37.050957302297206,0.9266607761383057,1.006567067048318
1711567764.157362,26.239763934418,9,9,8.967168092727661,0.8737048728688587,27.11346880728686,0.9357562065124512,1.3204841133056813
1711567764.166159,23.22837423914512,10,10,8.975965023040771,1.5091988860620387,24.737573125207156,0.9445924758911133,2.3076216571428376
1711567764.1755106,45.46864390251066,11,11,8.985316753387451,3.16565042097603,48.634294323486685,0.9539713859558105,1.2028811477839798
1711567764.185954,24.318440508897982,12,12,8.995760202407837,1.2032730841766441,25.521713593074626,0.9630391597747803,0.540491816804836
1711567764.1949022,33.695278651860306,13,13,9.004708290100098,0.3468953989995771,34.042174050859884,0.9733994007110596,0.48302276220263096
1711567764.203804,32.79479360878239,14,14,9.013610124588013,0.273655491377905,33.068449100160294,0.9821984767913818,0.7803590908645195
1711567764.2133195,25.245808992681468,15,15,9.023125648498535,0.5953656601524855,25.841174652833953,0.9918980598449707,1.4295857511379864
1711567764.2233584,17.78140491645005,16,16,9.033164501190186,1.4876488745610554,19.269053791011107,1.0018479824066162,1.6803597050253314
1711567764.2361605,20.28827221875494,17,17,9.045966625213623,2.2275731197017397,22.51584533845668,1.0148334503173828,1.1870466887183635
1711567764.2465053,17.682936572612874,18,18,9.05631136894226,1.3733430962558126,19.056279668868687,1.0250372886657715,1.726271269743221
1711567764.2560658,14.422320346654367,19,19,9.065871953964233,1.9279067130704253,16.35022705972479,1.0344395637512207,1.5528456336922745
1711567764.2727246,17.819329738406964,21,20,9.082530736923218,1.8190028006441104,19.638332539051074,1.05108642578125,0.9272335130919342
1711567764.281344,16.7104276771366,22,21,9.091150045394897,0.7083135147333526,17.41874119186995,1.060377597808838,0.4915952006334148
1711567764.2900426,18.08873111789269,23,22,9.099848747253418,0.25719654660936264,18.34592766450205,1.0690174102783203,0.5597283628312866
1711567764.3078423,11.325071066680444,25,23,9.117648363113403,0.522054000713394,11.847125067393838,1.0868520736694336,1.1917414185117265
1711567764.3235407,9.603223860279993,27,24,9.133346796035767,0.7702895404206946,10.373513400700688,1.1024749279022217,1.2262322657653246
1711567764.332344,7.706090507115314,28,25,9.142150163650513,1.2476179120245627,8.953708419139877,1.1113464832305908,1.0905553547914981
1711567764.3476262,8.498171427912105,30,26,9.157432317733765,1.514623708902076,10.01279513681418,1.1265473365783691,1.32078274772515
1711567764.363227,7.731576992734429,32,27,9.173032999038696,1.3956309608967805,9.12720795363121,1.1421236991882324,1.219830568649067
1711567764.3781836,6.384281754343175,34,28,9.187989711761475,0.9518211861139071,7.336102940457082,1.1571311950683594,0.9419165372502641
1711567764.3940346,4.404045662427191,36,29,9.203840732574463,0.7854762739980083,5.1895219364252,1.1729919910430908,0.8668045685872837
1711567764.4164693,4.6168670660901965,39,30,9.226275444030762,0.44539770822327024,5.0622647743134666,1.1954784393310547,0.6203956356156434
1711567764.4326048,4.065524528872584,41,31,9.242410898208618,0.4196741536614456,4.48519868253403,1.2116246223449707,0.7310018150125724
1711567764.4559727,3.506177245970762,44,32,9.26577877998352,0.46913911887850374,3.9753163648492658,1.235006332397461,0.7733114355930762
1711567764.4788916,2.5715686745424216,47,33,9.288697719573975,0.533770913273208,3.10533958781563,1.2577977180480957,0.6386330158886073
1711567764.5015786,2.2725867368860193,50,34,9.311384677886963,0.39509689041485896,2.667683627300878,1.2805850505828857,0.6569271572071033
1711567764.5226383,1.8999908975232078,53,35,9.332444429397583,0.3137438409380351,2.213734738461243,1.3015947341918945,0.6629341093368775
1711567764.5502405,5.625646590529472,57,36,9.360046625137329,0.3439251607317574,5.969571751261229,1.3292553424835205,0.36857808867759534
1711567764.5715795,3.4667922415539376,60,37,9.381385564804077,0.3757573055707824,3.84254954712472,1.3505840301513672,0.45955052250159095
1711567764.5990222,2.341437608713592,64,38,9.408828258514404,0.07839445479186986,2.4198320635054618,1.3780269622802734,0.29694597379984616
1711567764.6272256,1.1438192825529707,68,39,9.437031745910645,0.02375190889378319,1.167571191446754,1.4061377048492432,0.19000891665501335
1711567764.6641276,0.741218826571656,73,40,9.473933696746826,0.07817552378026091,0.819394350351917,1.4430510997772217,0.25062153790052927
1711567764.6928592,0.3053115584338428,77,41,9.502665281295776,0.042440683443922336,0.3477522418777651,1.4718403816223145,0.16190423329402578
1711567764.727926,0.25651673047677903,82,42,9.537732124328613,0.021372421265126167,0.2778891517419052,1.5069224834442139,0.1333816280228773
