time,loss,_runtime,l2_error,_timestamp,loss_interior,step,loss_boundary,_step
1.0678229331970215,48.95553827928032,4.980605840682983,0.5809066443000608,1714521493.3971767,48.946749394667954,0,0.008788884612366111,0
1.3604764938354492,48.720467166483274,5.0677525997161865,0.5425672362238194,1714521493.4843235,48.715747676583284,1,0.004719489899988066,1
1.4420838356018066,48.444856260416934,5.149376153945923,0.49515509564704724,1714521493.565947,48.44346330311463,2,0.0013929573022989968,2
1.517472743988037,48.108801567081976,5.224684953689575,0.4276910831952261,1714521493.6412559,48.10879118253606,3,1.0384545914833598e-05,3
1.6111030578613281,47.5837149495472,5.318121671676636,0.31224208326848746,1714521493.7346926,47.57967433489179,4,0.004040614655408531,4
1.6966526508331299,46.20696335225324,5.403741836547852,0.6136390779604399,1714521493.8203127,46.166876335349066,5,0.040087016904175925,5
1.8063361644744873,39.39120271827467,5.51334547996521,0.7373985552694398,1714521493.9299164,38.97126346132668,6,0.41993925694799256,6
1.9327678680419922,34.74634388736771,5.641095161437988,1.7880717264194026,1714521494.057666,34.201718266759094,7,0.5446256206086134,7
2.084280014038086,24.797654717240214,5.791402101516724,1.2414592401576399,1714521494.207973,22.69468549900894,8,2.102969218231272,8
2.2495992183685303,18.850966129519403,5.956669330596924,2.0552069352394366,1714521494.3732402,17.478695445406295,9,1.3722706841131076,9
2.4526302814483643,11.53409231253882,6.159671068191528,1.4960235477520714,1714521494.576242,8.641945285364132,10,2.8921470271746896,10
2.764410972595215,8.551399477829436,6.471540451049805,1.5878318862129164,1714521494.8881114,6.9063037717426345,11,1.6450957060868026,11
3.0998404026031494,5.688683188393467,6.8069586753845215,1.4617671648871748,1714521495.2235296,3.8697251850509016,12,1.8189580033425656,12
3.4757087230682373,4.898993847287148,7.182861804962158,1.4253492983583973,1714521495.5994327,3.3033646693998344,13,1.595629177887314,13
3.930541753768921,4.047733202109065,7.637652635574341,1.3957528815218216,1714521496.0542235,2.527280986076624,14,1.5204522160324403,14
4.4210450649261475,3.563702042993458,8.128154039382935,1.052564323037156,1714521496.544725,2.1688526890254756,15,1.3948493539679825,15
4.928302764892578,3.0595141973311293,8.635401010513306,0.7695736906472449,1714521497.051972,2.146297517719742,16,0.9132166796113874,16
5.4128875732421875,1.8965887767654648,9.120017290115356,0.43312578074540503,1714521497.5365882,1.3740212166490966,17,0.5225675601163682,17
5.877090215682983,1.2289328918619422,9.584198951721191,0.225644808669004,1714521498.0007699,1.040949597789547,18,0.18798329407239506,18
6.456725835800171,0.34762245461870767,10.163875102996826,0.08086675082725454,1714521498.580446,0.2936394210042377,19,0.05398303361446996,19
6.964300870895386,0.12158778257800577,10.671396255493164,0.09186570615249467,1714521499.0879672,0.10953808696523887,20,0.01204969561276691,20
7.610518455505371,0.0674114655286576,11.317649364471436,0.10105195071242411,1714521499.7342203,0.05363457539188173,21,0.013776890136775861,21
8.42114782333374,0.04452995741809962,12.128271579742432,0.0896467251276731,1714521500.5448425,0.02845542200740213,22,0.01607453541069749,22
9.226455211639404,0.03225746663561167,12.93363094329834,0.07256841359355169,1714521501.3502018,0.01915702216172393,23,0.013100444473887744,23
9.961951494216919,0.02378078954856308,13.669073820114136,0.05768306862144145,1714521502.0856447,0.014430919592999589,24,0.009349869955563491,24
10.658093929290771,0.01992261363546046,14.365227222442627,0.0537535337359211,1714521502.7817981,0.013023059669285296,25,0.006899553966175164,25
11.447254419326782,0.01777150644219894,15.154392719268799,0.05189620078767379,1714521503.5709636,0.01148172190334963,26,0.0062897845388493094,26
12.324465990066528,0.01718734550582931,16.031595945358276,0.05136950002572177,1714521504.4481668,0.011204400503893508,27,0.005982945001935799,27
13.1929931640625,0.015935800042770593,16.90016770362854,0.050666908284049655,1714521505.3167386,0.010157204102950384,28,0.005778595939820208,28
14.188804626464844,0.01528711443987926,17.89596152305603,0.047672489202852386,1714521506.3125324,0.009945420285970629,29,0.005341694153908632,29
15.281976699829102,0.010601071525484677,18.989100217819214,0.047907651710602725,1714521507.4056711,0.006045861106684869,30,0.004555210418799808,30
16.58997869491577,0.006580651649001465,20.297118663787842,0.042457361713674764,1714521508.7136896,0.0026050248002887372,31,0.003975626848712728,31
17.61219072341919,0.0051342980043981405,21.319534301757812,0.03838706093747166,1714521509.7361052,0.0019486473305572766,32,0.0031856506738408637,32
18.89516043663025,0.004545806017849561,22.602330446243286,0.03397893836718908,1714521511.0189013,0.0018722655803448329,33,0.002673540437504728,33
20.254981994628906,0.0033447131722991598,23.962196826934814,0.03120364403633034,1714521512.3787677,0.0011431483371039004,34,0.0022015648351952593,34
21.56000852584839,0.0026273043921204837,25.26715087890625,0.02894785819947252,1714521513.6837218,0.0008105103291671978,35,0.0018167940629532859,35
22.772536754608154,0.0021019901751979644,26.479763984680176,0.02654564172949024,1714521514.896335,0.0005989403273050384,36,0.001503049847892926,36
23.600473165512085,0.0017415515914620517,27.3076274394989,0.02450054282400321,1714521515.7241983,0.0004637539124263355,37,0.0012777976790357161,37
24.182459831237793,0.0015677953930810589,27.88965153694153,0.022810962960824382,1714521516.3062224,0.0004692184877342219,38,0.001098576905346837,38
27.216496229171753,0.001399074011473767,30.923698663711548,0.021358056635822128,1714521519.3402696,0.00045578706053231135,39,0.0009432869509414556,39
27.884480714797974,0.0012078558836211943,31.591634035110474,0.01890773282699361,1714521520.008205,0.00040629586658844725,40,0.0008015600170327472,40
29.309038162231445,0.0009363175999304499,33.01618432998657,0.014778317152570011,1714521521.4327552,0.0003906585877767437,42,0.0005456590121537062,41
