loss_interior,time,_runtime,loss,_step,loss_boundary,step,_timestamp,l2_error
48.036090072154934,0.9048047065734863,4.5533082485198975,48.04487896124718,0,0.008788889092245518,0,1711567955.9713862,0.3207734758855335
46.972567883944514,0.9169440269470215,4.565020322799683,47.00897974720271,1,0.03641186325819306,1,1711567955.9830983,0.2911701468089322
45.48238905800506,0.9283514022827148,4.576419115066528,45.56736514642458,2,0.08497608841951469,2,1711567955.994497,0.332994402664943
43.32848164667124,0.939507246017456,4.587628602981567,43.48266823097294,3,0.15418658430169727,3,1711567956.0057065,0.41756022604571313
40.17938603617264,0.950793981552124,4.598831653594971,40.41342450486132,4,0.23403846868867753,4,1711567956.0169096,0.5077619892503912
35.59222933733428,0.9612588882446289,4.609510660171509,35.905526092796016,5,0.3132967554617347,5,1711567956.0275886,0.5911514303363526
29.423528694016596,0.9707381725311279,4.618954658508301,29.815373614520443,6,0.3918449205038455,6,1711567956.0370326,0.682011990891428
23.69095620977286,0.979755163192749,4.62807297706604,24.18502365222888,7,0.4940674424560219,7,1711567956.046151,0.8232837045422741
23.405962050945586,0.9888052940368652,4.63721227645874,24.076529988118665,8,0.6705679371730774,8,1711567956.0552902,0.9724563973324911
25.27684623270562,0.9978861808776855,4.646141290664673,26.11947880790096,9,0.8426325751953403,9,1711567956.0642192,1.0454729713604525
23.719569744576802,1.0068399906158447,4.655161380767822,24.637645666819825,10,0.9180759222430249,10,1711567956.0732393,1.0396375029268445
19.88341173877583,1.0158119201660156,4.664175987243652,20.802028528775438,11,0.9186167899996069,11,1711567956.082254,0.9919437188759813
17.96622220994479,1.0249512195587158,4.673254728317261,18.84340515617996,12,0.8771829462351687,12,1711567956.0913327,0.951564818733316
18.74758394437123,1.0339584350585938,4.687593460083008,19.588786063687458,13,0.8412021193162272,13,1711567956.1056714,0.9559598379507962
19.14213935069653,1.0493078231811523,4.6974005699157715,19.99551361309856,14,0.8533742624020272,14,1711567956.1154785,1.0104157759340626
18.146474386786196,1.0598421096801758,4.708027601242065,19.07038322000902,15,0.9239088332228235,15,1711567956.1261055,1.0973194584873558
16.644712730296725,1.0712919235229492,4.719408750534058,17.6824658359862,16,1.0377531056894764,16,1711567956.1374867,1.1830137754185135
15.28349927445671,1.0811216831207275,4.729279041290283,16.447324860699435,17,1.163825586242726,17,1711567956.147357,1.2412988863849441
14.532576778705376,1.0904545783996582,4.738809823989868,15.810726534215947,18,1.2781497555105705,18,1711567956.1568878,1.2760659813713042
15.43434616450272,1.0994911193847656,4.747905969619751,16.807127275337017,19,1.3727811108342955,19,1711567956.165984,1.3023734423705855
13.353031191901932,1.1163697242736816,4.764785051345825,14.765650253110802,20,1.41261906120887,21,1711567956.182863,1.2986656305140698
12.806111267896704,1.1258113384246826,4.774089574813843,14.181561198471293,21,1.3754499305745895,22,1711567956.1921675,1.2539310766573035
12.648275293606032,1.135019302368164,4.783340215682983,13.96620372261697,22,1.3179284290109397,23,1711567956.2014182,1.2186483258164549
12.148806724210958,1.1511998176574707,4.799557685852051,13.456303937488222,23,1.3074972132772633,25,1711567956.2176356,1.2933209091184406
9.74288638364808,1.1677734851837158,4.816137790679932,11.274248783896534,24,1.5313624002484525,27,1711567956.2342157,1.4551083397480067
9.202994577606551,1.1768949031829834,4.825434446334839,10.84730090350099,25,1.6443063258944381,28,1711567956.2435124,1.4739048715920644
7.767265710634032,1.1932804584503174,4.841599225997925,9.451548221622408,26,1.6842825109883768,30,1711567956.2596772,1.4375134609732954
5.495720906745264,1.209432601928711,4.857264995574951,7.093305620764909,27,1.5975847140196444,32,1711567956.275343,1.4318596119982352
4.5395455325664935,1.2254433631896973,4.8732826709747314,6.09094091158623,28,1.5513953790197368,34,1711567956.2913606,1.4434288428753441
4.060892591347413,1.2409801483154297,4.888781309127808,5.612283548530655,29,1.5513909571832423,36,1711567956.3068593,1.443314341439423
4.125559464181087,1.263080358505249,4.910934686660767,5.670798411662901,30,1.5452389474818136,39,1711567956.3290126,1.4561293743487898
3.4729952221018983,1.2787508964538574,4.926553964614868,5.010442706004389,31,1.53744748390249,41,1711567956.344632,1.4279212129252
2.7297181231446683,1.3008453845977783,4.9486799240112305,4.268530760507684,32,1.5388126373630158,44,1711567956.3667579,1.428227446275285
2.7455209536332243,1.3228228092193604,4.970585823059082,4.325807576414162,33,1.5802866227809376,47,1711567956.3886638,1.3848371712256862
2.3176367075703395,1.3443472385406494,4.992182493209839,3.7561000237903572,34,1.4384633162200176,50,1711567956.4102604,1.3212372525797405
2.3519064227958983,1.3663959503173828,5.0141801834106445,3.672578924831632,35,1.3206725020357335,53,1711567956.4322581,1.2675349862031486
2.0444729845604126,1.402155876159668,5.049982309341431,3.271211697440278,36,1.2267387128798657,57,1711567956.4680603,1.1964381101761483
2.0429493459294,1.425069808959961,5.072882413864136,3.20604817859702,37,1.16309883266762,60,1711567956.4909604,1.15504830501833
1.8452410788339213,1.4532959461212158,5.101065397262573,2.950633165887304,38,1.1053920870533829,64,1711567956.5191433,1.122162766185235
1.6577725055249795,1.4815642833709717,5.129321813583374,2.6935576249610014,39,1.0357851194360217,68,1711567956.5473998,1.075029858094765
1.5474603534792377,1.5162692070007324,5.164118051528931,2.479577158730413,40,0.9321168052511754,73,1711567956.582196,0.9915770176273957
1.478214857964608,1.5446007251739502,5.192395448684692,2.322231396382902,41,0.8440165384182943,77,1711567956.6104734,0.9406596324505646
1.3902073796153425,1.5792324542999268,5.2270636558532715,2.1448054173101356,42,0.7545980376947931,82,1711567956.6451416,0.8722890630380808
