_step,_timestamp,loss_boundary,step,l2_error,time,loss_interior,loss,_runtime
0,1714520454.6004548,0.008788884612366111,0,0.9455424440142962,1.1268765926361084,48.946749394667954,48.95553827928032,5.246432781219482
1,1714520454.8173509,0.7760668648155639,1,0.9671133478237622,1.548478364944458,33.856333353201514,34.632400218017075,5.463328838348389
2,1714520455.0680919,0.8028376739344155,2,1.08406260687032,1.799461841583252,19.624040552464436,20.426878226398852,5.714069843292236
3,1714520455.3557575,0.9019059809797012,3,1.0266741916937723,2.087127208709717,15.509195121367819,16.41110110234752,6.00173544883728
4,1714520455.6616874,0.8699733674717524,4,0.9809614948138536,2.3930535316467285,12.959978386542202,13.829951754013955,6.3076653480529785
5,1714520455.9648075,0.9272836243424453,5,1.0271094983868674,2.6961898803710938,9.042345634982226,9.969629259324671,6.610785484313965
6,1714520456.2701006,1.1002019328297759,6,1.1590291861733661,3.0014865398406982,6.345663189430489,7.445865122260265,6.916078567504883
7,1714520456.5716417,1.1862962485009583,7,1.1855342327126317,3.303013563156128,4.751498074670508,5.937794323171466,7.2176196575164795
8,1714520456.8838375,1.1656053197030085,8,1.0913629827768756,3.6151318550109863,3.6819840410105056,4.847589360713514,7.529815435409546
9,1714520457.185062,1.0397104213980193,9,0.9974348878179211,3.9164326190948486,2.818553277728397,3.8582636991264163,7.831039905548096
10,1714520457.4890182,0.9561472209248817,10,0.9584040846632487,4.220354795455933,2.2550876310025654,3.211234851927447,8.134996175765991
11,1714520457.7906783,0.9328453528320758,11,0.8392698184230174,4.520694971084595,1.8775705968161749,2.8104159496482506,8.43665623664856
12,1714520458.1077547,0.7083484654622396,12,0.6448914142866243,4.83902645111084,1.4229550380736868,2.1313035035359267,8.753732681274414
13,1714520458.41475,0.39596375689097923,13,0.45246846827345283,5.146152973175049,1.005084708466312,1.4010484653572912,9.060728073120117
14,1714520458.7227297,0.17778296391366333,14,0.2840649400089797,5.454107999801636,0.7041226584134561,0.8819056223271194,9.368707656860352
15,1714520459.0285532,0.06687237092434381,15,0.174273938344426,5.759963274002075,0.46507679234680116,0.5319491632711449,9.67453122138977
16,1714520459.3328586,0.02794293285600519,16,0.1329829547905715,6.064239025115967,0.27282693216363724,0.3007698650196424,9.97883653640747
17,1714520459.6370378,0.018309642852924874,17,0.11086522189274241,6.36838960647583,0.1740688036666394,0.1923784465195643,10.283015727996826
18,1714520459.940969,0.014247864186692183,18,0.099809555431901,6.672346591949463,0.11643266216473855,0.13068052635143074,10.586946964263916
19,1714520460.244037,0.012884893631365434,19,0.09516292706271336,6.975409030914307,0.08309445379141951,0.09597934742278494,10.890014886856079
20,1714520460.546261,0.012655023749301554,20,0.09372924720042916,7.277656555175781,0.06305029108018528,0.07570531482948684,11.192239046096802
21,1714520460.8506916,0.0127708031981633,21,0.09255399471128298,7.582070589065552,0.04938124626513553,0.06215204946329883,11.49666953086853
22,1714520461.1548553,0.012697762796320507,22,0.08980512305618438,7.886247396469116,0.039249601513230654,0.05194736430955116,11.800833225250244
23,1714520461.4622278,0.012166520067066536,23,0.08468640095379933,8.193589210510254,0.03207541865500222,0.04424193872206876,12.108205795288086
24,1714520461.7692976,0.011083576601114564,24,0.07611935332961399,8.500652074813843,0.027362266047480075,0.03844584264859464,12.415275573730469
25,1714520462.0714843,0.009335196778490925,25,0.06788802104394112,8.802876472473145,0.022872646458702406,0.032207843237193334,12.717462301254272
26,1714520462.386432,0.007777853332503552,26,0.06316074029232753,9.117826223373413,0.01880515660538507,0.02658300993788862,13.032409906387329
27,1714520462.6928158,0.00696799238273426,27,0.060081340095685026,9.424230337142944,0.016712471781122007,0.023680464163856267,13.338793754577637
28,1714520463.000581,0.00643573119535068,28,0.05770825410039549,9.73185682296753,0.015442290834743381,0.021878022030094063,13.646559000015259
29,1714520463.307606,0.006021292982423034,29,0.05576560523317913,10.03900408744812,0.014297439993199275,0.020318732975622308,13.95358395576477
30,1714520463.6181946,0.005692977624767594,30,0.05452675632198421,10.349498748779297,0.01299825905781643,0.018691236682584024,14.264172554016113
31,1714520463.925405,0.005509945977429274,31,0.0543836868618561,10.65678882598877,0.01156024598635865,0.017070191963787923,14.571382999420166
