step,loss_boundary,loss_interior,l2_error,time,_runtime,_step,_timestamp,loss
0,0.008788889092245525,48.946754466749006,1.9297424968679338,1.2321810722351074,5.568780899047852,0,1712928561.6934679,48.95554335584125
1,2.2404401326946872,12.214342343753518,1.189975544931415,1.789712905883789,5.7826244831085205,1,1712928561.9073114,14.454782476448205
2,1.4613109524475307,4.156321746014094,0.9481586011757199,2.0496561527252197,6.04242205619812,2,1712928562.167109,5.617632698461625
3,0.9938385107599738,2.0212251252770868,0.8506920469962509,2.3443641662597656,6.337127923965454,3,1712928562.4618149,3.0150636360370604
4,0.7392201930573495,1.18753495243,0.7490677460242936,2.650559425354004,6.643355369567871,4,1712928562.7680423,1.9267551454873497
5,0.5024019690163856,0.6282621248863333,0.41571535924512115,2.963074207305908,6.95586633682251,5,1712928563.0805533,1.1306640939027188
6,0.1641434089510927,0.19372339484204504,0.19939771896646724,3.2657554149627686,7.2585084438323975,6,1712928563.3831954,0.35786680379313773
7,0.04386906608824035,0.10156977057230425,0.1439371104691851,3.5782999992370605,7.571096897125244,7,1712928563.6957839,0.1454388366605446
8,0.020518602014248495,0.059233747680220675,0.07114703453143463,3.8965790271759033,7.889438152313232,8,1712928564.014125,0.07975234969446918
9,0.009363699722777065,0.0432711784114463,0.07569702361901781,4.2846808433532715,8.277697801589966,9,1712928564.4023848,0.052634878134223365
10,0.00952402623342927,0.030549842174169086,0.076666142937247,4.633211851119995,8.626067638397217,10,1712928564.7507546,0.040073868407598356
11,0.008588764438911035,0.02740262426060134,0.06445546895166364,4.959572792053223,8.952512264251709,11,1712928565.0771992,0.03599138869951238
12,0.007506367865965981,0.023833578472000617,0.06467381559881387,5.278870344161987,9.272916078567505,12,1712928565.397603,0.0313399463379666
13,0.007370946688286563,0.018059939589985106,0.06095727255157813,5.586106061935425,9.57887601852417,13,1712928565.703563,0.02543088627827167
14,0.006873906076225537,0.01694915542823984,0.06553186935861556,5.920076847076416,9.913044214248657,14,1712928566.0377312,0.02382306150446538
15,0.007252539759881014,0.015360058391896905,0.06479613083496295,6.257814884185791,10.250635623931885,15,1712928566.3753226,0.022612598151777918
16,0.007424876102265941,0.012847155650330965,0.06835060176025924,6.600458860397339,10.59321928024292,16,1712928566.7179062,0.020272031752596904
17,0.007411768474475039,0.009702530827913246,0.06048995463476375,6.920111417770386,10.912920713424683,17,1712928567.0376077,0.017114299302388284
18,0.006370127105684294,0.0077970524808907826,0.06012547792400244,7.229891777038574,11.222663879394531,18,1712928567.3473508,0.014167179586575077
19,0.0057914168724276655,0.007105582158870616,0.05835566220477052,7.540250301361084,11.53325629234314,19,1712928567.6579432,0.012896999031298283
21,0.005629563944825581,0.005289446350993408,0.0595182105860452,8.143255710601807,12.136008739471436,20,1712928568.2606957,0.010919010295818989
22,0.005406403936029898,0.00461750147966621,0.05451585411735252,8.463905334472656,12.456749200820923,21,1712928568.5814362,0.010023905415696109
