_runtime,time,_step,l2_error,loss_boundary,step,loss_interior,loss,_timestamp
4.43228816986084,0.9315927028656006,0,3.370263347744421,0.008788889092245518,0,48.036090072154934,48.04487896124718,1711568810.134648
4.626008987426758,1.125946283340454,1,0.4690068581391153,6.906450276127252,1,42.20153472824074,49.10798500436799,1711568810.328369
4.810823202133179,1.3108160495758057,2,0.9975853355026658,0.2283643973470125,2,41.79920529434967,42.027569691696684,1711568810.513183
4.9659082889556885,1.4658915996551514,3,1.578480532013892,0.2534948428429011,3,34.70037213923518,34.953866982078075,1711568810.6682682
5.152974367141724,1.6529810428619385,4,1.1534838920092296,1.380905208058321,4,27.05073162860886,28.43163683666718,1711568810.8553343
5.3338868618011475,1.833885908126831,5,1.2896148284203346,0.4885025317878851,5,23.684684864140568,24.17318739592845,1711568811.0362468
5.6487250328063965,2.148696184158325,6,0.9881046968204885,1.2523714109536916,6,9.690849068040409,10.9432204789941,1711568811.351085
5.927957057952881,2.4279186725616455,7,0.7971921450883738,0.7641713348706362,7,7.256588274568825,8.02075960943946,1711568811.630317
6.237489700317383,2.737513542175293,8,0.8091471402131689,0.5825042269977841,8,2.464644455300309,3.047148682298093,1711568811.9398496
6.554053068161011,3.0527896881103516,9,0.6382612571120309,0.6227459714099638,9,2.41189544135912,3.0346414127690835,1711568812.256413
6.865494728088379,3.3654918670654297,10,0.6221496936082649,0.39379976086753377,10,2.218001593722596,2.61180135459013,1711568812.5678546
7.178010940551758,3.6780166625976562,11,0.4201421103520856,0.3262989517248133,11,0.5178643464628666,0.8441632981876799,1711568812.8803709
7.625917196273804,4.125953197479248,12,0.3254649589964707,0.1723023348852402,12,0.15011372512524124,0.3224160600104814,1711568813.328277
8.14302921295166,4.6430439949035645,13,0.2423650348864057,0.10993004561849494,13,0.04565545272913356,0.1555854983476285,1711568813.8453891
8.703161239624023,5.203138113021851,14,0.18258641211785157,0.06453368337418422,14,0.030668956473965888,0.09520263984815011,1711568814.4055212
9.33969521522522,5.839675664901733,15,0.14106848070708106,0.0392492778804632,15,0.02052723669552812,0.05977651457599132,1711568815.0420551
10.00496530532837,6.504973649978638,16,0.1210619964097949,0.025984741018660596,16,0.014183005588803697,0.04016774660746429,1711568815.7073252
10.612268447875977,7.112005949020386,17,0.11099225941230817,0.020905329628653595,17,0.010247495933187882,0.031152825561841478,1711568816.3146284
11.27188754081726,7.771912097930908,18,0.098892968119308,0.018448039798995418,18,0.006943063095683079,0.025391102894678497,1711568816.9742475
11.899248838424683,8.39919137954712,19,0.08869144386235858,0.016040728480237045,19,0.005775593098496624,0.021816321578733668,1711568817.6016088
12.48367166519165,8.98367714881897,20,0.0761144873352759,0.012936482193010357,20,0.005155011391146399,0.018091493584156758,1711568818.1860316
13.184547901153564,9.6845383644104,21,0.0653799043248439,0.010013922643330045,21,0.004875160083480936,0.01488908272681098,1711568818.8869078
13.881676435470581,10.381682634353638,22,0.056773098792193784,0.007553154035084594,22,0.004722707717690887,0.012275861752775482,1711568819.5840364
14.387199878692627,10.887239217758179,23,0.05156279929470622,0.005779259875493353,23,0.004805225921695092,0.010584485797188445,1711568820.0895598
15.06227159500122,11.562290906906128,24,0.047027736434265555,0.004837550640280074,24,0.004585339241678863,0.009422889881958937,1711568820.7646315
15.67267394065857,12.172678232192993,25,0.043660287813078937,0.003975715382034372,25,0.004305934553347044,0.008281649935381417,1711568821.3750339
16.242995977401733,12.742975234985352,26,0.04030198830666587,0.003233378434960842,26,0.0037863367389334678,0.00701971517389431,1711568821.945356
16.87413001060486,13.374154329299927,27,0.031246624991005098,0.0023338635991450975,27,0.003631483067138713,0.005965346666283811,1711568822.57649
17.65220594406128,14.15219235420227,28,0.02501881171866994,0.0013837748132762453,28,0.002608748943722037,0.003992523756998282,1711568823.3545659
18.364267826080322,14.86425256729126,29,0.0162256171133487,0.0008392395205552741,29,0.0013289467882846102,0.002168186308839884,1711568824.0666277
19.905445337295532,16.40545654296875,30,0.008087528927471412,0.0002668484407404791,31,0.00030057735222022906,0.0005674257929607081,1711568825.6078053
21.217126607894897,17.71713614463806,31,0.005559612628725409,0.00014295251081941686,32,0.00021154119699946518,0.00035449370781888206,1711568826.9194865
21.92501139640808,18.42499566078186,32,0.00466043684152314,7.378009718558966e-05,33,0.00014504898335746246,0.00021882908054305213,1711568827.6273713
24.52527689933777,21.025022268295288,33,0.001840620747516612,1.5431340980509648e-05,35,8.254723024027511e-05,9.797857122078476e-05,1711568830.2276368
25.37390398979187,21.873899936676025,34,0.001629226402517604,6.361087110089489e-06,36,3.2783635813897206e-05,3.9144722923986695e-05,1711568831.076264
27.785163640975952,24.285086154937744,35,0.0014949468994813633,3.6215171735245013e-06,38,2.4909263661805416e-05,2.8530780835329916e-05,1711568833.4875236
28.690537929534912,25.190541982650757,36,0.0011364146935402288,3.1040769825997148e-06,40,1.907542658842127e-05,2.2179503571020985e-05,1711568834.3928978
29.253999948501587,25.754027366638184,37,0.00099870087240832,2.590840017526874e-06,41,1.770165901223438e-05,2.0292499029761255e-05,1711568834.9563599
30.159248113632202,26.65927791595459,38,0.0008627705030078229,1.8097504841614417e-06,43,1.663215758993337e-05,1.8441908074094812e-05,1711568835.861608
32.01138091087341,28.51136040687561,39,0.001075987194860799,1.5363630221010827e-06,45,1.3324930623409075e-05,1.4861293645510159e-05,1711568837.7137408
33.70739030838013,30.20737910270691,40,0.0012079945880926273,1.850705682201639e-06,47,1.1607674825433617e-05,1.3458380507635256e-05,1711568839.4097502
