step,_step,l2_error,_timestamp,loss_boundary,loss_interior,loss,time,_runtime
0,0,0.4484921161362639,1712961812.8937497,0.008788889092245525,48.946754466749006,48.95554335584125,1.466909408569336,5.523760795593262
1,1,0.6314129418691149,1712961813.017682,0.002413371099557368,47.36516856336969,47.36758193446925,1.914116621017456,5.647693157196045
2,2,0.693994193968706,1712961813.1444654,0.3667777734696281,21.17541302708801,21.542190800557638,2.040314197540283,5.774476528167725
3,3,0.6220024530550111,1712961813.272189,0.40294712538515504,7.870544340489189,8.273491465874343,2.168170690536499,5.902199983596802
4,4,0.624280859868305,1712961813.398959,0.38244820751022224,5.5821480599048625,5.964596267415085,2.2949893474578857,6.028970003128052
5,5,0.3409573852672995,1712961813.5363846,0.3613598265608851,3.6709521568087755,4.03231198336966,2.4322876930236816,6.166395664215088
6,6,0.29726810494316797,1712961813.6652505,0.12284699315394669,1.3233430895903773,1.446190082744324,2.55997371673584,6.29526162147522
7,7,0.26997483180570164,1712961813.7959857,0.10224241132002734,0.6114135989494695,0.7136560102694968,2.6919143199920654,6.425996780395508
8,8,0.23549169140192341,1712961813.9353518,0.07915420546679988,0.3534536576381135,0.4326078631049134,2.8312981128692627,6.565362930297852
9,9,0.2282212013329233,1712961814.0829208,0.060748697682806,0.2237195381839254,0.2844682358667314,2.9769089221954346,6.712931871414185
10,10,0.20780518227419176,1712961814.2125623,0.05543911010845949,0.1505331973316927,0.2059723074401522,3.108543872833252,6.842573404312134
11,11,0.20276461147514396,1712961814.3397038,0.049420418957297096,0.11879218086017744,0.16821259981747455,3.235814332962036,6.969714879989624
12,12,0.1746446021564616,1712961814.4662328,0.045651840310318874,0.08876661903909862,0.13441845934941749,3.362379789352417,7.096243858337402
13,13,0.14976684811738036,1712961814.593786,0.03162455218277456,0.06937926981984668,0.10100382200262124,3.4898791313171387,7.223797082901001
14,14,0.14164023015215654,1712961814.722955,0.02708690884808808,0.04863434888750522,0.0757212577355933,3.6188907623291016,7.352966070175171
15,15,0.13881987717019717,1712961814.8501823,0.024750186929317183,0.035676848681547364,0.06042703561086454,3.746331214904785,7.480193376541138
16,16,0.1327475411210647,1712961814.9762568,0.023086117605314187,0.02906865308272957,0.05215477068804376,3.872424840927124,7.606267929077148
17,17,0.1211051620025503,1712961815.1031587,0.021172460586590496,0.024423356250770554,0.04559581683736105,3.9993228912353516,7.733169794082642
18,18,0.11711501342715572,1712961815.229736,0.01633235964858471,0.01948434117385448,0.03581670082243919,4.125951766967773,7.8597471714019775
19,19,0.11266473105983078,1712961815.3775947,0.015165578503025324,0.015579281321687807,0.03074485982471313,4.273499488830566,8.007605791091919
21,20,0.10281911235527091,1712961815.6270447,0.01314767456232844,0.011261015499071129,0.02440869006139957,4.523046255111694,8.257055759429932
22,21,0.09913864144799885,1712961815.7533622,0.012202334999914858,0.009807115959072878,0.022009450958987736,4.649566411972046,8.383373260498047
23,22,0.09735691753806537,1712961815.8805954,0.0114714053836108,0.008631685853899774,0.020103091237510574,4.776642084121704,8.510606527328491
25,23,0.0908365913125315,1712961816.1526008,0.01024908366170307,0.006989905503098981,0.01723898916480205,5.048526048660278,8.782611846923828
27,24,0.08396238365198228,1712961816.4045916,0.009198578849711056,0.005757642506085729,0.014956221355796785,5.300630807876587,9.034602642059326
28,25,0.08093176317917024,1712961816.529843,0.008632158406970932,0.005227219388037628,0.01385937779500856,5.425997495651245,9.159854173660278
30,26,0.07621081206381151,1712961816.7818248,0.007664991040598572,0.004408806136333988,0.01207379717693256,5.677794694900513,9.41183590888977
32,27,0.07163986799330894,1712961817.0475225,0.006860683806856403,0.003772466188554191,0.010633149995410594,5.943560361862183,9.677533626556396
34,28,0.06780016947850018,1712961817.2968976,0.0062576470207531725,0.003279955623712563,0.009537602644465735,6.192796945571899,9.926908731460571
36,29,0.06503563629232992,1712961817.5465515,0.005718313138213482,0.0028872672455867027,0.008605580383800184,6.442537784576416,10.176562547683716
39,30,0.06044631114624901,1712961817.922454,0.005009600544557394,0.0024469727970797134,0.007456573341637108,6.817984104156494,10.552465200424194
41,31,0.0575709360353636,1712961818.1708462,0.004666936856079094,0.0021762242113947754,0.006843161067473869,7.066965341567993,10.800857305526733
44,32,0.05405311891403024,1712961818.539979,0.004161991282255275,0.0018479791160522002,0.0060099703983074754,7.436020612716675,11.169990062713623
47,33,0.0513856758102433,1712961818.9159977,0.0037957463122249794,0.0015642576703640677,0.005360003982589047,7.8118813037872314,11.546008825302124
50,34,0.04793233461619857,1712961819.2933156,0.0034691953387365414,0.0013553072036169556,0.004824502542353497,8.189277648925781,11.92332673072815
53,35,0.045610924739213604,1712961819.6759286,0.0031670320633962056,0.001185845054371614,0.00435287711776782,8.571841478347778,12.305939674377441
57,36,0.04286427718550971,1712961820.1786795,0.002857006308268064,0.0009861106135057687,0.0038431169217738323,9.074645042419434,12.808690547943115
60,37,0.04121481670899678,1712961820.554719,0.0026565207797466933,0.0008609330186252911,0.0035174537983719842,9.450767278671265,13.184730052947998
64,38,0.03906952447381444,1712961821.0623562,0.002421441585051664,0.0007209482340144821,0.0031423898190661463,9.958284854888916,13.692367315292358
68,39,0.03704428116104137,1712961821.5709543,0.0022191857334053016,0.0006044603378737972,0.002823646071279099,10.466536521911621,14.200965404510498
73,40,0.03505021455468823,1712961822.199571,0.001992141439473627,0.0004839984205946759,0.002476139860068303,11.095487356185913,14.82958197593689
77,41,0.033474837769896806,1712961822.7060418,0.0018325405278737646,0.0004110672526680144,0.002243607780541779,11.601904153823853,15.336052894592285
