loss,loss_interior,step,time,_step,l2_error,loss_boundary,_runtime,_timestamp
48.95553827928032,48.946749394667954,0,12.304195165634155,0,0.4124311217700751,0.008788884612366111,16.58879518508911,1714524173.741902
48.398685021467635,48.39014319367454,1,25.93332052230835,1,0.6440719951874034,0.008541827793092451,29.79158902168274,1714524186.944696
41.29221705277945,41.25259386569091,2,37.70302724838257,2,1.5278565277819394,0.03962318708853736,41.56149649620056,1714524198.7146034
11.865703058846387,10.740178065938855,3,48.80280685424805,3,0.9596352127541524,1.125524992907533,52.66189622879028,1714524209.8150032
7.8439793652933245,7.458641079153081,4,61.71922588348389,4,0.8640029406272661,0.3853382861402437,65.57740068435669,1714524222.7305076
6.944021489394948,6.630289085135138,5,72.30579733848572,5,0.8385618888660875,0.3137324042598094,76.1658706665039,1714524233.3189776
6.542490395526758,6.249053945006323,6,82.79213738441467,6,0.8894214938196637,0.293436450520435,86.65014719963074,1714524243.8032541
4.622397240462316,4.195120318121879,7,94.05438733100891,7,0.2031465356975775,0.4272769223404365,97.91298198699951,1714524255.066089
1.2793047820632306,1.260216142124387,8,105.15107464790344,8,0.11498062659971901,0.01908863993884379,109.00942015647888,1714524266.162527
0.15364706942458634,0.1451678093515746,9,116.47674703598022,9,0.05514337085362203,0.008479260073011734,120.3349118232727,1714524277.4880188
0.041948568881884474,0.04008424929281554,10,127.35211157798767,10,0.022599065521110517,0.0018643195890689333,131.21057534217834,1714524288.3636823
0.011477127067017484,0.011065878917127092,11,138.39083075523376,11,0.014111078904922058,0.0004112481498903906,142.24871230125427,1714524299.4018192
0.001197790880657946,0.0010738047615108267,12,150.13113236427307,12,0.0033185521799436154,0.0001239861191471195,153.98915934562683,1714524311.1422663
0.0003324034473976401,0.00032028906855348165,13,160.72162413597107,13,0.0007959563238091213,1.211437884415846e-05,164.57943844795227,1714524321.7325454
0.00016948039691308973,0.00016860790984821154,14,171.7988486289978,14,0.0012644587257890643,8.724870648781848e-07,175.65716695785522,1714524332.810274
4.804090323126559e-05,4.663338047402044e-05,15,182.5400333404541,15,0.0006633060150408259,1.4075227572451514e-06,186.3980255126953,1714524343.5511324
4.14833260673854e-06,3.8774798466029635e-06,16,194.70580577850342,16,0.00041066822983171545,2.708527601355766e-07,198.56437230110168,1714524355.7174792
1.040885811628954e-06,9.40791303516379e-07,17,206.4759919643402,17,0.00013674661199637012,1.0009450811257515e-07,210.33377861976624,1714524367.4868855
1.903842660777299e-07,1.7839245802258478e-07,18,217.37152481079102,18,5.154853015648089e-05,1.1991808055145121e-08,221.22978329658508,1714524378.3828902
4.3748147947189736e-08,4.177410017866789e-08,19,229.944162607193,19,3.230943557101443e-05,1.9740477685218465e-09,233.80228352546692,1714524390.9553905
1.4077165943233123e-08,1.3191104147909527e-08,20,241.57783675193787,20,2.3281445004652854e-05,8.860617953235954e-10,245.43617367744446,1714524402.5892806
5.650483241926885e-09,5.096590573192259e-09,21,252.64134001731873,21,1.8695838683001313e-05,5.538926687346258e-10,256.50005435943604,1714524413.6531613
4.654405449103849e-09,4.186000226780348e-09,22,264.0659513473511,22,1.8154053417610724e-05,4.684052223235007e-10,267.92701292037964,1714524425.0801198
3.784015504960127e-09,3.3559545217632774e-09,23,275.1084716320038,23,1.778530189918895e-05,4.2806098319684885e-10,278.9671723842621,1714524436.1202793
3.3857543746124414e-09,2.9861235426844787e-09,24,285.77132415771484,24,1.7382408276515454e-05,3.996308319279629e-10,289.63123989105225,1714524446.7843468
2.8920107006666084e-09,2.515113102910201e-09,25,298.1094605922699,25,1.6628681693237568e-05,3.7689759775640734e-10,301.96809577941895,1714524459.1212027
2.5454273907182684e-09,2.1903178815528327e-09,26,309.3501799106598,26,1.6222016571448656e-05,3.551095091654355e-10,313.2087893486023,1714524470.3618963
2.2512616789637557e-09,1.9127668612207278e-09,27,320.0875368118286,27,1.5418347051086884e-05,3.384948177430278e-10,323.9460952281952,1714524481.0992022
2.0108795698642323e-09,1.6903481881880874e-09,28,330.9983582496643,28,1.5347238023728437e-05,3.2053138167614495e-10,334.85662150382996,1714524492.0097284
1.7955297644935113e-09,1.493056678482824e-09,29,342.0254702568054,29,1.4662058064070023e-05,3.0247308601068715e-10,345.8836064338684,1714524503.0367134
1.5886946723079044e-09,1.3050905869663823e-09,30,353.55869221687317,30,1.4434806083506834e-05,2.836040853415221e-10,357.4200041294098,1714524514.573111
1.4350981069696253e-09,1.1695667118127563e-09,31,365.6986677646637,31,1.361608669002625e-05,2.6553139515686893e-10,369.55682492256165,1714524526.7099319
1.296207646980522e-09,1.048540219062858e-09,32,378.26504921913147,32,1.3732133253304461e-05,2.4766742791766407e-10,382.12358117103577,1714524539.276688
1.159079364871297e-09,9.273664283989497e-10,33,390.6545307636261,33,1.2987032431372991e-05,2.3171293647234728e-10,394.5126988887787,1714524551.6658058
1.0348383770008585e-09,8.192583404460839e-10,34,402.6768684387207,34,1.2706518572874573e-05,2.155800365547747e-10,406.53531217575073,1714524563.688419
9.696318692302197e-10,7.688920152858771e-10,35,414.250670671463,35,1.2283225853339287e-05,2.0073985394434253e-10,418.1116933822632,1714524575.2648003
8.624206602801335e-10,6.734962389001363e-10,36,426.42283368110657,36,1.1999390292788041e-05,1.8892442137999718e-10,430.2811801433563,1714524587.434287
7.834224294157489e-10,6.068185548942147e-10,37,438.2349302768707,37,1.1696938942079934e-05,1.7660387452153426e-10,442.0930643081665,1714524599.2461712
7.044183385805299e-10,5.384415973593432e-10,38,449.1642153263092,38,1.1466955820165104e-05,1.659767412211867e-10,453.0252802371979,1714524610.1783872
6.570424080331607e-10,5.01442990396149e-10,39,460.1659927368164,39,1.1198091338311441e-05,1.555994176370117e-10,464.02377915382385,1714524621.176886
6.008663972272609e-10,4.547469443097291e-10,40,470.9026346206665,40,1.103129545146407e-05,1.4611945291753185e-10,474.7605288028717,1714524631.9136357
5.431218026463862e-10,4.063771608035319e-10,42,492.814129114151,41,1.0713260694074911e-05,1.367446418428543e-10,496.67240595817566,1714524653.825513
4.243296505006733e-10,3.144303626892491e-10,46,537.0810353755951,42,9.598889662647689e-06,1.0989928781142423e-10,540.9391660690308,1714524698.092273
3.567372347001152e-10,2.622181714327598e-10,50,584.636602640152,43,9.009379321532494e-06,9.45190632673554e-11,588.4949901103973,1714524745.648097
2.8520546467982563e-10,2.0718191729602756e-10,55,641.3983242511749,44,8.157372189237048e-06,7.80235473837981e-11,645.2566258907318,1714524802.4097328
2.2225941881352433e-10,1.6269046219872032e-10,61,710.0906293392181,45,7.020851075109445e-06,5.9568956614804e-11,713.9517817497253,1714524871.1048887
1.7122926035217644e-10,1.2730402413879712e-10,67,776.0147874355316,46,5.882946870283246e-06,4.3925236213379304e-11,779.8731777667999,1714524937.0262847
