loss_boundary,loss,_timestamp,step,time,_step,_runtime,l2_error,loss_interior
0.008788884612366111,48.95553827928032,1714519183.4738233,0,1.0634474754333496,0,5.216034412384033,0.6024477447716952,48.946749394667954
0.007397221421687666,48.88442286779151,1714519183.48636,1,1.3079500198364258,1,5.228571176528931,0.5849174298662468,48.877025646369816
0.005178372608511495,48.75847830707026,1714519183.496711,2,1.3182170391082764,2,5.238922119140625,0.5619553197996727,48.75329993446175
0.00284314329988077,48.59728103750681,1714519183.5076683,3,1.329145908355713,3,5.249879360198975,0.5358372284874915,48.59443789420693
0.0010075437104871145,48.41847135722441,1714519183.5174804,4,1.3389613628387451,4,5.259691476821899,0.5083591525159226,48.417463813513926
7.36440819389782e-05,48.234020667728956,1714519183.5272255,5,1.348707675933838,5,5.269436597824097,0.480602067817704,48.23394702364702
0.0002464536913550316,48.04852148458125,1714519183.5370543,6,1.3585352897644043,6,5.279265403747559,0.45288159303053327,48.0482750308899
0.0016456911898424136,47.85912905675094,1714519183.5469322,7,1.3683912754058838,7,5.289143323898315,0.42486624037238946,47.857483365561095
0.004460938489453182,47.65627564393227,1714519183.5568144,8,1.3782920837402344,8,5.299025535583496,0.39585139660966384,47.65181470544282
0.00912513808087279,47.42425118997142,1714519183.5665858,9,1.3880679607391357,9,5.3087968826293945,0.36525680445509273,47.415126051890546
0.01652085221931958,47.14100695470313,1714519183.5762963,10,1.3977916240692139,10,5.318507432937622,0.33362365809010636,47.12448610248381
0.028266132605182265,46.77680070063415,1714519183.5873137,11,1.407534122467041,11,5.329524755477905,0.30477326882360395,46.748534568028965
0.04714005443712445,46.291338308820905,1714519183.5970562,12,1.418536901473999,12,5.339267253875732,0.28978202683201554,46.24419825438378
0.0776804037605704,45.6286248766133,1714519183.6067662,13,1.4282426834106445,13,5.348977327346802,0.3091943969194079,45.550944472852734
0.12685543499918456,44.707040838660205,1714519183.6165433,14,1.4380245208740234,14,5.358754396438599,0.3818153621752128,44.58018540366102
0.20434711942734737,43.39677851695618,1714519183.6261945,15,1.4476525783538818,15,5.36840558052063,0.5089118155891645,43.192431397528836
0.3212005210437795,41.461671505971935,1714519183.6359541,16,1.457355260848999,16,5.378165245056152,0.6771162263513961,41.14047098492816
0.4842418507740285,38.406651451110065,1714519183.6465857,17,1.4679813385009766,17,5.388796806335449,0.8612115324617388,37.92240960033604
0.6827001168188557,33.11522465596886,1714519183.6611443,18,1.4825618267059326,18,5.403355360031128,1.0182543439989962,32.43252453915
0.8871598389504542,23.576265161890174,1714519183.670972,19,1.4924068450927734,19,5.413183212280273,1.218850875080106,22.68910532293972
1.3045024212171918,21.31572479886283,1714519183.6812763,20,1.5026092529296875,20,5.423487424850464,1.887247822520899,20.01122237764564
2.30577333066497,31.057653609177983,1714519183.6920433,21,1.513493537902832,21,5.43425440788269,1.3284153310517166,28.751880278513013
1.53595742022518,18.655036307692978,1714519183.702346,22,1.52376389503479,22,5.444557189941406,1.3647993601147475,17.119078887467797
1.403093178712927,18.062936033499145,1714519183.712567,23,1.5339796543121338,23,5.45477819442749,1.4269708353129913,16.65984285478622
1.4248493952219448,18.855075462851016,1714519183.722867,24,1.5442771911621094,24,5.465078115463257,1.2536637017148755,17.43022606762907
1.1605944736787916,14.002706491009103,1714519183.7332132,25,1.5545885562896729,25,5.475424289703369,1.2887198739151025,12.842112017330312
1.2856063134056164,12.090446642367572,1714519183.743439,26,1.5648291110992432,26,5.485650062561035,1.5223698603121674,10.804840328961957
1.645324350313935,16.480585762507864,1714519183.753658,27,1.575110912322998,27,5.495869159698486,1.3523279793467893,14.835261412193928
1.4617093216503525,22.042379079812232,1714519183.7630293,28,1.5845301151275635,28,5.505240440368652,1.0607343672540148,20.58066975816188
0.9570067768949362,19.1629334143885,1714519183.7728195,29,1.594205379486084,29,5.5150306224823,0.9841899888974714,18.205926637493565
0.961755564637743,13.660764425268455,1714519183.7841148,30,1.6054847240447998,30,5.526325941085815,1.3233737824900607,12.699008860630713
1.3082377347346448,15.8283182164201,1714519183.7933826,31,1.6152386665344238,31,5.535593748092651,1.0013496590907986,14.520080481685456
0.9638615236497344,10.324237994995086,1714519183.8026245,32,1.624481439590454,32,5.544835567474365,0.9756679687895733,9.36037647134535
0.9079230380217084,13.489950598847251,1714519183.8119314,33,1.633786916732788,33,5.554142475128174,0.8587125312755358,12.582027560825543
0.7503340096156419,8.768780514434887,1714519183.8213239,34,1.6431703567504883,34,5.56353497505188,0.8962171598704286,8.018446504819245
0.820146183049251,8.391596820917156,1714519183.8304584,35,1.6523334980010986,35,5.572669506072998,1.033371212708437,7.571450637867905
1.0095566034795227,7.276499081974322,1714519183.839397,36,1.6612071990966797,36,5.581608057022095,0.9534976380436875,6.2669424784948
0.9847348106508539,7.20725470248933,1714519183.8486004,37,1.670426845550537,37,5.590811491012573,1.034111709645321,6.222519891838476
1.055015042204744,8.764372473670798,1714519183.8576078,38,1.67946457862854,38,5.59981894493103,0.8907754031956742,7.709357431466055
0.8795938563492451,5.865772204353856,1714519183.8666437,39,1.688436508178711,39,5.6088547706604,0.783238229636289,4.986178348004612
0.6876389227159061,5.327436432933982,1714519183.875647,40,1.697486400604248,40,5.617858171463013,0.8194338393532227,4.6397975102180755
0.6783729730693816,6.069788935733635,1714519183.8922606,42,1.7140557765960693,41,5.634471654891968,0.9027011487788721,5.3914159626642535
0.8308560584735646,4.58723711410224,1714519183.9235437,46,1.7453882694244385,42,5.665754795074463,0.8697303303393628,3.756381055628675
