_step,_runtime,_timestamp,loss,loss_boundary,step,loss_interior,time,l2_error
0,57.41906023025513,1714522442.9466393,48.95553827928032,0.008788884612366111,0,48.946749394667954,53.27079677581787,0.612156733895562
1,113.13812208175659,1714522498.6657012,48.95459362247794,0.008783564690776095,1,48.94581005778716,109.39779829978943,0.6120009521215584
2,169.22338366508484,1714522554.7509627,48.95271909360265,0.008755353356835756,2,48.94396374024582,165.48265290260315,1.8076638269310061
3,223.49333667755127,1714522609.0209157,43.4065346386325,2.496092938814822,3,40.91044169981768,219.75288915634155,1.7103820632005977
4,277.4500513076782,1714522662.9776304,42.15805530800048,2.262022138385211,4,39.896033169615265,273.7095260620117,1.7055139389261293
5,328.75576853752136,1714522714.2833476,40.79042900850177,2.2409611271523904,5,38.54946788134938,325.01265025138855,1.5667983460784976
6,382.58518385887146,1714522768.112763,39.42749453307955,1.9394887834330292,6,37.488005749646526,378.8447868824005,1.3970095033904837
7,434.3704688549042,1714522819.898048,35.36009379447162,1.3587755952863603,7,34.001318199185256,430.62980484962463,0.9386336658523043
8,487.26398491859436,1714522872.791564,25.159092629744066,0.6599945390559748,8,24.49909809068809,483.5220980644226,0.8827933340415082
9,542.3752422332764,1714522927.9028213,14.465599274381711,0.5315666360268163,9,13.934032638354894,538.6343126296997,0.6838569433970743
10,594.4782636165619,1714522980.0058427,11.6888418031316,0.34651022264889897,10,11.342331580482702,590.7378470897675,0.24982972479883134
11,649.256023645401,1714523034.7836027,1.5271355651816547,0.047641771858167,11,1.4794937933234877,645.5153775215149,0.15967317264391334
12,702.2406713962555,1714523087.7682505,0.6460859903200337,0.02049295569169141,12,0.6255930346283423,698.5000009536743,0.18305013655358435
13,756.2906873226166,1714523141.8182664,0.14170672949980614,0.017436295388830906,13,0.12427043411097524,752.550130367279,0.05543214710985584
14,807.8826644420624,1714523193.4102435,0.02033051657093121,0.0018282091060765162,14,0.018502307464854692,804.1409726142883,0.009393899454105518
15,860.6370890140533,1714523246.164668,0.00200377213751289,2.987407621624013e-05,15,0.00197389806129665,856.896192073822,0.0015603211440489452
16,912.1963865756989,1714523297.7239656,0.00011426402276821082,6.407035562124068e-07,16,0.00011362331921199842,908.4559071063995,0.00019768395359320569
17,964.6705167293549,1714523350.1980958,9.673378561296862e-07,1.8633583002347234e-08,17,9.487042731273389e-07,960.9282495975494,2.248877547638586e-06
18,1019.1490733623505,1714523404.6766524,1.967593730875097e-10,1.0291483172582542e-11,18,1.8646788991492718e-10,1015.4086015224457,1.6341177423793557e-06
