_step,_runtime,l2_error,loss_boundary,step,_timestamp,time,loss,loss_interior
0,9.10613203048706,0.641115573209021,0.008788884612366111,0,1714518365.958224,1.9866423606872559,48.95553827928032,48.946749394667954
1,9.28105616569519,0.6709308918845265,0.4009024048919429,1,1714518366.1331482,3.1008358001708984,2.214122174994928,1.813219770102985
2,9.419649124145508,0.5939732404959466,0.44983989578566497,2,1714518366.2717412,3.2379708290100098,0.5654310842817238,0.11559118849605891
3,9.576101779937744,0.4641399589057635,0.3419401185729154,3,1714518366.4281938,3.3960506916046143,0.4143290774961247,0.07238895892320929
4,9.712955951690674,0.3730313789401689,0.1972827588167741,4,1714518366.565048,3.5329127311706543,0.29034005755289133,0.09305729873611723
5,9.858149290084839,0.2826348220738445,0.1199124518646647,5,1714518366.7102413,3.6781206130981445,0.2378438939255749,0.11793144206091019
6,10.093873262405396,0.21944076441666038,0.06248112875979066,6,1714518366.9459653,3.914108991622925,0.22530006932939495,0.1628189405696043
7,10.221125602722168,0.1835872823742709,0.03441635273300704,7,1714518367.0732176,4.041189908981323,0.2140102095896954,0.17959385685668836
8,10.358379602432251,0.17144635844575096,0.03952068668335219,8,1714518367.2104716,4.178174257278442,0.06274681910361721,0.02322613242026502
9,10.499825477600098,0.17144635844575096,0.04040535908847195,9,1714518367.3519175,4.319557189941406,0.04975900615395824,0.009353647065486297
10,10.635119438171387,0.17144635844575096,0.04040535908847195,10,1714518367.4872115,4.455235004425049,0.04975900615395824,0.009353647065486297
11,10.767268419265747,0.12033053478375887,0.04040535908847195,11,1714518367.6193604,4.587374925613403,0.04975900615395824,0.009353647065486297
12,10.90368390083313,0.12033053478375887,0.023865726632050097,12,1714518367.755776,4.723733425140381,0.04335324151475761,0.019487514882707516
13,11.042638540267944,0.12033053478375887,0.023865726632050097,13,1714518367.8947306,4.862700700759888,0.04335324151475761,0.019487514882707516
14,11.172589302062988,0.14810840163262276,0.023865726632050097,14,1714518368.0246813,4.992631435394287,0.04335324151475761,0.019487514882707516
15,11.301230192184448,0.14810840163262276,0.025031278153841065,15,1714518368.1533222,5.121448516845703,0.03426497484809177,0.009233696694250698
16,11.432799816131592,0.14183910701176777,0.025031278153841065,16,1714518368.2848918,5.252905607223511,0.03426497484809177,0.009233696694250698
17,11.566812753677368,0.11001337754322754,0.022407698080680712,17,1714518368.4189048,5.386939287185669,0.029810923080330093,0.007403224999649382
18,11.703174352645874,0.07579446318465435,0.016310614587932447,18,1714518368.5552664,5.523269414901733,0.02699898106825053,0.010688366480318083
19,11.835070371627808,0.10516418855485037,0.008387752071122504,19,1714518368.6871624,5.655057668685913,0.016482138484983012,0.008094386413860507
20,11.968713521957397,0.10516418855485037,0.009246898675113826,20,1714518368.8208055,5.7888641357421875,0.015078191237637543,0.005831292562523718
21,12.10034990310669,0.10528138446500883,0.009246898675113826,21,1714518368.952442,5.920544385910034,0.015078191237637543,0.005831292562523718
22,12.234366178512573,0.08840466493185052,0.008430333093199937,22,1714518369.0864582,6.0544822216033936,0.012429310708810138,0.003998977615610201
23,12.369122743606567,0.08034064355458483,0.006818815795791887,23,1714518369.2212148,6.189255714416504,0.009268749171394005,0.002449933375602118
24,12.51600694656372,0.07562968769903565,0.006268808963324333,24,1714518369.368099,6.335861921310425,0.00790707770768594,0.0016382687443616067
25,12.648750305175781,0.07562968769903565,0.005789196892926407,25,1714518369.5008423,6.468855857849121,0.007773246769238051,0.0019840498763116442
26,12.781877517700195,0.07562968769903565,0.005789196892926407,26,1714518369.6339695,6.602026462554932,0.007773246769238051,0.0019840498763116442
27,12.911507606506348,0.06863283415373136,0.005789196892926407,27,1714518369.7635996,6.731679201126099,0.007773246769238051,0.0019840498763116442
28,13.044933795928955,0.05615458224496818,0.004984511949689968,28,1714518369.8970258,6.864614486694336,0.007115648325836091,0.002131136376146123
29,13.179418087005615,0.0490032228075179,0.003816710978769873,29,1714518370.03151,6.999502897262573,0.0059886434549274725,0.0021719324761576
30,13.311655521392822,0.04668030571850341,0.00320950679078608,30,1714518370.1637475,7.1318018436431885,0.0050853098698332615,0.0018758030790471814
31,13.442601203918457,0.03927727879846795,0.0029696610181454298,31,1714518370.2946932,7.262733459472656,0.00487310184544255,0.0019034408272971199
32,13.573008060455322,0.03235174574798968,0.002194740551214264,32,1714518370.4251,7.392665147781372,0.004078806621732091,0.001884066070517827
33,13.701408386230469,0.029671644822103622,0.0020359888696839883,33,1714518370.5535004,7.521511077880859,0.0030011760035255743,0.0009651871338415862
34,13.831849575042725,0.028109530791296126,0.0020647701902341727,34,1714518370.6839416,7.651108741760254,0.0027714432310578145,0.0007066730408236417
35,13.969657182693481,0.02699379286627356,0.0020820002915196817,35,1714518370.8217492,7.789208889007568,0.0026657650477664467,0.0005837647562467648
36,14.103877067565918,0.02585163436938632,0.001969245793723751,36,1714518370.955969,7.923302888870239,0.0023789202768962833,0.0004096744831725326
37,14.241908550262451,0.024723346704645606,0.0017049986585770823,37,1714518371.0940006,8.06142258644104,0.0021785070989211886,0.0004735084403441065
38,14.383598566055298,0.02045668444172127,0.001567263956319734,38,1714518371.2356906,8.20314073562622,0.002118202967286076,0.000550939010966342
39,14.532962083816528,0.019949155060349694,0.0011789392971350038,39,1714518371.385054,8.352312326431274,0.0017893694187374385,0.0006104301216024346
40,14.670840978622437,0.019824259070645306,0.0010972256734355667,40,1714518371.522933,8.490376949310303,0.00153671087346603,0.00043948520003046326
41,14.937185764312744,0.024273763187308364,0.0008007933748009275,42,1714518371.7892778,8.756739854812622,0.0009804186973955255,0.00017962532259459797
