loss,step,_timestamp,time,_runtime,loss_interior,loss_boundary,_step,l2_error
0.02162024877610325,0,1726513425.5050433,1.4292080402374268,2.446608304977417,0.003384950596444573,0.018235298179658677,0,0.024945679798765975
0.00048568406526540897,1,1726513425.951231,2.1210687160491943,2.892796039581299,0.00022144169177558377,0.0002642423734898252,1,0.019260731856590576
0.0002820212202792737,2,1726513426.5163832,2.6860852241516113,3.4579482078552246,0.00011351300336959097,0.00016850821690968275,2,0.022598113616325112
0.00026552478383137703,3,1726513426.9813924,3.1510860919952393,3.922957420349121,7.743736517197889e-05,0.00018808741865939814,3,0.0036004507023411785
2.757879748082725e-05,4,1726513427.593225,3.763009786605835,4.5347900390625,2.3647925290189692e-05,3.930872190637559e-06,4,0.0031900147862532124
8.845655557784571e-06,5,1726513428.208582,4.377115964889526,5.150146961212158,6.744427485451895e-06,2.101228072332676e-06,5,0.0032984052554613603
3.976705127258317e-06,6,1726513428.8232453,4.99310040473938,5.76481032371521,2.6392986206915795e-06,1.3374065065667379e-06,6,0.0025920816290145618
2.2263220382307875e-06,7,1726513429.4348688,5.604588747024536,6.376433849334717,1.8977721763511779e-06,3.2854986187960987e-07,7,0.0029811647953218254
1.7077567169761941e-06,8,1726513430.0516772,6.221378326416016,6.993242263793945,1.4353308517343727e-06,2.724258652418213e-07,8,0.0035527433026273534
1.4988164308574113e-06,9,1726513430.6814878,6.851199388504028,7.6230528354644775,1.1960512282434506e-06,3.0276520261396073e-07,9,0.0035697806829223227
1.3374115270932478e-06,10,1726513431.3047762,7.474623203277588,8.246341228485107,1.021342888610587e-06,3.1606863848266085e-07,10,0.0032523161923654806
1.2992114696574396e-06,11,1726513431.9211965,8.09101939201355,8.862761497497559,9.549882083723529e-07,3.442232612850868e-07,11,0.0030566379838101714
1.2523477903564516e-06,12,1726513432.5342822,8.704099416732788,9.475847244262695,8.122028645174348e-07,4.401449258390167e-07,12,0.002660377623914335
1.0724837211140484e-06,13,1726513433.1516786,9.321479797363281,10.093243598937988,8.943665354889146e-07,1.7811718562513365e-07,13,0.00288734932311816
1.0455676326244887e-06,14,1726513433.7757857,9.945597410202026,10.717350721359253,9.064908112172664e-07,1.3907682140722235e-07,14,0.002381034575776986
9.300184213014998e-07,15,1726513434.4075317,10.577340126037598,11.349096775054932,8.016094072594981e-07,1.2840901404200174e-07,15,0.0019130196219898077
8.943183276262908e-07,16,1726513435.0313148,11.201032400131226,11.972879886627197,7.884593373850646e-07,1.0585899024122626e-07,16,0.0018215165936750564
8.607793387526154e-07,17,1726513435.6484823,11.818170309066772,12.590047359466553,7.215352874410255e-07,1.3924405131159e-07,17,0.001429839489018772
7.120477568913494e-07,18,1726513436.2627482,12.432453393936157,13.204313278198242,6.529710480941205e-07,5.907670879722892e-08,18,0.0011587087905573763
5.499226935335771e-07,19,1726513436.8761203,13.045826196670532,13.81768536567688,4.925024296582065e-07,5.742026387537067e-08,19,0.0008632907482093155
5.356840335300363e-07,20,1726513437.4929316,13.662633895874023,14.434496641159058,4.3345168028021487e-07,1.0223235324982138e-07,20,0.0010657829042269686
4.0646349589718654e-07,21,1726513438.1110835,14.280844449996948,15.052648544311523,3.171961615237744e-07,8.926733437341213e-08,21,0.001442825144999765
3.661487225256458e-07,22,1726513438.735183,14.905004262924194,15.676748037338257,2.783591747860336e-07,8.778954773961222e-08,22,0.0018843683675099118
3.3660640947649673e-07,23,1726513439.3563414,15.526099443435669,16.297906398773193,2.653499282786924e-07,7.125648119780432e-08,23,0.002811754825190442
3.470945752753506e-07,24,1726513439.9745495,16.144341707229614,16.916114568710327,3.2329412662218706e-07,2.3800448653163545e-08,24,0.0034957978276173606
3.513043009538196e-07,25,1726513440.595909,16.765713691711426,17.537474155426025,3.1948930983181446e-07,3.181499112200518e-08,25,0.004025635818310443
2.9279606320974446e-07,26,1726513441.2221155,17.391812801361084,18.16368055343628,2.6697836192687603e-07,2.581770128286844e-08,26,0.004391285865153475
2.884151170514552e-07,27,1726513441.8432949,18.013121366500854,18.784859895706177,2.590002808100556e-07,2.9414836241399612e-08,27,0.004577090398263147
2.9029790905136004e-07,28,1726513442.4696865,18.639426946640015,19.411251544952393,2.422501819391733e-07,4.8047727112186725e-08,28,0.004677185119524511
2.775226619272978e-07,29,1726513443.093837,19.263468503952026,20.035402059555054,2.3125299719514858e-07,4.626966473214921e-08,29,0.004600082736415444
2.647225349964253e-07,30,1726513443.7169828,19.886672973632812,20.65854787826538,2.1125715554788969e-07,5.346537944853564e-08,30,0.004510220744651217
2.4221842765976224e-07,31,1726513444.3456242,20.515177965164185,21.287189245224,1.9173860790341527e-07,5.047981975634697e-08,31,0.0044486468823932415
2.2464801874765078e-07,32,1726513444.9685876,21.138315439224243,21.910152673721313,1.7305310694495405e-07,5.1594911802696736e-08,32,0.004286799049674427
2.3454554167672196e-07,33,1726513445.587793,21.757582187652588,22.52935814857483,1.8243137238757816e-07,5.2114169289143806e-08,33,0.004026855828326189
2.2873548477474189e-07,34,1726513446.2113793,22.38117241859436,23.152944326400757,1.8553534537637902e-07,4.320013939836287e-08,34,0.0038111696672604284
2.0562240711557689e-07,35,1726513446.8277366,22.997522354125977,23.769301652908325,1.6010200872882115e-07,4.552039838675574e-08,35,0.0038305998507079638
1.9404296830863988e-07,36,1726513447.4447784,23.61457657814026,24.386343479156494,1.5305265954079196e-07,4.099030876784792e-08,36,0.003775611304593601
2.1244123232137114e-07,37,1726513448.0593252,24.229114294052124,25.000890254974365,1.805436893224129e-07,3.189754299895826e-08,37,0.003606613611627053
