time,loss_interior,step,loss,_step,l2_error,_timestamp,_runtime,loss_boundary
1.3965752124786377,0.003384950596444573,0,0.02162024877610325,0,0.14498884669864742,1726516573.1997154,2.1409482955932617,0.018235298179658677
1.7036712169647217,0.0016415581329460717,1,0.01569575141244894,1,0.1443541589003441,1726516573.2817092,2.2229421138763428,0.01405419327950287
1.7797439098358154,0.0016512225242393825,2,0.015620568838166655,2,0.14403141003802414,1726516573.3575964,2.2988293170928955,0.013969346313927274
1.8554787635803223,0.0016677172461788997,3,0.015487666214278167,3,0.14799661394858127,1726516573.4333706,2.374603509902954,0.013819948968099268
1.9310314655303955,0.0016055060840260448,4,0.014481562991492973,4,0.15035665134240025,1726516573.5087464,2.449979305267334,0.012876056907466928
2.005418062210083,0.0005807236176502212,5,0.011879641100101576,5,0.14142561913618557,1726516573.5831065,2.524339437484741,0.011298917482451355
2.0779097080230713,0.000601000667951457,6,0.009975590861915908,6,0.10641087862782853,1726516573.6556222,2.5968551635742188,0.00937459019396445
2.1509459018707275,0.0006875751266956993,7,0.0070310691541793395,7,0.06960298641232418,1726516573.7286668,2.6698997020721436,0.00634349402748364
2.223754644393921,0.0013277987768886316,8,0.005439135906285954,8,0.06517102212196024,1726516573.8014698,2.7427027225494385,0.004111337129397322
2.3001184463500977,0.0008856814350747057,9,0.0042400010473552935,9,0.06656535952522938,1726516573.877862,2.8190948963165283,0.003354319612280588
2.374284267425537,0.0007949255445336712,10,0.003901124572506772,10,0.06919792015841164,1726516573.9520016,2.8932344913482666,0.003106199027973101
2.454571485519409,0.0007474566285819647,11,0.00381259338135433,11,0.06787991822020788,1726516574.0323455,2.973578453063965,0.0030651367527723653
2.5333526134490967,0.0006709527361271144,12,0.003305335061672429,12,0.058122861750297725,1726516574.1110759,3.0523087978363037,0.0026343823255453144
2.6131386756896973,0.0007082489410096316,13,0.0028924985928367427,13,0.05608550155451673,1726516574.1908114,3.1320443153381348,0.002184249651827111
2.685589075088501,0.0007426249707600803,14,0.002864623885156511,14,0.05448857634592338,1726516574.2632616,3.2044944763183594,0.002121998914396431
2.764547824859619,0.0007742505966136991,15,0.0028555760770824943,15,0.05338201317923414,1726516574.3422503,3.2834832668304443,0.002081325480468795
2.8426766395568848,0.000793361457587678,16,0.0028461386109329746,16,0.04556007610697007,1726516574.4203782,3.3616111278533936,0.0020527771533452965
2.9205641746520996,0.0008604649496996608,17,0.0026577341230256727,17,0.05038977284200535,1726516574.4982638,3.4394967555999756,0.0017972691733260117
2.9948060512542725,0.0006346713367124398,18,0.00230543042122386,18,0.051058397259882635,1726516574.5741994,3.515432357788086,0.00167075908451142
3.0794553756713867,0.0006262180903659277,19,0.002301346406844486,19,0.04088337213926847,1726516574.657332,3.598564863204956,0.0016751283164785585
3.15596342086792,0.0006373793364212822,20,0.0021128462034109815,20,0.042012933955941786,1726516574.7336495,3.674882411956787,0.0014754668669896991
3.2298972606658936,0.0004936318206519374,21,0.0018481776325313085,21,0.03549864194803075,1726516574.8076499,3.74888277053833,0.0013545458118793712
3.305067539215088,0.0004102523496406774,22,0.0015541585701434018,22,0.03981229046285495,1726516574.8828056,3.824038505554199,0.0011439062205027245
3.3793458938598633,0.0003147060423153357,23,0.0014332728614220576,23,0.037507111004595375,1726516574.9570677,3.8983006477355957,0.0011185668191067218
3.454498291015625,0.0003243505065565849,24,0.0013242161215276378,24,0.04138169715630144,1726516575.0323093,3.9735422134399414,0.000999865614971053
3.5308001041412354,0.0002701247677228638,25,0.0012542164082699342,25,0.0433955471155481,1726516575.1085825,4.04981541633606,0.0009840916405470703
3.606389284133911,0.0003069120452585784,26,0.0011373185250052162,26,0.04359862637550476,1726516575.1841388,4.125371694564819,0.0008304064797466377
3.680856227874756,0.0003233800878636842,27,0.0011310321445653108,27,0.0427575114617751,1726516575.258566,4.199798822402954,0.0008076520567016266
3.755247116088867,0.00034658122766972215,28,0.0011153494129847057,28,0.0428368091741508,1726516575.3329697,4.274202585220337,0.0007687681853149836
3.835606098175049,0.00034636015525567473,29,0.0011085471855444757,29,0.04293430212160995,1726516575.4133644,4.354597330093384,0.000762187030288801
3.9144177436828613,0.00034627162230425716,30,0.0011184933513115564,30,0.042165223080174376,1726516575.4921825,4.433415412902832,0.0007722217290072992
3.996945381164551,0.00033843824874825457,31,0.0010864749910772665,31,0.04211058084935919,1726516575.574675,4.5159080028533936,0.0007480367423290119
4.076992511749268,0.0003358087215567818,32,0.001083950330294796,32,0.042067325149367174,1726516575.654704,4.595937013626099,0.0007481416087380141
4.157148838043213,0.00028903924945108164,33,0.0010286645862810678,33,0.041696032665334094,1726516575.734872,4.67610502243042,0.0007396253368299862
4.23663330078125,0.00027719584103163224,34,0.0009980116228031442,34,0.04178198229381482,1726516575.8143344,4.755567312240601,0.000720815781771512
4.31653618812561,0.0002720804625220799,35,0.0009923754149618043,35,0.0415436181133083,1726516575.8942738,4.8355066776275635,0.0007202949524397244
4.395840883255005,0.0002449401936823518,36,0.0009538546344690299,36,0.03777153507070122,1726516575.9736059,4.914838790893555,0.0007089144407866781
4.4774065017700195,0.000187446808538529,37,0.0008786844813373047,37,0.03651720408967173,1726516576.0551438,4.9963767528533936,0.0006912376727987757
4.5576698780059814,0.00017929638085816972,38,0.0008541723539810392,38,0.03549666326453581,1726516576.1353774,5.076610326766968,0.0006748759731228695
4.637105464935303,0.00017563070657985005,39,0.0008483758144261799,39,0.03448542979791428,1726516576.2148082,5.156041145324707,0.0006727451078463298
