l2_error,_timestamp,time,_step,_runtime,loss_interior,loss,loss_boundary,step
0.12504427298964987,1726516678.3797722,1.1300883293151855,0,1.8768701553344727,0.003384950596444573,0.02162024877610325,0.018235298179658677,0
0.04897973423163447,1726516678.57679,1.552060842514038,1,2.073888063430786,0.0005345737486899077,0.009831035776547883,0.009296462027857976,1
0.022194160357025247,1726516678.8203082,1.795715093612671,2,2.317406177520752,9.528020659064407e-05,0.0024627866815215287,0.0023675064749308847,2
0.013372226112410918,1726516679.109117,2.0845677852630615,3,2.606215000152588,0.00010166568483740741,0.0007773439663493593,0.0006756782815119519,3
0.010550447521245659,1726516679.4408648,2.415999412536621,4,2.937962770462036,0.00012711827236509325,0.0003973650020324675,0.0002702467296673743,4
0.014245812445355503,1726516679.8137228,2.78910493850708,5,3.3108208179473877,0.00012956542585842133,0.00022122722169725143,9.166179583883011e-05,5
0.08256031114594531,1726516680.1817095,3.1571319103240967,6,3.678807497024536,8.557690936737255e-05,0.0001305525069113229,4.4975597543950364e-05,6
0.044056296305278964,1726516680.5878665,3.5619797706604004,7,4.0849645137786865,0.004024166977403129,0.008879579282076059,0.004855412304672931,7
0.02794948424546033,1726516681.0357387,4.011170387268066,8,4.532836675643921,0.0005120018138969783,0.0011190761797776221,0.0006070743658806437,8
0.009157428115790196,1726516681.5262089,4.501608610153198,9,5.023306846618652,0.00018585678619225502,0.000372927594122859,0.000187070807930604,9
0.003304771127530278,1726516682.0530064,5.02834939956665,10,5.550104379653931,9.80886343325871e-05,0.00015388594826526306,5.579731393267595e-05,10
0.0026540357075285448,1726516682.5813067,5.556704998016357,11,6.078404664993286,4.002060901799018e-05,6.817504794059414e-05,2.815443892260396e-05,11
0.0024149235252429162,1726516683.164762,6.140126943588257,12,6.66185998916626,3.071690215503604e-05,5.537370258981581e-05,2.4656800434779763e-05,12
0.003390459002654653,1726516683.7514193,6.726726293563843,13,7.248517274856567,2.5631524316674773e-05,4.53281182072959e-05,1.9696593890621125e-05,13
0.005372482025655719,1726516684.343636,7.318893909454346,14,7.840734004974365,2.6543654128787194e-05,3.840181372078395e-05,1.185815959199676e-05,14
0.007463448631339508,1726516684.8926456,7.867959260940552,15,8.389743566513062,2.654558083110125e-05,3.305880249719034e-05,6.513221666089085e-06,15
0.009456335636004445,1726516685.445563,8.420932531356812,16,8.942661046981812,2.498312840756524e-05,2.953183085947354e-05,4.5487024519083e-06,16
0.010924928395594922,1726516685.9977121,8.973047733306885,17,9.494810104370117,2.218811297358381e-05,2.541465812814821e-05,3.226545154564396e-06,17
0.021978036547123526,1726516686.5691986,9.544542789459229,18,10.066296577453613,2.216128390266458e-05,2.4664896109811605e-05,2.503612207147025e-06,18
0.01919987051177166,1726516687.1427948,10.118168830871582,19,10.639892816543579,0.00015574168649862163,0.00017350302864445875,1.776134214583712e-05,19
0.015183987422731964,1726516687.697856,10.673254251480103,20,11.194953918457031,5.313363417284385e-05,5.9697137909745216e-05,6.563503736901366e-06,20
0.012559404860843427,1726516688.2147038,11.190126657485962,21,11.711801767349243,2.835751069340528e-05,3.09705504882915e-05,2.6130397948862276e-06,21
0.010842090108738255,1726516688.7401698,11.71528148651123,22,12.23726773262024,1.86194988925033e-05,2.0568213700434217e-05,1.948714807930915e-06,22
0.010039930687465622,1726516689.2675476,12.24287724494934,23,12.76464557647705,1.5182820206867444e-05,1.7515207925153536e-05,2.332387718286093e-06,23
0.009138153131522558,1726516689.7929747,12.768245458602905,24,13.290072679519653,1.4316024325382647e-05,1.685519523699691e-05,2.539170911614261e-06,24
0.008684780145852368,1726516690.3417172,13.31714391708374,25,13.838815212249756,1.3317859398869581e-05,1.659661041424115e-05,3.2787510153715698e-06,25
0.008447083799375914,1726516690.8511698,13.826581478118896,26,14.348267793655396,1.25045318119618e-05,1.5591215198125084e-05,3.0866833861632822e-06,26
0.008419294084734118,1726516691.4106517,14.386080741882324,27,14.907749652862549,1.2234084790333778e-05,1.4811969282602112e-05,2.5778844922683345e-06,27
0.008569659249725105,1726516691.759936,14.735368728637695,28,15.257034063339233,1.2325907431938445e-05,1.4466896195985144e-05,2.1409887640466993e-06,28
0.00869608958695422,1726516692.332451,15.307791471481323,29,15.829549074172974,1.2265102259272395e-05,1.4410826316485794e-05,2.145724057213399e-06,29
0.008810692439146933,1726516692.9048269,15.880226612091064,30,16.40192484855652,1.222395926653178e-05,1.4429350903671578e-05,2.2053916371397987e-06,30
0.008962238207192762,1726516693.435458,16.410808801651,31,16.93255591392517,1.0902702643921443e-05,1.348031242627263e-05,2.5776097823511877e-06,31
0.009955264351928467,1726516693.9928803,16.96825671195984,32,17.489978313446045,1.0033784501885036e-05,1.2464595892901805e-05,2.4308113910167683e-06,32
0.010149265038332246,1726516694.5615907,17.53698420524597,33,18.058688640594482,1.3768759015258112e-05,1.72631175301454e-05,3.494358514887288e-06,33
0.009588433279153194,1726516695.0806067,18.056020259857178,34,18.577704668045044,1.103950981800461e-05,1.3491313608890159e-05,2.4518037908855488e-06,34
0.009455272102738846,1726516695.632763,18.608142137527466,35,19.129860877990723,1.0196031712961469e-05,1.2469277987916607e-05,2.273246274955138e-06,35
0.009172820886552874,1726516696.1641994,19.139597177505493,36,19.66129732131958,8.699761257172914e-06,1.1009567684821217e-05,2.3098064276483034e-06,36
0.009132381393674066,1726516696.6756463,19.651061058044434,37,20.172744274139404,8.665531155632392e-06,1.1064711986189564e-05,2.399180830557172e-06,37
