loss_interior,step,l2_error,_step,_runtime,_timestamp,time,loss_boundary,loss
0.003384950596444573,0,0.16042865741018617,0,1.7755560874938965,1726516510.5968301,0.9626543521881104,0.018235298179658677,0.02162024877610325
0.002465529055489752,1,0.15098691269588327,1,1.787764072418213,1726516510.609038,1.220768928527832,0.0159625583777125,0.01842808743320225
0.0018745554514410885,2,0.14705314337427514,2,1.7952799797058105,1726516510.616554,1.2285492420196533,0.014372258767571897,0.016246814219012987
0.001611865753095193,3,0.14556600328426952,3,1.8028490543365479,1726516510.624123,1.236121416091919,0.014696673320573589,0.016308539073668783
0.0015288213493777816,4,0.14516438432768897,4,1.8100788593292236,1726516510.631353,1.2433617115020752,0.01467465973739434,0.016203481086772123
0.0014066197882521222,5,0.1449059474458342,5,1.8204517364501953,1726516510.6417258,1.2536993026733398,0.01388918336290344,0.015295803151155562
0.0013884456148130827,6,0.14480662927450344,6,1.8295903205871582,1726516510.6508644,1.262805461883545,0.013993665825456351,0.015382111440269434
0.001311034063356894,7,0.14426653932263625,7,1.8379020690917969,1726516510.659176,1.2711668014526367,0.012953920662017993,0.014264954725374887
0.001293009600860957,8,0.14405730792969673,8,1.84743070602417,1726516510.6687047,1.2793545722961426,0.012994807939208125,0.014287817540069083
0.0012198629443974083,9,0.14380422303660884,9,1.8558177947998047,1726516510.6770918,1.2890708446502686,0.013233967111346771,0.01445383005574418
0.0011798663175305304,10,0.1434117698205975,10,1.8639366626739502,1726516510.6852107,1.297215223312378,0.012707951697618519,0.013887818015149048
0.0011266460900996162,11,0.14295911311471082,11,1.8715567588806152,1726516510.6928308,1.3048484325408936,0.011894732694802939,0.013021378784902555
0.0011162820713624159,12,0.14262612883338557,12,1.8791089057922363,1726516510.700383,1.3123805522918701,0.01221854079609571,0.013334822867458126
0.001025462419514306,13,0.14220836872645337,13,1.8869805335998535,1726516510.7082546,1.320267915725708,0.0122349491757028,0.013260411595217106
0.0010283002756398454,14,0.14195780210720213,14,1.8959178924560547,1726516510.717192,1.329118251800537,0.012853221959903457,0.013881522235543302
0.001018565949655018,15,0.14167177635226819,15,1.9045743942260742,1726516510.7258484,1.3378536701202393,0.012864238078693822,0.013882804028348841
0.0009501038622678994,16,0.14157051579836297,16,1.912503719329834,1726516510.7337778,1.3457775115966797,0.01207771796362039,0.01302782182588829
0.0008904034759877912,17,0.14116728803231648,17,1.9200770854949951,1726516510.7413511,1.3533470630645752,0.011055084851642652,0.011945488327630443
0.0008918882461257739,18,0.14078383645779766,18,1.927872896194458,1726516510.749147,1.3611652851104736,0.011637125732877313,0.012529013979003087
0.0008751122498295077,19,0.1403572943247566,19,1.936086654663086,1726516510.7573607,1.3693420886993408,0.01172851817810834,0.01260363042793785
0.0008554399444249553,20,0.13954716937395903,20,1.9442241191864014,1726516510.7654982,1.377502679824829,0.011490824394774219,0.012346264339199175
0.0008144738793560163,21,0.13921583248918576,21,1.9519598484039307,1726516510.773234,1.3851892948150635,0.011426891697588946,0.012241365576944963
0.0007711737857758834,22,0.13868672022869724,22,1.9597532749176025,1726516510.7810273,1.393054723739624,0.011249319935786763,0.012020493721562647
0.000746964902344413,23,0.1380607926662743,23,1.9676995277404785,1726516510.7889736,1.4009771347045898,0.011635551874316672,0.012382516776661086
0.0007468724999046725,24,0.13738651172961844,24,1.9757885932922363,1726516510.7970626,1.4090380668640137,0.011036247659067239,0.011783120158971911
0.0007305804443873285,25,0.13717436859260657,25,1.9842092990875244,1726516510.8054833,1.4174437522888184,0.011732007191976363,0.012462587636363692
0.0007035912541688521,26,0.1368977802675071,26,1.9918203353881836,1726516510.8130944,1.4251196384429932,0.01106316463317744,0.011766755887346292
0.0006771138942599577,27,0.13605798280706882,27,1.9997859001159668,1726516510.82106,1.4330811500549316,0.010087458953182993,0.010764572847442951
0.0006582647968625898,28,0.13524707224677052,28,2.007866382598877,1726516510.8291404,1.441157579421997,0.010337068072611023,0.010995332869473613
0.0006502170318236065,29,0.1349040268221569,29,2.0158538818359375,1726516510.837128,1.4491527080535889,0.010342328662735,0.010992545694558606
0.000602923752456077,30,0.13388132714691792,30,2.0238044261932373,1726516510.8450785,1.4570634365081787,0.010882003332029376,0.011484927084485452
0.0006098161425677862,31,0.13320209707965966,31,2.0316333770751953,1726516510.8529074,1.4648716449737549,0.010098958260460936,0.010708774403028722
0.0005889673466648498,32,0.13229232483734593,32,2.039310932159424,1726516510.860585,1.4725773334503174,0.010426012929594632,0.011014980276259483
0.0005830547093121944,33,0.13128077354854467,33,2.047408103942871,1726516510.8686821,1.480663537979126,0.009823206918941719,0.010406261628253914
0.0005945788871647281,34,0.13085641445094065,34,2.055992364883423,1726516510.8772664,1.488978624343872,0.009697167761022273,0.010291746648187002
0.0005721823702878125,35,0.13032358903305466,35,2.0643410682678223,1726516510.885615,1.4973547458648682,0.009976148024570605,0.010548330394858417
0.0005224170733613278,36,0.13008734623150842,36,2.0731289386749268,1726516510.894403,1.5061545372009277,0.010208846517438567,0.010731263590799895
0.0005165660859265091,37,0.12968642002465153,37,2.083364248275757,1726516510.9046383,1.5161395072937012,0.009813481897619047,0.010330047983545556
0.0005100578152720828,38,0.12927619505843238,38,2.0916950702667236,1726516510.912969,1.5248503684997559,0.010239064564275478,0.01074912237954756
0.0004723643636192854,39,0.1284866798613402,39,2.099224328994751,1726516510.9204984,1.5324814319610596,0.009277822939333831,0.009750187302953116
0.0004728929273194494,40,0.12786750911557998,40,2.1067416667938232,1726516510.9280157,1.5399954319000244,0.009385739791646528,0.009858632718965978
