loss,l2_error,loss_interior,_runtime,_timestamp,loss_boundary,time,_step,step
0.5282498959798689,1.0258430163915901,0.00041831908570821223,2.4363553524017334,1729911658.9704764,0.5278315768941607,1.592956781387329,0,0
0.5282483977362311,0.36194412002922677,0.0004183326006479111,3.025721788406372,1729911659.5598428,0.5278300651355832,2.4293575286865234,1,1
0.07938365815299146,0.34360050002566783,0.0001754850332280454,3.6054606437683105,1729911660.1395817,0.07920817311976341,3.009852409362793,2,2
0.07567403719476555,0.256513556399293,0.003164974793932065,4.1853928565979,1729911660.719514,0.07250906240083349,3.589711904525757,3,3
0.05521219133398855,0.22445026795714162,0.015238674280868248,4.765814304351807,1729911661.2999353,0.03997351705312031,4.169004201889038,4,4
0.045776548948663814,0.23424284509906,0.012232260495295487,5.346384048461914,1729911661.880505,0.03354428845336833,4.750752687454224,5,5
0.04074423622039612,0.21275639710580443,0.0049210386510761765,5.9258787631988525,1729911662.4599998,0.035823197569319946,5.330236434936523,6,6
0.03731063859920485,0.18895782271186864,0.0068690625039107825,6.505472183227539,1729911663.0395932,0.030441576095294073,5.909821271896362,7,7
0.034942013730077714,0.16913597650837223,0.010332153186993523,7.085155248641968,1729911663.6192763,0.02460986054308419,6.489545583724976,8,8
0.03294110594039619,0.1662741315158349,0.012479231296831103,7.664819717407227,1729911664.1989408,0.020461874643565088,7.069162607192993,9,9
0.031262496895872904,0.15913453170256692,0.011723034700913388,8.245389699935913,1729911664.7795107,0.019539462194959518,7.649571895599365,10,10
0.02850283509470414,0.1671508346200373,0.009885115178131659,8.825675010681152,1729911665.359796,0.018617719916572482,8.22996473312378,11,11
0.02472691325472374,0.16473790119648074,0.0044487389966682955,9.406202793121338,1729911665.9403238,0.020278174258055445,8.810370683670044,12,12
0.02191962872041389,0.15572258972663505,0.0020458385921701488,9.986202716827393,1729911666.5203238,0.01987379012824374,9.390503883361816,13,13
0.019769877720743196,0.15218631083463763,0.0018473317101316054,10.566347122192383,1729911667.1004682,0.01792254601061159,9.970453023910522,14,14
0.019131393971281142,0.1498103701882055,0.0019473870393092545,11.14710783958435,1729911667.6812289,0.017184006931971887,10.551304340362549,15,15
0.018547736998672095,0.14685453631262005,0.0019729328467344228,11.726391315460205,1729911668.2605124,0.016574804151937673,11.130779027938843,16,16
0.018134147766825336,0.1462870755555043,0.0020525373043690366,12.305852890014648,1729911668.839974,0.0160816104624563,11.710212230682373,17,17
0.017935651815646034,0.1455680586840943,0.001977671615156462,12.886255025863647,1729911669.420376,0.015957980200489573,12.290531873703003,18,18
0.017414711202720312,0.14374952061305496,0.0016774736931273486,13.466174125671387,1729911670.0002952,0.015737237509592963,12.870533227920532,19,19
0.01693422757260169,0.14298519303032176,0.0016567541111813784,14.045995473861694,1729911670.5801165,0.015277473461420311,13.450366020202637,20,20
0.0165208992408397,0.1427485419934158,0.001560580110219845,14.62605619430542,1729911671.1601772,0.014960319130619855,14.030333518981934,21,21
0.01600537486093598,0.14105704247008372,0.0013485447371847207,15.206301927566528,1729911671.740423,0.014656830123751262,14.610613584518433,22,22
0.015580877062305947,0.13928574960368104,0.0012798691173513484,15.786067008972168,1729911672.320188,0.014301007944954598,15.190411806106567,23,23
0.015186813347215042,0.13684336371004555,0.001229321328174716,16.366228103637695,1729911672.9003491,0.013957492019040327,15.770497798919678,24,24
0.014807996517267136,0.13348121877027116,0.0013382303303049944,16.94702124595642,1729911673.4811423,0.013469766186962141,16.35096311569214,25,25
0.014241285952993659,0.1279226289455497,0.0015000383661904404,17.52663278579712,1729911674.0607538,0.01274124758680322,16.93089509010315,26,26
0.013495796262849871,0.12536337191892413,0.0018384907122765443,18.106780529022217,1729911674.6409016,0.011657305550573326,17.511088848114014,27,27
0.013079449393923456,0.12215434409216823,0.00187886787078509,18.686689615249634,1729911675.2208107,0.011200581523138365,18.090830326080322,28,28
0.012479684051792858,0.1208245102553067,0.001859386807620829,19.266247749328613,1729911675.8003688,0.010620297244172029,18.67059898376465,29,29
0.01227207936477909,0.11722143398360879,0.0018685281073101282,19.8469455242157,1729911676.3810666,0.010403551257468962,19.25108003616333,30,30
0.011885072927500406,0.1161121899710272,0.001964495554365395,20.427666425704956,1729911676.9617875,0.009920577373135012,19.83184266090393,31,31
0.011763014954998877,0.11485711439723184,0.0019820962211475205,21.00769543647766,1729911677.5418165,0.009780918733851358,20.411970853805542,32,32
0.011507964293141297,0.11445307383147559,0.0018732185140918932,21.588114023208618,1729911678.122235,0.009634745779049403,20.992312908172607,33,33
0.011397415695731307,0.11347158957424179,0.0018306104044293033,22.170023441314697,1729911678.7041445,0.009566805291302003,21.574177980422974,34,34
0.01118627954590145,0.11203798954724388,0.0017965108828291462,22.750951290130615,1729911679.2850723,0.009389768663072303,22.155154943466187,35,35
0.011042169323016897,0.10998855662506524,0.0019022121299812724,23.332826614379883,1729911679.8669477,0.009139957193035625,22.7369647026062,36,36
0.010780043505765356,0.10901084866348945,0.0020333117589682315,23.91390609741211,1729911680.4480271,0.008746731746797125,23.318238496780396,37,37
0.01052221588277381,0.10910563734482669,0.0020572809622901008,24.49249792098999,1729911681.026619,0.00846493492048371,23.896888256072998,38,38
0.010311145030260262,0.10852104546202085,0.0019609019212516988,25.07065987586975,1729911681.604781,0.008350243109008563,24.475050687789917,39,39
0.01005600240071738,0.1075963097520349,0.0019246165730306467,25.651753664016724,1729911682.1858747,0.008131385827686735,25.056124448776245,40,40
0.009446076805008101,0.10160534581416088,0.002118113247793213,26.789039611816406,1729911683.3231606,0.007327963557214888,26.1931369304657,41,42
