step,time,loss_boundary,loss_interior,loss,_step,_runtime,l2_error,_timestamp
0,0.9803171157836914,0.5278315768941607,0.00041831908570821223,0.5282498959798689,0,3.4314792156219482,0.9844844687996827,1729905674.5331912
1,1.342221736907959,0.505484570672524,0.0015787305689241044,0.507063301241448,1,3.544832229614258,0.9428747469734777,1729905674.6465442
2,1.4537582397460938,0.4493786055723079,0.0035647865977058873,0.4529433921700138,2,3.6575276851654053,0.9008774781543946,1729905674.7592397
3,1.566415786743164,0.42026812785974926,0.00636556513250028,0.42663369299224957,3,3.7701125144958496,0.8582598803403473,1729905674.8718245
4,1.6790640354156494,0.3980033257508934,0.009982507776218752,0.40798583352711215,4,3.882871389389038,0.8148261940813204,1729905674.9845834
5,1.7917211055755615,0.32907179048015617,0.014611693198379934,0.34368348367853613,5,3.995504379272461,0.7707210658456122,1729905675.0972164
6,1.9043662548065186,0.308576110450818,0.020249701802632122,0.32882581225345014,6,4.108104944229126,0.7257847978002671,1729905675.209817
7,2.0176053047180176,0.263775678485886,0.02683309046253388,0.2906087689484199,7,4.222546100616455,0.6802050884369817,1729905675.324258
8,2.1328835487365723,0.22728000475635401,0.03475687784503115,0.26203688260138513,8,4.335036993026733,0.6342396669697071,1729905675.436749
9,2.245753288269043,0.2116496215082998,0.04333045357374385,0.2549800750820437,9,4.447895526885986,0.5880856139076509,1729905675.5496075
10,2.358330726623535,0.1780956287271659,0.053120179641412066,0.23121580836857797,10,4.56035041809082,0.542342283502595,1729905675.6620624
11,2.470741033554077,0.15227289437728617,0.0642577925498567,0.21653068692714286,11,4.672629117965698,0.4977967437692936,1729905675.774341
12,2.583134412765503,0.14407481483893012,0.07555494437746832,0.21962975921639843,12,4.7853333950042725,0.455215113107728,1729905675.8870454
13,2.6954169273376465,0.11149293554654333,0.08827795908992966,0.199770894636473,13,4.898355007171631,0.4162579359182852,1729905676.000067
14,2.8092737197875977,0.08770685069725152,0.10022623926152036,0.1879330899587719,14,5.01291561126709,0.3824609968468224,1729905676.1146276
15,2.923691987991333,0.0865448660088222,0.11174618294572165,0.19829104895454386,15,5.1274333000183105,0.3545657053408637,1729905676.2291453
