_runtime,l2_error,_timestamp,_step,loss_interior,time,loss,loss_boundary,step
5.495800733566284,0.7842938044874412,1720630763.5163398,0,0.00041831908570821223,4.791783094406128,0.5282498959798689,0.5278315768941607,0
11.444546461105347,0.5313195756895992,1720630769.4650855,1,0.12960231341375175,11.027324438095093,0.45743498313385156,0.32783266972009983,1
17.648062467575073,0.11511385447482704,1720630775.6686015,2,0.07561835502327814,17.23033046722412,0.22177716417227022,0.14615880914899207,2
24.23259472846985,0.27496593162768035,1720630782.2531338,3,0.05466141734352705,23.81484317779541,0.0633380900427971,0.008676672699270051,3
32.12808108329773,0.27489102676784455,1720630790.1486201,4,0.017628152423031195,31.710306406021118,0.05751860099385633,0.03989044857082513,4
40.439553022384644,0.1721125554149876,1720630798.460092,5,0.011657772335510208,40.02181029319763,0.049455698347328804,0.0377979260118186,5
59.02651262283325,0.025193782445236373,1720630817.0470517,6,0.002635753247681793,58.60870099067688,0.017348925477688126,0.014713172230006333,6
68.83787274360657,0.03057531813465542,1720630826.8584118,7,0.0003006400287515063,68.41979551315308,0.0006638553904649454,0.00036321536171343905,7
78.38354969024658,0.025680204216842174,1720630836.4040887,8,0.00010043828596540186,77.96591758728027,0.0005761686711196339,0.000475730385154232,8
93.99703001976013,0.022218323054353076,1720630852.017569,9,7.710664572246194e-05,93.57905387878418,0.0004307143594286,0.00035360771370613806,9
106.29669785499573,0.0086548223097416,1720630864.317237,10,6.268340797556546e-05,105.87903714179993,0.0003139806717288009,0.00025129726375323544,10
145.932293176651,0.0021495740953071116,1720630903.9528322,11,1.1912664763976258e-05,145.5141167640686,5.1323419843082456e-05,3.94107550791062e-05,11
160.46809840202332,0.003950683583401889,1720630918.4886374,12,1.598865453990723e-05,160.0504584312439,1.9597490653289207e-05,3.608836113381977e-06,12
175.2135739326477,0.0037239351104536005,1720630933.234113,13,7.412299727638699e-06,174.7957844734192,1.576504089319685e-05,8.352741165558154e-06,13
204.20036625862122,0.0035724257293350942,1720630962.2209053,14,5.098224121952731e-06,203.78243041038513,1.2644018316157696e-05,7.545794194204965e-06,14
224.85274386405945,0.0038241116211851223,1720630982.873283,15,4.70996650400237e-06,224.4347629547119,1.1435566901120629e-05,6.725600397118259e-06,15
246.6193196773529,0.0034549070451997004,1720631004.6398587,16,2.919507727895598e-06,246.20157718658447,1.0357995256907537e-05,7.438487529011939e-06,16
265.7420370578766,0.0032813208024486903,1720631023.762576,17,3.892141746077614e-06,265.32429599761963,9.964713387984892e-06,6.072571641907278e-06,17
