loss,_step,loss_boundary,loss_interior,time,_runtime,l2_error,_timestamp,step
0.5282498959798689,0,0.5278315768941607,0.00041831908570821223,2.570441246032715,3.3457932472229004,0.19386578194958673,1729905671.4517422,0
0.03516776722025625,1,0.02500291842897226,0.010164848791283996,4.510462522506714,5.0336222648620605,0.1530869776675313,1729905673.1395712,1
0.01755586435336243,2,0.015736473462335046,0.001819390891027385,6.239284992218018,6.7626307010650635,0.13903070402811127,1729905674.8685796,2
0.013900415505439134,3,0.012880051186708917,0.0010203643187302164,8.009476900100708,8.53336787223816,0.11549783447026157,1729905676.6393168,3
0.01208476315541131,4,0.009941082795708756,0.002143680359702555,9.817496299743652,10.341981410980225,0.23881746789063432,1729905678.4479303,4
0.050833580606432456,5,0.036189904811172194,0.014643675795260264,11.663019895553589,12.187495946884155,0.10397811737845318,1729905680.2934449,5
0.010053824934681429,6,0.007497116018761636,0.0025567089159197927,13.549110174179077,14.073707103729248,0.09989486495733003,1729905682.179656,6
0.008834655094178405,7,0.007455512771536367,0.001379142322642038,15.489245176315308,16.014957666397095,0.08145378948755747,1729905684.1209066,7
0.005672933046901688,8,0.004577334123703883,0.001095598923197805,17.454017162322998,17.978407382965088,0.056842415007928845,1729905686.0843563,8
0.0037206741140602337,9,0.0022584078629385687,0.0014622662511216652,19.457200527191162,19.981600522994995,0.034779196383802516,1729905688.0875494,9
0.001879266633794815,10,0.0008964758279229056,0.0009827908058719092,21.482826948165894,22.007372617721558,0.02779672572133378,1729905690.1133215,10
0.001296263957174723,11,0.0005462904472203402,0.0007499735099543827,23.50990915298462,24.034481048583984,0.019886194820328242,1729905692.14043,11
0.0007530559104018727,12,0.0002885156785745821,0.00046454023182729065,25.532723426818848,26.057142972946167,0.044634123361619066,1729905694.163092,12
0.0033154606161528936,13,0.0014501352542115728,0.001865325361941321,27.557400941848755,28.081773281097412,0.01725021413039791,1729905696.1877222,13
0.0006348605225856768,14,0.00019753621646288982,0.00043732430612278695,29.57918071746826,30.10357904434204,0.01452158407199552,1729905698.209528,14
0.00042147162796781195,15,0.0001637737092489665,0.00025769791871884545,31.616663217544556,32.14108324050903,0.012351429119184966,1729905700.2470322,15
0.0003553801883155759,16,0.00012517132215901522,0.00023020886615656065,33.644991874694824,34.1696343421936,0.011568544767787289,1729905702.2755833,16
0.0003089452958755808,17,9.851780321627583e-05,0.00021042749265930494,35.67074704170227,36.19514513015747,0.01039809236532447,1729905704.301094,17
0.0002604332830724698,18,8.257727504769383e-05,0.00017785600802477597,37.69479489326477,38.21920299530029,0.010100604526945334,1729905706.325152,18
0.00022816392038031437,19,8.309063617778892e-05,0.00014507328420252543,39.71649622917175,40.24089455604553,0.009475412142269903,1729905708.3468435,19
0.00019557303345628808,20,6.698525287533021e-05,0.00012858778058095788,41.740062952041626,42.264485597610474,0.009495486670478564,1729905710.3704345,20
0.00017690294502279593,21,6.275256256415152e-05,0.00011415038245864441,43.76639461517334,44.29075527191162,0.00921906432547132,1729905712.3967042,21
0.00015902819929507244,22,6.663106817624776e-05,9.239713111882468e-05,45.792038679122925,46.316489934921265,0.009014716825655068,1729905714.4224389,22
0.00016020054376068068,23,6.925571188104653e-05,9.094483187963416e-05,47.81578540802002,48.340341567993164,0.008809990806504903,1729905716.4462905,23
0.00014749929564346017,24,5.941022277570625e-05,8.808907286775391e-05,49.83929395675659,50.36374878883362,0.008911895496861983,1729905718.4696977,24
0.0001543901307067903,25,6.333563734115873e-05,9.105449336563158e-05,51.86442828178406,52.38884878158569,0.008408508662343802,1729905720.4947977,25
0.00013530507990587427,26,5.8015383880117025e-05,7.728969602575725e-05,53.88810849189758,54.41252303123474,0.007925911206128514,1729905722.518472,26
0.00012052116954432084,27,5.4205297355056777e-05,6.631587218926407e-05,55.91434597969055,56.43877053260803,0.0075669358300030605,1729905724.5447195,27
0.00011316586371456596,28,4.492195112633025e-05,6.824391258823571e-05,57.94086790084839,58.465290784835815,0.007289101813783848,1729905726.5712397,28
0.00010394044659143724,29,3.964678242796183e-05,6.429366416347541e-05,59.96510195732117,60.489495515823364,0.006928178365272718,1729905728.5954444,29
8.882238201424521e-05,30,3.855012954160227e-05,5.027225247264294e-05,62.00678610801697,62.53118658065796,0.006998646746449828,1729905730.6371355,30
8.220516548575798e-05,31,3.536713511868692e-05,4.683803036707107e-05,64.03047680854797,64.55498909950256,0.0061505118772990286,1729905732.660938,31
6.742368722659014e-05,32,2.8374415164146266e-05,3.904927206244387e-05,66.05244755744934,66.5768723487854,0.006135429228004609,1729905734.6828213,32
6.816501313130412e-05,33,2.660118455512983e-05,4.1563828576174294e-05,68.07375741004944,68.59817957878113,0.005536792255674934,1729905736.7041285,33
5.834858218213604e-05,34,2.428545267768889e-05,3.406312950444715e-05,70.09646272659302,70.62088680267334,0.005323426958980792,1729905738.7268357,34
5.967521523759786e-05,35,2.5147180166989158e-05,3.45280350706087e-05,72.12258243560791,72.64693927764893,0.0051301289774742425,1729905740.7528882,35
4.97025942412629e-05,36,2.0648942498899058e-05,2.905365174236384e-05,74.14561033248901,74.66999554634094,0.0048301073496942425,1729905742.7759445,36
4.366153514737039e-05,37,1.7660237931127712e-05,2.6001297216242676e-05,76.16816592216492,76.69253659248352,0.0045370084368387305,1729905744.7984855,37
4.073262471438461e-05,38,1.7672849991943254e-05,2.305977472244135e-05,78.1936182975769,78.71801233291626,0.004440710203689665,1729905746.8239613,38
3.830199350636036e-05,39,1.5651015220528515e-05,2.265097828583185e-05,80.21836972236633,80.7428035736084,0.004433276732046711,1729905748.8487525,39
