loss_boundary,loss,step,loss_interior,_step,time,l2_error,_runtime,_timestamp
0.5278315768941607,0.5282498959798689,0,0.00041831908570821223,0,1.0068166255950928,1.003502906976293,2.0061216354370117,1729873916.4319506
0.5246512811689918,0.5253287846381339,1,0.000677503469142103,1,1.363457441329956,0.9610172190553485,2.118821144104004,1729873916.54465
0.4664903274929137,0.4678845656759564,2,0.001394238183042696,2,1.4714717864990234,0.9018859875511469,2.2308177947998047,1729873916.6566467
0.42123152283840765,0.424041599912987,3,0.002810077074579381,3,1.5840356349945068,0.8288439455411337,2.3444666862487793,1729873916.7702956
0.3731242647044578,0.37836903603920713,4,0.005244771334749294,4,1.6962313652038574,0.7445357594667045,2.4567341804504395,1729873916.882563
0.27596435676205616,0.2851552834669659,5,0.00919092670490973,5,1.8082797527313232,0.6536480827031358,2.568681240081787,1729873916.9945102
0.22519882747580827,0.24008459789544395,6,0.014885770419635673,6,1.9215481281280518,0.55972355295447,2.6807596683502197,1729873917.1065886
0.16009747038432393,0.1825780915176587,7,0.02248062113333476,7,2.032864570617676,0.4693173889771575,2.7938082218170166,1729873917.2196372
0.11210092457619097,0.14438085304068438,8,0.03227992846449339,8,2.142650604248047,0.3913040660628409,2.9055769443511963,1729873917.3314059
0.08999915943103787,0.13343523074918384,9,0.04343607131814599,9,2.2588136196136475,0.33621985950084143,3.0174601078033447,1729873917.443289
0.06543750561755973,0.12114015909985171,10,0.05570265348229198,10,2.3702852725982666,0.3126365504949165,3.12912917137146,1729873917.554958
0.05742951971401764,0.12530138401633292,11,0.06787186430231527,11,2.482477903366089,0.3174376796271677,3.2411627769470215,1729873917.6669917
0.06651555022573655,0.14436635921356736,12,0.07785080898783081,12,2.594277858734131,0.3366816375302852,3.3531851768493652,1729873917.779014
0.06866645733359229,0.15403506777692538,13,0.08536861044333309,13,2.7055141925811768,0.35562760585679776,3.4649457931518555,1729873917.8907747
0.07249782199197514,0.16023313435184316,14,0.087735312359868,14,2.817363739013672,0.36550900721027885,3.5767593383789062,1729873918.0025883
0.08144602593590275,0.16695649188575667,15,0.08551046594985394,15,2.929435968399048,0.36480544514445856,3.6890077590942383,1729873918.1148367
0.08128099097452604,0.16039582983145073,16,0.07911483885692468,16,3.040940046310425,0.3558018163576916,3.80063796043396,1729873918.226467
0.07978148018296032,0.15023137420774796,17,0.07044989402478764,17,3.154529094696045,0.3432234639927979,3.9139630794525146,1729873918.339792
0.07006688188200015,0.1303792171712554,18,0.06031233528925524,18,3.267043352127075,0.3319523185023261,4.025756359100342,1729873918.4515853
0.07375696270316948,0.12369076115251362,19,0.04993379844934414,19,3.379307746887207,0.3255749512096769,4.137671709060669,1729873918.5635006
0.068649078563649,0.10940661183224477,20,0.04075753326859577,20,3.490572214126587,0.32537612849869213,4.24956488609314,1729873918.6753938
0.06576579356383698,0.09844661531706447,21,0.0326808217532275,21,3.6023757457733154,0.3306983779495557,4.361628293991089,1729873918.7874572
0.06730671119804894,0.09336179868579782,22,0.026055087487748877,22,3.714618444442749,0.33956440840354085,4.474262714385986,1729873918.9000916
0.06439032338030935,0.0851513057883706,23,0.020760982408061252,23,3.827072858810425,0.3501537388362457,4.586509704589844,1729873919.0123386
0.07378305668539957,0.0904138147147446,24,0.016630758029345036,24,3.9398951530456543,0.36067641854399934,4.6982667446136475,1729873919.1240957
0.07672197110289056,0.09016983825218132,25,0.013447867149290757,25,4.051774263381958,0.36991523815388533,4.8112077713012695,1729873919.2370367
0.07698830383413377,0.08808314339953663,26,0.011094839565402859,26,4.165353298187256,0.37709002241575057,4.924412965774536,1729873919.350242
0.08254423322595156,0.0918643793180587,27,0.009320146092107143,27,4.277281761169434,0.3819177263613369,5.036806344985962,1729873919.4626353
0.0868586582595853,0.09480242570846918,28,0.007943767448883879,28,4.389218330383301,0.38419863295181683,5.148816108703613,1729873919.574645
0.08698568718357338,0.09401710058197056,29,0.007031413398397179,29,4.501675367355347,0.3841928182068434,5.2609171867370605,1729873919.6867461
0.09352687569550153,0.09988412507998452,30,0.006357249384483,30,4.614145040512085,0.3819256308057669,5.3728625774383545,1729873919.7986915
0.09357787715425632,0.099518543581618,31,0.0059406664273616815,31,4.7286388874053955,0.3778238578480957,5.485105991363525,1729873919.910935
0.07896595733209394,0.08469164007752812,32,0.005725682745434183,32,4.838428258895874,0.3729180872904439,5.597368240356445,1729873920.0231972
0.08472035253891372,0.0903436646342316,33,0.005623312095317887,33,4.951334476470947,0.36732483264965876,5.7098777294158936,1729873920.1357067
0.08216220022063064,0.08776572041227537,34,0.005603520191644723,34,5.0624659061431885,0.36156188086303814,5.822268962860107,1729873920.248098
0.07805108574736663,0.08374461588972301,35,0.005693530142356376,35,5.176966905593872,0.3560973388452616,5.9364049434661865,1729873920.3622339
0.07661934952958202,0.08244792878165351,36,0.00582857925207149,36,5.2910075187683105,0.3512099561829003,6.049294471740723,1729873920.4751234
0.07335912918499048,0.07938552033008969,37,0.006026391145099217,37,5.402757406234741,0.3470575524808082,6.1614580154418945,1729873920.587287
0.0780488859998876,0.08431903652595493,38,0.006270150526067335,38,5.515092611312866,0.3437806214423953,6.274231433868408,1729873920.7000604
0.07305551625473337,0.0795336023672684,39,0.006478086112535025,39,5.627270460128784,0.34147100397134594,6.386675119400024,1729873920.812504
0.06626448498959173,0.07299923587142007,40,0.006734750881828349,40,5.73969292640686,0.3400289968667097,6.499112129211426,1729873920.924941
0.0702674037023922,0.07737824585551155,42,0.007110842153119343,41,5.946296453475952,0.3391869759356539,6.704527139663696,1729873921.130356
