loss_boundary,loss_interior,step,_step,loss,_timestamp,time,_runtime,l2_error
3.411320357613169,0.002465509469684491,0,0,3.413785867082854,1715677325.1954844,1.404618740081787,5.514841318130493,0.5227637221448361
0.4109355672289258,0.02598755926680053,1,1,0.43692312649572634,1715677325.257176,1.7942941188812256,5.57653284072876,0.5621924020228216
0.21041098624114363,0.02120084588640553,2,2,0.23161183212754916,1715677325.3187468,1.8558738231658936,5.638103723526001,0.6452815477263684
0.20825768488226043,0.015577378491646494,3,3,0.22383506337390693,1715677325.3817298,1.9173004627227783,5.701086759567261,0.7198186541599609
0.21382024714938702,0.005735121449719289,4,4,0.21955536859910632,1715677325.4429665,1.980234146118164,5.762323379516602,0.7580964505789173
0.20919989744060866,0.003001547057151087,5,5,0.21220144449775974,1715677325.4997368,2.037012815475464,5.819093704223633,0.5603494548256653
0.1036041862220977,0.010682115469176159,6,6,0.11428630169127386,1715677325.5558407,2.0931928157806396,5.875197649002075,0.34742292303602584
0.042894465674096695,0.027231952536745183,7,7,0.07012641821084188,1715677325.6123495,2.149688720703125,5.931706428527832,0.2534670484204957
0.029583764797772867,0.030588866845275016,8,8,0.06017263164304788,1715677325.66838,2.2057101726531982,5.987736940383911,0.22642240285165655
0.02826249071834658,0.028907757825773865,9,9,0.05717024854412045,1715677325.7251542,2.262432098388672,6.044511079788208,0.20017808789394176
0.023187755976288117,0.027481293237135305,10,10,0.050669049213423425,1715677325.7828686,2.3201255798339844,6.1022255420684814,0.2008611298537361
0.021318511783841858,0.028417571859091637,11,11,0.0497360836429335,1715677325.8394237,2.3767428398132324,6.158780574798584,0.20931988779338795
0.01979794764389656,0.02801340730627218,12,12,0.047811354950168736,1715677325.8952398,2.4326095581054688,6.214596748352051,0.22452208308334434
0.019154821885417814,0.027373595400352682,13,13,0.04652841728577049,1715677325.9521081,2.4894087314605713,6.271465063095093,0.23370344105432053
0.019339107832219184,0.02677110928706691,14,14,0.04611021711928609,1715677326.0083838,2.545712947845459,6.327740669250488,0.24293906393444617
0.0198592584408978,0.025556724215757,15,15,0.045415982656654794,1715677326.065147,2.602421760559082,6.3845038414001465,0.2512731915498364
0.02062788861858551,0.023953096318230976,16,16,0.04458098493681649,1715677326.1219516,2.6592342853546143,6.441308498382568,0.2574798798381849
0.021456424208506943,0.022402684862493576,17,17,0.04385910907100052,1715677326.1816158,2.718864679336548,6.500972747802734,0.25936788232858543
0.021807820638925186,0.02177205360181487,18,18,0.04357987424074006,1715677326.2376022,2.774945020675659,6.55695915222168,0.2584704282348107
0.02251459751881628,0.020482517401418748,19,19,0.04299711492023503,1715677326.2940238,2.831374168395996,6.613380670547485,0.25230221264855285
0.022198300047094385,0.019871596193750018,20,20,0.0420698962408444,1715677326.3500183,2.887324333190918,6.66937518119812,0.24750342402548903
0.02177798466063854,0.019824337894789025,21,21,0.04160232255542756,1715677326.4067433,2.944042921066284,6.726100206375122,0.24178380259624646
0.021197819843360798,0.02011982299355846,22,22,0.04131764283691926,1715677326.463657,3.0009374618530273,6.783013820648193,0.23866560620857477
0.020858698140752748,0.020390860506442083,23,23,0.04124955864719483,1715677326.520807,3.058098793029785,6.840163946151733,0.2354446713409348
0.02049357509185174,0.020685256601529544,24,24,0.04117883169338128,1715677326.5766184,3.1139135360717773,6.895975351333618,0.23213017623846083
0.020108505393675414,0.020994829395345492,25,25,0.04110333478902091,1715677326.6330273,3.1703572273254395,6.9523842334747314,0.22870912007092128
0.019706443866025488,0.021307411231850357,26,26,0.04101385509787585,1715677326.6891506,3.2264676094055176,7.008507490158081,0.2211780907036582
0.018830880001042844,0.022045434980227475,27,27,0.04087631498127032,1715677326.74636,3.2836356163024902,7.065716981887817,0.21703820256544393
0.018363782626851993,0.022439249244209557,28,28,0.040803031871061546,1715677326.8038762,3.3411431312561035,7.123233079910278,0.19636982600944655
0.016242376592872997,0.02431543343958486,29,29,0.040557810032457856,1715677326.8609588,3.398261785507202,7.180315732955933,0.19022233168413652
0.015685617510842888,0.024809933740049975,30,30,0.04049555125089287,1715677326.9171565,3.4545135498046875,7.236513376235962,0.17719857074251538
0.014626987433928793,0.025586313468188838,31,31,0.04021330090211763,1715677326.9739864,3.5113189220428467,7.2933433055877686,0.16286207633233118
0.0136765363549993,0.026198290682273806,32,32,0.0398748270372731,1715677327.030631,3.5679521560668945,7.349987983703613,0.14764555005494753
0.012972796782700816,0.026664847861297525,33,33,0.03963764464399834,1715677327.0878844,3.625124931335449,7.407241344451904,0.14031889885572546
0.012779787768384036,0.026805821038381007,34,34,0.039585608806765045,1715677327.146917,3.6841890811920166,7.46627402305603,0.1337760697949652
0.012715584320683334,0.02682261542072231,35,35,0.03953819974140564,1715677327.2038329,3.7411468029022217,7.5231897830963135,0.1282280526395497
0.012775876319812057,0.026703528396526413,36,36,0.03947940471633847,1715677327.2603242,3.7976489067077637,7.579681158065796,0.12381769078161405
0.01294963215503509,0.026455600578707095,37,37,0.03940523273374218,1715677327.3169093,3.8542418479919434,7.636266231536865,0.12210852727212428
0.013069825752486297,0.02630399764457896,38,38,0.03937382339706526,1715677327.3736744,3.910750150680542,7.693031311035156,0.12076125399201483
0.013200173716090252,0.026140262144422003,39,39,0.03934043586051225,1715677327.4310486,3.9683127403259277,7.750405550003052,0.11973053987041728
0.013334968700974116,0.025977426014405693,40,40,0.03931239471537981,1715677327.4883435,4.025613069534302,7.8077003955841064,0.11896777629806113
0.01359799245848656,0.02565374487592343,42,41,0.03925173733440999,1715677327.5998259,4.137132167816162,7.919182777404785,0.11804128767204607
