_runtime,loss_boundary,step,_timestamp,_step,loss,time,l2_error,loss_interior
1.8989837169647217,3.411320357613169,0,1729112456.0586808,0,3.413785867082854,1.0576119422912598,0.5309227307110719,0.002465509469684491
1.986356258392334,0.1928694297559606,1,1729112456.1460533,1,0.20987611827780817,1.4001615047454834,0.5590193412115421,0.01700668852184756
2.083695888519287,0.17942394930834957,2,1729112456.243393,2,0.19494795279073127,1.49770188331604,0.5326936298609005,0.015524003482381686
2.192869186401367,0.14698644222317814,3,1729112456.3525662,3,0.15865705287977155,1.6069281101226807,0.4656197512042853,0.01167061065659342
2.312452554702759,0.12738698729694825,4,1729112456.4721496,4,0.132989483349767,1.726444959640503,0.33209982314372166,0.005602496052818757
2.4750521183013916,0.06960540201096985,5,1729112456.6347492,5,0.07597200166739267,1.8889727592468262,0.17786294422365437,0.006366599656422823
2.6477606296539307,0.025136521787178682,6,1729112456.8074577,6,0.03592294821459403,2.0617849826812744,0.1601736988558082,0.01078642642741535
2.846372127532959,0.019312983597506658,7,1729112457.0060692,7,0.028638138120350636,2.260399580001831,0.14395931954187474,0.009325154522843979
3.042067766189575,0.01463124063509487,8,1729112457.2017648,8,0.02281965506015545,2.454787254333496,0.1315509246502097,0.00818841442506058
3.249145984649658,0.011752357617391636,9,1729112457.408843,9,0.01916781293212373,2.66317081451416,0.09903683557685508,0.007415455314732095
3.484262466430664,0.008256125110453129,10,1729112457.6439595,10,0.013905738904329869,2.8982598781585693,0.07541580184342131,0.005649613793876739
3.7443556785583496,0.004931114969539817,11,1729112457.9040527,11,0.007883786235092964,3.1583871841430664,0.057668985576058734,0.002952671265553148
4.0527825355529785,0.002781550938681445,12,1729112458.2124796,12,0.004599332618062979,3.4667670726776123,0.04735965765933035,0.0018177816793815333
4.409100294113159,0.001915377865623134,13,1729112458.5687973,13,0.003252497469803341,3.823129415512085,0.049339284536372825,0.0013371196041802068
4.784085512161255,0.0017776107757402947,14,1729112458.9437826,14,0.0029076118225719854,4.198110342025757,0.04517167168100556,0.0011300010468316905
5.177587509155273,0.0014804119526341697,15,1729112459.3372846,15,0.0025412573234084054,4.5915281772613525,0.03407005960360104,0.0010608453707742357
5.652541399002075,0.0009974632163090556,16,1729112459.8122385,16,0.001713548414005014,5.066524028778076,0.02555868675211254,0.0007160851976959582
6.171810865402222,0.0006707451073927908,17,1729112460.331508,17,0.0014198509941116505,5.58578896522522,0.02436197616405288,0.0007491058867188596
6.80357027053833,0.0004136420921292725,18,1729112460.9632673,18,0.0010414883729512078,6.217541456222534,0.02011631602226173,0.0006278462808219352
7.536152362823486,0.0003402804347322334,19,1729112461.6958494,19,0.0008257787970567948,6.753575325012207,0.01754856385979749,0.00048549836232456136
8.234036684036255,0.00030536959005319846,20,1729112462.3937337,20,0.0007909733560169088,7.648026704788208,0.014340565997423131,0.0004856037659637103
8.890667915344238,0.00018694096086052986,21,1729112463.050365,21,0.0007383624005403384,8.30461072921753,0.013002704891511343,0.0005514214396798086
9.55381727218628,0.00015181471731387597,22,1729112463.7135143,22,0.000658729044460335,8.967707395553589,0.013989346667583788,0.000506914327146459
10.451088428497314,0.00018212702454236922,23,1729112464.6107855,23,0.0005558335092487502,9.864902019500732,0.01771926551727983,0.00037370648470638095
10.911977767944336,0.00020207846252518857,24,1729112465.0716748,24,0.00044012459314270603,10.32595419883728,0.02130751332202627,0.00023804613061751743
11.594539403915405,0.00019692272512021104,25,1729112465.7542365,25,0.00037806427584969113,11.00852656364441,0.018583695265155593,0.0001811415507294801
12.314534425735474,0.00016140379425815478,26,1729112466.4742315,26,0.0003705429700913331,11.728466987609863,0.018922041232191888,0.00020913917583317826
13.500946044921875,0.0001917639840631647,27,1729112467.660643,27,0.000274866187562336,12.91489052772522,0.016022430876721915,8.310220349917132e-05
14.180746078491211,0.00011475359764192395,28,1729112468.3404431,28,0.0002106246016097548,13.594709634780884,0.01300685615478951,9.587100396783084e-05
14.721857070922852,0.00010113832672637255,29,1729112468.8815541,29,0.0001559595186941788,14.13550353050232,0.010750980231458407,5.482119196780626e-05
16.674571990966797,8.525989774832264e-05,30,1729112470.834269,30,0.000145554112642569,16.08831548690796,0.007543493260697484,6.0294214894246355e-05
17.163653135299683,5.704585148600379e-05,31,1729112471.3233502,31,0.00012130902157754807,16.577635288238525,0.008406411655438865,6.426317009154427e-05
17.66308331489563,7.501775381026882e-05,32,1729112471.8227804,32,0.0001256925410730441,17.07461428642273,0.008682973823062157,5.067478726277528e-05
18.159164667129517,7.945098648363974e-05,33,1729112472.3188617,33,0.00012299930108416822,17.573110580444336,0.008338491377266647,4.354831460052847e-05
20.10454797744751,7.66223411820528e-05,34,1729112474.264245,34,0.00011576005370457918,19.518412828445435,0.007373413088444937,3.913771252252638e-05
20.614680528640747,4.834566832100416e-05,35,1729112474.7743776,35,9.885751680386402e-05,20.028680324554443,0.007014421937400357,5.051184848285986e-05
22.48471999168396,3.77107183889121e-05,36,1729112476.644417,36,7.812019739626077e-05,21.89865756034851,0.005542206385132447,4.040947900734867e-05
22.989837169647217,2.4576544208934715e-05,37,1729112477.1495342,37,5.886595401399513e-05,22.403836727142334,0.004964708565468015,3.4289409805060414e-05
23.495887994766235,2.3269797062312413e-05,38,1729112477.655585,38,5.5690765878797004e-05,22.90987777709961,0.00452675276242759,3.2420968816484595e-05
24.009523153305054,1.9246534513782856e-05,39,1729112478.1692202,39,5.121851513701205e-05,23.423487901687622,0.00424691917158846,3.1971980623229194e-05
