_runtime,l2_error,loss,time,_step,step,loss_interior,_timestamp,loss_boundary
2.975451707839966,0.3930595290096,0.541687311777017,2.2117197513580322,0,0,0.000416151007136744,1729813016.9864967,0.5412711607698802
4.506292104721069,0.33237255029530005,0.11139934237878005,3.9592983722686768,1,1,0.02108939764012664,1729813018.517337,0.0903099447386534
6.2267279624938965,0.3180049970250577,0.0796667343198775,5.680036544799805,2,2,0.011804629616553703,1729813020.237773,0.0678621047033238
8.352060079574585,0.27781842162019843,0.06878897525722082,7.805043458938599,3,3,0.0034627924495079427,1729813022.363105,0.06532618280771288
10.8820161819458,0.20376540803497004,0.05246890244718133,10.33529257774353,4,4,0.0019718892792500984,1729813024.8930612,0.05049701316793123
14.219005346298218,0.168839465577527,0.034564064000834886,13.670687913894653,5,5,0.006352440969514507,1729813028.2300503,0.02821162303132038
18.28079652786255,0.15728441106082144,0.02703075477739619,17.733989477157593,6,6,0.0068540008960985945,1729813032.2918415,0.020176753881297596
22.656715869903564,0.148079330482351,0.020907045250483963,22.109526872634888,7,7,0.0036210700362474093,1729813036.6677608,0.017285975214236554
27.405763149261475,0.14277271579795825,0.017114031913201485,26.858806133270264,8,8,0.0016897728249707915,1729813041.4168081,0.015424259088230695
32.942761182785034,0.1381877146303575,0.01528705146720151,32.39551663398743,9,9,0.0011856350060945823,1729813046.9538062,0.014101416461106927
38.52778935432434,0.1309462425521647,0.013419332311462076,37.98074412345886,10,10,0.0008455767407422441,1729813052.5388343,0.012573755570719831
44.9249849319458,0.12243342725969768,0.012154639748741756,44.37791180610657,11,11,0.000980092341724154,1729813058.93603,0.011174547407017602
52.13414931297302,0.11293656606343623,0.012218578422348886,51.586963176727295,12,12,0.0014435469027943406,1729813066.1451943,0.010775031519554544
59.69728946685791,0.10469732999983888,0.010210144467490141,59.15021347999573,13,13,0.0018352575960692672,1729813073.7083344,0.008374886871420874
66.6191816329956,0.09038637958011457,0.00955132198653431,66.07145309448242,14,14,0.0024290740008311718,1729813080.6302266,0.007122247985703138
75.26826214790344,0.060049051745171014,0.00791216225904947,74.72014236450195,15,15,0.002184407357705425,1729813089.2793071,0.005727754901344045
86.04243326187134,0.024556304060101584,0.003933536690124493,85.49381947517395,16,16,0.001795123328629773,1729813100.0534782,0.00213841336149472
99.33973693847656,0.011708209025243882,0.0008143269240682261,98.79134392738342,17,17,0.00046705765849617566,1729813113.350782,0.00034726926557205045
112.62982416152954,0.007789251832766304,0.00028518778202546945,112.08118391036987,18,18,0.0001892138157942005,1729813126.6408691,9.597396623126896e-05
127.24875259399414,0.006108191546706634,0.00010446992712857302,126.70036602020264,19,19,6.74243064838958e-05,1729813141.2597976,3.704562064467723e-05
139.75252604484558,0.007907183473678454,6.144704575088647e-05,139.20391964912415,20,20,4.1117318297967884e-05,1729813153.763571,2.0329727452918586e-05
154.40071177482605,0.005120407729846152,6.964531395349194e-05,153.85220670700073,21,21,2.9865334345048222e-05,1729813168.4117568,3.977997960844372e-05
171.15619587898254,0.004597455132156591,3.412145253947271e-05,170.60760951042175,22,22,1.8881010294402582e-05,1729813185.1672409,1.5240442245070134e-05
187.33283162117004,0.00427532151747202,2.2687806191228645e-05,186.78452062606812,23,23,1.1224099273725131e-05,1729813201.3438766,1.1463706917503512e-05
214.71376967430115,0.003708935602242317,2.1070638446489452e-05,214.16512370109558,24,24,9.880657584473971e-06,1729813228.7248147,1.1189980862015481e-05
232.49170780181885,0.0037197209352277777,1.3832504241644974e-05,231.9433398246765,25,25,6.435446316929935e-06,1729813246.5027528,7.397057924715039e-06
248.96995162963867,0.0037561987268503925,1.198088619979444e-05,248.4213137626648,26,26,5.160509862181731e-06,1729813262.9809966,6.820376337612709e-06
277.21403980255127,0.00354358246147756,1.3444033763782164e-05,276.6656711101532,27,27,4.8321489688251935e-06,1729813291.2250848,8.611884794956971e-06
299.723388671875,0.003421544290111609,9.538584332211823e-06,299.17472434043884,28,28,2.750247311381142e-06,1729813313.7344337,6.78833702083068e-06
323.0776996612549,0.0030246502107269943,7.858601637553904e-06,322.5292708873749,29,29,1.8221209875096899e-06,1729813337.0887446,6.036480650044214e-06
351.36241030693054,0.003110372131551206,7.0221662588784296e-06,350.81366896629333,30,30,2.0789718792387545e-06,1729813365.3734553,4.943194379639675e-06
366.80894470214844,0.0028128572047169563,6.642940200382686e-06,366.26045632362366,31,31,1.6995803635396987e-06,1729813380.8199897,4.943359836842987e-06
394.2206027507782,0.0012195615614975354,5.207656195621077e-06,393.67192554473877,32,32,1.2542183416622067e-06,1729813408.2316477,3.953437853958871e-06
422.4285581111908,0.0008599276757348028,3.451614843336699e-06,421.87995314598083,33,33,2.4103030769593272e-06,1729813436.439603,1.0413117663773716e-06
450.62664794921875,0.0007825495968540739,8.89831945577178e-07,450.07785201072693,34,34,5.169646594179575e-07,1729813464.637693,3.7286728615922047e-07
478.84009432792664,0.0009679646966962905,6.985632431342864e-07,478.2915720939636,35,35,4.393831921621672e-07,1729813492.8511393,2.591800509721192e-07
507.1438674926758,0.00079572045846475,9.854038588439092e-07,506.5951008796692,36,36,3.546318182099109e-07,1729813521.1549125,6.307720406339984e-07
535.3554079532623,0.0006963275284956901,7.665658812824959e-07,534.8068881034851,37,37,4.2814783449403256e-07,1729813549.366453,3.384180467884633e-07
563.5750768184662,0.0006812825035321387,4.5714617459969507e-07,563.0264065265656,38,38,2.4979344444258156e-07,1729813577.5861218,2.073527301571135e-07
591.7572524547577,0.0006472497839887285,5.480394943517529e-07,591.2086617946625,39,39,2.1046921892524487e-07,1729813605.7682974,3.37570275426508e-07
619.9871754646301,0.0006310239875528368,3.6834382920568585e-07,619.438464641571,40,40,1.642238278234576e-07,1729813633.9982204,2.0412000138222826e-07
676.4393248558044,0.0006899969668272383,4.224214987125289e-07,675.8905477523804,41,42,1.4111845217232092e-07,1729813690.4503698,2.8130304654020796e-07
789.350170135498,0.0004264516939102331,1.8102179385796249e-07,788.8014671802521,42,46,8.997817283797533e-08,1729813803.361215,9.104362101998715e-08
902.2951741218567,0.000332702538555793,1.1898362157927141e-07,901.7464282512665,43,50,5.874764595786044e-08,1729813916.306219,6.023597562141098e-08
1043.326750278473,0.0003107186987203566,8.540206426985734e-08,1042.7780187129974,44,55,3.776070001575606e-08,1729814057.3377953,4.764136425410129e-08
1212.640370130539,0.0002996195655235933,8.923878601145488e-08,1212.0915784835815,45,61,2.8093984487520022e-08,1729814226.651415,6.114480152393485e-08
1381.7342765331268,0.00019230967209944263,3.7688896127759204e-08,1381.1855227947235,46,67,1.8641114795603103e-08,1729814395.7453215,1.9047781332156098e-08
1550.9890294075012,0.0001642944019187788,2.881621684127693e-08,1550.440343618393,47,73,1.5835163710381216e-08,1729814565.0000744,1.2981053130895715e-08
1776.4281885623932,0.0001363628291170282,2.8224792501915814e-08,1775.879432439804,48,81,1.0316181694485044e-08,1729814790.4392335,1.790861080743077e-08
2001.8739449977875,0.00011629359098087584,1.1247908033065387e-08,2001.3251516819,49,89,5.635178799179089e-09,1729815015.88499,5.6127292338862984e-09
2255.870136499405,9.784446599873153e-05,7.7473459396095e-09,2255.321249961853,50,98,3.9488535182234795e-09,1729815269.8811815,3.7984924213860195e-09
2510.44358420372,8.056853867966797e-05,5.779708740475235e-09,2509.8946623802185,51,107,2.7486609290847827e-09,1729815524.4546292,3.0310478113904523e-09
2821.488125562668,7.142170338592094e-05,4.817174816849002e-09,2820.939327955246,52,118,2.403740050901654e-09,1729815835.4991705,2.413434765947348e-09
3160.718192577362,6.422505461500782e-05,4.0959057797289685e-09,3160.1693687438965,53,130,1.974041519721837e-09,1729816174.7292376,2.121864260007132e-09
3528.375128507614,5.942264683815719e-05,3.1063523378302496e-09,3527.826286792755,54,143,1.6085490811126874e-09,1729816542.3861735,1.4978032567175624e-09
3924.4756858348846,5.189528357059372e-05,2.701514928409706e-09,3923.9268441200256,55,157,1.315550135081993e-09,1729816938.4867308,1.3859647933277127e-09
4347.815263032913,4.76728063574453e-05,2.2311751274176784e-09,4347.26655626297,56,172,1.166307114559e-09,1729817361.826308,1.0648680128586784e-09
4856.358350753784,4.512445514343255e-05,2.1396172006430035e-09,4855.809557437897,57,190,1.0074859296325094e-09,1729817870.3693957,1.1321312710104941e-09
5364.493000268936,4.113039639971411e-05,1.8234032924936998e-09,5363.944179058075,58,208,9.45960139120831e-10,1729818378.5040452,8.774431533728689e-10
5957.491899490356,4.002074305109671e-05,1.7534077898147838e-09,5956.943135976791,59,229,8.871316985511517e-10,1729818971.5029445,8.662760912636322e-10
6014.057037353516,3.9778565423772396e-05,2.6845938117230445e-09,6013.508222579956,60,231,1.0436580517643387e-09,1729819028.0680823,1.6409357599587055e-09
