step,time,_runtime,l2_error,_timestamp,loss_interior,loss,_step,loss_boundary
0,1.3635170459747314,6.33066987991333,0.22208598297235224,1716703020.1717448,0.00041738668428199495,0.546281946947971,0,0.545864560263689
1,2.25764536857605,6.705737113952637,0.15328881692465063,1716703020.546812,0.00623097328271738,0.03695034969345459,1,0.030719376410737215
2,2.6724328994750977,7.120526075363159,0.14437814084077757,1716703020.961601,0.0021488680378058734,0.01924515252528267,2,0.017096284487476795
3,3.1275386810302734,7.575603246688843,0.12889823148364557,1716703021.4166782,0.0011561403846918872,0.01614576793452699,3,0.014989627549835101
4,3.619959831237793,8.068780183792114,0.09582491066850338,1716703021.9098551,0.0014415968772911035,0.01324928441493381,4,0.011807687537642705
5,4.155386686325073,8.604458808898926,0.08783617153281617,1716703022.4455338,0.004156064323193083,0.01029294406795421,5,0.0061368797447611265
6,4.72696852684021,9.17603087425232,0.07682087475566565,1716703023.0171058,0.0018277697804334574,0.006987177558007623,6,0.005159407777574166
7,5.347355604171753,9.796773195266724,0.06512556407602227,1716703023.6378481,0.0015004473329360776,0.005371025543562863,7,0.0038705782106267855
8,5.9944634437561035,10.44492220878601,0.05051536874355362,1716703024.2859972,0.0012208750457224726,0.0038589849190987426,8,0.0026381098733762698
9,6.6792755126953125,11.12835431098938,0.04225277510063384,1716703024.9694293,0.0011125205876092623,0.0025709861703878383,9,0.0014584655827785758
10,7.4066362380981445,11.855700254440308,0.03444494497968312,1716703025.6967752,0.0006411180534335576,0.0015892062724565546,10,0.000948088219022997
11,8.167208671569824,12.6162748336792,0.024181855406685344,1716703026.4573498,0.0004911951099318769,0.001123559802402362,11,0.0006323646924704851
12,8.960015773773193,13.409111738204956,0.020989256740852072,1716703027.2501867,0.000386936132852247,0.0006977732129018546,12,0.00031083708004960763
13,9.80659556388855,14.256032228469849,0.015244427610170209,1716703028.0971072,0.00026115436469197485,0.0004955353094643787,13,0.00023438094477240377
14,10.686773777008057,15.135981559753418,0.012766825988244036,1716703028.9770565,0.0001683637859581605,0.0003015040990759335,14,0.00013314031311777302
15,11.614711046218872,16.063806533813477,0.010431342503049341,1716703029.9048815,0.00014799741062543933,0.00024155229065134907,15,9.355488002590973e-05
16,12.572734594345093,17.02179527282715,0.00893960701041561,1716703030.8628702,0.00011119968920647098,0.00017741837530536278,16,6.621868609889182e-05
17,13.543907403945923,17.993049383163452,0.008070744537295931,1716703031.8341243,8.434652173871875e-05,0.00013480108065045554,17,5.045455891173679e-05
18,14.518675088882446,18.967752933502197,0.007461395413829456,1716703032.8088279,6.273128465838334e-05,0.00010260921271831247,18,3.987792805992913e-05
19,15.511276006698608,19.960400104522705,0.006843646348108228,1716703033.801475,4.584187078877816e-05,8.006635730400763e-05,19,3.422448651522947e-05
20,16.4836688041687,20.932737827301025,0.006362142850978974,1716703034.7738128,3.289519192800525e-05,6.0087291059367914e-05,20,2.719209913136266e-05
21,17.454755067825317,21.903844118118286,0.005924093844508412,1716703035.744919,2.576837756946178e-05,4.851712693003137e-05,21,2.2748749360569585e-05
22,18.42824411392212,22.87730121612549,0.005610915923978695,1716703036.7183762,2.3282907523656198e-05,4.3518864275721946e-05,22,2.0235956752065748e-05
23,19.39761519432068,23.846718549728394,0.005304722553242875,1716703037.6877935,1.950850876497271e-05,3.6459387232694916e-05,23,1.6950878467722205e-05
24,20.382566452026367,24.83186674118042,0.005086442052509349,1716703038.6729417,1.669142740585396e-05,3.207073851937831e-05,24,1.5379311113524353e-05
25,21.354560136795044,25.803630352020264,0.004794278303858331,1716703039.6447053,1.443269878054695e-05,2.834521143692032e-05,25,1.3912512656373372e-05
26,22.328393936157227,26.77769184112549,0.004565657679827968,1716703040.6187668,1.1826215046592414e-05,2.381519810975505e-05,26,1.1988983063162635e-05
27,23.302408695220947,27.75166392326355,0.0045503695412952225,1716703041.5927389,1.0562172713102187e-05,2.1368411029020867e-05,27,1.080623831591868e-05
28,24.274816513061523,28.723900079727173,0.004378330693966023,1716703042.564975,8.597718880046695e-06,1.8289604671776687e-05,28,9.691885791729993e-06
29,25.24770188331604,29.69678044319153,0.004170863375008272,1716703043.5378554,7.515671831412409e-06,1.639603576773859e-05,29,8.88036393632618e-06
30,26.253058433532715,30.702170372009277,0.003997895367988665,1716703044.5432453,6.663477939953043e-06,1.4810208661024029e-05,30,8.146730721070986e-06
31,27.224167108535767,31.67328143119812,0.0038588764616856713,1716703045.5143564,5.972978705191769e-06,1.3133156033693237e-05,31,7.160177328501469e-06
32,28.19802474975586,32.647120237350464,0.00373483218986916,1716703046.4881952,5.244021746355458e-06,1.1834657327046662e-05,32,6.590635580691204e-06
33,29.172797203063965,33.62189531326294,0.0034791203503863376,1716703047.4629703,4.884850681255742e-06,1.1023017481385813e-05,33,6.138166800130071e-06
34,30.160084009170532,34.6091947555542,0.003470342045179645,1716703048.4502697,4.457407665717546e-06,9.738346684613672e-06,34,5.2809390188961265e-06
35,31.134938955307007,35.58401298522949,0.0034370367663755464,1716703049.425088,4.016439546858837e-06,9.037281092373712e-06,35,5.0208415455148754e-06
36,32.10282754898071,36.551894187927246,0.0033245162875509514,1716703050.3929691,3.6669973558008904e-06,8.377987838449035e-06,36,4.710990482648146e-06
37,33.069079637527466,37.518168926239014,0.003160038079103548,1716703051.3592439,3.2990748542419164e-06,7.677432973520251e-06,37,4.378358119278335e-06
38,34.038604736328125,38.48769211769104,0.0030865597573440204,1716703052.328767,3.0260188061906397e-06,7.027147145064419e-06,38,4.0011283388737795e-06
39,35.010149002075195,39.45922875404358,0.0029411265848616236,1716703053.3003037,2.708071133171574e-06,6.57840631635044e-06,39,3.870335183178866e-06
40,35.99439835548401,40.44359469413757,0.002820723295058858,1716703054.2846696,2.3435927981845437e-06,5.697506847064454e-06,40,3.353914048879911e-06
42,37.90980005264282,42.3590989112854,0.002728144096475756,1716703056.2001739,1.8636217866030257e-06,4.678638039502481e-06,41,2.815016252899455e-06
46,41.73792624473572,46.187098026275635,0.0024789128458513198,1716703060.028173,1.4580311262140108e-06,3.698328099662504e-06,42,2.2402969734484932e-06
50,45.547664165496826,49.99679207801819,0.002242877093429679,1716703063.837867,1.0770005973078808e-06,2.7563400433835584e-06,43,1.6793394460756776e-06
55,50.30386686325073,54.752963066101074,0.002049470638401324,1716703068.594038,7.496946452798486e-07,2.0772495083100223e-06,44,1.3275548630301737e-06
61,56.01061177253723,60.459678649902344,0.0018644394277604246,1716703074.3007536,5.719495831051623e-07,1.6377390886051673e-06,45,1.065789505500005e-06
67,61.73330473899841,66.1824004650116,0.0016788448785293724,1716703080.0234754,4.251254713305328e-07,1.2431631083966696e-06,46,8.180376370661367e-07
73,63.574501276016235,68.02350974082947,0.0016408926022556602,1716703081.8645847,3.6293229816318657e-07,1.099440985235289e-06,47,7.365086870721024e-07
81,64.04586696624756,68.49497985839844,0.0016391183439195712,1716703082.3360548,3.62959147720894e-07,1.0970525821003181e-06,48,7.340934343794242e-07
89,64.44530534744263,68.89438128471375,0.0016391183439195712,1716703082.7354562,3.62959147720894e-07,1.0970525821003181e-06,49,7.340934343794242e-07
98,64.89431309700012,69.34338665008545,0.0016391183439195712,1716703083.1844616,3.62959147720894e-07,1.0970525821003181e-06,50,7.340934343794242e-07
107,65.3415219783783,69.79060554504395,0.0016391183439195712,1716703083.6316805,3.62959147720894e-07,1.0970525821003181e-06,51,7.340934343794242e-07
118,65.89578747749329,70.34501767158508,0.0016391183439195712,1716703084.1860926,3.62959147720894e-07,1.0970525821003181e-06,52,7.340934343794242e-07
130,66.48820900917053,70.93733382225037,0.0016391183439195712,1716703084.7784088,3.62959147720894e-07,1.0970525821003181e-06,53,7.340934343794242e-07
143,67.12520980834961,71.57428884506226,0.0016391183439195712,1716703085.4153638,3.62959147720894e-07,1.0970525821003181e-06,54,7.340934343794242e-07
157,67.8149631023407,72.26405572891235,0.0016391183439195712,1716703086.1051307,3.62959147720894e-07,1.0970525821003181e-06,55,7.340934343794242e-07
172,68.54813623428345,72.99724817276001,0.0016391183439195712,1716703086.838323,3.62959147720894e-07,1.0970525821003181e-06,56,7.340934343794242e-07
190,69.42285871505737,73.87222194671631,0.0016391183439195712,1716703087.713297,3.62959147720894e-07,1.0970525821003181e-06,57,7.340934343794242e-07
208,70.29716563224792,74.746253490448,0.0016391183439195712,1716703088.5873284,3.62959147720894e-07,1.0970525821003181e-06,58,7.340934343794242e-07
229,71.31620454788208,75.76531195640564,0.0016391183439195712,1716703089.606387,3.62959147720894e-07,1.0970525821003181e-06,59,7.340934343794242e-07
252,72.42566895484924,76.87478423118591,0.0016391183439195712,1716703090.7158592,3.62959147720894e-07,1.0970525821003181e-06,60,7.340934343794242e-07
277,73.63441109657288,78.08349633216858,0.0016391183439195712,1716703091.9245713,3.62959147720894e-07,1.0970525821003181e-06,61,7.340934343794242e-07
305,74.99173045158386,79.44081282615662,0.0016391183439195712,1716703093.2818878,3.62959147720894e-07,1.0970525821003181e-06,62,7.340934343794242e-07
335,76.43714308738708,80.88626050949097,0.0016391183439195712,1716703094.7273355,3.62959147720894e-07,1.0970525821003181e-06,63,7.340934343794242e-07
369,78.06874704360962,82.51782059669495,0.0016391183439195712,1716703096.3588955,3.62959147720894e-07,1.0970525821003181e-06,64,7.340934343794242e-07
406,79.83949947357178,84.28858089447021,0.0016391183439195712,1716703098.1296558,3.62959147720894e-07,1.0970525821003181e-06,65,7.340934343794242e-07
446,81.75636768341064,86.20546770095825,0.0016391183439195712,1716703100.0465426,3.62959147720894e-07,1.0970525821003181e-06,66,7.340934343794242e-07
491,83.9048638343811,88.35396528244019,0.0016391183439195712,1716703102.1950402,3.62959147720894e-07,1.0970525821003181e-06,67,7.340934343794242e-07
540,86.24933171272278,90.69844007492065,0.0016391183439195712,1716703104.539515,3.62959147720894e-07,1.0970525821003181e-06,68,7.340934343794242e-07
594,88.82692646980286,93.27601027488708,0.0016391183439195712,1716703107.1170852,3.62959147720894e-07,1.0970525821003181e-06,69,7.340934343794242e-07
653,91.66481709480286,96.11390852928162,0.0016391183439195712,1716703109.9549835,3.62959147720894e-07,1.0970525821003181e-06,70,7.340934343794242e-07
718,94.75577569007874,99.20489311218262,0.0016391183439195712,1716703113.045968,3.62959147720894e-07,1.0970525821003181e-06,71,7.340934343794242e-07
790,98.18279504776001,102.63186311721802,0.0016391183439195712,1716703116.472938,3.62959147720894e-07,1.0970525821003181e-06,72,7.340934343794242e-07
869,124.53917360305786,128.98858261108398,0.0011265220469994456,1716703142.8296576,6.329576851166316e-07,1.1914447611657078e-06,73,5.584870760490761e-07
956,143.76342797279358,148.21252274513245,0.0009589911896940402,1716703162.0535977,2.3072723036421412e-07,5.544383112506044e-07,74,3.237110808863903e-07
