loss_boundary,time,step,_runtime,_timestamp,loss,_step,l2_error,loss_interior
0.5413483606850008,1.555309534072876,0,5.5187764167785645,1716625993.5815234,0.5417622136881682,0,1.0255669458761127,0.0004138530031673832
0.5413466958578277,2.1380937099456787,1,5.848869800567627,1716625993.9116168,0.5417605646261595,1,0.3640729201044673,0.0004138687683318579
0.08081239126394339,2.4682071208953857,2,6.178680419921875,1716625994.2414274,0.08094987578120298,2,0.34938905320193353,0.00013748451725958805
0.07484113385855527,2.797130823135376,3,6.507524251937866,1716625994.5702713,0.07734278286069525,3,0.23133700762556386,0.0025016490021399725
0.03433201252313326,3.1259853839874268,4,6.836373329162598,1716625994.8991203,0.04999242914116914,4,0.20553670046544817,0.015660416618035876
0.02797868575929413,3.4566149711608887,5,7.168341159820557,1716625995.2310882,0.03861915654849612,5,0.2035783883571032,0.010640470789201986
0.027503410042507125,3.7878940105438232,6,7.4985527992248535,1716625995.5612998,0.0375526486938313,6,0.18860177151274754,0.010049238651324175
0.024026194635019576,4.117246866226196,7,7.827634334564209,1716625995.8903813,0.03520141425037229,7,0.1855255580961083,0.011175219615352713
0.02319866479770946,4.446385860443115,8,8.156760931015015,1716625996.219508,0.03418754911755757,8,0.16896567588876643,0.010988884319848116
0.01962585313656533,4.775737285614014,9,8.486214876174927,1716625996.5489619,0.03152856907783595,9,0.15700390942121667,0.011902715941270625
0.017045501876133587,5.105576038360596,10,8.8163001537323,1716625996.8790472,0.024067961351336865,10,0.1542495860035714,0.007022459475203278
0.0165701181351004,5.437396287918091,11,9.149706602096558,1716625997.2124536,0.020565757947873707,11,0.15022883936130624,0.003995639812773305
0.015962236312596068,5.772998332977295,12,9.484354496002197,1716625997.5471015,0.019088746651693828,12,0.1501863517935434,0.003126510339097761
0.015937221505836142,6.105720043182373,13,9.816479444503784,1716625997.8792264,0.018884839225500438,13,0.1503607546494275,0.002947617719664295
0.015990874612113383,6.4379563331604,14,10.148616313934326,1716625998.2113633,0.0186425961673749,14,0.15202780796932067,0.0026517215552615166
0.01622553340675104,6.770385026931763,15,10.481460094451904,1716625998.544207,0.017823524865138714,15,0.14613637279064282,0.001597991458387675
0.015065087653285483,7.102760314941406,16,10.813302993774414,1716625998.87605,0.01663722853441339,16,0.1452041351570365,0.001572140881127908
0.014847175879577191,7.432443380355835,17,11.14291262626648,1716625999.2056596,0.01636075866108711,17,0.14431605336020442,0.0015135827815099215
0.014529155448350328,7.7662763595581055,18,11.47704553604126,1716625999.5397925,0.016048075769556438,18,0.14372047648280076,0.0015189203212061099
0.014437211911377411,8.099152088165283,19,11.810315132141113,1716625999.8730621,0.015935551081261917,19,0.14264515972792444,0.0014983391698845047
0.014213990632213173,8.431414365768433,20,12.142233848571777,1716626000.2049809,0.015720859705730464,20,0.14051370156835766,0.001506869073517292
0.013795745633194068,8.762242555618286,21,12.47320032119751,1716626000.5359473,0.015259724530269313,21,0.13657269323716834,0.0014639788970752458
0.013201054601900446,9.09281325340271,22,12.803274393081665,1716626000.8660214,0.014674846171202483,22,0.13581327198378804,0.0014737915693020366
0.013066569941466105,9.422469139099121,23,13.132942914962769,1716626001.19569,0.014497405152217379,23,0.13339118230943123,0.0014308352107512748
0.012625842682321054,9.753542184829712,24,13.463991165161133,1716626001.5267382,0.014208778768893376,24,0.13178153547788007,0.0015829360865723225
0.012213810887798894,10.083050966262817,25,13.793983459472656,1716626001.8567305,0.013889995400523518,25,0.12971894862035255,0.0016761845127246237
0.011892873092694982,10.413137912750244,26,14.123798370361328,1716626002.1865454,0.013676429208878576,26,0.12121879877905524,0.001783556116183595
0.01038786028185062,10.74250340461731,27,14.453175067901611,1716626002.515922,0.012509935296766646,27,0.11901011990509185,0.002122075014916026
0.010052597688499367,11.07187533378601,28,14.78234314918518,1716626002.8450902,0.012304714508466458,28,0.11787874629115369,0.00225211681996709
0.009851460934371267,11.401210069656372,29,15.111681461334229,1716626003.1744285,0.012139746056255384,29,0.11631095067406996,0.002288285121884117
0.009600477000481188,11.730367183685303,30,15.440882921218872,1716626003.50363,0.011982239524702525,30,0.11407659042928002,0.002381762524221337
0.009108793694592287,12.059999227523804,31,15.770593166351318,1716626003.8333402,0.011665216685293993,31,0.11270593357613161,0.002556422990701706
0.008932482638700886,12.389736652374268,32,16.10021448135376,1716626004.1629615,0.011560450898171815,32,0.11039987992804536,0.0026279682594709296
0.008583248142859863,12.71925139427185,33,16.431928873062134,1716626004.4946759,0.011279604829140479,33,0.10998908468397638,0.0026963566862806165
0.008501187235476182,13.051184177398682,34,16.761693477630615,1716626004.8244405,0.011199812628857556,34,0.10931205019907678,0.002698625393381375
0.008427844841125813,13.38143014907837,35,17.09223222732544,1716626005.1549792,0.011146103509454133,35,0.10862548691263987,0.00271825866832832
0.00833652993282826,13.711890935897827,36,17.422489404678345,1716626005.4852364,0.011048388044583496,36,0.1084483853856797,0.0027118581117552354
0.008212234092209312,14.042425394058228,37,17.753161191940308,1716626005.8159082,0.010844106243079419,37,0.10651289141286197,0.0026318721508701063
0.00796376228561617,14.372301816940308,38,18.08276605606079,1716626006.145513,0.010592517197082377,38,0.10607890407541165,0.0026287549114662064
0.007880619631983415,14.701782464981079,39,18.412466764450073,1716626006.4752138,0.010420655076613534,39,0.10436175131143152,0.002540035444630119
0.007613164994136001,15.031126022338867,40,18.741581439971924,1716626006.8043284,0.010088998007223982,40,0.10314323473083348,0.00247583301308798
0.007258720368068708,15.669877529144287,42,19.380357265472412,1716626007.4431043,0.009791896121002513,41,0.0999823271277793,0.0025331757529338055
